school_id,school_original_es,school_es
40414,CENTRO EDUC.DE INTEGRAC.DE ADULTOS NEWEN,Centro Educ. de Integraci\u00f3n de Adultos New\u00e9n
40422,COLEGIO NIRVANA,Colegio Nirvana
40436,COLEGIO DE LAS ARTES Y LETRAS BETHEL DE QUILPUE,Colegio de Las Artes y Letras Bethel de Quilpu\u00e9
40447,CENTRO DE EDUCACION INTEGRADA DE ADULTOS AEK,Centro de Educaci\u00f3n Integrada de Adultos Aek
40455,COLEGIO PATAGONIA INSULAR,Colegio Patagonia Insular
40457,LICEO TECNICO PROFESIONAL PABLO NERUDA,Liceo T\u00e9cnico Profesional Pablo Neruda
59,COLEGIO SAN JORGE,Colegio San Jorge
69,JUNIOR COLLEGE,Junior College
143,LICEO TRINITY COLLEGE,Liceo Trinity College
147,COLEGIO DON BOSCO,Colegio Don Bosco
148,IQUIQUE ENGLISH COLLEGE,Iquique English College
150,LICEO AMERICAN COLLEGE,Liceo American College
257,COLEGIO CHUQUICAMATA,Colegio Chuquicamata
355,COLEGIO BINACIONAL CHILENO AMERICANO DE ANTOFAGASTA(EX INS. CHILENO NORTEAMERICANO CULTURA),Colegio Binacional Chileno Americano de Antofagasta (Ex Instituto Chileno Norteamericano Cultura)
357,COL. SAN LUIS,Colegio San Luis
358,INS. SANTA MARIA,Instituto Santa Mar\u00eda
361,COL. THE ANTOFAGASTA BRITISH SCHOOL,Colegio The Antofagasta British School
364,COL. ANTOFAGASTA,Colegio Antofagasta
366,HRVATSKA SKOLA S. ESTEBAN (EX-J. SKOLA),Hrvatska Skola S. Esteban (Ex-J. Skola)
435,COLEGIO PARTIC. LUIS KATUNAR ZAFARANIC,Colegio Particular Luis Katunar Zafaranic
585,COLEGIO THE INTERNATIONAL SCHOOL,Colegio The International School
587,COLEGIO SERENA,Colegio Serena
591,COLEGIO INGLES CATOLICO,Colegio Ingl\u00e9s Cat\u00f3lico
770,COLEGIO AMALIA ERRAZURIZ,Colegio Amalia Err\u00e1zuriz
1225,INSTITUTO CHACABUCO,Instituto Chacabuco
1288,INSTITUTO ABDON CIFUENTES,Instituto Abd\u00f3n Cifuentes
1296,COLEGIO RELIGIOSAS CARMELITAS,Colegio Religiosas Carmelitas
1299,COLEGIO DIEGO PORTALES,Colegio Diego Portales
1403,COL.NTRA.SE\u00d1ORA DEL HUERTO,Colegio Ntra.Se\u00f1ora Del Huerto
1404,INSTITUTO RAFAEL ARIZTIA,Instituto Rafael Arizt\u00eda
1406,COLEGIO PAIDEIA,Colegio Paideia
1412,COLEGIO ROBERT AND ROSE,Colegio Robert and Rose
1629,COLEGIO INTERNACIONAL,Colegio Internacional
1631,"COLEGIO DE LOS SAGRADOS CORAZONES, PADRES FRANCESES","Colegio de Los Sagrados Corazones, Padres Franceses"
1634,SEMINARIO SAN RAFAEL,Seminario San Rafael
1638,SCUOLA ITALIANA ARTURO DELL´ORO,Scuola Italiana Arturo Dell'Oro
1641,COLEGIO SAN PEDRO NOLASCO,Colegio San Pedro Nolasco
1647,LICEO CARLOS COUSI\u00d1O,Liceo Carlos Cousi\u00f1o
1774,SEMINARIO SAN RAFAEL,Seminario San Rafael
1775,COLEGIO ARABE,Colegio \u00c1rabe
1776,SAINT PETER'S SCHOOL,Saint Peter's School
1777,COLEGIO SAINT DOMINIC,Colegio Saint Dominic
1778,COLEGIO WINTERHILL,Colegio Winterhill
1780,COLEGIO PATMOS,Colegio Patmos
1781,ALLIANCE FRANCAISE DE VALPARAISO,Alliance Francaise de Valpara\u00edso
1783,COLEGIO BRITANICO ST. MARGARET'S S.A.,Colegio Britanico St. Margaret's S.A.
1787,HEBREO DR. JAIM WEITZMAN,Hebreo Dr. Jaim Weitzman
1788,THE MACKAY SCHOOL,The Mackay School
1789,COLEGIO PROFESOR HUGUET,Colegio Profesor Huguet
1790,PAN AMERICAN COLLEGE,Pan American College
1791,SAINT PAUL´S SCHOOL,Saint Paul's School
1792,COL.SS.CC.MONJAS FRANCESAS,Colegio Ss.Cc. Monjas Francesas
1793,COLEGIO DEL SAGRADO CORAZON-RE\u00d1ACA,Colegio Del Sagrado Coraz\u00f3n-Re\u00f1aca
1794,COLEGIO SSCC PADRES FRANCESES,Colegio Ss.Cc. Padres Franceses
1796,COLEGIO COMPA\u00d1IA DE MARIA,Colegio Compa\u00f1\u00eda de Mar\u00eda
1800,CASTLE COLLEGE,Castle College
1810,COL. MARIA RAQUEL CERECEDA,Colegio Mar\u00eda Raquel Cereceda
1815,COLEGIO INGLES ERRAZURIZ,Colegio Ingl\u00e9s Err\u00e1zuriz
1839,COLEGIO ALEMAN DE VALPARAISO,Colegio Alem\u00e1n de Valpara\u00edso
1840,LICEO MAX PLANCK,Liceo Max Planck
1844,COLEGIO FRANCO INGLES,Colegio Franco Ingl\u00e9s
1850,ASIVA,Asiva
1935,COLEGIO INGLES RELIGIOSAS PASIONISTAS,Colegio Ingl\u00e9s Religiosas Pasionistas
1937,COL.COEDUCACIONAL PART. QUILPUE,Colegio Coeducacional Particular Quilpu\u00e9
1954,COLEGIO PART.ANGLO-FRANCES,Colegio Particular Anglo-Franc\u00e9s
1956,LICEO VESPERTINO CREP,Liceo Vespertino Crep
1988,SCUOLA ITALIANA GIROLAMO LONGHI,Scuola Italiana Girolamo Longhi
1989,INTERNADO ALEMAN,Internado Alem\u00e1n
2185,COLEGIO ALONSO DE ERCILLA,Colegio Alonso de Ercilla
2186,COLEGIO RANCAGUA COLLEGE,Colegio Rancagua College
2191,COLEGIO SAGRADO CORAZON,Colegio Sagrado Coraz\u00f3n
2194,INSTITUTO INGLES RANCAGUA,Instituto Ingl\u00e9s Rancagua
2196,INSTITUTO RANCAGUA,Instituto Rancagua
2198,COLEGIO LA MERCED,Colegio la Merced
2200,INSTITUTO O´HIGGINS,Instituto O'Higgins
2201,REPUBLICA DE GRECIA,Rep\u00fablica de Grecia
2260,COLEGIO COYA,Colegio Coya
2450,COLEGIO HANS CHRISTIAN ANDERSEN,Colegio Hans Christian Andersen
2451,COLEGIO CHACABUCO,Colegio Chacabuco
2482,FUNDACION EDUCACIONAL INSTITUTO SAN FERNANDO,Fundaci\u00f3n Educacional Instituto San Fernando
2786,INSTITUTO SAN MARTIN,Instituto San Mart\u00edn
2789,ALIANZA FRANCESA JEAN MERMOZ,Alianza Francesa Jean Mermoz
2790,COLEGIO VICHUQUEN,Colegio Vichuqu\u00e9n
3012,COLEGIO DE LA SALLE,Colegio de La Salle
3014,COLEGIO INGLES,Colegio Ingl\u00e9s
3015,COLEGIO PARTICULAR MONTESSORI,Colegio Particular Montessori
3204,COLEGIO CONSTITUCION,Colegio Constituci\u00f3n
3720,DEUTSCHE SCHULE CHILLAN,Deutsche Schule Chill\u00e1n
4285,LICEO ALEMAN DEL VERBO DIVINO,Liceo Alem\u00e1n del Verbo Divino
4286,COLEGIO ALEMAN LOS ANGELES,Colegio Alem\u00e1n Los \u00c1ngeles
4499,COLEGIO SAN JORGE,Colegio San Jorge
4679,KINGSTON COLLEGE,Kingston College
4680,COLEGIO BAUTISTA DE CONCEPCION,Colegio Bautista de Concepci\u00f3n
4682,EXTERNADO INMACULADA CONCEPCION,Externado Inmaculada Concepci\u00f3n
4684,CARMELA ROMERO DE ESPINOZA,Carmela Romero de Espinoza
4686,INSTITUTO DE HUMANIDADES ALFREDO SILVA S,Instituto de Humanidades Alfredo Silva Santiago
4687,COLEGIO ALEMAN DE CONCEPCI\u00d3N,Colegio Alem\u00e1n de Concepci\u00f3n
4688,CHARLES DE GAULLE,Charles de Gaulle
4689,COLEGIO CONCEPCION,Colegio Concepci\u00f3n
4690,METODISTA DE CONCEPCION,Metodista de Concepci\u00f3n
4694,SAINT JOHN´S SCHOOL,Saint John's School
4698,SAN PEDRO NOLASCO,San Pedro Nolasco
4793,INMACULADA CONCEPCION,Inmaculada Concepci\u00f3n
4796,ARTURO PRAT CHACON,Arturo Prat Chac\u00f3n
4798,SAGRADOS CORAZONES,Sagrados Corazones
5083,COLEGIO ARAUCO,Colegio Arauco
5266,COLEGIO SAN JOSE,Colegio San Jos\u00e9
5808,COLEGIO DE LA SALLE,Colegio de La Salle
5810,COLEGIO BAUTISTA,Colegio Bautista
5812,COLEGIO ALEMAN,Colegio Alem\u00e1n
5817,COL.INGLES GEORGE CHAYTOR(RES139-02-08),Colegio Ingl\u00e9s George Chaytor
6161,COLEGIO ALEMAN,Colegio Alem\u00e1n
6843,COLEGIO WINDSOR SCHOOL,Colegio Windsor School
6844,INSTITUTO ALEMAN CARLOS ANWANDTER,Instituto Alem\u00e1n Carlos Anwandter
7180,COLEGIO ALEMAN R.A. PHILIPPI,Colegio Alem\u00e1n R.A. Philippi
7406,COLEGIO SAN MATEO,Colegio San Mateo
7414,LICEO ALIANZA FRANCESA CLAUDE GAY,Liceo Alianza Francesa Claude Gay
