"","geography_level","geography_name","geography_id","year","weighted_mean_income","weighted_median_income","weighted_gini_income","ci_weighted_mean_income","ci_weighted_median_income","ci_weighted_gini_income"
"222","provincia","Cordillera","p152","1998",100115,73312,0.449,"[94257, 107385]","[69337, 76299]","[0.424, 0.481]"
"223","provincia","Coyhaique","p111","1998",174136,82276,0.633,"[143955, 210930]","[79619, 86049]","[0.563, 0.685]"
"224","provincia","Curicó","p73","1998",96802,54509,0.529,"[89592, 102759]","[51849, 55900]","[0.506, 0.548]"
"225","provincia","El Loa","p22","1998",131642,72790,0.524,"[114602, 149183]","[67192, 76712]","[0.485, 0.562]"
"226","provincia","Elqui","p41","1998",113550,63383,0.543,"[106827, 119640]","[61206, 66128]","[0.522, 0.562]"
"227","provincia","General Carrera","p114","1998",71708,47015,0.466,"[64092, 79967]","[37518, 51549]","[0.422, 0.494]"
"228","provincia","Huasco","p33","1998",78118,54039,0.44,"[75118, 81603]","[52870, 57254]","[0.423, 0.454]"
"229","provincia","Iquique","p11","1998",138869,84717,0.487,"[127415, 150043]","[75398, 94952]","[0.466, 0.513]"
"230","provincia","Limarí","p43","1998",64216,41504,0.475,"[60206, 69514]","[39833, 42741]","[0.442, 0.51]"
"231","provincia","Linares","p74","1998",72910,41323,0.503,"[68765, 78351]","[39980, 43413]","[0.478, 0.53]"
"232","provincia","Llanquihue","p101","1998",115354,67695,0.511,"[104868, 125775]","[63500, 74027]","[0.47, 0.543]"
"233","provincia","Los Andes","p53","1998",99843,65181,0.479,"[94384, 107248]","[63666, 69570]","[0.453, 0.508]"
"234","provincia","Magallanes","p121","1998",148719,84486,0.521,"[130706, 169822]","[81648, 91239]","[0.468, 0.563]"
"235","provincia","Maipo","p134","1998",97640,59983,0.502,"[90011, 112626]","[57398, 62917]","[0.457, 0.561]"
"236","provincia","Malleco","p92","1998",59076,33475,0.517,"[56193, 62914]","[33051, 34212]","[0.497, 0.537]"
"237","provincia","Marga Marga","p58","1998",120674,77350,0.466,"[115571, 127003]","[75563, 80224]","[0.452, 0.483]"
