"","geography_level","geography_name","geography_id","sex","year","weighted_mean","weighted_median","ci_weighted_mean","ci_weighted_median"
"86","provincia","Colchagua","p63","Hombre",2012,342930.153104103,241082.474226804,"[316508, 379532]","[220000, 251369]"
"87","provincia","Colchagua","p63","Hombre",2013,368791.559513555,261762.723318726,"[328948, 409651]","[250000, 280380]"
"88","provincia","Colchagua","p63","Hombre",2014,340706.683519524,279974.05445712,"[314321, 377629]","[259974, 299944]"
"89","provincia","Colchagua","p63","Hombre",2015,353906.608682743,288103.945985417,"[328298, 386780]","[272673, 300000]"
"90","provincia","Concepción","p81","Hombre",2010,373214.098774352,250000,"[341071, 413470]","[231702, 256727]"
"91","provincia","Concepción","p81","Hombre",2011,424359.753026891,267372.59503201,"[393740, 467145]","[250000, 282266]"
"92","provincia","Concepción","p81","Hombre",2012,404180.311824126,281262.886597938,"[379237, 432775]","[264234, 300000]"
"93","provincia","Concepción","p81","Hombre",2013,443230.590521864,306033.639869088,"[413010, 474657]","[300000, 328754]"
"94","provincia","Concepción","p81","Hombre",2014,481759.696980487,322838.647256067,"[453919, 512649]","[300000, 349934]"
"95","provincia","Concepción","p81","Hombre",2015,514048.88755277,364622.90385192,"[481082, 551315]","[350000, 400000]"
"96","provincia","Copiapó","p31","Hombre",2010,501013.867897478,340332.746134272,"[452421, 595177]","[300294, 355464]"
"97","provincia","Copiapó","p31","Hombre",2011,551399.057293385,356769.133279678,"[481772, 632296]","[321676, 399478]"
"98","provincia","Copiapó","p31","Hombre",2012,484082.16382986,391973.583281867,"[446007, 549024]","[351967, 422361]"
"99","provincia","Copiapó","p31","Hombre",2013,638638.29129254,480578.410516405,"[575247, 713019]","[400258, 519331]"
"100","provincia","Copiapó","p31","Hombre",2014,620393.887487936,460000,"[563778, 686019]","[401453, 501219]"
"101","provincia","Copiapó","p31","Hombre",2015,694548.162290458,528768.59626268,"[631922, 748575]","[450935, 602413]"
"102","provincia","Cordillera","p152","Hombre",2010,379306.793160355,287627.141594927,"[334955, 425438]","[250245, 300294]"
"103","provincia","Cordillera","p152","Hombre",2011,399567.94643317,300000,"[366708, 438917]","[251208, 318852]"
"104","provincia","Cordillera","p152","Hombre",2012,504400.518806862,382136.01179506,"[452431, 568852]","[321346, 402248]"
"105","provincia","Cordillera","p152","Hombre",2013,479899.234549144,350474.469046545,"[439812, 519047]","[300407, 398489]"
"106","provincia","Cordillera","p152","Hombre",2014,513269.097369099,400000,"[472634, 576524]","[379427, 445765]"
"107","provincia","Cordillera","p152","Hombre",2015,581168.384480856,463125.293162549,"[534119, 643909]","[451688, 501061]"
