"","geography_level","geography_name","geography_id","sex","year","weighted_mean","weighted_median","ci_weighted_mean","ci_weighted_median"
"580","comuna","La Cisterna",117,"Hombre",2014,596649.642473098,405797.822241588,"[457316, 851675]","[352306, 676000]"
"581","comuna","La Cisterna",117,"Hombre",2015,579978.715428498,300774.147355823,"[360067, 879527]","[243894, 518072]"
"582","comuna","La Cruz",118,"Hombre",2010,583771.257324908,406332.26790221,"[398069, 789244]","[203387, 545676]"
"583","comuna","La Cruz",118,"Hombre",2011,549826.433285505,300301.524018579,"[390118, 833223]","[200000, 449466]"
"584","comuna","La Cruz",118,"Hombre",2012,665791.510369946,457326.559325411,"[489154, 860676]","[280117, 728407]"
"585","comuna","La Cruz",118,"Hombre",2013,570219.840850121,462464.883586523,"[436668, 728957]","[271934, 600000]"
"586","comuna","La Cruz",118,"Hombre",2014,523397.704779185,414888.727031812,"[409695, 639299]","[308179, 518949]"
"587","comuna","La Cruz",118,"Hombre",2015,487719.09603316,419096.047355145,"[392486, 583128]","[301091, 532458]"
"588","comuna","La Estrella",119,"Hombre",2010,288073.629448488,214132.443705071,"[221480, 381966]","[194949, 236218]"
"589","comuna","La Estrella",119,"Hombre",2011,246603.626129327,199945.61646375,"[202639, 288508]","[188141, 222000]"
"590","comuna","La Estrella",119,"Hombre",2012,270150.667563242,225332.70765892,"[232038, 332022]","[203178, 251308]"
"591","comuna","La Estrella",119,"Hombre",2013,344025.627936119,281369.38090951,"[276748, 419124]","[242189, 300000]"
"592","comuna","La Estrella",119,"Hombre",2014,398150.210609863,280365.694467511,"[299008, 511778]","[235376, 336107]"
"593","comuna","La Estrella",119,"Hombre",2015,360908.8792136,309586.476731024,"[312117, 410956]","[276143, 341415]"
"594","comuna","La Florida",120,"Hombre",2010,491093.101759117,300293.59953024,"[431376, 563932]","[261000, 350343]"
"595","comuna","La Florida",120,"Hombre",2011,503678.405021765,341597.083839406,"[438779, 576449]","[300000, 399574]"
"596","comuna","La Florida",120,"Hombre",2012,584741.263517997,400000,"[505656, 667701]","[344741, 410971]"
"597","comuna","La Florida",120,"Hombre",2013,728940.551902703,498368.491968827,"[649363, 826923]","[447253, 519997]"
"598","comuna","La Florida",120,"Hombre",2014,751128.738997749,479909.994374649,"[661647, 834741]","[449916, 599940]"
"599","comuna","La Florida",120,"Hombre",2015,686139.511253744,500000,"[621842, 774118]","[447370, 560152]"
"600","comuna","La Granja",121,"Hombre",2010,253727.591270853,226792.550218834,"[218143, 291015]","[188765, 300000]"
