"","sex","work_day","comuna_name","comuna_datachile_id","year","FUN"
"43","Hombre","Completa","Angol",8,2014,403145.166601675
"44","Hombre","Completa","Angol",8,2015,414201.289627989
"45","Hombre","Completa","Antofagasta",9,2010,587248.423329379
"46","Hombre","Completa","Antofagasta",9,2011,592898.443922658
"47","Hombre","Completa","Antofagasta",9,2012,677328.017272422
"48","Hombre","Completa","Antofagasta",9,2013,700660.229664308
"49","Hombre","Completa","Antofagasta",9,2014,723159.079249829
"50","Hombre","Completa","Antofagasta",9,2015,817110.739012962
"51","Hombre","Completa","Antuco",10,2010,232293.447916812
"52","Hombre","Completa","Antuco",10,2011,179643.800488016
"53","Hombre","Completa","Antuco",10,2012,256413.085578232
"54","Hombre","Completa","Antuco",10,2013,380243.996713051
"55","Hombre","Completa","Antuco",10,2014,326930.705841591
"56","Hombre","Completa","Antuco",10,2015,610320.535515501
"57","Hombre","Completa","Arauco",11,2010,323053.539665785
"58","Hombre","Completa","Arauco",11,2011,313408.183232284
"59","Hombre","Completa","Arauco",11,2012,361611.18113839
"60","Hombre","Completa","Arauco",11,2013,344541.72272951
"61","Hombre","Completa","Arauco",11,2014,291803.353442401
"62","Hombre","Completa","Arauco",11,2015,338926.942352325
"63","Hombre","Completa","Arica",12,2010,370101.331727308
"64","Hombre","Completa","Arica",12,2011,391347.3864844
"65","Hombre","Completa","Arica",12,2012,511259.484105106
"66","Hombre","Completa","Arica",12,2013,425627.865970497
"67","Hombre","Completa","Arica",12,2014,452011.573533962
"68","Hombre","Completa","Arica",12,2015,510581.568782083
"69","Hombre","Completa","Aysén",13,2013,640434.939947922
"70","Hombre","Completa","Aysén",13,2014,627050.635135477
"71","Hombre","Completa","Aysén",13,2015,744625.951018784
"72","Hombre","Completa","Buin",14,2010,527322.344738956
"73","Hombre","Completa","Buin",14,2011,493359.328204197
"74","Hombre","Completa","Buin",14,2012,759276.229540056
"75","Hombre","Completa","Buin",14,2013,805126.394312147
"76","Hombre","Completa","Buin",14,2014,522058.377736903
"77","Hombre","Completa","Buin",14,2015,643351.503303884
"78","Hombre","Completa","Bulnes",15,2010,197690.758147414
"79","Hombre","Completa","Bulnes",15,2011,275807.749906817
"80","Hombre","Completa","Bulnes",15,2012,310104.597185887
"81","Hombre","Completa","Bulnes",15,2013,311630.886433096
"82","Hombre","Completa","Bulnes",15,2014,324162.994251336
"83","Hombre","Completa","Bulnes",15,2015,394862.633840862
"84","Hombre","Completa","Cabildo",16,2010,314935.082555811
"85","Hombre","Completa","Cabildo",16,2011,407226.208811474
"86","Hombre","Completa","Cabildo",16,2012,554611.869861864
"87","Hombre","Completa","Cabildo",16,2013,614824.650157006
"88","Hombre","Completa","Cabildo",16,2014,492367.054945821
"89","Hombre","Completa","Cabildo",16,2015,416576.534807885
"90","Hombre","Completa","Cabrero",18,2010,305943.871172631
"91","Hombre","Completa","Cabrero",18,2011,406943.742167767
"92","Hombre","Completa","Cabrero",18,2012,383005.275243399
"93","Hombre","Completa","Cabrero",18,2013,315543.885350887
"94","Hombre","Completa","Cabrero",18,2014,338022.044055252
"95","Hombre","Completa","Cabrero",18,2015,347767.466722784
"96","Hombre","Completa","Calama",19,2010,765161.962950145
"97","Hombre","Completa","Calama",19,2011,865194.98847797
"98","Hombre","Completa","Calama",19,2012,828867.79102213
"99","Hombre","Completa","Calama",19,2013,1119314.29099063
"100","Hombre","Completa","Calama",19,2014,1066731.59433816
"101","Hombre","Completa","Calama",19,2015,1061704.47350367
"102","Hombre","Completa","Calbuco",20,2010,257238.622522925
"103","Hombre","Completa","Calbuco",20,2011,394856.586505085
"104","Hombre","Completa","Calbuco",20,2012,309565.721595922
"105","Hombre","Completa","Calbuco",20,2013,330738.396166699
"106","Hombre","Completa","Calbuco",20,2014,1193430.41058893
"107","Hombre","Completa","Calbuco",20,2015,512890.859274513
"108","Hombre","Completa","Caldera",21,2010,343088.014472821
"109","Hombre","Completa","Caldera",21,2011,407846.083740925
"110","Hombre","Completa","Caldera",21,2012,515164.126143347
"111","Hombre","Completa","Caldera",21,2013,480699.260540625
"112","Hombre","Completa","Caldera",21,2014,490920.735756593
"113","Hombre","Completa","Caldera",21,2015,521129.385414368
"114","Hombre","Completa","Calera",22,2010,404512.288026777
"115","Hombre","Completa","Calera",22,2011,292616.224906346
"116","Hombre","Completa","Calera",22,2012,440089.507404696
"117","Hombre","Completa","Calera",22,2013,541005.416950415
"118","Hombre","Completa","Calera",22,2014,559122.647839381
"119","Hombre","Completa","Calera",22,2015,499594.778546647
"120","Hombre","Completa","Calera de Tango",23,2010,693828.36171462
"121","Hombre","Completa","Calera de Tango",23,2011,1023285.59859397
"122","Hombre","Completa","Calera de Tango",23,2012,774463.36475995
"123","Hombre","Completa","Calera de Tango",23,2013,551190.613345385
"124","Hombre","Completa","Calera de Tango",23,2014,668044.780688326
"125","Hombre","Completa","Calera de Tango",23,2015,809504.282557938
"126","Hombre","Completa","Calle Larga",24,2010,233791.480496008
"127","Hombre","Completa","Calle Larga",24,2011,390933.976123433
"128","Hombre","Completa","Calle Larga",24,2012,384904.619457989
"129","Hombre","Completa","Calle Larga",24,2013,646549.038094189
"130","Hombre","Completa","Calle Larga",24,2014,380801.154587533
"131","Hombre","Completa","Calle Larga",24,2015,453617.181741829
"132","Hombre","Completa","Camarones",25,2010,220183.7873333
"133","Hombre","Completa","Camarones",25,2011,199366.027285667
"134","Hombre","Completa","Camarones",25,2012,244566.554136643
"135","Hombre","Completa","Camarones",25,2013,76353.4386579307
"136","Hombre","Completa","Camiña",26,2011,155399.714148976
"137","Hombre","Completa","Camiña",26,2012,217329.512409386
"138","Hombre","Completa","Camiña",26,2013,157463.172164483
"139","Hombre","Completa","Camiña",26,2014,175555.555555556
"140","Hombre","Completa","Camiña",26,2015,83385.2436186646
"141","Hombre","Completa","Canela",27,2010,519044.731446723
"142","Hombre","Completa","Canela",27,2011,436270.453012768
"143","Hombre","Completa","Canela",27,2012,371136.770953041
"144","Hombre","Completa","Canela",27,2013,442647.57560898
"145","Hombre","Completa","Canela",27,2014,488842.508691525
"146","Hombre","Completa","Canela",27,2015,769055.674259321
"147","Hombre","Completa","Cañete",28,2010,297091.222119561
"148","Hombre","Completa","Cañete",28,2011,257699.196827478
"149","Hombre","Completa","Cañete",28,2012,324714.7291506
"150","Hombre","Completa","Cañete",28,2013,300245.820402678
"151","Hombre","Completa","Cañete",28,2014,300119.023796883
"152","Hombre","Completa","Cañete",28,2015,298413.938934402
"153","Hombre","Completa","Carahue",29,2010,137016.452114389
"154","Hombre","Completa","Carahue",29,2011,117830.490460693
"155","Hombre","Completa","Carahue",29,2012,135496.44591891
"156","Hombre","Completa","Carahue",29,2013,168149.2481207
"157","Hombre","Completa","Carahue",29,2014,202962.373696839
"158","Hombre","Completa","Carahue",29,2015,217438.266362961
"159","Hombre","Completa","Cartagena",30,2010,222877.652433732
"160","Hombre","Completa","Cartagena",30,2011,311002.726332612
"161","Hombre","Completa","Cartagena",30,2012,392907.03240059
"162","Hombre","Completa","Cartagena",30,2013,297113.756518612
"163","Hombre","Completa","Cartagena",30,2014,321606.3503969
"164","Hombre","Completa","Cartagena",30,2015,383703.806602924
"165","Hombre","Completa","Casablanca",31,2010,411922.30433697
"166","Hombre","Completa","Casablanca",31,2011,360178.371094607
"167","Hombre","Completa","Casablanca",31,2012,275068.406357388
"168","Hombre","Completa","Casablanca",31,2014,573762.082660181
"169","Hombre","Completa","Casablanca",31,2015,817651.424604615
"170","Hombre","Completa","Castro",32,2010,315892.055542379
