"","sex","geography_name","geography_id","year","ub_weighted_median"
"205","Hombre","Chañaral",39,2015,810143
"206","Hombre","Chanco",38,2010,161138
"207","Hombre","Chanco",38,2011,250000
"208","Hombre","Chanco",38,2012,233760
"209","Hombre","Chanco",38,2013,290953
"210","Hombre","Chanco",38,2014,300690
"211","Hombre","Chanco",38,2015,301665
"212","Hombre","Chépica",40,2010,298367
"213","Hombre","Chépica",40,2011,256261
"214","Hombre","Chépica",40,2012,251405
"215","Hombre","Chépica",40,2013,229969
"216","Hombre","Chépica",40,2014,391000
"217","Hombre","Chépica",40,2015,497660
"218","Hombre","Chiguayante",41,2010,323750
"219","Hombre","Chiguayante",41,2011,279063
"220","Hombre","Chiguayante",41,2012,310000
"221","Hombre","Chiguayante",41,2013,355481
"222","Hombre","Chiguayante",41,2014,420000
"223","Hombre","Chiguayante",41,2015,405249
"224","Hombre","Chile Chico",42,2010,288561
"225","Hombre","Chile Chico",42,2011,618726
"226","Hombre","Chile Chico",42,2012,724047
"227","Hombre","Chile Chico",42,2013,742861
"228","Hombre","Chile Chico",42,2014,643090
"229","Hombre","Chile Chico",42,2015,705131
"230","Hombre","Chillán",43,2010,275782
"231","Hombre","Chillán",43,2011,301450
"232","Hombre","Chillán",43,2012,343915
"233","Hombre","Chillán",43,2013,350000
"234","Hombre","Chillán",43,2014,361938
"235","Hombre","Chillán",43,2015,400415
"236","Hombre","Chillán Viejo",44,2010,249829
"237","Hombre","Chillán Viejo",44,2011,247175
"238","Hombre","Chillán Viejo",44,2012,270375
"239","Hombre","Chillán Viejo",44,2013,300000
"240","Hombre","Chillán Viejo",44,2014,289737
"241","Hombre","Chillán Viejo",44,2015,371745
"242","Hombre","Chimbarongo",45,2010,249888
"243","Hombre","Chimbarongo",45,2011,237480
"244","Hombre","Chimbarongo",45,2012,245517
"245","Hombre","Chimbarongo",45,2013,278943
"246","Hombre","Chimbarongo",45,2014,299944
"247","Hombre","Chimbarongo",45,2015,310120
"248","Hombre","Chonchi",47,2010,179719
"249","Hombre","Chonchi",47,2011,195387
"250","Hombre","Chonchi",47,2012,200000
"251","Hombre","Chonchi",47,2013,298495
"252","Hombre","Chonchi",47,2014,308217
"253","Hombre","Chonchi",47,2015,448000
"254","Hombre","Cisnes",48,2010,379113
"255","Hombre","Cisnes",48,2011,378785
"256","Hombre","Cisnes",48,2012,455755
"257","Hombre","Cisnes",48,2013,473692
"258","Hombre","Cisnes",48,2014,628638
"259","Hombre","Cisnes",48,2015,599920
"260","Hombre","Cochrane",51,2010,723604
"261","Hombre","Cochrane",51,2011,671286
"262","Hombre","Cochrane",51,2012,673470
"263","Hombre","Cochrane",51,2013,515000
"264","Hombre","Cochrane",51,2014,923000
"265","Hombre","Codegua",52,2010,360000
"266","Hombre","Codegua",52,2011,338613
"267","Hombre","Codegua",52,2012,400240
"268","Hombre","Codegua",52,2013,400000
"269","Hombre","Codegua",52,2014,395127
"270","Hombre","Codegua",52,2015,337188
"271","Hombre","Coelemu",53,2010,381214
"272","Hombre","Coelemu",53,2011,303720
"273","Hombre","Coelemu",53,2012,322514
"274","Hombre","Coelemu",53,2013,329707
"275","Hombre","Coelemu",53,2014,348693
"276","Hombre","Coelemu",53,2015,632567
"277","Hombre","Coihueco",55,2010,200196
"278","Hombre","Coihueco",55,2011,253088
"279","Hombre","Coihueco",55,2012,301464
"280","Hombre","Coihueco",55,2013,290393
"281","Hombre","Coihueco",55,2014,293023
"282","Hombre","Coihueco",55,2015,527111
"283","Hombre","Colbún",57,2010,188218
"284","Hombre","Colbún",57,2011,266759
"285","Hombre","Colbún",57,2012,297808
"286","Hombre","Colbún",57,2013,568047
"287","Hombre","Colbún",57,2014,550000
"288","Hombre","Colbún",57,2015,483602
