"","sex","work_day","geography_name","geography_id","year","weighted_mean"
"325","Hombre","Parcial","Arica","p151",2014,207244.118052932
"326","Hombre","Parcial","Arica","p151",2015,286133.982667228
"327","Hombre","Parcial","Aysén","p112",2010,201495.826494546
"328","Hombre","Parcial","Aysén","p112",2011,247658.300106941
"329","Hombre","Parcial","Aysén","p112",2012,287832.881773726
"330","Hombre","Parcial","Aysén","p112",2013,293353.105519917
"331","Hombre","Parcial","Aysén","p112",2014,451230.356253995
"332","Hombre","Parcial","Aysén","p112",2015,305879.840681875
"333","Hombre","Parcial","Bíobío","p83",2010,102307.667059468
"334","Hombre","Parcial","Bíobío","p83",2011,122056.481269155
"335","Hombre","Parcial","Bíobío","p83",2012,173384.484940347
"336","Hombre","Parcial","Bíobío","p83",2013,434509.594827127
"337","Hombre","Parcial","Bíobío","p83",2014,126862.96464072
"338","Hombre","Parcial","Bíobío","p83",2015,212153.511589125
"339","Hombre","Parcial","Cachapoal","p61",2010,150154.735994824
"340","Hombre","Parcial","Cachapoal","p61",2011,245778.990340969
"341","Hombre","Parcial","Cachapoal","p61",2012,203849.058888366
"342","Hombre","Parcial","Cachapoal","p61",2013,300410.439606103
"343","Hombre","Parcial","Cachapoal","p61",2014,291561.307857467
"344","Hombre","Parcial","Cachapoal","p61",2015,276462.471349372
"345","Hombre","Parcial","Capitán Prat","p113",2010,1269131.41182218
"346","Hombre","Parcial","Capitán Prat","p113",2011,222320.86721309
"347","Hombre","Parcial","Capitán Prat","p113",2014,153333.333333333
"348","Hombre","Parcial","Cardenal Caro","p62",2010,110603.634189143
"349","Hombre","Parcial","Cardenal Caro","p62",2011,181626.792756121
"350","Hombre","Parcial","Cardenal Caro","p62",2012,189186.558446146
"351","Hombre","Parcial","Cardenal Caro","p62",2013,222027.13804115
"352","Hombre","Parcial","Cardenal Caro","p62",2014,202943.371561235
"353","Hombre","Parcial","Cardenal Caro","p62",2015,260245.48636189
"354","Hombre","Parcial","Cauquenes","p72",2010,101964.158944497
"355","Hombre","Parcial","Cauquenes","p72",2011,219380.947378872
"356","Hombre","Parcial","Cauquenes","p72",2012,230099.155210992
"357","Hombre","Parcial","Cauquenes","p72",2013,124614.736804676
"358","Hombre","Parcial","Cauquenes","p72",2014,189599.813261072
"359","Hombre","Parcial","Cauquenes","p72",2015,181897.301073578
"360","Hombre","Parcial","Cautín","p91",2010,127303.318095055
"361","Hombre","Parcial","Cautín","p91",2011,170324.051577114
"362","Hombre","Parcial","Cautín","p91",2012,122548.488905053
"363","Hombre","Parcial","Cautín","p91",2013,187724.093541285
"364","Hombre","Parcial","Cautín","p91",2014,266015.279758654
"365","Hombre","Parcial","Cautín","p91",2015,183272.656543941
"366","Hombre","Parcial","Chacabuco","p133",2010,173215.904113448
"367","Hombre","Parcial","Chacabuco","p133",2011,108173.961319276
"368","Hombre","Parcial","Chacabuco","p133",2012,194774.368143388
"369","Hombre","Parcial","Chacabuco","p133",2013,204971.698741463
"370","Hombre","Parcial","Chacabuco","p133",2014,178528.464955448
"371","Hombre","Parcial","Chacabuco","p133",2015,158361.683044368
"372","Hombre","Parcial","Chañaral","p32",2010,20000
"373","Hombre","Parcial","Chañaral","p32",2011,72000
"374","Hombre","Parcial","Chañaral","p32",2012,211280.775201154
"375","Hombre","Parcial","Chañaral","p32",2014,467781.566373614
"376","Hombre","Parcial","Chañaral","p32",2015,179136.690731444
"377","Hombre","Parcial","Chiloé","p102",2010,98408.6008234116
"378","Hombre","Parcial","Chiloé","p102",2011,132825.777296919
"379","Hombre","Parcial","Chiloé","p102",2012,182109.730231376
