"","sex","work_day","geography_name","geography_id","year","lb_weighted_median"
"178","Hombre","Completa","Magallanes","p121",2014,449916
"179","Hombre","Completa","Magallanes","p121",2015,478641
"180","Hombre","Completa","Maipo","p134",2010,217851
"181","Hombre","Completa","Maipo","p134",2011,271150
"182","Hombre","Completa","Maipo","p134",2012,291308
"183","Hombre","Completa","Maipo","p134",2013,318792
"184","Hombre","Completa","Maipo","p134",2014,321584
"185","Hombre","Completa","Maipo","p134",2015,366487
"186","Hombre","Completa","Malleco","p92",2010,179888
"187","Hombre","Completa","Malleco","p92",2011,199361
"188","Hombre","Completa","Malleco","p92",2012,219101
"189","Hombre","Completa","Malleco","p92",2013,229360
"190","Hombre","Completa","Malleco","p92",2014,251233
"191","Hombre","Completa","Malleco","p92",2015,256283
"192","Hombre","Completa","Marga Marga","p58",2010,232017
"193","Hombre","Completa","Marga Marga","p58",2011,245600
"194","Hombre","Completa","Marga Marga","p58",2012,282251
"195","Hombre","Completa","Marga Marga","p58",2013,311350
"196","Hombre","Completa","Marga Marga","p58",2014,357488
"197","Hombre","Completa","Marga Marga","p58",2015,381525
"198","Hombre","Completa","Melipilla","p135",2010,193899
"199","Hombre","Completa","Melipilla","p135",2011,200000
"200","Hombre","Completa","Melipilla","p135",2012,214965
"201","Hombre","Completa","Melipilla","p135",2013,250411
"202","Hombre","Completa","Melipilla","p135",2014,281367
"203","Hombre","Completa","Melipilla","p135",2015,309668
"204","Hombre","Completa","Ñuble","p84",2010,180000
"205","Hombre","Completa","Ñuble","p84",2011,212137
"206","Hombre","Completa","Ñuble","p84",2012,251128
"207","Hombre","Completa","Ñuble","p84",2013,250994
"208","Hombre","Completa","Ñuble","p84",2014,270787
"209","Hombre","Completa","Ñuble","p84",2015,339272
"210","Hombre","Completa","Osorno","p103",2010,200196
"211","Hombre","Completa","Osorno","p103",2011,228323
"212","Hombre","Completa","Osorno","p103",2012,233067
"213","Hombre","Completa","Osorno","p103",2013,286380
"214","Hombre","Completa","Osorno","p103",2014,299944
"215","Hombre","Completa","Osorno","p103",2015,320487
"216","Hombre","Completa","Parinacota","p152",2010,79945
"217","Hombre","Completa","Parinacota","p152",2011,80596
"218","Hombre","Completa","Parinacota","p152",2012,103179
"219","Hombre","Completa","Parinacota","p152",2013,107015
"220","Hombre","Completa","Parinacota","p152",2014,76276
"221","Hombre","Completa","Parinacota","p152",2015,52704
"222","Hombre","Completa","Petorca","p54",2010,200183
"223","Hombre","Completa","Petorca","p54",2011,252403
"224","Hombre","Completa","Petorca","p54",2012,260777
"225","Hombre","Completa","Petorca","p54",2013,269179
"226","Hombre","Completa","Petorca","p54",2014,279954
"227","Hombre","Completa","Petorca","p54",2015,300081
"228","Hombre","Completa","Quillota","p55",2010,187988
"229","Hombre","Completa","Quillota","p55",2011,200967
"230","Hombre","Completa","Quillota","p55",2012,260000
"231","Hombre","Completa","Quillota","p55",2013,271822
"232","Hombre","Completa","Quillota","p55",2014,303127
"233","Hombre","Completa","Quillota","p55",2015,300508
"234","Hombre","Completa","Ranco","p142",2010,180471
"235","Hombre","Completa","Ranco","p142",2011,182000
"236","Hombre","Completa","Ranco","p142",2012,216426
"237","Hombre","Completa","Ranco","p142",2013,220857
"238","Hombre","Completa","Ranco","p142",2014,224959
"239","Hombre","Completa","Ranco","p142",2015,269671
"240","Hombre","Completa","San Antonio","p56",2010,200019
"241","Hombre","Completa","San Antonio","p56",2011,225307
"242","Hombre","Completa","San Antonio","p56",2012,234376
"243","Hombre","Completa","San Antonio","p56",2013,285000
"244","Hombre","Completa","San Antonio","p56",2014,300000
"245","Hombre","Completa","San Antonio","p56",2015,324386
"246","Hombre","Completa","San Felipe","p57",2010,201799
"247","Hombre","Completa","San Felipe","p57",2011,249201
"248","Hombre","Completa","San Felipe","p57",2012,262156
"249","Hombre","Completa","San Felipe","p57",2013,300407
"250","Hombre","Completa","San Felipe","p57",2014,316528
"251","Hombre","Completa","San Felipe","p57",2015,309246
"252","Hombre","Completa","Santiago","p131",2010,300000
"253","Hombre","Completa","Santiago","p131",2011,329446
"254","Hombre","Completa","Santiago","p131",2012,376681
"255","Hombre","Completa","Santiago","p131",2013,402043
"256","Hombre","Completa","Santiago","p131",2014,401484
"257","Hombre","Completa","Santiago","p131",2015,430019
"258","Hombre","Completa","Talagante","p136",2010,200196
"259","Hombre","Completa","Talagante","p136",2011,249201
"260","Hombre","Completa","Talagante","p136",2012,271518
"261","Hombre","Completa","Talagante","p136",2013,300407
"262","Hombre","Completa","Talagante","p136",2014,330432
"263","Hombre","Completa","Talagante","p136",2015,351426
"264","Hombre","Completa","Talca","p71",2010,200093
"265","Hombre","Completa","Talca","p71",2011,212793
"266","Hombre","Completa","Talca","p71",2012,240821
"267","Hombre","Completa","Talca","p71",2013,271726
"268","Hombre","Completa","Talca","p71",2014,299944
"269","Hombre","Completa","Talca","p71",2015,300000
"270","Hombre","Completa","Tamarugal","p12",2010,160157
"271","Hombre","Completa","Tamarugal","p12",2011,187904
"272","Hombre","Completa","Tamarugal","p12",2012,265881
"273","Hombre","Completa","Tamarugal","p12",2013,300407
"274","Hombre","Completa","Tamarugal","p12",2014,303127
"275","Hombre","Completa","Tamarugal","p12",2015,352506
"276","Hombre","Completa","Tierra del Fuego","p123",2010,300000
"277","Hombre","Completa","Tierra del Fuego","p123",2011,223200
"278","Hombre","Completa","Tierra del Fuego","p123",2012,290000
"279","Hombre","Completa","Tierra del Fuego","p123",2013,610000
"280","Hombre","Completa","Tierra del Fuego","p123",2014,405000
"281","Hombre","Completa","Tierra del Fuego","p123",2015,350000
"282","Hombre","Completa","Tocopilla","p23",2010,330840
"283","Hombre","Completa","Tocopilla","p23",2011,292418
"284","Hombre","Completa","Tocopilla","p23",2012,380000
"285","Hombre","Completa","Tocopilla","p23",2013,343468
"286","Hombre","Completa","Tocopilla","p23",2014,354632
"287","Hombre","Completa","Tocopilla","p23",2015,324392
"288","Hombre","Completa","Última Esperanza","p124",2010,200000
"289","Hombre","Completa","Última Esperanza","p124",2011,200967
"290","Hombre","Completa","Última Esperanza","p124",2012,300000
"291","Hombre","Completa","Última Esperanza","p124",2013,280626
"292","Hombre","Completa","Última Esperanza","p124",2014,303459
"293","Hombre","Completa","Última Esperanza","p124",2015,400355
"294","Hombre","Completa","Valdivia","p141",2010,208577
"295","Hombre","Completa","Valdivia","p141",2011,237476
"296","Hombre","Completa","Valdivia","p141",2012,276000
"297","Hombre","Completa","Valdivia","p141",2013,291644
"298","Hombre","Completa","Valdivia","p141",2014,320000
"299","Hombre","Completa","Valdivia","p141",2015,351426
"300","Hombre","Completa","Valparaíso","p51",2010,240048
"301","Hombre","Completa","Valparaíso","p51",2011,299041
"302","Hombre","Completa","Valparaíso","p51",2012,300000
"303","Hombre","Completa","Valparaíso","p51",2013,384227
"304","Hombre","Completa","Valparaíso","p51",2014,404169
"305","Hombre","Completa","Valparaíso","p51",2015,400000
"306","Hombre","Completa",NA,NA,2010,153229
"307","Hombre","Completa",NA,NA,2011,181498
"308","Hombre","Completa",NA,NA,2012,166853
"309","Hombre","Parcial","Antofagasta","p21",2010,136255
"310","Hombre","Parcial","Antofagasta","p21",2011,169437
"311","Hombre","Parcial","Antofagasta","p21",2012,114325
"312","Hombre","Parcial","Antofagasta","p21",2013,134490
"313","Hombre","Parcial","Antofagasta","p21",2014,80834
"314","Hombre","Parcial","Antofagasta","p21",2015,171811
"315","Hombre","Parcial","Arauco","p82",2010,45621
"316","Hombre","Parcial","Arauco","p82",2011,48116
"317","Hombre","Parcial","Arauco","p82",2012,40225
"318","Hombre","Parcial","Arauco","p82",2013,44986
