"","sex","work_day","geography_name","geography_id","year","lb_weighted_median"
"1451","Hombre","Completa","San Ignacio",288,2011,258172
"1452","Hombre","Completa","San Ignacio",288,2013,100000
"1453","Hombre","Completa","San Ignacio",288,2014,66873
"1454","Hombre","Completa","San Ignacio",288,2015,115566
"1455","Hombre","Completa","San Javier",289,2010,150570
"1456","Hombre","Completa","San Javier",289,2011,140026
"1457","Hombre","Completa","San Javier",289,2012,202797
"1458","Hombre","Completa","San Javier",289,2013,209207
"1459","Hombre","Completa","San Javier",289,2014,225214
"1460","Hombre","Completa","San Javier",289,2015,251009
"1461","Hombre","Completa","San Joaquín",290,2010,219850
"1462","Hombre","Completa","San Joaquín",290,2011,249201
"1463","Hombre","Completa","San Joaquín",290,2012,303514
"1464","Hombre","Completa","San Joaquín",290,2013,299079
"1465","Hombre","Completa","San Joaquín",290,2014,262583
"1466","Hombre","Completa","San Joaquín",290,2015,376374
"1467","Hombre","Completa","San José de Maipo",291,2010,244326
"1468","Hombre","Completa","San José de Maipo",291,2011,230852
"1469","Hombre","Completa","San José de Maipo",291,2012,301686
"1470","Hombre","Completa","San José de Maipo",291,2013,340948
"1471","Hombre","Completa","San José de Maipo",291,2014,291903
"1472","Hombre","Completa","San José de Maipo",291,2015,372914
"1473","Hombre","Completa","San Juan de la Costa",292,2010,99932
"1474","Hombre","Completa","San Juan de la Costa",292,2011,92153
"1475","Hombre","Completa","San Juan de la Costa",292,2012,56417
"1476","Hombre","Completa","San Juan de la Costa",292,2013,96680
"1477","Hombre","Completa","San Juan de la Costa",292,2014,99913
"1478","Hombre","Completa","San Juan de la Costa",292,2015,204353
"1479","Hombre","Completa","San Miguel",293,2013,428195
"1480","Hombre","Completa","San Miguel",293,2014,333145
"1481","Hombre","Completa","San Miguel",293,2015,250000
"1482","Hombre","Completa","SAN MIGUEL",NA,2010,272025
"1483","Hombre","Completa","SAN MIGUEL",NA,2011,267286
"1484","Hombre","Completa","SAN MIGUEL",NA,2012,301288
"1485","Hombre","Completa","San Nicolás",294,2010,89938
"1486","Hombre","Completa","San Nicolás",294,2011,148354
"1487","Hombre","Completa","San Nicolás",294,2012,239338
"1488","Hombre","Completa","San Nicolás",294,2013,170331
"1489","Hombre","Completa","San Nicolás",294,2014,229871
"1490","Hombre","Completa","San Pablo",295,2010,99000
"1491","Hombre","Completa","San Pablo",295,2011,159394
"1492","Hombre","Completa","San Pablo",295,2012,149147
"1493","Hombre","Completa","San Pablo",295,2013,170000
"1494","Hombre","Completa","San Pablo",295,2014,239050
"1495","Hombre","Completa","San Pablo",295,2015,251595
"1496","Hombre","Completa","San Pedro",296,2010,200112
"1497","Hombre","Completa","San Pedro",296,2011,199872
"1498","Hombre","Completa","San Pedro",296,2012,211184
"1499","Hombre","Completa","San Pedro",296,2013,204363
"1500","Hombre","Completa","San Pedro",296,2014,279947
"1501","Hombre","Completa","San Pedro",296,2015,273386
"1502","Hombre","Completa","San Pedro de Atacama",297,2010,300000
"1503","Hombre","Completa","San Pedro de Atacama",297,2011,290000
"1504","Hombre","Completa","San Pedro de la Paz",298,2010,200196
"1505","Hombre","Completa","San Pedro de la Paz",298,2011,478466
"1506","Hombre","Completa","San Pedro de la Paz",298,2012,301353
"1507","Hombre","Completa","San Pedro de la Paz",298,2013,351506
"1508","Hombre","Completa","San Pedro de la Paz",298,2014,377212
"1509","Hombre","Completa","San Pedro de la Paz",298,2015,486976
"1510","Hombre","Completa","San Ramón",300,2010,190000
"1511","Hombre","Completa","San Ramón",300,2011,219161
"1512","Hombre","Completa","San Ramón",300,2012,245073
"1513","Hombre","Completa","San Ramón",300,2013,274595
"1514","Hombre","Completa","San Ramón",300,2014,351470
"1515","Hombre","Completa","San Ramón",300,2015,351116
"1516","Hombre","Completa","San Vicente",302,2010,173720
"1517","Hombre","Completa","San Vicente",302,2011,189393
"1518","Hombre","Completa","San Vicente",302,2012,198051
"1519","Hombre","Completa","San Vicente",302,2013,209207
"1520","Hombre","Completa","San Vicente",302,2014,224958
"1521","Hombre","Completa","San Vicente",302,2015,241065
"1522","Hombre","Completa","Santa Bárbara",303,2010,172000
"1523","Hombre","Completa","Santa Bárbara",303,2013,70646
"1524","Hombre","Completa","Santa Bárbara",303,2014,70730
"1525","Hombre","Completa","Santa Bárbara",303,2015,50204
"1526","Hombre","Completa","Santa Cruz",304,2010,171882
"1527","Hombre","Completa","Santa Cruz",304,2011,200000
"1528","Hombre","Completa","Santa Cruz",304,2012,203865
"1529","Hombre","Completa","Santa Cruz",304,2013,223098
"1530","Hombre","Completa","Santa Cruz",304,2014,264252
"1531","Hombre","Completa","Santa Cruz",304,2015,254380
"1532","Hombre","Completa","Santa Juana",305,2010,213600
"1533","Hombre","Completa","Santa Juana",305,2011,241160
"1534","Hombre","Completa","Santa Juana",305,2012,220997
"1535","Hombre","Completa","Santa Juana",305,2013,290393
"1536","Hombre","Completa","Santa Juana",305,2014,261050
"1537","Hombre","Completa","Santa Juana",305,2015,305178
"1538","Hombre","Completa","Santa María",306,2010,172168
"1539","Hombre","Completa","Santa María",306,2013,329196
"1540","Hombre","Completa","Santa María",306,2014,287970
"1541","Hombre","Completa","Santa María",306,2015,230937
"1542","Hombre","Completa","Santiago",307,2010,299906
"1543","Hombre","Completa","Santiago",307,2011,287059
"1544","Hombre","Completa","Santiago",307,2012,273670
"1545","Hombre","Completa","Santiago",307,2013,494040
"1546","Hombre","Completa","Santiago",307,2014,404169
"1547","Hombre","Completa","Santiago",307,2015,427032
"1548","Hombre","Completa","Sierra Gorda",309,2011,376812
"1549","Hombre","Completa","Sierra Gorda",309,2012,305269
"1550","Hombre","Completa","Sierra Gorda",309,2013,600813
"1551","Hombre","Completa","Talagante",310,2010,220170
"1552","Hombre","Completa","Talagante",310,2011,291679
"1553","Hombre","Completa","Talagante",310,2012,300000
"1554","Hombre","Completa","Talagante",310,2013,338838
"1555","Hombre","Completa","Talagante",310,2014,351212
"1556","Hombre","Completa","Talagante",310,2015,368018
"1557","Hombre","Completa","Talca",311,2010,203152
"1558","Hombre","Completa","Talca",311,2011,223382
"1559","Hombre","Completa","Talca",311,2012,250838
"1560","Hombre","Completa","Talca",311,2013,300000
"1561","Hombre","Completa","Talca",311,2014,349978
"1562","Hombre","Completa","Talca",311,2015,330000
"1563","Hombre","Completa","Talcahuano",312,2013,336455
"1564","Hombre","Completa","Talcahuano",312,2014,322939
"1565","Hombre","Completa","Talcahuano",312,2015,413995
"1566","Hombre","Completa","TALCAHUANO",NA,2010,281772
"1567","Hombre","Completa","TALCAHUANO",NA,2011,288542
"1568","Hombre","Completa","TALCAHUANO",NA,2012,280831
"1569","Hombre","Completa","Taltal",313,2010,300000
"1570","Hombre","Completa","Taltal",313,2011,300000
"1571","Hombre","Completa","Taltal",313,2012,300369
"1572","Hombre","Completa","Taltal",313,2013,361691
"1573","Hombre","Completa","Taltal",313,2014,349030
"1574","Hombre","Completa","Taltal",313,2015,400000
"1575","Hombre","Completa","Temuco",314,2010,202861
"1576","Hombre","Completa","Temuco",314,2011,251208
"1577","Hombre","Completa","Temuco",314,2012,300000
"1578","Hombre","Completa","Temuco",314,2013,273391
"1579","Hombre","Completa","Temuco",314,2014,304055
"1580","Hombre","Completa","Temuco",314,2015,350095
"1581","Hombre","Completa","Teno",315,2010,165161
"1582","Hombre","Completa","Teno",315,2011,181700
"1583","Hombre","Completa","Teno",315,2012,219000
"1584","Hombre","Completa","Teno",315,2013,211800
"1585","Hombre","Completa","Teno",315,2014,233291
"1586","Hombre","Completa","Teno",315,2015,216800
"1587","Hombre","Completa","Teodoro Schmidt",316,2010,52551
"1588","Hombre","Completa","Teodoro Schmidt",316,2011,10048
"1589","Hombre","Completa","Teodoro Schmidt",316,2012,70393
"1590","Hombre","Completa","Teodoro Schmidt",316,2013,73108
"1591","Hombre","Completa","Teodoro Schmidt",316,2014,87805
"1592","Hombre","Completa","Teodoro Schmidt",316,2015,70266
"1593","Hombre","Completa","Tierra Amarilla",317,2010,274812
"1594","Hombre","Completa","Tierra Amarilla",317,2011,271023
"1595","Hombre","Completa","Tierra Amarilla",317,2012,301353
"1596","Hombre","Completa","Tierra Amarilla",317,2013,350474
"1597","Hombre","Completa","Tierra Amarilla",317,2014,211910
"1598","Hombre","Completa","Tierra Amarilla",317,2015,394920
"1599","Hombre","Completa","Tiltil",318,2010,199430
"1600","Hombre","Completa","Tiltil",318,2011,200000
"1601","Hombre","Completa","Tiltil",318,2012,227972
"1602","Hombre","Completa","Tiltil",318,2013,278217
"1603","Hombre","Completa","Tiltil",318,2014,300000
"1604","Hombre","Completa","Tiltil",318,2015,300000
"1605","Hombre","Completa","Tirúa",320,2010,93311
"1606","Hombre","Completa","Tirúa",320,2011,58886
"1607","Hombre","Completa","Tocopilla",321,2010,365128
"1608","Hombre","Completa","Tocopilla",321,2011,292418
"1609","Hombre","Completa","Tocopilla",321,2012,380000
"1610","Hombre","Completa","Tocopilla",321,2013,343468
"1611","Hombre","Completa","Tocopilla",321,2014,354632
"1612","Hombre","Completa","Tocopilla",321,2015,324392
"1613","Hombre","Completa","Tomé",323,2010,150147
"1614","Hombre","Completa","Tomé",323,2011,199361
"1615","Hombre","Completa","Tomé",323,2012,190230
"1616","Hombre","Completa","Tomé",323,2013,220484
"1617","Hombre","Completa","Tomé",323,2014,294637
"1618","Hombre","Completa","Tomé",323,2015,255613
"1619","Hombre","Completa","TRAIGUEN",NA,2010,131704
"1620","Hombre","Completa","TRAIGUEN",NA,2011,105457
"1621","Hombre","Completa","TRAIGUEN",NA,2012,150312
"1622","Hombre","Completa","Traiguén",326,2013,224811
"1623","Hombre","Completa","Traiguén",326,2014,225559
"1624","Hombre","Completa","Traiguén",326,2015,214017
"1625","Hombre","Completa","Tucapel",328,2010,145269
"1626","Hombre","Completa","Tucapel",328,2011,153327
"1627","Hombre","Completa","Tucapel",328,2012,157120
"1628","Hombre","Completa","Tucapel",328,2013,209207
"1629","Hombre","Completa","Valdivia",329,2010,241009
"1630","Hombre","Completa","Valdivia",329,2011,258211
"1631","Hombre","Completa","Valdivia",329,2012,292717
"1632","Hombre","Completa","Valdivia",329,2013,299612
"1633","Hombre","Completa","Valdivia",329,2014,353962
"1634","Hombre","Completa","Valdivia",329,2015,384418
"1635","Hombre","Completa","Vallenar",330,2010,200196
"1636","Hombre","Completa","Vallenar",330,2011,254393
"1637","Hombre","Completa","Vallenar",330,2012,301686
"1638","Hombre","Completa","Vallenar",330,2013,291838
"1639","Hombre","Completa","Vallenar",330,2014,320249
"1640","Hombre","Completa","Vallenar",330,2015,300401
"1641","Hombre","Completa","Valparaíso",331,2010,213807
"1642","Hombre","Completa","Valparaíso",331,2011,267320
"1643","Hombre","Completa","Valparaíso",331,2012,299105
"1644","Hombre","Completa","Valparaíso",331,2013,300317
"1645","Hombre","Completa","Valparaíso",331,2014,325525
"1646","Hombre","Completa","Valparaíso",331,2015,399730
"1647","Hombre","Completa","Vichuquén",332,2010,60661
"1648","Hombre","Completa","Vichuquén",332,2011,49840
"1649","Hombre","Completa","Victoria",333,2010,179330
"1650","Hombre","Completa","Victoria",333,2011,182417
"1651","Hombre","Completa","Victoria",333,2012,183975
"1652","Hombre","Completa","Victoria",333,2013,194503
"1653","Hombre","Completa","Victoria",333,2014,239291
"1654","Hombre","Completa","Victoria",333,2015,246811
"1655","Hombre","Completa","Vicuña",334,2010,177400
"1656","Hombre","Completa","Vicuña",334,2011,203249
"1657","Hombre","Completa","Vicuña",334,2012,209169
"1658","Hombre","Completa","Vicuña",334,2013,210285
"1659","Hombre","Completa","Vicuña",334,2014,278632
"1660","Hombre","Completa","Vicuña",334,2015,240357
"1661","Hombre","Completa","Villa Alegre",336,2010,170690
"1662","Hombre","Completa","Villa Alegre",336,2011,162000
"1663","Hombre","Completa","Villa Alegre",336,2012,159819
"1664","Hombre","Completa","Villa Alegre",336,2013,200000
"1665","Hombre","Completa","Villa Alegre",336,2014,180000
"1666","Hombre","Completa","Villa Alemana",337,2010,225687
"1667","Hombre","Completa","Villa Alemana",337,2011,236812
"1668","Hombre","Completa","Villa Alemana",337,2012,281101
"1669","Hombre","Completa","Villa Alemana",337,2013,325610
"1670","Hombre","Completa","Villa Alemana",337,2014,378908
"1671","Hombre","Completa","Villa Alemana",337,2015,381548
