"","sex","geography_name","geography_id","year","weighted_median"
"105","Hombre","Cordillera","p152",2013,350474.469046545
"106","Hombre","Cordillera","p152",2014,400000
"107","Hombre","Cordillera","p152",2015,463125.293162549
"108","Hombre","Coyhaique","p111",2010,316108.272519772
"109","Hombre","Coyhaique","p111",2011,321546.626231994
"110","Hombre","Coyhaique","p111",2012,321798.746774787
"111","Hombre","Coyhaique","p111",2013,349811.331437927
"112","Hombre","Coyhaique","p111",2014,353647.9060072
"113","Hombre","Coyhaique","p111",2015,481955.813111194
"114","Hombre","Curicó","p73",2010,200121.063239207
"115","Hombre","Curicó","p73",2011,200000
"116","Hombre","Curicó","p73",2012,242086.984536082
"117","Hombre","Curicó","p73",2013,278942.636216508
"118","Hombre","Curicó","p73",2014,276367.811475339
"119","Hombre","Curicó","p73",2015,321636.505107759
"120","Hombre","El Loa","p22",2010,464783.660134562
"121","Hombre","El Loa","p22",2011,498401.805020212
"122","Hombre","El Loa","p22",2012,606968.007535166
"123","Hombre","El Loa","p22",2013,796978.960618594
"124","Hombre","El Loa","p22",2014,799870.558927435
"125","Hombre","El Loa","p22",2015,700189.428107526
"126","Hombre","Elqui","p41",2010,250618.616285209
"127","Hombre","Elqui","p41",2011,299041.083012127
"128","Hombre","Elqui","p41",2012,370137.188860912
"129","Hombre","Elqui","p41",2013,350474.469046545
"130","Hombre","Elqui","p41",2014,399924.995312207
"131","Hombre","Elqui","p41",2015,400000
"132","Hombre","General Carrera","p114",2010,199863.214460186
"133","Hombre","General Carrera","p114",2011,286753.10732271
"134","Hombre","General Carrera","p114",2012,482698.120162181
"135","Hombre","General Carrera","p114",2013,500322.771895001
"136","Hombre","General Carrera","p114",2014,309574.398223648
"137","Hombre","General Carrera","p114",2015,381076.392250596
"138","Hombre","Huasco","p33",2010,240205.040449842
"139","Hombre","Huasco","p33",2011,260657.488537877
"140","Hombre","Huasco","p33",2012,300333.470851071
"141","Hombre","Huasco","p33",2013,298867.110231973
"142","Hombre","Huasco","p33",2014,323335.22834944
"143","Hombre","Huasco","p33",2015,316973.525779449
"144","Hombre","Iquique","p11",2010,304174.890647966
"145","Hombre","Iquique","p11",2011,350000
"146","Hombre","Iquique","p11",2012,401413.828636583
"147","Hombre","Iquique","p11",2013,410000
"148","Hombre","Iquique","p11",2014,499945.785958603
"149","Hombre","Iquique","p11",2015,428034.428665587
"150","Hombre","Limarí","p43",2010,200195.73302016
"151","Hombre","Limarí","p43",2011,219296.794208893
"152","Hombre","Limarí","p43",2012,250928.756277288
"153","Hombre","Limarí","p43",2013,297559.754786483
"154","Hombre","Limarí","p43",2014,289040.108121185
"155","Hombre","Limarí","p43",2015,280000
"156","Hombre","Linares","p74",2010,169883.732291158
"157","Hombre","Linares","p74",2011,179436.721955676
"158","Hombre","Linares","p74",2012,200000
"159","Hombre","Linares","p74",2013,210000
"160","Hombre","Linares","p74",2014,239959.312205009
"161","Hombre","Linares","p74",2015,280125.279185887
"162","Hombre","Llanquihue","p101",2010,245639.015324254
"163","Hombre","Llanquihue","p101",2011,299041.083012127
"164","Hombre","Llanquihue","p101",2012,300000
"165","Hombre","Llanquihue","p101",2013,300406.687754181
"166","Hombre","Llanquihue","p101",2014,345403.451863414
"167","Hombre","Llanquihue","p101",2015,395367.175170379
"168","Hombre","Los Andes","p53",2010,311653.978533334
"169","Hombre","Los Andes","p53",2011,318977.155212936
"170","Hombre","Los Andes","p53",2012,349631.133842166
"171","Hombre","Los Andes","p53",2013,377266.854889692
"172","Hombre","Los Andes","p53",2014,399924.995312207
"173","Hombre","Los Andes","p53",2015,400089.644726403
"174","Hombre","Magallanes","p121",2010,400007.739524239
"175","Hombre","Magallanes","p121",2011,452174.943138741
"176","Hombre","Magallanes","p121",2012,482164.948453608
"177","Hombre","Magallanes","p121",2013,500000
"178","Hombre","Magallanes","p121",2014,455014.546421549
"179","Hombre","Magallanes","p121",2015,520678.331534233
"180","Hombre","Maipo","p134",2010,230000
"181","Hombre","Maipo","p134",2011,279105.010811319
"182","Hombre","Maipo","p134",2012,295592.926680686
"183","Hombre","Maipo","p134",2013,331198.456111312
"184","Hombre","Maipo","p134",2014,349934.370898181
"185","Hombre","Maipo","p134",2015,372173.135487705
"186","Hombre","Malleco","p92",2010,179876.893014167
"187","Hombre","Malleco","p92",2011,200000
"188","Hombre","Malleco","p92",2012,206169.019442751
"189","Hombre","Malleco","p92",2013,230000
"190","Hombre","Malleco","p92",2014,263206.778943195
"191","Hombre","Malleco","p92",2015,251758.507154336
"192","Hombre","Marga Marga","p58",2010,250000
"193","Hombre","Marga Marga","p58",2011,249200.902510106
"194","Hombre","Marga Marga","p58",2012,290886.655312171
"195","Hombre","Marga Marga","p58",2013,320433.800271126
"196","Hombre","Marga Marga","p58",2014,398441.927786569
"197","Hombre","Marga Marga","p58",2015,400000
"198","Hombre","Melipilla","p135",2010,199863.214460186
"199","Hombre","Melipilla","p135",2011,210304.57022074
"200","Hombre","Melipilla","p135",2012,240000
"201","Hombre","Melipilla","p135",2013,285484.082448206
"202","Hombre","Melipilla","p135",2014,300000
"203","Hombre","Melipilla","p135",2015,350094.714053763
"204","Hombre","Ñuble","p84",2010,180176.159718144
"205","Hombre","Ñuble","p84",2011,229929.968519651
