"","sexo","rama","provincia","2011","2013","2015"
"122","Hombre","Agricultura, Ganadería, Caza y Silvicultura","Cauquenes",164100,210000,240000
"123","Hombre","Pesca","Cauquenes",195130,250000,175000
"124","Hombre","Explotación de Minas y Canteras","Cauquenes",318150,225000,350000
"125","Hombre","Industrias Manufactureras","Cauquenes",188168,225000,260000
"126","Hombre","Electricidad, Gas y Agua","Cauquenes",218800,210000,NA
"127","Hombre","Construcción","Cauquenes",199108,210000,253500
"128","Hombre","Comercio","Cauquenes",204578,210000,255000
"129","Hombre","Hoteles y Restaurantes","Cauquenes",205400,210000,241000
"130","Hombre","Transporte, Almacenamiento y Comunicaciones","Cauquenes",199108,210000,3e+05
"131","Hombre","Actividades Inmobiliarias, Empresariales y de Alquiler","Cauquenes",513500,2e+05,230000
"132","Hombre","Administración Pública y Defensa","Cauquenes",204578,450000,390000
"133","Hombre","Enseñanza","Cauquenes",328200,3e+05,220000
"134","Hombre","Servicios Sociales y de Salud","Cauquenes",393840,7e+05,250000
"135","Hombre","Servicios Comunitarios, Sociales y Personales","Cauquenes",199108,280000,225000
"136","Hombre","Servicio Doméstico","Cauquenes",87520,1e+05,NA
"137","Hombre","Agricultura, Ganadería, Caza y Silvicultura","Cautín",188168,190000,2e+05
"138","Hombre","Pesca","Cautín",246150,210000,244000
"139","Hombre","Explotación de Minas y Canteras","Cautín",437600,450000,3e+05
"140","Hombre","Industrias Manufactureras","Cautín",205400,210000,250000
"141","Hombre","Electricidad, Gas y Agua","Cautín",199108,263000,250000
"142","Hombre","Construcción","Cautín",218800,218500,275515
"143","Hombre","Comercio","Cautín",207313,210000,244000
"144","Hombre","Hoteles y Restaurantes","Cautín",211858,210000,250000
"145","Hombre","Transporte, Almacenamiento y Comunicaciones","Cautín",262560,250000,280000
"146","Hombre","Intermediación Financiera","Cautín",481360,4e+05,5e+05
"147","Hombre","Actividades Inmobiliarias, Empresariales y de Alquiler","Cautín",218800,350000,380000
"148","Hombre","Administración Pública y Defensa","Cautín",328200,450000,4e+05
"149","Hombre","Enseñanza","Cautín",328200,4e+05,5e+05
"150","Hombre","Servicios Sociales y de Salud","Cautín",350080,4e+05,365000
"151","Hombre","Servicios Comunitarios, Sociales y Personales","Cautín",210048,210000,250000
"152","Hombre","Servicio Doméstico","Cautín",180620,2e+05,205000
"153","Hombre","Organizaciones y órganos Extraterritoriales","Cautín",525120,NA,NA
"154","Hombre","Agricultura, Ganadería, Caza y Silvicultura","Chacabuco",205400,210000,255000
"155","Hombre","Explotación de Minas y Canteras","Chacabuco",376310,400400,550000
"156","Hombre","Industrias Manufactureras","Chacabuco",273500,3e+05,350000
"157","Hombre","Construcción","Chacabuco",328200,3e+05,4e+05
"158","Hombre","Comercio","Chacabuco",273500,280000,258639
"159","Hombre","Hoteles y Restaurantes","Chacabuco",218800,280000,3e+05
"160","Hombre","Transporte, Almacenamiento y Comunicaciones","Chacabuco",376310,350000,4e+05
"161","Hombre","Intermediación Financiera","Chacabuco",229740,370000,8e+05
"162","Hombre","Actividades Inmobiliarias, Empresariales y de Alquiler","Chacabuco",439981,370000,4e+05
"163","Hombre","Administración Pública y Defensa","Chacabuco",464950,3e+05,490000
"164","Hombre","Enseñanza","Chacabuco",218800,3e+05,350000
"165","Hombre","Servicios Sociales y de Salud","Chacabuco",311790,264500,325000
"166","Hombre","Servicios Comunitarios, Sociales y Personales","Chacabuco",218800,230000,365000
"167","Hombre","Servicio Doméstico","Chacabuco",278970,240000,3e+05
"168","Hombre","Agricultura, Ganadería, Caza y Silvicultura","Chañaral",382900,NA,2e+05
"169","Hombre","Pesca","Chañaral",286468,280000,180000
"170","Hombre","Explotación de Minas y Canteras","Chañaral",463521,5e+05,5e+05
"171","Hombre","Industrias Manufactureras","Chañaral",437600,250000,4e+05
"172","Hombre","Electricidad, Gas y Agua","Chañaral",311790,6e+05,285000
"173","Hombre","Construcción","Chañaral",350080,250000,3e+05
"174","Hombre","Comercio","Chañaral",382900,230000,3e+05
"175","Hombre","Hoteles y Restaurantes","Chañaral",350080,210000,4e+05
"176","Hombre","Transporte, Almacenamiento y Comunicaciones","Chañaral",390260,5e+05,450000
"177","Hombre","Intermediación Financiera","Chañaral",2188000,NA,NA
"178","Hombre","Actividades Inmobiliarias, Empresariales y de Alquiler","Chañaral",459480,375000,430000
"179","Hombre","Administración Pública y Defensa","Chañaral",382900,4e+05,480000
"180","Hombre","Enseñanza","Chañaral",391652,575000,662500
"181","Hombre","Servicios Sociales y de Salud","Chañaral",547000,480000,350000
"182","Hombre","Servicios Comunitarios, Sociales y Personales","Chañaral",382900,205000,315000
"183","Hombre","Servicio Doméstico","Chañaral",382900,NA,45000
"184","Hombre","Agricultura, Ganadería, Caza y Silvicultura","Chiloé",205400,110326,150000
"185","Hombre","Pesca","Chiloé",215990,2e+05,250000
"186","Hombre","Explotación de Minas y Canteras","Chiloé",235210,NA,3e+05
"187","Hombre","Industrias Manufactureras","Chiloé",218800,240000,261806
"188","Hombre","Electricidad, Gas y Agua","Chiloé",194732,280000,241000
"189","Hombre","Construcción","Chiloé",232640,210000,250000
"190","Hombre","Comercio","Chiloé",218800,210000,250000
"191","Hombre","Hoteles y Restaurantes","Chiloé",214830,209864,241000
"192","Hombre","Transporte, Almacenamiento y Comunicaciones","Chiloé",328200,260000,3e+05
"193","Hombre","Intermediación Financiera","Chiloé",896400,628354,534940
"194","Hombre","Actividades Inmobiliarias, Empresariales y de Alquiler","Chiloé",196920,267000,398438
"195","Hombre","Administración Pública y Defensa","Chiloé",500505,3e+05,550000
"196","Hombre","Enseñanza","Chiloé",519650,402000,5e+05
"197","Hombre","Servicios Sociales y de Salud","Chiloé",417361,5e+05,6e+05
"198","Hombre","Servicios Comunitarios, Sociales y Personales","Chiloé",199983,210000,309000
"199","Hombre","Servicio Doméstico","Chiloé",123240,150000,120000
"200","Hombre","Agricultura, Ganadería, Caza y Silvicultura","Choapa",199108,2e+05,240500
"201","Hombre","Pesca","Choapa",246480,135000,290000
"202","Hombre","Explotación de Minas y Canteras","Choapa",328200,4e+05,480000
"203","Hombre","Industrias Manufactureras","Choapa",344640,273000,241000
"204","Hombre","Electricidad, Gas y Agua","Choapa",251620,380000,450000
"205","Hombre","Construcción","Choapa",259912,280000,250000
"206","Hombre","Comercio","Choapa",220972,210000,240000
"207","Hombre","Hoteles y Restaurantes","Choapa",212766,215000,4e+05
"208","Hombre","Transporte, Almacenamiento y Comunicaciones","Choapa",369720,3e+05,3e+05
"209","Hombre","Actividades Inmobiliarias, Empresariales y de Alquiler","Choapa",719305,440000,305000
"210","Hombre","Administración Pública y Defensa","Choapa",547000,475000,367500
"211","Hombre","Enseñanza","Choapa",218800,230000,5e+05
"212","Hombre","Servicios Sociales y de Salud","Choapa",264872,480000,8e+05
"213","Hombre","Servicio Doméstico","Choapa",164320,218500,195000
"214","Hombre","Agricultura, Ganadería, Caza y Silvicultura","Colchagua",196920,210000,242000
"215","Hombre","Explotación de Minas y Canteras","Colchagua",281158,450000,3e+05
"216","Hombre","Industrias Manufactureras","Colchagua",199108,210000,3e+05
"217","Hombre","Electricidad, Gas y Agua","Colchagua",325459,235000,323000
"218","Hombre","Construcción","Colchagua",218800,210000,250000
"219","Hombre","Comercio","Colchagua",198423,210000,250000
"220","Hombre","Hoteles y Restaurantes","Colchagua",262560,250000,240000
"221","Hombre","Transporte, Almacenamiento y Comunicaciones","Colchagua",240680,227000,3e+05
"222","Hombre","Intermediación Financiera","Colchagua",239983,8e+05,515000
"223","Hombre","Actividades Inmobiliarias, Empresariales y de Alquiler","Colchagua",229740,5e+05,520000
"224","Hombre","Administración Pública y Defensa","Colchagua",361020,335000,450000
"225","Hombre","Enseñanza","Colchagua",459480,420000,452500
"226","Hombre","Servicios Sociales y de Salud","Colchagua",765800,380000,350000
"227","Hombre","Servicios Comunitarios, Sociales y Personales","Colchagua",196920,210000,250000
"228","Hombre","Servicio Doméstico","Colchagua",205400,210000,241000
"229","Hombre","Organizaciones y órganos Extraterritoriales","Colchagua",547000,NA,NA
