"","sexo","region","rama","2011","2013","2015"
"371","Mujer","Coquimbo","Transporte, Almacenamiento y Comunicaciones",199108,282340,3e+05
"372","Mujer","Los Lagos","Transporte, Almacenamiento y Comunicaciones",240680,210000,250000
"373","Mujer","Los Ríos","Transporte, Almacenamiento y Comunicaciones",295380,210000,250000
"374","Mujer","Magallanes","Transporte, Almacenamiento y Comunicaciones",278970,3e+05,325000
"375","Mujer","Maule","Transporte, Almacenamiento y Comunicaciones",257090,210000,250000
"376","Mujer","Metropolitana","Transporte, Almacenamiento y Comunicaciones",262560,3e+05,350000
"377","Mujer","O'Higgins","Transporte, Almacenamiento y Comunicaciones",215518,210000,255000
"378","Mujer","Tarapacá","Transporte, Almacenamiento y Comunicaciones",276942,3e+05,3e+05
"379","Mujer","Valparaíso","Transporte, Almacenamiento y Comunicaciones",278970,290000,270000
"380","Mujer","Antofagasta","Intermediación Financiera",382900,5e+05,550000
"381","Mujer","Araucanía","Intermediación Financiera",328200,4e+05,380000
"382","Mujer","Arica y Parinacota","Intermediación Financiera",273500,290000,850000
"383","Mujer","Atacama","Intermediación Financiera",382900,5e+05,4e+05
"384","Mujer","Aysén","Intermediación Financiera",426660,362500,490000
"385","Mujer","Bíobío","Intermediación Financiera",410800,4e+05,350000
"386","Mujer","Coquimbo","Intermediación Financiera",274336,415000,425000
"387","Mujer","Los Lagos","Intermediación Financiera",410250,410000,4e+05
"388","Mujer","Los Ríos","Intermediación Financiera",328200,4e+05,4e+05
"389","Mujer","Magallanes","Intermediación Financiera",328200,420000,530000
"390","Mujer","Maule","Intermediación Financiera",328200,350000,425000
"391","Mujer","Metropolitana","Intermediación Financiera",437600,5e+05,6e+05
"392","Mujer","O'Higgins","Intermediación Financiera",273500,350000,4e+05
"393","Mujer","Tarapacá","Intermediación Financiera",421190,490000,510000
"394","Mujer","Valparaíso","Intermediación Financiera",492300,4e+05,450000
"395","Mujer","Antofagasta","Actividades Inmobiliarias, Empresariales y de Alquiler",328200,3e+05,350000
"396","Mujer","Araucanía","Actividades Inmobiliarias, Empresariales y de Alquiler",201296,210000,250000
"397","Mujer","Arica y Parinacota","Actividades Inmobiliarias, Empresariales y de Alquiler",204578,250000,3e+05
"398","Mujer","Atacama","Actividades Inmobiliarias, Empresariales y de Alquiler",248885,3e+05,3e+05
"399","Mujer","Aysén","Actividades Inmobiliarias, Empresariales y de Alquiler",268030,282500,250000
"400","Mujer","Bíobío","Actividades Inmobiliarias, Empresariales y de Alquiler",218800,225000,248000
"401","Mujer","Coquimbo","Actividades Inmobiliarias, Empresariales y de Alquiler",240680,240000,311000
"402","Mujer","Los Lagos","Actividades Inmobiliarias, Empresariales y de Alquiler",273500,250000,3e+05
"403","Mujer","Los Ríos","Actividades Inmobiliarias, Empresariales y de Alquiler",273500,250000,3e+05
"404","Mujer","Magallanes","Actividades Inmobiliarias, Empresariales y de Alquiler",284440,3e+05,340000
"405","Mujer","Maule","Actividades Inmobiliarias, Empresariales y de Alquiler",262560,240000,3e+05
"406","Mujer","Metropolitana","Actividades Inmobiliarias, Empresariales y de Alquiler",361017,3e+05,430000
"407","Mujer","O'Higgins","Actividades Inmobiliarias, Empresariales y de Alquiler",262560,210000,318000
"408","Mujer","Tarapacá","Actividades Inmobiliarias, Empresariales y de Alquiler",273500,315000,320000
"409","Mujer","Valparaíso","Actividades Inmobiliarias, Empresariales y de Alquiler",308100,250000,3e+05
"410","Mujer","Antofagasta","Administración Pública y Defensa",394714,450000,425000
"411","Mujer","Araucanía","Administración Pública y Defensa",284440,366037,4e+05
"412","Mujer","Arica y Parinacota","Administración Pública y Defensa",393840,4e+05,375000
"413","Mujer","Atacama","Administración Pública y Defensa",382900,450000,5e+05
"414","Mujer","Aysén","Administración Pública y Defensa",437600,439062,645000
"415","Mujer","Bíobío","Administración Pública y Defensa",199108,3e+05,3e+05
"416","Mujer","Coquimbo","Administración Pública y Defensa",268030,340000,320000
"417","Mujer","Los Lagos","Administración Pública y Defensa",273500,4e+05,5e+05
"418","Mujer","Los Ríos","Administración Pública y Defensa",328200,320000,330000
"419","Mujer","Magallanes","Administración Pública y Defensa",464950,495000,6e+05
"420","Mujer","Maule","Administración Pública y Defensa",273500,356222,4e+05
"421","Mujer","Metropolitana","Administración Pública y Defensa",426660,4e+05,520000
"422","Mujer","O'Higgins","Administración Pública y Defensa",328200,350000,4e+05
"423","Mujer","Tarapacá","Administración Pública y Defensa",328200,494950,4e+05
"424","Mujer","Valparaíso","Administración Pública y Defensa",328200,380000,450000
"425","Mujer","Antofagasta","Enseñanza",350080,360000,4e+05
"426","Mujer","Araucanía","Enseñanza",277876,308000,3e+05
"427","Mujer","Arica y Parinacota","Enseñanza",328200,285000,320000
"428","Mujer","Atacama","Enseñanza",288269,320000,350000
"429","Mujer","Aysén","Enseñanza",333555,4e+05,4e+05
"430","Mujer","Bíobío","Enseñanza",273500,3e+05,340000
"431","Mujer","Coquimbo","Enseñanza",273500,280000,350000
"432","Mujer","Los Lagos","Enseñanza",273500,310000,302500
"433","Mujer","Los Ríos","Enseñanza",312680,3e+05,290000
"434","Mujer","Magallanes","Enseñanza",446899,402617,5e+05
"435","Mujer","Maule","Enseñanza",265963,258000,320000
"436","Mujer","Metropolitana","Enseñanza",328200,350000,438413
"437","Mujer","O'Higgins","Enseñanza",273500,3e+05,4e+05
"438","Mujer","Tarapacá","Enseñanza",273500,350000,311849
"439","Mujer","Valparaíso","Enseñanza",328200,279000,350000
"440","Mujer","Antofagasta","Servicios Sociales y de Salud",328200,341360,4e+05
"441","Mujer","Araucanía","Servicios Sociales y de Salud",273500,337500,340000
"442","Mujer","Arica y Parinacota","Servicios Sociales y de Salud",328200,3e+05,480000
"443","Mujer","Atacama","Servicios Sociales y de Salud",328200,350000,390000
"444","Mujer","Aysén","Servicios Sociales y de Salud",415720,4e+05,560000
"445","Mujer","Bíobío","Servicios Sociales y de Salud",273500,290500,330675
"446","Mujer","Coquimbo","Servicios Sociales y de Salud",248721,3e+05,330000
"447","Mujer","Los Lagos","Servicios Sociales y de Salud",306320,3e+05,350000
"448","Mujer","Los Ríos","Servicios Sociales y de Salud",317260,350000,320000
"449","Mujer","Magallanes","Servicios Sociales y de Salud",328200,380000,470000
"450","Mujer","Maule","Servicios Sociales y de Salud",273500,350000,3e+05
"451","Mujer","Metropolitana","Servicios Sociales y de Salud",322730,349432,4e+05
"452","Mujer","O'Higgins","Servicios Sociales y de Salud",273500,261000,350000
"453","Mujer","Tarapacá","Servicios Sociales y de Salud",328200,4e+05,390000
"454","Mujer","Valparaíso","Servicios Sociales y de Salud",268522,3e+05,351465
"455","Mujer","Antofagasta","Servicios Comunitarios, Sociales y Personales",284440,250000,3e+05
"456","Mujer","Araucanía","Servicios Comunitarios, Sociales y Personales",199108,150000,180000
"457","Mujer","Arica y Parinacota","Servicios Comunitarios, Sociales y Personales",184860,180000,2e+05
"458","Mujer","Atacama","Servicios Comunitarios, Sociales y Personales",207284,230000,280000
"459","Mujer","Aysén","Servicios Comunitarios, Sociales y Personales",205400,210000,291500
"460","Mujer","Bíobío","Servicios Comunitarios, Sociales y Personales",199108,190000,195500
"461","Mujer","Coquimbo","Servicios Comunitarios, Sociales y Personales",232475,232500,240000
"462","Mujer","Los Lagos","Servicios Comunitarios, Sociales y Personales",205400,210000,225000
"463","Mujer","Los Ríos","Servicios Comunitarios, Sociales y Personales",228646,182500,205000
"464","Mujer","Magallanes","Servicios Comunitarios, Sociales y Personales",227005,250000,285000
"465","Mujer","Maule","Servicios Comunitarios, Sociales y Personales",218800,210000,240000
"466","Mujer","Metropolitana","Servicios Comunitarios, Sociales y Personales",282097,250000,3e+05
"467","Mujer","O'Higgins","Servicios Comunitarios, Sociales y Personales",201296,210000,242000
"468","Mujer","Tarapacá","Servicios Comunitarios, Sociales y Personales",213330,250000,292500
"469","Mujer","Valparaíso","Servicios Comunitarios, Sociales y Personales",196920,210000,247500
"470","Mujer","Antofagasta","Servicio Doméstico",184860,2e+05,2e+05
"471","Mujer","Araucanía","Servicio Doméstico",98460,120000,140000
"472","Mujer","Arica y Parinacota","Servicio Doméstico",131280,120000,155000
"473","Mujer","Atacama","Servicio Doméstico",142220,180000,180000
"474","Mujer","Aysén","Servicio Doméstico",131280,150000,170000
"475","Mujer","Bíobío","Servicio Doméstico",109400,120000,150000
"476","Mujer","Coquimbo","Servicio Doméstico",143780,140000,170000
"477","Mujer","Los Lagos","Servicio Doméstico",109400,130000,150000
"478","Mujer","Los Ríos","Servicio Doméstico",133510,142500,140000
"479","Mujer","Magallanes","Servicio Doméstico",155895,150000,170000
"480","Mujer","Maule","Servicio Doméstico",126332,150000,150000
"481","Mujer","Metropolitana","Servicio Doméstico",196920,2e+05,240000
"482","Mujer","O'Higgins","Servicio Doméstico",140492,150000,181000
"483","Mujer","Tarapacá","Servicio Doméstico",196920,185500,217000
"484","Mujer","Valparaíso","Servicio Doméstico",142220,150000,170000
"485","Mujer","Antofagasta","Organizaciones y órganos Extraterritoriales",328200,NA,NA
"486","Mujer","Araucanía","Organizaciones y órganos Extraterritoriales",80956,105000,NA
"487","Mujer","Atacama","Organizaciones y órganos Extraterritoriales",226458,NA,NA
"488","Mujer","Bíobío","Organizaciones y órganos Extraterritoriales",161912,174000,333000
"489","Mujer","Los Lagos","Organizaciones y órganos Extraterritoriales",916225,NA,NA
"490","Mujer","Metropolitana","Organizaciones y órganos Extraterritoriales",270765,625000,1e+06
"491","Mujer","Tarapacá","Organizaciones y órganos Extraterritoriales",112682,NA,NA
"492","Mujer","Valparaíso","Organizaciones y órganos Extraterritoriales",423925,NA,NA
