"","sexo","region","rama","2011","2013","2015"
"58","Hombre","O'Higgins","Industrias Manufactureras",273500,252447,350000
"59","Hombre","Tarapacá","Industrias Manufactureras",328200,350000,350000
"60","Hombre","Valparaíso","Industrias Manufactureras",273500,250000,306577
"61","Hombre","Antofagasta","Electricidad, Gas y Agua",547000,550000,680000
"62","Hombre","Araucanía","Electricidad, Gas y Agua",236304,285000,250000
"63","Hombre","Arica y Parinacota","Electricidad, Gas y Agua",273500,345000,375000
"64","Hombre","Atacama","Electricidad, Gas y Agua",273500,480000,480000
"65","Hombre","Aysén","Electricidad, Gas y Agua",306320,4e+05,290000
"66","Hombre","Bíobío","Electricidad, Gas y Agua",255563,271000,350000
"67","Hombre","Coquimbo","Electricidad, Gas y Agua",306320,350000,350000
"68","Hombre","Los Lagos","Electricidad, Gas y Agua",251620,3e+05,330000
"69","Hombre","Los Ríos","Electricidad, Gas y Agua",273500,258000,3e+05
"70","Hombre","Magallanes","Electricidad, Gas y Agua",336952,525000,400579
"71","Hombre","Maule","Electricidad, Gas y Agua",328200,268000,350000
"72","Hombre","Metropolitana","Electricidad, Gas y Agua",437600,445000,477000
"73","Hombre","O'Higgins","Electricidad, Gas y Agua",328200,250000,310000
"74","Hombre","Tarapacá","Electricidad, Gas y Agua",414626,4e+05,3e+05
"75","Hombre","Valparaíso","Electricidad, Gas y Agua",273500,310000,4e+05
"76","Hombre","Antofagasta","Construcción",410800,380000,4e+05
"77","Hombre","Araucanía","Construcción",214424,215128,250000
"78","Hombre","Arica y Parinacota","Construcción",262560,250000,285000
"79","Hombre","Atacama","Construcción",350080,320000,375000
"80","Hombre","Aysén","Construcción",273500,3e+05,350000
"81","Hombre","Bíobío","Construcción",218800,240000,290000
"82","Hombre","Coquimbo","Construcción",273500,3e+05,320000
"83","Hombre","Los Lagos","Construcción",218800,220000,250000
"84","Hombre","Los Ríos","Construcción",218800,210000,250000
"85","Hombre","Magallanes","Construcción",328200,3e+05,4e+05
"86","Hombre","Maule","Construcción",218800,250000,290364
"87","Hombre","Metropolitana","Construcción",306320,3e+05,350000
"88","Hombre","O'Higgins","Construcción",273500,250000,3e+05
"89","Hombre","Tarapacá","Construcción",328200,347334,360000
"90","Hombre","Valparaíso","Construcción",272003,275860,3e+05
"91","Hombre","Antofagasta","Comercio",382900,350000,4e+05
"92","Hombre","Araucanía","Comercio",202872,210000,245000
"93","Hombre","Arica y Parinacota","Comercio",256750,210000,250000
"94","Hombre","Atacama","Comercio",328200,290000,330000
"95","Hombre","Aysén","Comercio",284440,273565,3e+05
"96","Hombre","Bíobío","Comercio",218800,218000,250000
"97","Hombre","Coquimbo","Comercio",218800,245078,250000
"98","Hombre","Los Lagos","Comercio",217706,210000,250000
"99","Hombre","Los Ríos","Comercio",217706,210000,250000
"100","Hombre","Magallanes","Comercio",273500,3e+05,310224
"101","Hombre","Maule","Comercio",202390,210000,250000
"102","Hombre","Metropolitana","Comercio",273500,279298,3e+05
"103","Hombre","O'Higgins","Comercio",218800,229697,260966
"104","Hombre","Tarapacá","Comercio",308100,3e+05,3e+05
"105","Hombre","Valparaíso","Comercio",233684,240000,250000
"106","Hombre","Antofagasta","Hoteles y Restaurantes",318150,260000,4e+05
"107","Hombre","Araucanía","Hoteles y Restaurantes",204989,210000,241000
"108","Hombre","Arica y Parinacota","Hoteles y Restaurantes",206219,240000,260000
"109","Hombre","Atacama","Hoteles y Restaurantes",278970,250000,3e+05
"110","Hombre","Aysén","Hoteles y Restaurantes",306320,250000,294000
"111","Hombre","Bíobío","Hoteles y Restaurantes",202390,210000,250000
"112","Hombre","Coquimbo","Hoteles y Restaurantes",218800,250000,280000
"113","Hombre","Los Lagos","Hoteles y Restaurantes",218800,220000,241000
"114","Hombre","Los Ríos","Hoteles y Restaurantes",218800,210000,255000
"115","Hombre","Magallanes","Hoteles y Restaurantes",262560,310000,305000
"116","Hombre","Maule","Hoteles y Restaurantes",203236,210000,247500
"117","Hombre","Metropolitana","Hoteles y Restaurantes",236524,250000,3e+05
"118","Hombre","O'Higgins","Hoteles y Restaurantes",229740,242668,280000
"119","Hombre","Tarapacá","Hoteles y Restaurantes",308100,295000,3e+05
"120","Hombre","Valparaíso","Hoteles y Restaurantes",218800,220000,250000
"121","Hombre","Antofagasta","Transporte, Almacenamiento y Comunicaciones",415720,4e+05,5e+05
"122","Hombre","Araucanía","Transporte, Almacenamiento y Comunicaciones",262560,250000,280000
"123","Hombre","Arica y Parinacota","Transporte, Almacenamiento y Comunicaciones",369720,3e+05,3e+05
"124","Hombre","Atacama","Transporte, Almacenamiento y Comunicaciones",410800,4e+05,4e+05
"125","Hombre","Aysén","Transporte, Almacenamiento y Comunicaciones",328200,3e+05,350000
"126","Hombre","Bíobío","Transporte, Almacenamiento y Comunicaciones",251620,275000,3e+05
"127","Hombre","Coquimbo","Transporte, Almacenamiento y Comunicaciones",336677,3e+05,3e+05
"128","Hombre","Los Lagos","Transporte, Almacenamiento y Comunicaciones",273500,280000,3e+05
"129","Hombre","Los Ríos","Transporte, Almacenamiento y Comunicaciones",295380,250000,3e+05
"130","Hombre","Magallanes","Transporte, Almacenamiento y Comunicaciones",492300,4e+05,4e+05
"131","Hombre","Maule","Transporte, Almacenamiento y Comunicaciones",273500,255212,3e+05
"132","Hombre","Metropolitana","Transporte, Almacenamiento y Comunicaciones",328200,348000,4e+05
"133","Hombre","O'Higgins","Transporte, Almacenamiento y Comunicaciones",308100,280000,320000
"134","Hombre","Tarapacá","Transporte, Almacenamiento y Comunicaciones",437600,4e+05,380000
"135","Hombre","Valparaíso","Transporte, Almacenamiento y Comunicaciones",306320,3e+05,350000
"136","Hombre","Antofagasta","Intermediación Financiera",590760,520000,5e+05
"137","Hombre","Araucanía","Intermediación Financiera",481360,4e+05,524132
"138","Hombre","Arica y Parinacota","Intermediación Financiera",247244,350000,260000
"139","Hombre","Atacama","Intermediación Financiera",418862,7e+05,480000
"140","Hombre","Aysén","Intermediación Financiera",328200,7e+05,497000
"141","Hombre","Bíobío","Intermediación Financiera",366490,5e+05,6e+05
"142","Hombre","Coquimbo","Intermediación Financiera",984600,5e+05,5e+05
"143","Hombre","Los Lagos","Intermediación Financiera",612640,499734,534940
"144","Hombre","Los Ríos","Intermediación Financiera",519650,495000,480000
"145","Hombre","Magallanes","Intermediación Financiera",449634,6e+05,950000
"146","Hombre","Maule","Intermediación Financiera",521575,5e+05,449000
"147","Hombre","Metropolitana","Intermediación Financiera",765800,7e+05,8e+05
"148","Hombre","O'Higgins","Intermediación Financiera",437600,450000,635000
"149","Hombre","Tarapacá","Intermediación Financiera",437600,5e+05,1200000
"150","Hombre","Valparaíso","Intermediación Financiera",629050,6e+05,575000
"151","Hombre","Antofagasta","Actividades Inmobiliarias, Empresariales y de Alquiler",463692,6e+05,421218
"152","Hombre","Araucanía","Actividades Inmobiliarias, Empresariales y de Alquiler",218800,350000,350000
"153","Hombre","Arica y Parinacota","Actividades Inmobiliarias, Empresariales y de Alquiler",328200,290000,440000
"154","Hombre","Atacama","Actividades Inmobiliarias, Empresariales y de Alquiler",382900,410000,450000
"155","Hombre","Aysén","Actividades Inmobiliarias, Empresariales y de Alquiler",547000,315000,5e+05
"156","Hombre","Bíobío","Actividades Inmobiliarias, Empresariales y de Alquiler",273500,370000,3e+05
"157","Hombre","Coquimbo","Actividades Inmobiliarias, Empresariales y de Alquiler",312680,342516,5e+05
"158","Hombre","Los Lagos","Actividades Inmobiliarias, Empresariales y de Alquiler",248338,3e+05,350000
"159","Hombre","Los Ríos","Actividades Inmobiliarias, Empresariales y de Alquiler",298115,3e+05,350000
