"","geography_level","geography_name","geography_id","year","mean_income","median_income","gini_income","lb_mean_income","ub_mean_income","lb_median_income","ub_median_income","lb_gini_income","ub_gini_income"
"78","provincia","Linares","p74","1992",41603,22618,0.552,38472,45198,21991,23310,0.517,0.586
"79","provincia","Llanquihue","p101","1992",52161,26352,0.573,49053,55476,25406,27135,0.557,0.591
"80","provincia","Los Andes","p53","1992",53319,32535,0.501,49927,57573,29455,34501,0.48,0.524
"81","provincia","Magallanes","p121","1992",84787,44171,0.564,76022,94624,41847,46461,0.525,0.601
"82","provincia","Maipo","p134","1992",43928,27762,0.491,41877,47013,27225,28643,0.471,0.523
"83","provincia","Malleco","p92","1992",32094,20164,0.477,29906,34291,19660,21718,0.448,0.504
"84","provincia","Marga Marga","p58","1992",58223,37488,0.491,53721,63758,34779,39791,0.459,0.521
"85","provincia","Melipilla","p135","1992",35010,24250,0.446,33777,36689,23221,24875,0.425,0.467
"86","provincia","Ñuble","p84","1992",33200,19062,0.537,31927,34369,18820,19526,0.521,0.551
"87","provincia","Osorno","p103","1992",48394,27651,0.53,45639,51049,26559,28559,0.508,0.549
"88","provincia","Parinacota","p152","1992",NA,NA,NA,NA,NA,NA,NA,NA,NA
"89","provincia","Petorca","p54","1992",42960,24878,0.531,39452,46541,24246,25894,0.495,0.567
"90","provincia","Quillota","p55","1992",46537,26299,0.556,40728,53452,24303,27193,0.497,0.601
"91","provincia","Ranco","p142","1992",81342,56700,0.513,71924,90561,47774,61485,0.468,0.54
"92","provincia","San Antonio","p56","1992",54565,32303,0.525,49414,59542,30801,33219,0.487,0.554
"93","provincia","San Felipe","p57","1992",45310,26825,0.499,42215,49744,25553,27549,0.471,0.534
"94","provincia","Santiago","p131","1992",90695,41095,0.608,88203,92646,40564,41743,0.599,0.614
"95","provincia","Talagante","p136","1992",50551,28050,0.534,47053,53994,26510,28531,0.504,0.56
"96","provincia","Talca","p71","1992",46575,26787,0.52,44716,48030,25655,27609,0.509,0.53
"97","provincia","Tamarugal","p12","1992",55153,33184,0.526,49624,61850,27046,35628,0.493,0.555
"98","provincia","Tierra del Fuego","p123","1992",42747,29134,0.402,37402,49730,26825,46346,0.358,0.44
"99","provincia","Tocopilla","p23","1992",42470,28338,0.494,37352,48750,25879,29911,0.434,0.552
"100","provincia","Última Esperanza","p124","1992",46099,27938,0.475,41679,50224,26093,29982,0.444,0.502
"101","provincia","Valdivia","p141","1992",42984,27615,0.48,41020,44798,26669,28614,0.456,0.497
"102","provincia","Valparaíso","p51","1992",65605,35805,0.547,61512,71074,34720,37760,0.525,0.569
"103","provincia","Antofagasta","p21","1994",70317,41608,0.522,64948,76712,40247,42840,0.484,0.559
"104","provincia","Arauco","p82","1994",35272,22695,0.475,34168,36320,21964,23483,0.463,0.487
"105","provincia","Arica","p151","1994",78357,42840,0.552,73544,83789,40499,46241,0.53,0.572
"106","provincia","Aysén","p112","1994",52424,35159,0.448,48272,56521,34060,36654,0.412,0.477
"107","provincia","Bíobío","p83","1994",39424,25113,0.494,37934,40982,24665,25555,0.479,0.513
"108","provincia","Cachapoal","p61","1994",65679,37545,0.523,63252,68162,36711,38762,0.508,0.539
"109","provincia","Capitán Prat","p113","1994",NA,NA,NA,NA,NA,NA,NA,NA,NA
"110","provincia","Cardenal Caro","p62","1994",32762,27117,0.367,29957,35320,23065,29294,0.336,0.406
"111","provincia","Cauquenes","p72","1994",35611,19410,0.524,33610,38069,18912,20186,0.5,0.542
"112","provincia","Cautín","p91","1994",65218,32389,0.584,61133,69585,31222,33405,0.561,0.603
"113","provincia","Chacabuco","p133","1994",47301,31818,0.449,44765,50206,30408,32432,0.424,0.474
"114","provincia","Chañaral","p32","1994",55437,40698,0.418,52617,58232,39224,43342,0.401,0.433
"115","provincia","Chiloé","p102","1994",70533,46950,0.504,64230,78807,42068,49988,0.473,0.532
"116","provincia","Choapa","p42","1994",44369,23638,0.552,41326,48997,23062,24261,0.524,0.589
"117","provincia","Colchagua","p63","1994",41797,25949,0.492,37746,46557,25357,27023,0.444,0.536
"118","provincia","Concepción","p81","1994",51759,29050,0.522,50091,53108,28451,29640,0.51,0.531
"119","provincia","Copiapó","p31","1994",55674,38599,0.461,53217,58697,37602,39356,0.445,0.479
"120","provincia","Cordillera","p152","1994",86263,47152,0.552,80853,92292,44980,48702,0.53,0.574
"121","provincia","Coyhaique","p111","1994",67592,36842,0.519,62182,71864,35234,39265,0.493,0.536
"122","provincia","Curicó","p73","1994",45235,26478,0.526,40911,50225,26036,26742,0.479,0.571
"123","provincia","El Loa","p22","1994",70569,41996,0.521,66040,74080,40304,43895,0.498,0.538
"124","provincia","Elqui","p41","1994",51821,33181,0.467,50488,53547,32368,34202,0.457,0.48
"125","provincia","General Carrera","p114","1994",48535,24042,0.561,40599,56511,22442,29522,0.502,0.614
"126","provincia","Huasco","p33","1994",51600,28173,0.544,49204,54698,26741,29345,0.529,0.56
"127","provincia","Iquique","p11","1994",82963,50604,0.483,76881,90081,49095,52964,0.454,0.514
"128","provincia","Limarí","p43","1994",44663,28307,0.497,42673,47145,27466,29091,0.48,0.513
"129","provincia","Linares","p74","1994",38655,23467,0.508,36838,40078,22929,23944,0.487,0.523
"130","provincia","Llanquihue","p101","1994",74487,34510,0.595,65128,82181,33356,35602,0.545,0.634
"131","provincia","Los Andes","p53","1994",52682,38152,0.405,50862,55458,37661,38502,0.385,0.431
"132","provincia","Magallanes","p121","1994",97425,66894,0.448,91626,102041,64660,70607,0.428,0.469
"133","provincia","Maipo","p134","1994",64771,39155,0.508,61479,67433,38217,40588,0.49,0.521
"134","provincia","Malleco","p92","1994",50165,26525,0.547,45834,56324,25773,27243,0.512,0.589
"135","provincia","Marga Marga","p58","1994",68578,45410,0.479,66253,71592,43211,46639,0.467,0.494
"136","provincia","Melipilla","p135","1994",46888,30480,0.467,44550,49713,30015,31386,0.446,0.491
"137","provincia","Ñuble","p84","1994",34062,22087,0.481,33256,34848,21718,22473,0.474,0.491
"138","provincia","Osorno","p103","1994",67818,34808,0.549,62808,72992,33569,37251,0.52,0.578
"139","provincia","Parinacota","p152","1994",NA,NA,NA,NA,NA,NA,NA,NA,NA
"140","provincia","Petorca","p54","1994",48232,32130,0.455,46126,50889,30952,32596,0.438,0.47
"141","provincia","Quillota","p55","1994",52585,35576,0.454,50467,54446,34619,36845,0.434,0.467
"142","provincia","Ranco","p142","1994",55390,32921,0.523,47961,61603,32143,37935,0.478,0.557
"143","provincia","San Antonio","p56","1994",57394,37422,0.48,55201,59821,36312,38349,0.462,0.5
"144","provincia","San Felipe","p57","1994",52102,34304,0.458,50038,54097,33461,35078,0.443,0.476
"145","provincia","Santiago","p131","1994",123506,54219,0.622,116476,131501,53550,54907,0.6,0.645
"146","provincia","Talagante","p136","1994",49061,34272,0.445,47371,50625,33130,34977,0.432,0.457
"147","provincia","Talca","p71","1994",40771,26469,0.469,40034,41901,25850,26910,0.46,0.48
"148","provincia","Tamarugal","p12","1994",30912,20242,0.516,27783,34021,18818,20825,0.473,0.55
"149","provincia","Tierra del Fuego","p123","1994",88134,60226,0.485,79739,100069,48377,68116,0.448,0.518
"150","provincia","Tocopilla","p23","1994",53367,36312,0.455,50413,55652,34367,38173,0.436,0.472
"151","provincia","Última Esperanza","p124","1994",83069,44323,0.537,71480,93619,41137,48195,0.472,0.575
"152","provincia","Valdivia","p141","1994",49173,27964,0.521,46259,52073,26865,28877,0.501,0.539
"153","provincia","Valparaíso","p51","1994",65109,40162,0.499,62890,67305,37985,41136,0.489,0.511
"154","provincia","Antofagasta","p21","1996",100719,65459,0.493,96051,104385,62312,67452,0.476,0.507
"155","provincia","Arauco","p82","1996",53581,34200,0.477,51505,55780,33198,36030,0.463,0.492
"156","provincia","Arica","p151","1996",83538,49193,0.539,75482,92130,45663,52381,0.5,0.57
"157","provincia","Aysén","p112","1996",91690,54422,0.518,85638,97189,51075,57814,0.494,0.539
"158","provincia","Bíobío","p83","1996",64894,36896,0.537,61846,67842,35434,37695,0.522,0.551
"159","provincia","Cachapoal","p61","1996",68519,42353,0.493,66356,70973,41618,43234,0.481,0.506
"160","provincia","Capitán Prat","p113","1996",85882,50228,0.533,74639,100546,42028,53371,0.494,0.572
"161","provincia","Cardenal Caro","p62","1996",48106,32125,0.452,43123,52391,30602,34045,0.41,0.49
"162","provincia","Cauquenes","p72","1996",52230,33043,0.509,48012,58506,28778,33866,0.477,0.544
"163","provincia","Cautín","p91","1996",52929,33203,0.501,51243,54361,32624,33667,0.488,0.513
"164","provincia","Chacabuco","p133","1996",60045,46250,0.41,57183,64271,44704,48750,0.39,0.437
"165","provincia","Chañaral","p32","1996",72819,49778,0.484,68557,77749,44046,51723,0.46,0.502
"166","provincia","Chiloé","p102","1996",62446,43495,0.427,58160,66189,42044,44963,0.396,0.452
"167","provincia","Choapa","p42","1996",49920,29244,0.521,44673,56161,27351,30258,0.474,0.575
"168","provincia","Colchagua","p63","1996",62027,38763,0.491,59383,65405,37751,39929,0.472,0.511
"169","provincia","Concepción","p81","1996",68288,42290,0.499,66033,70677,41500,42867,0.486,0.508
"170","provincia","Copiapó","p31","1996",94751,48444,0.56,88250,104233,46835,53235,0.538,0.579
"171","provincia","Cordillera","p152","1996",85248,62626,0.409,81072,89331,60312,66638,0.387,0.427
"172","provincia","Coyhaique","p111","1996",84737,53555,0.484,78301,90784,51250,56432,0.457,0.504
"173","provincia","Curicó","p73","1996",55557,36132,0.451,52735,57840,35324,36862,0.433,0.469
"174","provincia","El Loa","p22","1996",70222,46571,0.493,66107,73942,43612,48278,0.468,0.521
