"","geography_level","geography_name","geography_id","year","sex","weighted_mean_income","weighted_median_income","ci_weighted_mean_income","ci_weighted_median_income"
"127","comuna","Los Andes","151",1990,"Hombre",63054,41072,"[45660, 85055]","[31408, 59400]"
"128","comuna","Los Andes","151",1990,"Mujer",34862,24160,"[21322, 57636]","[23677, 33824]"
"129","comuna","Los Ángeles","152",1990,"Hombre",123337,42280,"[92747, 179736]","[39166, 50094]"
"130","comuna","Los Ángeles","152",1990,"Mujer",55625,31408,"[40692, 68800]","[30200, 36240]"
"131","comuna","Los Vilos","156",1990,"Hombre",51720,37980,"[40398, 64519]","[35640, 51502]"
"132","comuna","Los Vilos","156",1990,"Mujer",33604,29700,"[26539, 42097]","[19800, 39600]"
"133","comuna","Lota","157",1990,"Hombre",60355,48320,"[55370, 68696]","[48309, 54360]"
"134","comuna","Lota","157",1990,"Mujer",46439,30200,"[34275, 62587]","[21744, 45904]"
"135","comuna","Machalí","159",1990,"Hombre",79659,38656,"[65897, 97414]","[36240, 53212]"
"136","comuna","Machalí","159",1990,"Mujer",52321,39260,"[37792, 66309]","[31091, 46382]"
"137","comuna","Macul","160",1990,"Hombre",132778,74292,"[106162, 162930]","[61177, 85872]"
"138","comuna","Macul","160",1990,"Mujer",68064,54360,"[59150, 79068]","[45531, 59400]"
"139","comuna","Maipú","162",1990,"Hombre",109088,72480,"[94733, 123501]","[60400, 79200]"
"140","comuna","Maipú","162",1990,"Mujer",68246,51480,"[60305, 77880]","[42570, 60400]"
"141","comuna","María Pinto","166",1990,"Hombre",55558,36240,"[43411, 70565]","[33824, 36240]"
"142","comuna","María Pinto","166",1990,"Mujer",32023,32616,"[26802, 36681]","[27724, 36240]"
"143","comuna","Mariquina","167",1990,"Hombre",49483,35640,"[42281, 56653]","[32616, 36240]"
"144","comuna","Mariquina","167",1990,"Mujer",39037,33824,"[30397, 51932]","[29700, 39600]"
"145","comuna","Maullín","169",1990,"Hombre",78128,39600,"[47054, 110855]","[36240, 42570]"
"146","comuna","Maullín","169",1990,"Mujer",19883,13860,"[14703, 25511]","[10268, 30200]"
"147","comuna","Mejillones","170",1990,"Hombre",76126,60400,"[63125, 94190]","[43634, 72480]"
"148","comuna","Mejillones","170",1990,"Mujer",81107,60400,"[46800, 128326]","[24160, 79126]"
"149","comuna","Melipilla","172",1990,"Hombre",54347,38656,"[47231, 63489]","[36240, 42341]"
"150","comuna","Melipilla","172",1990,"Mujer",62125,36240,"[39956, 100489]","[31905, 42690]"
"151","comuna","Molina","173",1990,"Hombre",35935,31408,"[29734, 43485]","[28221, 31408]"
"152","comuna","Molina","173",1990,"Mujer",34393,28992,"[25835, 45949]","[21744, 36240]"
"153","comuna","Mostazal","175",1990,"Hombre",54661,41072,"[47786, 61631]","[36240, 47172]"
"154","comuna","Mostazal","175",1990,"Mujer",37227,31408,"[30534, 43340]","[30200, 36240]"
"155","comuna","Mulchén","176",1990,"Hombre",45422,39600,"[38180, 55125]","[34966, 46750]"
"156","comuna","Mulchén","176",1990,"Mujer",41901,24160,"[21972, 75868]","[16912, 33133]"
"157","comuna","Natales","179",1990,"Hombre",60946,38595,"[49892, 73787]","[36240, 44122]"
"158","comuna","Natales","179",1990,"Mujer",49453,29950,"[32943, 71026]","[21125, 34141]"
"159","comuna","Nogales","183",1990,"Hombre",56835,42280,"[45451, 71998]","[32616, 48656]"
"160","comuna","Nogales","183",1990,"Mujer",30956,30200,"[25675, 38786]","[24160, 32616]"
"161","comuna","Ñuñoa","186",1990,"Hombre",232941,177271,"[180834, 312291]","[138600, 217440]"
"162","comuna","Ñuñoa","186",1990,"Mujer",118572,87580,"[102721, 133321]","[77806, 114156]"
"163","comuna","Osorno","191",1990,"Hombre",100451,38656,"[81884, 120932]","[35196, 42280]"
"164","comuna","Osorno","191",1990,"Mujer",49367,31408,"[41258, 59348]","[30200, 36240]"
"165","comuna","Ovalle","192",1990,"Hombre",71535,38656,"[59907, 86952]","[36240, 42479]"
"166","comuna","Ovalle","192",1990,"Mujer",48173,32873,"[38020, 63359]","[31337, 36240]"
"167","comuna","Paillaco","196",1990,"Hombre",51130,36240,"[43861, 60648]","[31408, 36240]"
"168","comuna","Paillaco","196",1990,"Mujer",39891,33824,"[31079, 49707]","[25476, 36240]"
"169","comuna","Paine","197",1990,"Hombre",54144,36361,"[44631, 63827]","[36240, 39600]"
"170","comuna","Paine","197",1990,"Mujer",39830,36240,"[34495, 45648]","[31626, 38880]"
"171","comuna","Paredones","203",1990,"Hombre",43081,32779,"[35720, 51228]","[31408, 39865]"
"172","comuna","Paredones","203",1990,"Mujer",49377,42763,"[37463, 65549]","[33601, 57078]"
"173","comuna","Parral","204",1990,"Hombre",68900,33001,"[51620, 86929]","[31408, 36240]"
"174","comuna","Parral","204",1990,"Mujer",44522,31408,"[35910, 55078]","[28992, 36240]"
"175","comuna","Pelarco","206",1990,"Hombre",48687,31408,"[36604, 58676]","[29645, 32012]"
"176","comuna","Pelarco","206",1990,"Mujer",23806,21744,"[17052, 33704]","[15100, 24160]"
"177","comuna","Pelluhue","207",1990,"Hombre",83006,31408,"[34768, 163589]","[29073, 35940]"
"178","comuna","Pelluhue","207",1990,"Mujer",55021,48320,"[32979, 72110]","[42570, 78520]"
"179","comuna","Peñaflor","211",1990,"Hombre",78757,48320,"[65637, 93681]","[42280, 51535]"
"180","comuna","Peñaflor","211",1990,"Mujer",67120,40467,"[45444, 100691]","[36240, 42974]"
"181","comuna","Peñalolén","212",1990,"Hombre",59873,48320,"[56030, 64259]","[48320, 54360]"
"182","comuna","Peñalolén","212",1990,"Mujer",39706,31408,"[34390, 46273]","[29883, 36240]"
"183","comuna","Penco","210",1990,"Hombre",68317,48320,"[56085, 82067]","[42280, 53986]"
"184","comuna","Penco","210",1990,"Mujer",42159,31408,"[34219, 50565]","[31408, 36240]"
"185","comuna","Pica","217",1990,"Hombre",73997,49500,"[63411, 88457]","[42280, 60400]"
"186","comuna","Pica","217",1990,"Mujer",49987,32012,"[37136, 71441]","[31408, 45904]"
"187","comuna","Pirque","221",1990,"Hombre",135595,41676,"[98316, 186074]","[36240, 43963]"
"188","comuna","Pirque","221",1990,"Mujer",79841,42280,"[56276, 101590]","[36269, 42298]"
