"","geography_level","geography_name","geography_id","year","sexo","weighted_mean_income","weighted_median_income","ci_weighted_mean_income","ci_weighted_median_income"
"101","provincia","Bíobío","p83","1992","Hombre",87768,53650,"[81042, 97096]","[51504, 58186]"
"102","provincia","Cachapoal","p61","1992","Hombre",138827,64380,"[125621, 153642]","[64380, 69630]"
"103","provincia","Cardenal Caro","p62","1992","Hombre",48788,40774,"[42696, 54472]","[38628, 41847]"
"104","provincia","Cauquenes","p72","1992","Hombre",76515,42920,"[59604, 97296]","[40774, 48925]"
"105","provincia","Cautín","p91","1992","Hombre",94387,58710,"[87970, 102152]","[58710, 64380]"
"106","provincia","Chacabuco","p133","1992","Hombre",85275,64380,"[78632, 95547]","[64380, 64564]"
"107","provincia","Chañaral","p32","1992","Hombre",164474,128760,"[150116, 180576]","[107300, 151516]"
"108","provincia","Chiloé","p102","1992","Hombre",118849,68495,"[99620, 143037]","[64380, 75588]"
"109","provincia","Choapa","p42","1992","Hombre",108398,64380,"[81257, 141398]","[55796, 78280]"
"110","provincia","Colchagua","p63","1992","Hombre",90083,53650,"[80903, 103585]","[50557, 58154]"
"111","provincia","Concepción","p81","1992","Hombre",113689,64380,"[100275, 126082]","[64380, 69745]"
"112","provincia","Copiapó","p31","1992","Hombre",144610,85840,"[127085, 161906]","[75843, 87192]"
"113","provincia","Cordillera","p152","1992","Hombre",162432,96570,"[123533, 215255]","[85840, 107300]"
"114","provincia","Coyhaique","p111","1992","Hombre",130975,78329,"[109485, 169756]","[70764, 85840]"
"115","provincia","Curicó","p73","1992","Hombre",131508,59015,"[113757, 152520]","[53650, 64380]"
"116","provincia","El Loa","p22","1992","Hombre",147565,96570,"[130282, 162217]","[85840, 107300]"
"117","provincia","Elqui","p41","1992","Hombre",102094,64380,"[94681, 112190]","[60544, 66636]"
"118","provincia","Huasco","p33","1992","Hombre",135604,75110,"[114578, 157139]","[63253, 85840]"
"119","provincia","Iquique","p11","1992","Hombre",188992,107300,"[163042, 213531]","[105047, 128760]"
"120","provincia","Limarí","p43","1992","Hombre",95131,58710,"[78558, 120742]","[53650, 64380]"
"121","provincia","Linares","p74","1992","Hombre",92710,48285,"[77373, 123473]","[48285, 48925]"
"122","provincia","Llanquihue","p101","1992","Hombre",120264,58710,"[104700, 136266]","[58710, 64380]"
"123","provincia","Los Andes","p53","1992","Hombre",126875,67111,"[111608, 157375]","[63253, 75110]"
"124","provincia","Magallanes","p121","1992","Hombre",165436,96570,"[145871, 194778]","[85840, 103655]"
"125","provincia","Maipo","p134","1992","Hombre",109671,64380,"[96759, 125852]","[64380, 75110]"
