"","geography_level","geography_name","geography_id","year","sexo","weighted_mean_income","weighted_median_income","ci_weighted_mean_income","ci_weighted_median_income"
"106","region","Antofagasta","2","1996","Mujer",181735,110000,"[144364, 228199]","[95083, 129340]"
"107","region","Araucanía","9","1996","Mujer",122984,70000,"[110972, 143693]","[68995, 77686]"
"108","region","Arica y Parinacota","15","1996","Mujer",117927,92070,"[105410, 129913]","[81720, 120639]"
"109","region","Atacama","3","1996","Mujer",153873,100000,"[130488, 175400]","[88283, 122580]"
"110","region","Aysén","11","1996","Mujer",136340,80000,"[115157, 161049]","[75356, 93544]"
"111","region","Bíobío","8","1996","Mujer",149436,89000,"[134713, 166740]","[80000, 91935]"
"112","region","Coquimbo","4","1996","Mujer",131307,77552,"[114484, 158451]","[70000, 80270]"
"113","region","Los Lagos","10","1996","Mujer",141980,75832,"[120885, 170211]","[70000, 80000]"
"114","region","Los Ríos","14","1996","Mujer",134272,91935,"[117040, 152829]","[80000, 110000]"
"115","region","Magallanes","12","1996","Mujer",145865,98512,"[126493, 168336]","[80000, 108896]"
"116","region","Maule","7","1996","Mujer",120402,66000,"[103088, 135414]","[64056, 70000]"
"117","region","Metropolitana","13","1996","Mujer",203757,120000,"[189606, 223997]","[120000, 122650]"
"118","region","O'Higgins","6","1996","Mujer",108095,75000,"[97905, 124530]","[70000, 78481]"
"119","region","Tarapacá","1","1996","Mujer",211248,161620,"[175590, 245190]","[120000, 180000]"
"120","region","Valparaíso","5","1996","Mujer",134154,91935,"[125462, 149948]","[86000, 100000]"
"121","region","Antofagasta","2","1998","Hombre",362680,234258,"[328032, 399080]","[204639, 251000]"
"122","region","Araucanía","9","1998","Hombre",219125,108370,"[197579, 252484]","[100400, 117300]"
"123","region","Arica y Parinacota","15","1998","Hombre",239006,170680,"[203730, 296227]","[150600, 192338]"
"124","region","Atacama","3","1998","Hombre",245280,160640,"[229643, 268137]","[153009, 180720]"
"125","region","Aysén","11","1998","Hombre",349915,156400,"[234044, 627469]","[150600, 164762]"
"126","region","Bíobío","8","1998","Hombre",244340,120480,"[226579, 269516]","[120480, 130520]"
"127","region","Coquimbo","4","1998","Hombre",221242,130520,"[204618, 240891]","[120480, 140560]"
"128","region","Los Lagos","10","1998","Hombre",203485,117300,"[186290, 221253]","[117300, 120480]"
"129","region","Los Ríos","14","1998","Hombre",182374,98404,"[159467, 203591]","[90360, 102899]"
"130","region","Magallanes","12","1998","Hombre",319011,195500,"[264359, 486024]","[175950, 214291]"
"131","region","Maule","7","1998","Hombre",175297,100400,"[164891, 191087]","[98055, 104502]"
"132","region","Metropolitana","13","1998","Hombre",373966,180720,"[354454, 391310]","[180720, 190760]"
"133","region","O'Higgins","6","1998","Hombre",209032,120480,"[194960, 223424]","[112631, 120480]"
"134","region","Tarapacá","1","1998","Hombre",338212,240960,"[284707, 432122]","[196587, 277623]"
"135","region","Valparaíso","5","1998","Hombre",258020,150600,"[244364, 276616]","[148942, 156400]"
"136","region","Antofagasta","2","1998","Mujer",223866,130520,"[184560, 259689]","[118810, 150600]"
"137","region","Araucanía","9","1998","Mujer",197526,100400,"[173275, 218351]","[97750, 114988]"
"138","region","Arica y Parinacota","15","1998","Mujer",141049,120480,"[122686, 159460]","[100400, 150600]"
"139","region","Atacama","3","1998","Mujer",157773,101769,"[140742, 184249]","[90360, 125751]"
"140","region","Aysén","11","1998","Mujer",178531,108610,"[163381, 199456]","[100400, 120963]"
"141","region","Bíobío","8","1998","Mujer",171526,109030,"[160811, 184407]","[100400, 117300]"
"142","region","Coquimbo","4","1998","Mujer",159742,93463,"[142222, 184416]","[87278, 100400]"
"143","region","Los Lagos","10","1998","Mujer",161436,97750,"[142067, 178322]","[90360, 100400]"
"144","region","Los Ríos","14","1998","Mujer",162058,99683,"[141500, 185494]","[81324, 109631]"
"145","region","Magallanes","12","1998","Mujer",170838,110440,"[137039, 212193]","[99591, 120480]"
"146","region","Maule","7","1998","Mujer",137179,90360,"[127326, 148019]","[83246, 97970]"
"147","region","Metropolitana","13","1998","Mujer",243007,140560,"[230166, 258129]","[140560, 150600]"
"148","region","O'Higgins","6","1998","Mujer",137808,90360,"[123771, 153593]","[83669, 90360]"
"149","region","Tarapacá","1","1998","Mujer",213302,150467,"[169407, 247916]","[117300, 193983]"
"150","region","Valparaíso","5","1998","Mujer",184119,117300,"[168147, 201267]","[102858, 120480]"
"151","region","Antofagasta","2","2000","Hombre",464677,260000,"[397596, 554010]","[240000, 285250]"
"152","region","Araucanía","9","2000","Hombre",260534,120000,"[227612, 303968]","[116324, 127820]"
"153","region","Arica y Parinacota","15","2000","Hombre",300749,147705,"[231116, 412882]","[130000, 181365]"
"154","region","Atacama","3","2000","Hombre",240294,180000,"[219845, 257045]","[160000, 182600]"
"155","region","Aysén","11","2000","Hombre",303119,179151,"[244737, 403077]","[150000, 184517]"
"156","region","Bíobío","8","2000","Hombre",320188,141668,"[285693, 398281]","[130000, 150000]"
"157","region","Coquimbo","4","2000","Hombre",236410,146080,"[220157, 254358]","[140000, 150000]"
"158","region","Los Lagos","10","2000","Hombre",214664,120000,"[195270, 232652]","[120000, 127820]"
"159","region","Los Ríos","14","2000","Hombre",173811,109560,"[154941, 203041]","[101308, 120000]"
"160","region","Magallanes","12","2000","Hombre",443275,222400,"[366091, 587250]","[182600, 300000]"
"161","region","Maule","7","2000","Hombre",263254,120000,"[242607, 297075]","[115000, 120000]"
"162","region","Metropolitana","13","2000","Hombre",402773,200000,"[381128, 429075]","[197375, 200000]"
"163","region","O'Higgins","6","2000","Hombre",206557,120000,"[192642, 223498]","[120000, 122502]"
"164","region","Tarapacá","1","2000","Hombre",289619,200000,"[266223, 321843]","[180000, 231573]"
"165","region","Valparaíso","5","2000","Hombre",262228,158000,"[245040, 282640]","[150000, 165689]"
"166","region","Antofagasta","2","2000","Mujer",229958,150000,"[197963, 268355]","[140000, 180000]"
"167","region","Araucanía","9","2000","Mujer",176658,100000,"[160478, 191138]","[100000, 109817]"
"168","region","Arica y Parinacota","15","2000","Mujer",160036,109560,"[124098, 219554]","[94585, 124105]"
"169","region","Atacama","3","2000","Mujer",163522,104539,"[139765, 193087]","[100000, 120000]"
"170","region","Aysén","11","2000","Mujer",200620,120000,"[174117, 232378]","[106960, 139967]"
"171","region","Bíobío","8","2000","Mujer",160428,120000,"[149984, 174335]","[105000, 127820]"
"172","region","Coquimbo","4","2000","Mujer",188145,109560,"[164966, 211461]","[100000, 120000]"
"173","region","Los Lagos","10","2000","Mujer",176707,110000,"[157663, 197167]","[100000, 120000]"
"174","region","Los Ríos","14","2000","Mujer",210953,100000,"[174420, 257722]","[100000, 120000]"
"175","region","Magallanes","12","2000","Mujer",302942,200000,"[255013, 375287]","[163325, 298102]"
"176","region","Maule","7","2000","Mujer",167123,103284,"[156305, 176597]","[100000, 110000]"
"177","region","Metropolitana","13","2000","Mujer",242556,150000,"[231586, 253525]","[150000, 160000]"
