"","geography_level","geography_name","geography_id","year","sex","weighted_mean_income","weighted_median_income","ci_weighted_mean_income","ci_weighted_median_income"
"1612","comuna","Molina","173","1996","Hombre",101785,70000,"[91215, 113749]","[69781, 78657]"
"1613","comuna","Molina","173","1996","Mujer",101785,70000,"[91215, 113749]","[69781, 78657]"
"1614","comuna","Mostazal","175","1996","Hombre",127998,80000,"[106644, 169110]","[71938, 90000]"
"1615","comuna","Mostazal","175","1996","Mujer",127998,80000,"[106644, 169110]","[71938, 90000]"
"1616","comuna","Mulchén","176","1996","Hombre",145169,83759,"[106160, 201661]","[69879, 100071]"
"1617","comuna","Mulchén","176","1996","Mujer",145169,83759,"[106160, 201661]","[69879, 100071]"
"1618","comuna","Natales","179","1996","Hombre",152727,110000,"[138907, 174906]","[100000, 120000]"
"1619","comuna","Natales","179","1996","Mujer",152727,110000,"[138907, 174906]","[100000, 120000]"
"1620","comuna","Nogales","183","1996","Hombre",131601,88000,"[92570, 182407]","[70713, 100000]"
"1621","comuna","Nogales","183","1996","Mujer",131601,88000,"[92570, 182407]","[70713, 100000]"
"1622","comuna","Ñuñoa","186","1996","Hombre",468378,300000,"[408604, 528480]","[268128, 317314]"
"1623","comuna","Ñuñoa","186","1996","Mujer",468378,300000,"[408604, 528480]","[268128, 317314]"
"1624","comuna","Osorno","191","1996","Hombre",157721,80000,"[128205, 204883]","[76932, 90000]"
"1625","comuna","Osorno","191","1996","Mujer",157721,80000,"[128205, 204883]","[76932, 90000]"
"1626","comuna","Ovalle","192","1996","Hombre",147284,80000,"[128454, 169960]","[75279, 85330]"
"1627","comuna","Ovalle","192","1996","Mujer",147284,80000,"[128454, 169960]","[75279, 85330]"
"1630","comuna","Paine","197","1996","Hombre",111955,80000,"[99846, 124607]","[73475, 90000]"
"1631","comuna","Paine","197","1996","Mujer",111955,80000,"[99846, 124607]","[73475, 90000]"
"1634","comuna","Parral","204","1996","Hombre",138135,79634,"[114805, 158273]","[65065, 92499]"
"1635","comuna","Parral","204","1996","Mujer",138135,79634,"[114805, 158273]","[65065, 92499]"
"1636","comuna","Pelarco","206","1996","Hombre",82294,66000,"[70249, 97239]","[60000, 70000]"
"1637","comuna","Pelarco","206","1996","Mujer",82294,66000,"[70249, 97239]","[60000, 70000]"
"1640","comuna","Peñaflor","211","1996","Hombre",135140,100000,"[107945, 165092]","[82950, 120000]"
"1641","comuna","Peñaflor","211","1996","Mujer",135140,100000,"[107945, 165092]","[82950, 120000]"
"1642","comuna","Peñalolén","212","1996","Hombre",163198,110923,"[134449, 201834]","[100000, 120000]"
"1643","comuna","Peñalolén","212","1996","Mujer",163198,110923,"[134449, 201834]","[100000, 120000]"
"1644","comuna","Penco","210","1996","Hombre",152549,100000,"[136749, 171662]","[90000, 110000]"
"1645","comuna","Penco","210","1996","Mujer",152549,100000,"[136749, 171662]","[90000, 110000]"
"1646","comuna","Pica","217","1996","Hombre",199350,163440,"[163183, 229027]","[125006, 200000]"
"1647","comuna","Pica","217","1996","Mujer",199350,163440,"[163183, 229027]","[125006, 200000]"
"1650","comuna","Pitrufquén","222","1996","Hombre",117671,81720,"[104312, 133640]","[70000, 99000]"
"1651","comuna","Pitrufquén","222","1996","Mujer",117671,81720,"[104312, 133640]","[70000, 99000]"
"1652","comuna","Porvenir","225","1996","Hombre",186618,120000,"[156433, 224556]","[100743, 142595]"
"1653","comuna","Porvenir","225","1996","Mujer",186618,120000,"[156433, 224556]","[100743, 142595]"
"1654","comuna","Pozo Almonte","226","1996","Hombre",185809,150000,"[151605, 220231]","[126900, 180000]"
"1655","comuna","Pozo Almonte","226","1996","Mujer",185809,150000,"[151605, 220231]","[126900, 180000]"
"1656","comuna","Providencia","228","1996","Hombre",660673,387726,"[460453, 889936]","[332829, 588053]"
"1657","comuna","Providencia","228","1996","Mujer",660673,387726,"[460453, 889936]","[332829, 588053]"
"1658","comuna","Pucón","230","1996","Hombre",77614,63000,"[65914, 100733]","[43031, 80000]"
"1659","comuna","Pucón","230","1996","Mujer",77614,63000,"[65914, 100733]","[43031, 80000]"
