"","geography_level","geography_name","geography_id","year","sexo","mean_income","median_income","ci_mean_income","ci_median_income"
"83","provincia","Petorca","p54","1990","Mujer",49815,30683,"[31026, 78174]","[19965, 31408]"
"84","provincia","Quillota","p55","1990","Mujer",53483,30200,"[29886, 92372]","[27107, 33220]"
"85","provincia","Ranco","p142","1990","Mujer",53975,36240,"[36580, 71329]","[25368, 42280]"
"86","provincia","San Antonio","p56","1990","Mujer",34360,31408,"[27680, 43257]","[29700, 39600]"
"87","provincia","San Felipe","p57","1990","Mujer",49709,36240,"[40482, 60913]","[31408, 42280]"
"88","provincia","Santiago","p131","1990","Mujer",67501,42280,"[64447, 70372]","[39600, 42280]"
"89","provincia","Talagante","p136","1990","Mujer",52829,36240,"[43371, 66766]","[33339, 36240]"
"90","provincia","Talca","p71","1990","Mujer",54244,33742,"[46625, 65735]","[31408, 36240]"
"91","provincia","Tamarugal","p12","1990","Mujer",47189,31408,"[36017, 62073]","[23209, 37448]"
"92","provincia","Tierra del Fuego","p123","1990","Mujer",43549,32616,"[29348, 58970]","[24160, 72578]"
"93","provincia","Tocopilla","p23","1990","Mujer",51025,36240,"[40225, 62923]","[31408, 48320]"
"94","provincia","Última Esperanza","p124","1990","Mujer",49453,29950,"[32368, 67078]","[21744, 32616]"
"95","provincia","Valdivia","p141","1990","Mujer",50174,36240,"[46073, 54951]","[34687, 41857]"
"96","provincia","Valparaíso","p51","1990","Mujer",48243,32616,"[42695, 54455]","[31408, 36240]"
"97","provincia","Antofagasta","p21","1992","Hombre",124063,85840,"[115967, 130914]","[85840, 92278]"
"98","provincia","Arauco","p82","1992","Hombre",98657,56874,"[86702, 110551]","[53650, 59015]"
"99","provincia","Arica","p151","1992","Hombre",132039,75110,"[115081, 149953]","[64380, 78280]"
"100","provincia","Aysén","p112","1992","Hombre",136578,69120,"[101473, 190613]","[64380, 75747]"
"101","provincia","Bíobío","p83","1992","Hombre",74294,48285,"[71254, 78057]","[47722, 49921]"
"102","provincia","Cachapoal","p61","1992","Hombre",136048,64380,"[121799, 152421]","[64380, 64493]"
"103","provincia","Cardenal Caro","p62","1992","Hombre",48788,40774,"[43251, 54268]","[38628, 42920]"
"104","provincia","Cauquenes","p72","1992","Hombre",70877,41418,"[53503, 86183]","[39237, 48453]"
"105","provincia","Cautín","p91","1992","Hombre",93653,58710,"[87240, 101088]","[58710, 64380]"
"106","provincia","Chacabuco","p133","1992","Hombre",87389,64380,"[81518, 94534]","[64380, 66943]"
"107","provincia","Chañaral","p32","1992","Hombre",148627,107300,"[134498, 163605]","[91661, 126227]"
"108","provincia","Chiloé","p102","1992","Hombre",114066,64581,"[95647, 139242]","[58710, 75110]"
"109","provincia","Choapa","p42","1992","Hombre",103314,61643,"[70545, 138199]","[54669, 78280]"
"110","provincia","Colchagua","p63","1992","Hombre",87722,53650,"[76328, 102669]","[48285, 53650]"
"111","provincia","Concepción","p81","1992","Hombre",95208,61161,"[88706, 102742]","[58710, 64380]"
"112","provincia","Copiapó","p31","1992","Hombre",130128,78280,"[118359, 142245]","[75110, 85840]"
"113","provincia","Cordillera","p152","1992","Hombre",144598,75110,"[123053, 169313]","[66340, 78280]"
"114","provincia","Coyhaique","p111","1992","Hombre",127466,76695,"[104789, 165510]","[68537, 84594]"
"115","provincia","Curicó","p73","1992","Hombre",130275,58710,"[111754, 149207]","[53650, 64380]"
"116","provincia","El Loa","p22","1992","Hombre",139852,85840,"[127044, 153247]","[80475, 96570]"
"117","provincia","Elqui","p41","1992","Hombre",97663,64380,"[89787, 106100]","[58710, 64380]"
"118","provincia","Huasco","p33","1992","Hombre",104153,62234,"[94404, 115247]","[58710, 68495]"
"119","provincia","Iquique","p11","1992","Hombre",181436,107300,"[159723, 202768]","[96570, 117740]"
"120","provincia","Limarí","p43","1992","Hombre",90444,55367,"[74564, 114597]","[49244, 59144]"
"121","provincia","Linares","p74","1992","Hombre",91304,48285,"[75692, 123012]","[45576, 48285]"
"122","provincia","Llanquihue","p101","1992","Hombre",116810,58710,"[104040, 131851]","[55571, 62127]"
"123","provincia","Los Andes","p53","1992","Hombre",136727,69745,"[116476, 164083]","[64380, 75747]"
"124","provincia","Magallanes","p121","1992","Hombre",171087,85840,"[148711, 206642]","[77188, 95497]"
"125","provincia","Maipo","p134","1992","Hombre",100303,64380,"[92461, 109194]","[64380, 64380]"
"126","provincia","Malleco","p92","1992","Hombre",73103,48285,"[65888, 80199]","[48285, 53650]"
"127","provincia","Marga Marga","p58","1992","Hombre",156981,92278,"[133935, 188041]","[80475, 97850]"
"128","provincia","Melipilla","p135","1992","Hombre",83955,58710,"[77582, 91802]","[58508, 61979]"
"129","provincia","Ñuble","p84","1992","Hombre",71863,42920,"[66602, 78596]","[42920, 44302]"
"130","provincia","Osorno","p103","1992","Hombre",100487,58710,"[90493, 108836]","[53650, 59015]"
"131","provincia","Petorca","p54","1992","Hombre",98371,58710,"[84678, 116105]","[55367, 64380]"
"132","provincia","Quillota","p55","1992","Hombre",112239,59981,"[85851, 156675]","[50847, 64380]"
"133","provincia","Ranco","p142","1992","Hombre",158644,82621,"[114404, 206200]","[64380, 128760]"
"134","provincia","San Antonio","p56","1992","Hombre",138499,85840,"[118183, 161163]","[75110, 87537]"
"135","provincia","San Felipe","p57","1992","Hombre",95491,53650,"[83765, 107767]","[51504, 59650]"
"136","provincia","Santiago","p131","1992","Hombre",204846,85840,"[194128, 215717]","[85840, 85840]"
"137","provincia","Talagante","p136","1992","Hombre",123345,67321,"[105874, 147507]","[64380, 72964]"
"138","provincia","Talca","p71","1992","Hombre",102156,53650,"[92705, 112542]","[49755, 58710]"
"139","provincia","Tamarugal","p12","1992","Hombre",121914,75110,"[103728, 141850]","[64532, 88065]"
"140","provincia","Tierra del Fuego","p123","1992","Hombre",116186,75110,"[89428, 155146]","[54441, 141984]"
"141","provincia","Tocopilla","p23","1992","Hombre",130377,85840,"[107007, 158137]","[75110, 107300]"
"142","provincia","Última Esperanza","p124","1992","Hombre",90933,64380,"[74671, 105006]","[53650, 66540]"
"143","provincia","Valdivia","p141","1992","Hombre",93262,51504,"[81477, 101779]","[48285, 53650]"
"144","provincia","Valparaíso","p51","1992","Hombre",161844,78712,"[138019, 190621]","[75110, 85840]"
"145","provincia","Antofagasta","p21","1992","Mujer",80860,58710,"[74865, 87045]","[53650, 64380]"
"146","provincia","Arauco","p82","1992","Mujer",71635,42920,"[59829, 83591]","[41418, 53650]"
"147","provincia","Arica","p151","1992","Mujer",92828,59015,"[77929, 108487]","[53650, 64380]"
"148","provincia","Aysén","p112","1992","Mujer",120181,59015,"[74792, 181297]","[48285, 67629]"
"149","provincia","Bíobío","p83","1992","Mujer",65413,40774,"[55711, 76822]","[40774, 42920]"
"150","provincia","Cachapoal","p61","1992","Mujer",82169,53650,"[73964, 95486]","[51504, 57942]"
"151","provincia","Cardenal Caro","p62","1992","Mujer",48947,45066,"[39623, 58365]","[34336, 53650]"
"152","provincia","Cauquenes","p72","1992","Mujer",62756,37555,"[41776, 87783]","[32190, 47840]"
"153","provincia","Cautín","p91","1992","Mujer",66493,48285,"[61757, 71607]","[42920, 53650]"
"154","provincia","Chacabuco","p133","1992","Mujer",63106,53650,"[56889, 71366]","[48323, 55796]"
"155","provincia","Chañaral","p32","1992","Mujer",102938,70818,"[85491, 129972]","[53650, 88065]"
"156","provincia","Chiloé","p102","1992","Mujer",64823,53650,"[54625, 73156]","[42920, 61832]"
"157","provincia","Choapa","p42","1992","Mujer",67657,54723,"[54331, 81855]","[48003, 71820]"
"158","provincia","Colchagua","p63","1992","Mujer",75274,53650,"[61629, 89123]","[45576, 58906]"
"159","provincia","Concepción","p81","1992","Mujer",73385,44382,"[66018, 81019]","[42920, 48621]"
"160","provincia","Copiapó","p31","1992","Mujer",90660,58710,"[78755, 106334]","[53650, 64380]"
"161","provincia","Cordillera","p152","1992","Mujer",110505,55045,"[85191, 150106]","[49559, 64380]"
"162","provincia","Coyhaique","p111","1992","Mujer",68783,53650,"[61697, 79157]","[42920, 56306]"
"163","provincia","Curicó","p73","1992","Mujer",80345,48285,"[65892, 94095]","[47212, 57942]"
"164","provincia","El Loa","p22","1992","Mujer",72488,42920,"[58507, 94840]","[42244, 48925]"
"165","provincia","Elqui","p41","1992","Mujer",73816,48285,"[62915, 85300]","[42920, 53650]"
"166","provincia","Huasco","p33","1992","Mujer",69598,48285,"[60087, 77657]","[42920, 55797]"
"167","provincia","Iquique","p11","1992","Mujer",121014,70818,"[103581, 141117]","[64380, 77403]"
"168","provincia","Limarí","p43","1992","Mujer",77775,42920,"[58901, 108640]","[41305, 49173]"
"169","provincia","Linares","p74","1992","Mujer",67907,42920,"[58629, 77694]","[41418, 52067]"
"170","provincia","Llanquihue","p101","1992","Mujer",86295,51504,"[73254, 100572]","[42920, 58710]"
"171","provincia","Los Andes","p53","1992","Mujer",76256,50273,"[64817, 86105]","[46676, 56156]"
"172","provincia","Magallanes","p121","1992","Mujer",112932,58906,"[96407, 133017]","[53650, 64380]"
"173","provincia","Maipo","p134","1992","Mujer",70148,53650,"[62331, 80235]","[53241, 55030]"
"174","provincia","Malleco","p92","1992","Mujer",61956,41418,"[51530, 74008]","[37555, 48285]"
"175","provincia","Marga Marga","p58","1992","Mujer",77395,53650,"[61238, 92323]","[41029, 64380]"
"176","provincia","Melipilla","p135","1992","Mujer",64934,42920,"[57961, 71917]","[41080, 48285]"
"177","provincia","Ñuble","p84","1992","Mujer",67262,41418,"[57605, 80018]","[40492, 42920]"
"178","provincia","Osorno","p103","1992","Mujer",70730,42920,"[60282, 87745]","[40774, 52631]"
"179","provincia","Petorca","p54","1992","Mujer",89323,46139,"[65787, 110503]","[41418, 53140]"
"180","provincia","Quillota","p55","1992","Mujer",89797,42920,"[49701, 157289]","[40774, 47266]"
"181","provincia","Ranco","p142","1992","Mujer",123015,75110,"[76618, 158728]","[60088, 95713]"
"182","provincia","San Antonio","p56","1992","Mujer",94560,58710,"[69900, 125046]","[48795, 64380]"
"183","provincia","San Felipe","p57","1992","Mujer",69854,42920,"[57100, 87944]","[41678, 42920]"
"184","provincia","Santiago","p131","1992","Mujer",119405,64380,"[113509, 126451]","[64380, 64380]"
"185","provincia","Talagante","p136","1992","Mujer",80484,53650,"[70147, 91857]","[48285, 57942]"
