"","geography_level","geography_name","geography_id","year","sexo","mean_income","median_income","ci_mean_income","ci_median_income"
"119","comuna","San Clemente","282","1990","Hombre",45213,31408,"[36842, 55942]","[30200, 36240]"
"120","comuna","San Felipe","285","1990","Hombre",95535,41072,"[61903, 149173]","[38248, 43488]"
"121","comuna","San Fernando","286","1990","Hombre",55522,42425,"[48271, 63695]","[36240, 48320]"
"122","comuna","San Joaquín","290","1990","Hombre",64331,49500,"[56329, 73670]","[48320, 57903]"
"123","comuna","San José de Maipo","291","1990","Hombre",89284,51084,"[73625, 116827]","[46287, 54360]"
"124","comuna","San Miguel","293","1990","Hombre",98213,60400,"[82878, 113515]","[54360, 70890]"
"125","comuna","San Nicolás","294","1990","Hombre",58765,29700,"[40304, 82881]","[21871, 33001]"
"126","comuna","San Pedro","296","1990","Hombre",41063,32616,"[35791, 47568]","[31408, 36240]"
"127","comuna","San Ramón","300","1990","Hombre",59173,42570,"[52284, 67150]","[39600, 48320]"
"128","comuna","San Vicente","302","1990","Hombre",47235,36240,"[42017, 55241]","[35032, 37700]"
"129","comuna","Santa Cruz","304","1990","Hombre",37245,31408,"[32024, 43672]","[31408, 33824]"
"130","comuna","Santiago","307","1990","Hombre",85960,60400,"[77378, 98219]","[59400, 64719]"
"131","comuna","Sierra Gorda","309","1990","Hombre",94849,72480,"[74554, 135431]","[63269, 84560]"
"132","comuna","Talagante","310","1990","Hombre",75734,42570,"[61579, 91435]","[40873, 48320]"
"133","comuna","Talca","311","1990","Hombre",83597,48320,"[73386, 97072]","[42280, 51304]"
"134","comuna","Talcahuano","312","1990","Hombre",99921,59400,"[79985, 122105]","[48320, 60400]"
"135","comuna","Temuco","314","1990","Hombre",99105,48320,"[82109, 116393]","[42280, 50436]"
"136","comuna","Teno","315","1990","Hombre",56129,31408,"[40358, 78665]","[30200, 35105]"
"137","comuna","Teodoro Schmidt","316","1990","Hombre",40517,29700,"[34097, 48844]","[25945, 33001]"
"138","comuna","Tierra Amarilla","317","1990","Hombre",60821,48320,"[52345, 70931]","[43488, 60019]"
"139","comuna","Tiltil","318","1990","Hombre",70289,48320,"[59116, 81505]","[42854, 50736]"
"140","comuna","Tocopilla","321","1990","Hombre",70423,54360,"[61028, 82759]","[50729, 60400]"
