"","geography_level","geography_name","geography_id","sex","year","weighted_mean","weighted_median","ci_weighted_mean","ci_weighted_median"
"112","comuna","Calera","22","Hombre",2013,497680.287363639,300401.035751127,"[357904, 832841]","[256347, 398489]"
"113","comuna","Calera","22","Hombre",2014,535519.852228204,413300.277897289,"[462763, 629873]","[351390, 503676]"
"114","comuna","Calera","22","Hombre",2015,455561.106873774,320829.89435433,"[380906, 544734]","[300156, 469931]"
"115","comuna","Calera de Tango","23","Hombre",2010,685351.892382425,350342.53278528,"[348130, 1095396]","[180176, 1201174]"
"116","comuna","Calera de Tango","23","Hombre",2011,1005000.67917614,587827.426080364,"[509074, 1483117]","[235633, 1406766]"
"117","comuna","Calera de Tango","23","Hombre",2012,695116.02034443,331854.957611499,"[256350, 1262381]","[241349, 482698]"
"118","comuna","Calera de Tango","23","Hombre",2013,551190.613345385,332116.115680074,"[308771, 910003]","[210285, 801085]"
"119","comuna","Calera de Tango","23","Hombre",2014,631874.983080211,325861.28482092,"[357816, 1089353]","[202085, 758322]"
"120","comuna","Calera de Tango","23","Hombre",2015,757857.135354561,527139.170590368,"[471330, 1308563]","[360864, 652648]"
"121","comuna","Calle Larga","24","Hombre",2010,224507.282143133,199981.943538663,"[191711, 263924]","[160157, 243557]"
"122","comuna","Calle Larga","24","Hombre",2011,355143.513639751,206809.426899811,"[263105, 501384]","[194600, 300300]"
"123","comuna","Calle Larga","24","Hombre",2012,370387.925320282,274136.767650758,"[300425, 500128]","[220583, 321518]"
"124","comuna","Calle Larga","24","Hombre",2013,578763.683002579,253074.917867685,"[345062, 914959]","[225305, 319523]"
"125","comuna","Calle Larga","24","Hombre",2014,364784.065635191,288116.110792735,"[296125, 443724]","[252606, 354387]"
"126","comuna","Calle Larga","24","Hombre",2015,416582.692276774,334732.590784448,"[330434, 498303]","[286161, 430353]"
"127","comuna","Camarones","25","Hombre",2010,209934.766839272,151667.267203527,"[169562, 258846]","[89468, 298362]"
"128","comuna","Camarones","25","Hombre",2011,154157.696247766,94980.6295399516,"[110898, 195816]","[78881, 164948]"
"129","comuna","Camarones","25","Hombre",2012,218292.623664846,101525.020268785,"[112573, 415478]","[79020, 148139]"
"130","comuna","Camarones","25","Hombre",2013,106572.890000646,50067.7812923635,"[45855, 184707]","[32044, 185251]"
"131","comuna","Canela","27","Hombre",2010,477834.328560047,296723.976508459,"[292343, 808551]","[229777, 419838]"
"132","comuna","Canela","27","Hombre",2011,401804.564123594,300916.947852716,"[277610, 533012]","[199376, 392890]"
"133","comuna","Canela","27","Hombre",2012,343625.412898255,279109.87082197,"[246599, 447506]","[200902, 342633]"
"134","comuna","Canela","27","Hombre",2013,406069.74000053,320234.877458903,"[325612, 488548]","[253476, 499309]"
"135","comuna","Canela","27","Hombre",2014,410568.542618272,306045.912050319,"[295784, 511546]","[249667, 399963]"
"136","comuna","Canela","27","Hombre",2015,695785.00953544,297978.984093217,"[380803, 1253909]","[200000, 451269]"
"137","comuna","Cañete","28","Hombre",2010,257137.83651381,169883.732291158,"[207533, 331870]","[150043, 204865]"
"138","comuna","Cañete","28","Hombre",2011,238019.06073415,179424.649807276,"[180285, 287632]","[149521, 200967]"
"139","comuna","Cañete","28","Hombre",2012,308844.679036508,169589.782741544,"[205691, 518684]","[152790, 200799]"
"140","comuna","Cañete","28","Hombre",2013,275818.063441832,200271.125169454,"[206233, 359629]","[166004, 236511]"
"141","comuna","Cañete","28","Hombre",2014,267615.358192618,181215.144526552,"[198856, 358869]","[134446, 225000]"
"142","comuna","Cañete","28","Hombre",2015,285295.8570395,229844.423116578,"[230418, 389645]","[200000, 279537]"
"143","comuna","Carahue","29","Hombre",2010,117763.152372188,80694.9033450742,"[97700, 144587]","[67180, 128982]"
"144","comuna","Carahue","29","Hombre",2011,134324.67743736,77822.0624678769,"[97061, 192235]","[60120, 115066]"
"145","comuna","Carahue","29","Hombre",2012,118467.274489334,90241.9426855653,"[86946, 146999]","[64465, 119291]"
"146","comuna","Carahue","29","Hombre",2013,142286.163874556,114596.591273468,"[112442, 175027]","[74480, 129248]"
"147","comuna","Carahue","29","Hombre",2014,169785.900224997,143972.4784269,"[137316, 198719]","[94189, 185937]"
"148","comuna","Carahue","29","Hombre",2015,188947.537289772,159667.398885582,"[130844, 248718]","[92682, 200000]"
"149","comuna","Cartagena","30","Hombre",2010,213389.988551026,173115.578432379,"[144131, 332007]","[151287, 220000]"
"150","comuna","Cartagena","30","Hombre",2011,311002.726332612,259168.93861051,"[204195, 457533]","[178428, 377539]"
"151","comuna","Cartagena","30","Hombre",2012,355819.873997709,251127.577319588,"[208723, 617500]","[198265, 351579]"
"152","comuna","Cartagena","30","Hombre",2013,258044.076804731,259018.162201043,"[200877, 319098]","[199245, 298867]"
"153","comuna","Cartagena","30","Hombre",2014,213793.237077318,236455.653478342,"[110146, 293278]","[79985, 321252]"
"154","comuna","Cartagena","30","Hombre",2015,383703.806602924,400108.244632872,"[300721, 451322]","[240065, 510138]"
"155","comuna","Casablanca","31","Hombre",2010,389900.244828352,249829.018075232,"[268513, 569711]","[219850, 600314]"
"156","comuna","Casablanca","31","Hombre",2011,338115.784525712,249200.902510106,"[229036, 485787]","[185206, 593098]"
"157","comuna","Casablanca","31","Hombre",2012,252993.09646539,193870.489690722,"[159825, 404064]","[120541, 251128]"
"158","comuna","Casablanca","31","Hombre",2014,573762.082660181,381434.52719348,"[294461, 963669]","[194380, 424377]"
"159","comuna","Casablanca","31","Hombre",2015,785649.764578055,401629.844259328,"[342853, 1530725]","[321304, 446813]"
"160","comuna","Castro","32","Hombre",2010,258546.553108578,173063.879503669,"[205295, 321122]","[146700, 200063]"
"161","comuna","Castro","32","Hombre",2011,316497.091300727,253405.600955263,"[279818, 363540]","[219297, 299475]"
"162","comuna","Castro","32","Hombre",2012,454207.524627627,280877.166553979,"[361986, 548987]","[222373, 351783]"
"163","comuna","Castro","32","Hombre",2013,407147.781372014,291812.391009002,"[339029, 494589]","[250339, 321238]"
"164","comuna","Castro","32","Hombre",2014,471613.689712629,295938.897164525,"[390554, 557668]","[248730, 314694]"
"165","comuna","Castro","32","Hombre",2015,463374.701421616,300968.488080465,"[374126, 569155]","[274763, 357610]"
"166","comuna","Catemu","33","Hombre",2010,291378.951736498,204784.799582614,"[238483, 363929]","[177845, 267463]"
"167","comuna","Catemu","33","Hombre",2011,317158.721852066,251208.301743745,"[271339, 369237]","[229265, 290401]"
"168","comuna","Catemu","33","Hombre",2012,418276.934043789,392192.222631772,"[341574, 500578]","[271421, 406374]"
"169","comuna","Catemu","33","Hombre",2013,361565.967142664,349699.111965198,"[315352, 423452]","[301747, 398049]"
"170","comuna","Catemu","33","Hombre",2014,434419.58162567,412107.802482392,"[360564, 502317]","[301471, 499990]"
"171","comuna","Catemu","33","Hombre",2015,543390.025359863,377005.413103944,"[384394, 778028]","[300332, 401869]"
"172","comuna","Cauquenes","34","Hombre",2010,205163.536430645,170251.317147915,"[172966, 249071]","[150028, 174241]"
"173","comuna","Cauquenes","34","Hombre",2011,227045.267372504,193134.89217091,"[202653, 262404]","[179470, 201184]"
"174","comuna","Cauquenes","34","Hombre",2012,248808.455522223,216557.473532296,"[216034, 292045]","[193870, 235731]"
"175","comuna","Cauquenes","34","Hombre",2013,278568.005949328,211748.76240061,"[231994, 321750]","[209207, 240434]"
"176","comuna","Cauquenes","34","Hombre",2014,284755.352887713,225000,"[248173, 327756]","[219086, 252561]"
"177","comuna","Cauquenes","34","Hombre",2015,323870.625756232,241000,"[263186, 384178]","[215929, 251613]"
"178","comuna","Cerrillos","35","Hombre",2010,267904.520755026,213853.639472399,"[213021, 326420]","[199863, 291987]"
"179","comuna","Cerrillos","35","Hombre",2011,450897.559695576,402522.521322685,"[340129, 601866]","[250000, 514226]"
"180","comuna","Cerrillos","35","Hombre",2012,499592.457027051,426960.775016054,"[379732, 637198]","[277899, 652932]"
"181","comuna","Cerrillos","35","Hombre",2013,550607.00661233,498111.850386621,"[407294, 743100]","[298913, 640578]"
