"","geography_level","geography_name","geography_id","sex","icse","year","weighted_mean","weighted_median","ci_weighted_mean","ci_weighted_median"
"68","comuna","Buin","14","Hombre","Asalariado Sector Privado",2011,443548.436435084,249949.427735067,"[280149, 675701]","[219776, 355134]"
"69","comuna","Buin","14","Hombre","Asalariado Sector Privado",2012,418552.716907458,272482.082262749,"[319885, 567748]","[230507, 368410]"
"70","comuna","Buin","14","Hombre","Asalariado Sector Privado",2013,696015.71428637,350621.444998535,"[415992, 1068573]","[276925, 495449]"
"71","comuna","Buin","14","Hombre","Asalariado Sector Privado",2014,457562.809377933,350000,"[347117, 580190]","[272080, 400000]"
"72","comuna","Buin","14","Hombre","Asalariado Sector Privado",2015,585105.825559618,338587.815333246,"[380225, 743650]","[294629, 374885]"
"73","comuna","Bulnes","15","Hombre","Asalariado Sector Privado",2010,191623.712929148,170669.979999218,"[158642, 223737]","[156946, 180176]"
"74","comuna","Bulnes","15","Hombre","Asalariado Sector Privado",2011,184261.755519605,170664.402961869,"[158961, 213483]","[149172, 200000]"
"75","comuna","Bulnes","15","Hombre","Asalariado Sector Privado",2012,287955.411131772,204292.845972937,"[225448, 353477]","[184238, 249480]"
"76","comuna","Bulnes","15","Hombre","Asalariado Sector Privado",2013,277789.472212871,210000,"[201735, 329270]","[196000, 253217]"
"77","comuna","Bulnes","15","Hombre","Asalariado Sector Privado",2014,288532.871047185,226831.250593869,"[228413, 377494]","[203672, 265442]"
"78","comuna","Bulnes","15","Hombre","Asalariado Sector Privado",2015,335873.324338526,260284.809093138,"[285377, 393792]","[248000, 339094]"
"79","comuna","Cabildo","16","Hombre","Asalariado Sector Privado",2010,238448.980090029,200195.73302016,"[201357, 284788]","[182843, 299807]"
"80","comuna","Cabildo","16","Hombre","Asalariado Sector Privado",2011,392884.751920994,381449.308855747,"[321041, 479219]","[230783, 456449]"
"81","comuna","Cabildo","16","Hombre","Asalariado Sector Privado",2012,486575.557960497,394166.514941854,"[407330, 627518]","[262032, 617302]"
"82","comuna","Cabildo","16","Hombre","Asalariado Sector Privado",2013,380484.242535292,295526.209336437,"[307889, 461909]","[209265, 384740]"
"83","comuna","Cabildo","16","Hombre","Asalariado Sector Privado",2014,475955.51977574,382859.767753568,"[366356, 592294]","[259951, 599946]"
"84","comuna","Cabildo","16","Hombre","Asalariado Sector Privado",2015,479526.237685507,446472.404772295,"[415257, 534246]","[381854, 588643]"
"85","comuna","Cabrero","18","Hombre","Asalariado Sector Privado",2010,296463.821721954,221172.718666549,"[222137, 384486]","[176332, 260449]"
"86","comuna","Cabrero","18","Hombre","Asalariado Sector Privado",2011,353425.014827151,246700.520940358,"[242411, 481412]","[206574, 299041]"
"87","comuna","Cabrero","18","Hombre","Asalariado Sector Privado",2012,322407.307795718,224125.859098852,"[218880, 424006]","[197024, 312658]"
"88","comuna","Cabrero","18","Hombre","Asalariado Sector Privado",2013,314910.989555517,273440.460639139,"[227061, 370234]","[209207, 398489]"
"89","comuna","Cabrero","18","Hombre","Asalariado Sector Privado",2014,359296.011198074,342416.355810455,"[291736, 432188]","[229500, 399925]"
"90","comuna","Cabrero","18","Hombre","Asalariado Sector Privado",2015,348559.915189702,348072.068624111,"[307108, 388521]","[300081, 400108]"
"91","comuna","Calama","19","Hombre","Asalariado Sector Privado",2010,629287.689984887,449692.232535418,"[533580, 723813]","[380000, 480893]"
"92","comuna","Calama","19","Hombre","Asalariado Sector Privado",2011,631038.041007703,480000,"[557694, 700570]","[416946, 508319]"
"93","comuna","Calama","19","Hombre","Asalariado Sector Privado",2012,739892.523384043,602706.18556701,"[664064, 843384]","[540000, 673911]"
"94","comuna","Calama","19","Hombre","Asalariado Sector Privado",2013,816785.077740038,687408.91053405,"[715958, 910557]","[599999, 721694]"
"95","comuna","Calama","19","Hombre","Asalariado Sector Privado",2014,786954.485875145,599887.492968311,"[669746, 977267]","[500215, 697175]"
"96","comuna","Calama","19","Hombre","Asalariado Sector Privado",2015,835682.278353081,600067.672451417,"[730137, 974535]","[524820, 700189]"
"97","comuna","Calbuco","20","Hombre","Asalariado Sector Privado",2010,257903.500901659,227056.318062197,"[212650, 335005]","[201420, 255436]"
"98","comuna","Calbuco","20","Hombre","Asalariado Sector Privado",2011,384839.047782397,303640.296450433,"[249713, 575687]","[216306, 330146]"
"99","comuna","Calbuco","20","Hombre","Asalariado Sector Privado",2012,287886.181277967,331488.402061856,"[245045, 341463]","[193870, 351579]"
"100","comuna","Calbuco","20","Hombre","Asalariado Sector Privado",2013,326470.844442899,347929.850876927,"[257103, 377688]","[288643, 351169]"
"101","comuna","Calbuco","20","Hombre","Asalariado Sector Privado",2014,368362.995511618,342313.175905327,"[317121, 413242]","[300000, 400652]"
"102","comuna","Calbuco","20","Hombre","Asalariado Sector Privado",2015,488066.279704222,393753.42087548,"[385731, 591813]","[365454, 510138]"
"103","comuna","Caldera","21","Hombre","Asalariado Sector Privado",2010,344360.989244472,320079.614089427,"[264942, 424734]","[249517, 403666]"
"104","comuna","Caldera","21","Hombre","Asalariado Sector Privado",2011,411039.071706597,319096.712124223,"[314713, 503614]","[260000, 588262]"
"105","comuna","Caldera","21","Hombre","Asalariado Sector Privado",2012,427003.903660689,377479.594284822,"[290760, 527181]","[201124, 505765]"
"106","comuna","Caldera","21","Hombre","Asalariado Sector Privado",2013,507512.230455461,402420.744137593,"[384732, 653229]","[352918, 561067]"
"107","comuna","Caldera","21","Hombre","Asalariado Sector Privado",2014,621978.466681305,533811.67297119,"[478957, 872120]","[354053, 700914]"
"108","comuna","Caldera","21","Hombre","Asalariado Sector Privado",2015,557854.854059373,485296.44960441,"[392414, 744777]","[360993, 643297]"
"109","comuna","Calera","22","Hombre","Asalariado Sector Privado",2010,436836.674192659,300269.064957341,"[328902, 596094]","[202626, 370488]"
"110","comuna","Calera","22","Hombre","Asalariado Sector Privado",2011,290620.771297352,210916.039213709,"[247246, 342269]","[189684, 292742]"
"111","comuna","Calera","22","Hombre","Asalariado Sector Privado",2012,365082.684370354,244096.005154639,"[285249, 510705]","[201477, 299986]"
"112","comuna","Calera","22","Hombre","Asalariado Sector Privado",2013,561359.786619977,355224.923351655,"[369593, 1493311]","[275122, 400542]"
"113","comuna","Calera","22","Hombre","Asalariado Sector Privado",2014,590651.612546972,449915.619726233,"[508145, 682431]","[376145, 551132]"
"114","comuna","Calera","22","Hombre","Asalariado Sector Privado",2015,470499.681977907,345754.928612807,"[382736, 560765]","[295080, 393597]"
"115","comuna","Calera de Tango","23","Hombre","Asalariado Sector Privado",2010,718202.192209824,215210.412996672,"[160157, 1771732]","[140137, 2302251]"
"116","comuna","Calera de Tango","23","Hombre","Asalariado Sector Privado",2011,710919.493934798,246184.13570887,"[220812, 1435132]","[200967, 1037804]"
"117","comuna","Calera de Tango","23","Hombre","Asalariado Sector Privado",2012,852766.678953186,301686.325101363,"[262316, 1979062]","[241349, 3117425]"
"118","comuna","Calera de Tango","23","Hombre","Asalariado Sector Privado",2013,402258.859983218,210284.681427927,"[185501, 665472]","[192260, 801085]"
"119","comuna","Calera de Tango","23","Hombre","Asalariado Sector Privado",2014,460247.489103656,325861.28482092,"[309909, 662888]","[227345, 767921]"
"120","comuna","Calera de Tango","23","Hombre","Asalariado Sector Privado",2015,525805.185750507,489486.372691056,"[440276, 670204]","[360864, 634136]"
"121","comuna","Calle Larga","24","Hombre","Asalariado Sector Privado",2010,233487.808944996,210516.734016559,"[196586, 268313]","[170049, 260234]"
"122","comuna","Calle Larga","24","Hombre","Asalariado Sector Privado",2011,264571.513237892,204548.052476039,"[219367, 301518]","[185900, 224150]"
"123","comuna","Calle Larga","24","Hombre","Asalariado Sector Privado",2012,340775.843463555,293272.048134312,"[275766, 421242]","[231293, 362753]"
"124","comuna","Calle Larga","24","Hombre","Asalariado Sector Privado",2013,328793.267759148,255417.705521055,"[269448, 398798]","[222032, 320434]"
"125","comuna","Calle Larga","24","Hombre","Asalariado Sector Privado",2014,351685.389975599,287119.3118171,"[293431, 426442]","[254057, 355661]"
