"","geography_level","geography_name","geography_id","sex","company_size","year","weighted_mean","weighted_median","ci_weighted_mean","ci_weighted_median"
"159","comuna","Cartagena","30","Hombre","Menos de 5",2013,197252.292753102,199244.740154648,"[129509, 252393]","[79698, 298867]"
"160","comuna","Cartagena","30","Hombre","Menos de 5",2014,79984.9990624416,79984.9990624416,"[9998, 149972]","[9998, 149972]"
"161","comuna","Cartagena","30","Hombre","Menos de 5",2015,300081.183474654,300081.183474654,"[300081, 300081]","[300081, 300081]"
"162","comuna","Casablanca","31","Hombre","Menos de 5",2010,240045.21406937,215271.668978993,"[190289, 312496]","[179877, 349761]"
"163","comuna","Casablanca","31","Hombre","Menos de 5",2011,194376.703957883,194376.703957883,"[139553, 249201]","[139553, 249201]"
"164","comuna","Casablanca","31","Hombre","Menos de 5",2012,157373.281786942,120541.237113402,"[100451, 251128]","[100451, 251128]"
"165","comuna","Casablanca","31","Hombre","Menos de 5",2014,794865.769692373,808338.0708736,"[262710, 1313549]","[262710, 1313549]"
"166","comuna","Casablanca","31","Hombre","Menos de 5",2015,373515.755161175,401629.844259328,"[246099, 522119]","[100407, 602445]"
"167","comuna","Castro","32","Hombre","Menos de 5",2010,200880.667521808,115942.142641967,"[128892, 295183]","[93273, 168771]"
"168","comuna","Castro","32","Hombre","Menos de 5",2011,238745.107402649,169740.882915807,"[176577, 300176]","[149975, 211922]"
"169","comuna","Castro","32","Hombre","Menos de 5",2012,297370.04583976,200000,"[196322, 488523]","[170540, 229166]"
"170","comuna","Castro","32","Hombre","Menos de 5",2013,212267.351204458,190000,"[173464, 270856]","[150131, 220000]"
"171","comuna","Castro","32","Hombre","Menos de 5",2014,297132.56211062,219647.72629647,"[214274, 382173]","[199962, 251348]"
"172","comuna","Castro","32","Hombre","Menos de 5",2015,369029.36179185,250000,"[262879, 500081]","[200815, 300378]"
"173","comuna","Catemu","33","Hombre","Menos de 5",2010,226231.802721642,164122.188296525,"[154825, 352056]","[137905, 266741]"
"174","comuna","Catemu","33","Hombre","Menos de 5",2011,263789.130481042,199360.722008085,"[191029, 388282]","[162501, 318860]"
"175","comuna","Catemu","33","Hombre","Menos de 5",2012,304976.716565016,242509.396229898,"[180343, 440298]","[58431, 409730]"
"176","comuna","Catemu","33","Hombre","Menos de 5",2013,299708.319514056,255243.779921273,"[180260, 446569]","[125861, 490585]"
"177","comuna","Catemu","33","Hombre","Menos de 5",2014,310126.422360007,301479.946605996,"[257972, 377022]","[227345, 411903]"
"178","comuna","Catemu","33","Hombre","Menos de 5",2015,925192.963856555,372548.67666858,"[279545, 2008452]","[259144, 428028]"
"179","comuna","Cauquenes","34","Hombre","Menos de 5",2010,174981.943814019,150000,"[124169, 255949]","[112820, 170651]"
"180","comuna","Cauquenes","34","Hombre","Menos de 5",2011,179105.384044434,149520.541506064,"[150024, 208118]","[122185, 178245]"
"181","comuna","Cauquenes","34","Hombre","Menos de 5",2012,218675.751165102,194596.306136637,"[180758, 256713]","[129824, 233474]"
"182","comuna","Cauquenes","34","Hombre","Menos de 5",2013,252709.429009039,212357.663430996,"[194896, 322443]","[180000, 244565]"
"183","comuna","Cauquenes","34","Hombre","Menos de 5",2014,223719.810654599,201109.492885076,"[195713, 275935]","[199389, 245067]"
"184","comuna","Cauquenes","34","Hombre","Menos de 5",2015,227803.460992997,200171.248610273,"[171956, 296589]","[140327, 248351]"
"185","comuna","Cerrillos","35","Hombre","Menos de 5",2010,228874.165685474,199998.081919241,"[159739, 338019]","[102853, 300000]"
"186","comuna","Cerrillos","35","Hombre","Menos de 5",2011,302338.06785874,250000,"[184038, 522478]","[142446, 453086]"
"187","comuna","Cerrillos","35","Hombre","Menos de 5",2012,302439.169504864,232195.812546079,"[158780, 502478]","[78480, 499830]"
"188","comuna","Cerrillos","35","Hombre","Menos de 5",2013,557197.005291041,257585.964073129,"[267032, 1229236]","[199245, 796979]"
"189","comuna","Cerrillos","35","Hombre","Menos de 5",2014,221088.03954787,207317.073170732,"[138850, 327714]","[80000, 312434]"
"190","comuna","Cerrillos","35","Hombre","Menos de 5",2015,316876.191540829,231657.328883435,"[199620, 488561]","[200030, 595334]"
"191","comuna","Cerro Navia","36","Hombre","Menos de 5",2010,184942.129292214,173862.516602856,"[112682, 244789]","[75704, 240500]"
"192","comuna","Cerro Navia","36","Hombre","Menos de 5",2011,334973.220690803,199882.965014444,"[179233, 628424]","[104632, 300213]"
"193","comuna","Cerro Navia","36","Hombre","Menos de 5",2012,209434.516228628,166351.716850797,"[151982, 311781]","[90506, 301686]"
"194","comuna","Cerro Navia","36","Hombre","Menos de 5",2013,224466.817739233,207944.497932318,"[167777, 285238]","[150203, 283553]"
"195","comuna","Cerro Navia","36","Hombre","Menos de 5",2014,305801.31125371,303126.7765776,"[250626, 350282]","[247120, 357035]"
"196","comuna","Cerro Navia","36","Hombre","Menos de 5",2015,292533.231806755,268741.527250442,"[240093, 340238]","[221348, 321304]"
"197","comuna","Chañaral","39","Hombre","Menos de 5",2010,258207.491406625,240818.374141914,"[195097, 348848]","[189531, 299795]"
"198","comuna","Chañaral","39","Hombre","Menos de 5",2011,272034.337606418,201085.272545996,"[184091, 462637]","[199361, 249201]"
"199","comuna","Chañaral","39","Hombre","Menos de 5",2012,383243.333307792,291365.788688718,"[227381, 539871]","[156036, 409870]"
"200","comuna","Chañaral","39","Hombre","Menos de 5",2013,328806.227389303,330202.697214384,"[308145, 346558]","[300407, 352603]"
"201","comuna","Chañaral","39","Hombre","Menos de 5",2014,271643.96834618,188940.380093096,"[192025, 348665]","[151563, 404169]"
"202","comuna","Chañaral","39","Hombre","Menos de 5",2015,321278.892087548,350639.202445974,"[229473, 402457]","[177428, 416248]"
"203","comuna","Chanco","38","Hombre","Menos de 5",2010,143437.944147866,92967.4129435132,"[88669, 217225]","[33366, 146462]"
"204","comuna","Chanco","38","Hombre","Menos de 5",2011,304292.412251345,152053.762600895,"[182305, 476490]","[103304, 250000]"
"205","comuna","Chanco","38","Hombre","Menos de 5",2012,187561.293115541,120620.698382987,"[142637, 250064]","[100451, 200468]"
"206","comuna","Chanco","38","Hombre","Menos de 5",2013,238235.394784305,199839.181780767,"[171880, 350427]","[120165, 226089]"
"207","comuna","Chanco","38","Hombre","Menos de 5",2014,192193.407737021,157874.955948129,"[155258, 236477]","[110141, 250918]"
"208","comuna","Chanco","38","Hombre","Menos de 5",2015,256388.964084875,222099.637981265,"[185090, 370883]","[153667, 250949]"
"209","comuna","Chépica","40","Hombre","Menos de 5",2010,277043.448474212,214113.27329666,"[159573, 481919]","[171869, 300294]"
"210","comuna","Chépica","40","Hombre","Menos de 5",2011,226823.726555977,239018.476151718,"[169373, 274665]","[150725, 301450]"
"211","comuna","Chépica","40","Hombre","Menos de 5",2012,191010.516004613,126749.697593979,"[106368, 285368]","[99498, 357551]"
"212","comuna","Chépica","40","Hombre","Menos de 5",2013,227246.448156554,127921.929476241,"[116724, 403465]","[92282, 345400]"
"213","comuna","Chépica","40","Hombre","Menos de 5",2014,202856.172785336,180000,"[109842, 324275]","[63657, 351727]"
"214","comuna","Chépica","40","Hombre","Menos de 5",2015,107427.46305581,91315.0122387399,"[66026, 149251]","[50000, 181372]"
"215","comuna","Chiguayante","41","Hombre","Menos de 5",2010,234987.213947386,188432.201812123,"[173210, 339687]","[148302, 245802]"
"216","comuna","Chiguayante","41","Hombre","Menos de 5",2011,253178.80643778,168952.601817933,"[160760, 387281]","[100111, 200681]"
"217","comuna","Chiguayante","41","Hombre","Menos de 5",2012,245513.425077498,201921.463568405,"[197671, 296369]","[150677, 293812]"
