"","sexo","oficio_id","provincia","1990","1992","1994","1996","1998","2000","2003","2006","2009","2011","2013","2015"
"79","Hombre","Oficiales, Operarios y Artesanos","Cautín",39600,NA,85680,NA,NA,120000,NA,NA,NA,NA,NA,NA
"80","Hombre","Operadores y Montadores","Cautín",78520,58710,85680,NA,NA,117000,NA,NA,NA,NA,NA,NA
"81","Hombre","Profesionales y Científicos","Cautín",50490,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","Hombre","Técnicos y Profesionales Nivel Medio","Cautín",49500,118030,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","Hombre","Trabajadores No Calificados","Cautín",36240,42920,NA,62000,80320,NA,1e+05,121200,165750,196920,210000,241000
"84","Hombre","Agricultores y  y Trabajadores Calificados","Chacabuco",36361,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","Hombre","Comerciantes y Vendedores","Chacabuco",47112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","Hombre","Empleados de Oficina","Chacabuco",37866,NA,NA,130000,200800,NA,180000,202000,342550,240680,310000,4e+05
"87","Hombre","Ff.aa.","Chacabuco",63420,NA,133875,NA,NA,317926,NA,NA,NA,NA,NA,NA
"88","Hombre","Miembros del Poder Ejecutivo","Chacabuco",119800,NA,NA,NA,NA,NA,NA,NA,748349,NA,NA,NA
"89","Hombre","Oficiales, Operarios y Artesanos","Chacabuco",48320,NA,115133,NA,NA,147212,NA,NA,NA,NA,NA,NA
"90","Hombre","Operadores y Montadores","Chacabuco",57380,75110,107100,NA,NA,150000,NA,NA,NA,NA,NA,NA
"91","Hombre","Profesionales y Científicos","Chacabuco",54360,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","Hombre","Técnicos y Profesionales Nivel Medio","Chacabuco",57380,92278,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93","Hombre","Agricultores y  y Trabajadores Calificados","Chañaral",102960,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94","Hombre","Comerciantes y Vendedores","Chañaral",78520,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95","Hombre","Empleados de Oficina","Chañaral",33824,NA,NA,250000,140560,NA,2e+05,262600,248625,463856,5e+05,350000
"96","Hombre","Ff.aa.","Chañaral",203548,NA,107100,NA,NA,294500,NA,NA,NA,NA,NA,NA
"97","Hombre","Miembros del Poder Ejecutivo","Chañaral",637650,NA,NA,NA,NA,NA,NA,NA,347912,NA,NA,NA
"98","Hombre","Oficiales, Operarios y Artesanos","Chañaral",59400,NA,121040,NA,NA,167000,NA,NA,NA,NA,NA,NA
"99","Hombre","Operadores y Montadores","Chañaral",132880,96570,133875,NA,NA,229560,NA,NA,NA,NA,NA,NA
"100","Hombre","Profesionales y Científicos","Chañaral",135296,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101","Hombre","Técnicos y Profesionales Nivel Medio","Chañaral",84150,214600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102","Hombre","Agricultores y  y Trabajadores Calificados","Chiloé",33824,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103","Hombre","Comerciantes y Vendedores","Chiloé",61731,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"104","Hombre","Empleados de Oficina","Chiloé",36240,NA,NA,148500,212848,NA,2e+05,232300,249262,248338,356709,4e+05
"105","Hombre","Ff.aa.","Chiloé",84560,NA,182070,NA,NA,5e+05,NA,NA,NA,NA,NA,NA
"106","Hombre","Miembros del Poder Ejecutivo","Chiloé",396000,NA,NA,NA,NA,NA,NA,NA,410800,NA,NA,NA
"107","Hombre","Oficiales, Operarios y Artesanos","Chiloé",36240,NA,85680,NA,NA,120860,NA,NA,NA,NA,NA,NA
"108","Hombre","Operadores y Montadores","Chiloé",84560,64380,96390,NA,NA,120000,NA,NA,NA,NA,NA,NA
"109","Hombre","Profesionales y Científicos","Chiloé",48320,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"110","Hombre","Técnicos y Profesionales Nivel Medio","Chiloé",74250,268250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"111","Hombre","Agricultores y  y Trabajadores Calificados","Choapa",42280,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"112","Hombre","Comerciantes y Vendedores","Choapa",36240,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"113","Hombre","Empleados de Oficina","Choapa",30200,NA,NA,155000,150600,NA,180000,267650,243100,265295,465000,3e+05
