"","sexo","region","oficio_id","1990","1992","1994","1996","1998","2000","2003","2006","2009","2011","2013","2015"
"97","Hombre","Coquimbo","Operadores y Montadores",96640,66526,95319,NA,NA,160000,NA,NA,NA,NA,NA,NA
"98","Hombre","Los Lagos","Operadores y Montadores",72480,64380,85680,NA,NA,120000,NA,NA,NA,NA,NA,NA
"99","Hombre","Los Ríos","Operadores y Montadores",61608,64380,74970,NA,NA,118500,NA,NA,NA,NA,NA,NA
"100","Hombre","Magallanes","Operadores y Montadores",102680,96570,145265,NA,NA,2e+05,NA,NA,NA,NA,NA,NA
"101","Hombre","Maule","Operadores y Montadores",81302,64380,80325,NA,NA,127820,NA,NA,NA,NA,NA,NA
"102","Hombre","Metropolitana","Operadores y Montadores",60400,80475,107100,NA,NA,170000,NA,NA,NA,NA,NA,NA
"103","Hombre","O'Higgins","Operadores y Montadores",90600,75110,86751,NA,NA,141804,NA,NA,NA,NA,NA,NA
"104","Hombre","Tarapacá","Operadores y Montadores",108720,100981,107100,NA,NA,2e+05,NA,NA,NA,NA,NA,NA
"105","Hombre","Valparaíso","Operadores y Montadores",82144,85840,107100,NA,NA,161089,NA,NA,NA,NA,NA,NA
"106","Hombre","Antofagasta","Profesionales y Científicos",72480,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"107","Hombre","Araucanía","Profesionales y Científicos",54360,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"108","Hombre","Arica y Parinacota","Profesionales y Científicos",72480,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"109","Hombre","Atacama","Profesionales y Científicos",72480,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"110","Hombre","Aysén","Profesionales y Científicos",79200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"111","Hombre","Bíobío","Profesionales y Científicos",49500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"112","Hombre","Coquimbo","Profesionales y Científicos",59400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"113","Hombre","Los Lagos","Profesionales y Científicos",68474,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"114","Hombre","Los Ríos","Profesionales y Científicos",59400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"115","Hombre","Magallanes","Profesionales y Científicos",108720,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"116","Hombre","Maule","Profesionales y Científicos",50118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"117","Hombre","Metropolitana","Profesionales y Científicos",71360,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"118","Hombre","O'Higgins","Profesionales y Científicos",88098,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"119","Hombre","Tarapacá","Profesionales y Científicos",84560,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
