"","sexo","region","oficio","1990","1992","1994","1996","1998","2000","2003","2006","2009","2011","2013","2015"
"68","Hombre","Los Lagos","Profesionales, Científicos e Intelectuales",207067,322794,461997,378997,492244,616602,590044,648773,696226,887777,1124345,1024318
"69","Hombre","Los Ríos","Profesionales, Científicos e Intelectuales",96455,331604,271713,304252,719550,454063,643748,619683,621932,803869,850514,817587
"70","Hombre","Magallanes","Profesionales, Científicos e Intelectuales",168962,343277,339679,363076,503253,528850,662108,675916,1241452,1082683,1041455,1340859
"71","Hombre","Maule","Profesionales, Científicos e Intelectuales",115616,217230,245310,433014,508061,519091,483345,636215,765676,797896,843792,966530
"72","Hombre","Metropolitana","Profesionales, Científicos e Intelectuales",122915,515061,611201,743853,1005289,882300,1121104,1183848,1216750,1545838,1372502,1476142
"73","Hombre","O'Higgins","Profesionales, Científicos e Intelectuales",153871,341585,450526,465722,689437,526913,746557,640114,932559,921924,891897,1082900
"74","Hombre","Tarapacá","Profesionales, Científicos e Intelectuales",140091,311131,309493,621281,585319,468085,539633,509027,904262,1090394,1245441,1124346
"75","Hombre","Valparaíso","Profesionales, Científicos e Intelectuales",129633,329821,388643,474032,635819,776066,643273,881110,960708,1181519,1095211,1131828
"76","Hombre","Antofagasta","Técnicos y Profesionales de Nivel Medio",130333,230346,269965,305184,461450,432564,466375,528564,655539,761149,749242,798996
"77","Hombre","Araucanía","Técnicos y Profesionales de Nivel Medio",132624,172938,217634,241939,294275,281568,293188,375647,381520,543888,451884,508683
"78","Hombre","Arica y Parinacota","Técnicos y Profesionales de Nivel Medio",74162,273670,126174,278104,407782,265741,343813,202529,675243,602492,489364,613985
"79","Hombre","Atacama","Técnicos y Profesionales de Nivel Medio",84278,161307,193325,395796,245015,309505,392230,442985,482242,674674,673643,769092
"80","Hombre","Aysén","Técnicos y Profesionales de Nivel Medio",142711,165247,283799,203588,411479,355220,499465,433076,629928,596505,947278,613977
"81","Hombre","Bíobío","Técnicos y Profesionales de Nivel Medio",109655,141800,169606,295448,382923,297166,330923,384467,453298,486430,495650,512353
"82","Hombre","Coquimbo","Técnicos y Profesionales de Nivel Medio",124935,145712,231290,229811,320819,336416,453787,449510,459357,535454,654542,645605
"83","Hombre","Los Lagos","Técnicos y Profesionales de Nivel Medio",105810,185473,229491,242474,301352,300275,419018,399472,452457,457120,548639,519905
"84","Hombre","Los Ríos","Técnicos y Profesionales de Nivel Medio",93688,126962,243337,357938,315632,347647,288464,471323,432401,510648,562485,495917
"85","Hombre","Magallanes","Técnicos y Profesionales de Nivel Medio",134702,217257,326176,265355,426604,387440,562378,467371,616984,635189,781101,792985
"86","Hombre","Maule","Técnicos y Profesionales de Nivel Medio",98596,169930,198260,235889,295211,332915,369399,332419,516272,530686,508918,584798
"87","Hombre","Metropolitana","Técnicos y Profesionales de Nivel Medio",109440,244940,258457,338404,393384,389036,489856,516637,573532,716654,651128,766981
"88","Hombre","O'Higgins","Técnicos y Profesionales de Nivel Medio",104949,171056,267622,277491,331316,344629,361902,416748,430274,588164,532750,659344
"89","Hombre","Tarapacá","Técnicos y Profesionales de Nivel Medio",170607,155456,186514,221050,297885,345935,336647,317948,479368,612398,759437,752385
"90","Hombre","Valparaíso","Técnicos y Profesionales de Nivel Medio",85725,223418,214086,340260,362138,339700,343387,377210,493376,526631,648716,630858
"91","Hombre","Antofagasta","Trabajadores Agropecuarios y Pesqueros",74397,100674,73839,146751,148251,151321,213479,260086,412266,428158,322477,247585
