"","sexo","oficio","provincia","1990","1992","1994","1996","1998","2000","2003","2006","2009","2011","2013","2015"
"107","Hombre","Técnicos y Profesionales de Nivel Medio","Chiloé",183935,320630,214200,211250,348890,291925,474282,345116,422111,401825,512106,497102
"108","Hombre","Trabajadores Agropecuarios y Pesqueros","Chiloé",36701,73543,75829,118614,135585,110892,168215,175710,236125,264437,205422,230976
"109","Hombre","Trabajadores de Artes Mecánicas y Otros","Chiloé",56928,81071,94826,169716,133368,164338,181534,216834,280946,312915,261368,284025
"110","Hombre","Trabajadores de Servicios y Vendedores","Chiloé",76280,76044,160334,158436,264585,209951,220412,223713,314874,386520,269473,354885
"111","Hombre","Empleados de Oficina","Choapa",36240,41847,107347,198000,186781,183750,219286,278660,361230,382747,448453,336889
"112","Hombre","Miembros del Poder Ejecutivo y Cuerpos Legislativos","Choapa",118384,NA,398640,347650,331201,268714,418815,953149,757539,619462,502273,678393
"113","Hombre","Operadores y Montadores de Instalaciones y Máquinas","Choapa",54360,69599,171115,141662,187035,209987,231964,256051,376314,364552,377306,477055
"114","Hombre","Profesionales, Científicos e Intelectuales","Choapa",55746,219355,171932,287855,488417,435812,543582,504072,934614,721931,843260,1087040
"115","Hombre","Técnicos y Profesionales de Nivel Medio","Choapa",41528,98308,485011,70430,248546,417892,278791,321043,492666,630649,529184,485786
"116","Hombre","Trabajadores Agropecuarios y Pesqueros","Choapa",61334,124798,62030,109295,135801,111878,125209,132485,228846,231422,212887,258675
"117","Hombre","Trabajadores de Artes Mecánicas y Otros","Choapa",55887,129273,170315,108698,157135,156091,175396,266652,333365,383061,346485,339357
"118","Hombre","Trabajadores de Servicios y Vendedores","Choapa",50904,62772,190763,92858,123872,131518,152212,203323,269579,709941,281713,379828
"119","Hombre","Empleados de Oficina","Colchagua",37680,124349,118479,157385,195529,266058,192538,204495,252851,328818,377152,385052
"120","Hombre","Fuerzas Armadas","Colchagua",72745,107300,160650,230000,200800,217809,4e+05,300475,279933,NA,4e+05,NA
"121","Hombre","Miembros del Poder Ejecutivo y Cuerpos Legislativos","Colchagua",242235,570856,577549,467882,539221,409212,548661,664792,562009,797188,663099,563300
"122","Hombre","Operadores y Montadores de Instalaciones y Máquinas","Colchagua",72681,107085,92022,141074,186458,162787,185243,202967,313686,313680,286105,330193
"123","Hombre","Profesionales, Científicos e Intelectuales","Colchagua",76184,189802,284701,543697,439678,500965,469769,548541,868684,806451,813415,955889
"124","Hombre","Técnicos y Profesionales de Nivel Medio","Colchagua",58528,121911,249038,272875,191612,257004,300266,385092,422591,705398,442308,519670
