"","sexo","oficio","comuna","1990","1992","1994","1996","1998","2000","2003","2006","2009","2011","2013","2015"
"98","Hombre","Técnicos y Profesionales de Nivel Medio","Casablanca",51480,214600,NA,NA,286140,260707,239652,397383,411784,704262,316000,637875
"99","Hombre","Trabajadores Agropecuarios y Pesqueros","Casablanca",37350,74037,80325,148566,136765,135716,150887,200918,327921,224185,193568,275000
"100","Hombre","Trabajadores de Artes Mecánicas y Otros","Casablanca",32650,81337,114023,138631,238967,217308,222471,315937,284301,274526,275946,368396
"101","Hombre","Trabajadores de Servicios y Vendedores","Casablanca",44676,150220,76010,135000,96388,175775,334880,227522,374087,203214,NA,244000
"102","Hombre","Empleados de Oficina","Castro",68464,NA,124414,NA,NA,215429,246875,246819,301652,478040,429375,491214
"103","Hombre","Fuerzas Armadas","Castro",154429,NA,175376,NA,NA,NA,NA,NA,NA,NA,650000,630000
"104","Hombre","Operadores y Montadores de Instalaciones y Máquinas","Castro",84560,203348,158691,NA,NA,162124,202230,472559,304342,691277,314048,348876
"105","Hombre","Profesionales, Científicos e Intelectuales","Castro",121200,361438,214200,NA,NA,312000,678115,955100,805025,677713,773474,1037804
"106","Hombre","Técnicos y Profesionales de Nivel Medio","Castro",235833,354923,214200,NA,NA,260477,882138,337425,344029,542064,514286,465276
"107","Hombre","Trabajadores Agropecuarios y Pesqueros","Castro",36428,57584,165542,NA,NA,118353,127946,254402,206662,342581,186162,238085
"108","Hombre","Trabajadores de Artes Mecánicas y Otros","Castro",83540,94130,106080,NA,NA,197721,161667,261498,281886,395750,335088,303190
"109","Hombre","Trabajadores de Servicios y Vendedores","Castro",78497,80076,160334,NA,NA,178304,218009,173278,295289,431246,272340,389519
"110","Hombre","Empleados de Oficina","Cauquenes",18788,55796,214200,161000,200800,216977,123750,202000,303875,204578,230000,409250
"111","Hombre","Fuerzas Armadas","Cauquenes",73740,139490,91035,NA,NA,NA,NA,NA,NA,NA,380000,NA
"112","Hombre","Miembros del Poder Ejecutivo y Cuerpos Legislativos","Cauquenes",302000,457099,516694,162856,472960,369929,280736,633440,442423,410800,532500,350000
"113","Hombre","Operadores y Montadores de Instalaciones y Máquinas","Cauquenes",36240,58495,432293,180751,165360,152902,196942,223591,213996,317350,335429,286375
"114","Hombre","Profesionales, Científicos e Intelectuales","Cauquenes",103360,134125,337654,421480,319272,383736,417750,722015,732641,600298,NA,575470
