"","sexo","oficio","comuna","1990","1992","1994","1996","1998","2000","2003","2006","2009","2011","2013","2015"
"105","Hombre","Profesionales, Científicos e Intelectuales","Castro",63524,226403,214200,NA,NA,3e+05,506000,530250,773500,656400,773474,874545
"106","Hombre","Técnicos y Profesionales de Nivel Medio","Castro",118800,273615,214200,NA,NA,250000,296400,282800,314925,437600,4e+05,330000
"107","Hombre","Trabajadores Agropecuarios y Pesqueros","Castro",30200,52678,214200,NA,NA,91300,130000,154128,190612,205400,180000,170000
"108","Hombre","Trabajadores de Artes Mecánicas y Otros","Castro",59400,97850,95795,NA,NA,182600,137466,158080,187298,369720,255000,270000
"109","Hombre","Trabajadores de Servicios y Vendedores","Castro",54360,64380,121040,NA,NA,150000,152500,181800,182325,273500,267132,3e+05
"110","Hombre","Empleados de Oficina","Cauquenes",21980,55796,214200,161000,200800,220000,112500,202000,303875,204578,240000,398000
"111","Hombre","Fuerzas Armadas","Cauquenes",59900,139490,91035,NA,NA,NA,NA,NA,NA,NA,380000,NA
"112","Hombre","Miembros del Poder Ejecutivo y Cuerpos Legislativos","Cauquenes",302000,547960,287470,163440,171063,151558,296400,633440,410800,462150,525000,3e+05
"113","Hombre","Operadores y Montadores de Instalaciones y Máquinas","Cauquenes",36240,44530,151300,122580,120480,127820,130000,151500,182325,184860,250000,3e+05
"114","Hombre","Profesionales, Científicos e Intelectuales","Cauquenes",103360,134125,235620,206000,301200,328680,450000,360080,817375,328200,NA,550939
"115","Hombre","Técnicos y Profesionales de Nivel Medio","Cauquenes",25604,64380,72292,85000,178210,355000,5e+05,303000,317688,459480,550000,350000
"116","Hombre","Trabajadores Agropecuarios y Pesqueros","Cauquenes",31408,404633,43376,81720,60240,90000,99400,127707,205400,114870,2e+05,160000
"117","Hombre","Trabajadores de Artes Mecánicas y Otros","Cauquenes",20536,48925,62118,90000,90360,104780,120000,129280,221000,188168,215000,250000
"118","Hombre","Trabajadores de Servicios y Vendedores","Cauquenes",38761,41425,60520,72750,92800,1e+05,183000,158080,201858,202124,350000,3e+05
