"","sex","geography_name","geography_id","year","lb_weighted_median"
"125","Hombre","El Loa","p22",2015,600077
"126","Hombre","Elqui","p41",2010,249829
"127","Hombre","Elqui","p41",2011,260161
"128","Hombre","Elqui","p41",2012,348000
"129","Hombre","Elqui","p41",2013,314135
"130","Hombre","Elqui","p41",2014,359857
"131","Hombre","Elqui","p41",2015,376107
"132","Hombre","General Carrera","p114",2010,162127
"133","Hombre","General Carrera","p114",2011,256479
"134","Hombre","General Carrera","p114",2012,271945
"135","Hombre","General Carrera","p114",2013,298867
"136","Hombre","General Carrera","p114",2014,239888
"137","Hombre","General Carrera","p114",2015,300013
"138","Hombre","Huasco","p33",2010,200196
"139","Hombre","Huasco","p33",2011,249201
"140","Hombre","Huasco","p33",2012,250000
"141","Hombre","Huasco","p33",2013,238947
"142","Hombre","Huasco","p33",2014,300000
"143","Hombre","Huasco","p33",2015,300000
"144","Hombre","Iquique","p11",2010,299795
"145","Hombre","Iquique","p11",2011,301450
"146","Hombre","Iquique","p11",2012,351967
"147","Hombre","Iquique","p11",2013,398489
"148","Hombre","Iquique","p11",2014,466991
"149","Hombre","Iquique","p11",2015,401630
"150","Hombre","Limarí","p43",2010,200000
"151","Hombre","Limarí","p43",2011,200967
"152","Hombre","Limarí","p43",2012,230000
"153","Hombre","Limarí","p43",2013,268998
"154","Hombre","Limarí","p43",2014,269949
"155","Hombre","Limarí","p43",2015,253498
"156","Hombre","Linares","p74",2010,159505
"157","Hombre","Linares","p74",2011,172871
"158","Hombre","Linares","p74",2012,193870
"159","Hombre","Linares","p74",2013,209207
"160","Hombre","Linares","p74",2014,225000
"161","Hombre","Linares","p74",2015,251019
"162","Hombre","Llanquihue","p101",2010,220215
"163","Hombre","Llanquihue","p101",2011,265078
"164","Hombre","Llanquihue","p101",2012,267093
"165","Hombre","Llanquihue","p101",2013,298867
"166","Hombre","Llanquihue","p101",2014,303127
"167","Hombre","Llanquihue","p101",2015,350095
"168","Hombre","Los Andes","p53",2010,273441
"169","Hombre","Los Andes","p53",2011,299870
"170","Hombre","Los Andes","p53",2012,310000
"171","Hombre","Los Andes","p53",2013,350000
"172","Hombre","Los Andes","p53",2014,350000
"173","Hombre","Los Andes","p53",2015,358425
"174","Hombre","Magallanes","p121",2010,349874
"175","Hombre","Magallanes","p121",2011,402682
"176","Hombre","Magallanes","p121",2012,412919
"177","Hombre","Magallanes","p121",2013,450000
"178","Hombre","Magallanes","p121",2014,400732
"179","Hombre","Magallanes","p121",2015,476550
"180","Hombre","Maipo","p134",2010,208463
"181","Hombre","Maipo","p134",2011,250000
"182","Hombre","Maipo","p134",2012,277898
"183","Hombre","Maipo","p134",2013,300407
"184","Hombre","Maipo","p134",2014,303247
"185","Hombre","Maipo","p134",2015,331500
"186","Hombre","Malleco","p92",2010,170537
"187","Hombre","Malleco","p92",2011,190736
"188","Hombre","Malleco","p92",2012,196629
"189","Hombre","Malleco","p92",2013,211222
"190","Hombre","Malleco","p92",2014,244448
"191","Hombre","Malleco","p92",2015,243484
"192","Hombre","Marga Marga","p58",2010,219850
"193","Hombre","Marga Marga","p58",2011,219273
"194","Hombre","Marga Marga","p58",2012,258044
"195","Hombre","Marga Marga","p58",2013,300407
"196","Hombre","Marga Marga","p58",2014,353648
"197","Hombre","Marga Marga","p58",2015,349604
"198","Hombre","Melipilla","p135",2010,179959
"199","Hombre","Melipilla","p135",2011,199361
"200","Hombre","Melipilla","p135",2012,201124
"201","Hombre","Melipilla","p135",2013,241317
"202","Hombre","Melipilla","p135",2014,258752
"203","Hombre","Melipilla","p135",2015,302363
"204","Hombre","Ñuble","p84",2010,175000
"205","Hombre","Ñuble","p84",2011,200967
"206","Hombre","Ñuble","p84",2012,233022
"207","Hombre","Ñuble","p84",2013,240241
"208","Hombre","Ñuble","p84",2014,252606
"209","Hombre","Ñuble","p84",2015,300081
"210","Hombre","Osorno","p103",2010,199863
"211","Hombre","Osorno","p103",2011,211170
"212","Hombre","Osorno","p103",2012,220992
"213","Hombre","Osorno","p103",2013,257614
"214","Hombre","Osorno","p103",2014,279977
"215","Hombre","Osorno","p103",2015,301063
"216","Hombre","Parinacota","p152",2010,75830
"217","Hombre","Parinacota","p152",2011,71893
"218","Hombre","Parinacota","p152",2012,70393
"219","Hombre","Parinacota","p152",2013,97648
"220","Hombre","Parinacota","p152",2014,80135
"221","Hombre","Parinacota","p152",2015,42001
"222","Hombre","Petorca","p54",2010,183230
"223","Hombre","Petorca","p54",2011,244603
"224","Hombre","Petorca","p54",2012,251128
"225","Hombre","Petorca","p54",2013,249056
"226","Hombre","Petorca","p54",2014,261801
"227","Hombre","Petorca","p54",2015,300000
"228","Hombre","Quillota","p55",2010,174880
"229","Hombre","Quillota","p55",2011,199361
"230","Hombre","Quillota","p55",2012,242341
"231","Hombre","Quillota","p55",2013,254144
