"","sex","geography_name","geography_id","year","lb_weighted_median"
"606","Mujer","Valdivia","p141",2014,196040
"607","Mujer","Valdivia","p141",2015,238160
"608","Mujer","Valparaíso","p51",2010,170000
"609","Mujer","Valparaíso","p51",2011,184194
"610","Mujer","Valparaíso","p51",2012,201002
"611","Mujer","Valparaíso","p51",2013,212665
"612","Mujer","Valparaíso","p51",2014,252521
"613","Mujer","Valparaíso","p51",2015,266208
"614","Mujer",NA,NA,2010,44426
"615","Mujer",NA,NA,2011,41917
"616","Mujer",NA,NA,2012,62083
