"","geography_level","geography_name","geography_id","sex","isic","year","weighted_mean","weighted_median","ci_weighted_mean","ci_weighted_median"
"137","region","Los Lagos",10,"Hombre","Pesca",2013,302203.523658113,200271.125169454,"[246511, 357449]","[161673, 263347]"
"138","region","Los Lagos",10,"Hombre","Pesca",2014,369999.162040279,261538.96562651,"[292694, 492932]","[230000, 303127]"
"139","region","Los Lagos",10,"Hombre","Pesca",2015,388954.700411172,300081.183474654,"[318859, 491385]","[248108, 337383]"
"140","region","Los Ríos",14,"Hombre","Pesca",2010,254394.206018316,211587.131806295,"[208969, 305268]","[160000, 290831]"
"141","region","Los Ríos",14,"Hombre","Pesca",2011,284185.99598026,200413.566764863,"[199347, 414564]","[157015, 306270]"
"142","region","Los Ríos",14,"Hombre","Pesca",2012,269982.031653463,226442.306026849,"[214450, 370764]","[205004, 266994]"
"143","region","Los Ríos",14,"Hombre","Pesca",2013,230265.130002454,179508.832410021,"[160991, 346046]","[102611, 250000]"
"144","region","Los Ríos",14,"Hombre","Pesca",2014,234610.003598591,200000,"[181699, 311700]","[150696, 278008]"
"145","region","Los Ríos",14,"Hombre","Pesca",2015,312611.350599795,283031.176126003,"[219104, 405205]","[111431, 414229]"
"146","region","Magallanes",12,"Hombre","Pesca",2010,395405.410581179,419130.637726562,"[292456, 504174]","[223289, 593796]"
"147","region","Magallanes",12,"Hombre","Pesca",2011,300894.711522974,280862.706303912,"[221627, 381041]","[200187, 356716]"
"148","region","Magallanes",12,"Hombre","Pesca",2012,618686.261882967,464370.612653137,"[403932, 782393]","[335082, 976557]"
"149","region","Magallanes",12,"Hombre","Pesca",2013,453149.191948695,419200.145633959,"[368823, 576656]","[327857, 561761]"
"150","region","Magallanes",12,"Hombre","Pesca",2014,589601.616519455,507171.407448483,"[438151, 831251]","[400000, 687087]"
"151","region","Magallanes",12,"Hombre","Pesca",2015,1262747.96137411,500000,"[442624, 2602236]","[390106, 587384]"
"152","region","Maule",7,"Hombre","Pesca",2010,107280.077817511,107280.077817511,"[59959, 172000]","[59959, 172000]"
"153","region","Maule",7,"Hombre","Pesca",2011,165309.207909932,160000,"[128130, 201335]","[108049, 200000]"
"154","region","Maule",7,"Hombre","Pesca",2012,168960.442850338,111891.205388731,"[128844, 208020]","[100000, 198933]"
"155","region","Maule",7,"Hombre","Pesca",2013,200002.035946319,221762.29955175,"[154608, 247244]","[100076, 303048]"
"156","region","Maule",7,"Hombre","Pesca",2014,233237.276328499,202153.77238543,"[169228, 301999]","[150639, 315288]"
"157","region","Maule",7,"Hombre","Pesca",2015,320611.890257312,206504.318316373,"[198678, 502648]","[150000, 390000]"
"158","region","Metropolitana",13,"Hombre","Pesca",2014,2647307.18211104,2647307.18211104,"[2647307, 2647307]","[2647307, 2647307]"
"159","region","Metropolitana",13,"Hombre","Pesca",2015,4255469.01484971,4255469.01484971,"[4255469, 4255469]","[4255469, 4255469]"
"160","region","O'Higgins",6,"Hombre","Pesca",2010,62674.4099109268,70200.6792000883,"[21878, 99976]","[20000, 100000]"
"161","region","O'Higgins",6,"Hombre","Pesca",2011,115354.628123303,118388.594585939,"[84877, 147707]","[70000, 150000]"
"162","region","O'Higgins",6,"Hombre","Pesca",2012,189964.893753881,182359.41235992,"[95309, 278016]","[46646, 301694]"
"163","region","O'Higgins",6,"Hombre","Pesca",2013,220998.503182451,219169.214170113,"[123608, 436917]","[70841, 261239]"
"164","region","O'Higgins",6,"Hombre","Pesca",2014,805000,805000,"[805000, 805000]","[805000, 805000]"
"165","region","O'Higgins",6,"Hombre","Pesca",2015,271549.773664585,300000,"[210162, 339848]","[172840, 390363]"
"166","region","Tarapacá",1,"Hombre","Pesca",2010,532779.950035396,328506.439911121,"[338028, 779057]","[185417, 523636]"
"167","region","Tarapacá",1,"Hombre","Pesca",2011,354621.208967901,296998.227474181,"[288474, 427561]","[250000, 398983]"
"168","region","Tarapacá",1,"Hombre","Pesca",2012,429325.806946511,433715.11338086,"[314096, 553480]","[226010, 462710]"
"169","region","Tarapacá",1,"Hombre","Pesca",2013,392292.710026599,337463.016539423,"[262003, 542111]","[200000, 500000]"
"170","region","Tarapacá",1,"Hombre","Pesca",2014,746764.060243696,511006.701918303,"[451910, 1185086]","[323462, 916153]"
"171","region","Tarapacá",1,"Hombre","Pesca",2015,320859.912111032,251018.65266208,"[235998, 475854]","[100407, 353137]"
"172","region","Valparaíso",5,"Hombre","Pesca",2010,194247.753747637,183921.577959307,"[122390, 343063]","[79945, 212579]"
"173","region","Valparaíso",5,"Hombre","Pesca",2011,182038.746014642,155399.49157998,"[123344, 254098]","[74750, 254046]"
"174","region","Valparaíso",5,"Hombre","Pesca",2012,218644.730643276,150000,"[116092, 417187]","[70672, 182082]"
"175","region","Valparaíso",5,"Hombre","Pesca",2013,273474.790516706,230153.19968255,"[158823, 557157]","[115448, 350000]"
"176","region","Valparaíso",5,"Hombre","Pesca",2014,217460.125110226,182100.670557338,"[163897, 298526]","[146933, 248997]"
"177","region","Valparaíso",5,"Hombre","Pesca",2015,430254.856321566,331264.050141146,"[275553, 653054]","[235159, 401630]"
"178","region","Antofagasta",2,"Hombre","Explotación de minas y canteras",2010,792875.451445402,599860.996128319,"[700734, 877796]","[535275, 719508]"
"179","region","Antofagasta",2,"Hombre","Explotación de minas y canteras",2011,843161.290820415,629105.060044354,"[768818, 931950]","[600000, 713106]"
"180","region","Antofagasta",2,"Hombre","Explotación de minas y canteras",2012,884454.071890037,703157.216494845,"[813112, 970745]","[650000, 778374]"
"181","region","Antofagasta",2,"Hombre","Explotación de minas y canteras",2013,1144354.80061418,900323.873561234,"[1016788, 1342792]","[800000, 1000913]"
"182","region","Antofagasta",2,"Hombre","Explotación de minas y canteras",2014,1109984.27986573,890390.420914161,"[986195, 1244729]","[799000, 999812]"
"183","region","Antofagasta",2,"Hombre","Explotación de minas y canteras",2015,1149336.41329005,900000,"[1008076, 1275112]","[800000, 968227]"
"184","region","Araucanía",9,"Hombre","Explotación de minas y canteras",2010,713595.38355251,719435.348618124,"[390002, 980133]","[147236, 1101026]"
"185","region","Araucanía",9,"Hombre","Explotación de minas y canteras",2011,417168.602926245,170273.740712453,"[112007, 1475504]","[100000, 2013905]"
"186","region","Araucanía",9,"Hombre","Explotación de minas y canteras",2012,451345.141092088,260092.191517473,"[218950, 757044]","[200000, 946419]"
"187","region","Araucanía",9,"Hombre","Explotación de minas y canteras",2013,512125.944028914,493430.575670555,"[384327, 721698]","[248206, 600000]"
"188","region","Araucanía",9,"Hombre","Explotación de minas y canteras",2014,483905.965582294,452130.597285192,"[418617, 554686]","[390000, 596052]"
"189","region","Araucanía",9,"Hombre","Explotación de minas y canteras",2015,890192.168105531,974409.548574627,"[485394, 1010000]","[450751, 1010000]"
"190","region","Arica y Parinacota",15,"Hombre","Explotación de minas y canteras",2010,581977.762477847,533541.098666633,"[518862, 644743]","[461974, 572535]"
"191","region","Arica y Parinacota",15,"Hombre","Explotación de minas y canteras",2011,545145.204363204,446239.998548614,"[458607, 651324]","[391312, 535544]"
"192","region","Arica y Parinacota",15,"Hombre","Explotación de minas y canteras",2012,643255.219068709,556563.323038832,"[579966, 702780]","[542000, 658732]"
"193","region","Arica y Parinacota",15,"Hombre","Explotación de minas y canteras",2013,578451.689720567,505141.133090925,"[518977, 624656]","[445161, 556401]"
"194","region","Arica y Parinacota",15,"Hombre","Explotación de minas y canteras",2014,697410.981813163,548916.881624369,"[593560, 852815]","[499906, 652108]"
"195","region","Arica y Parinacota",15,"Hombre","Explotación de minas y canteras",2015,702987.063795254,602444.766388992,"[624567, 823756]","[521788, 640173]"
"196","region","Atacama",3,"Hombre","Explotación de minas y canteras",2010,584760.019855616,432908.732579208,"[518795, 666612]","[374940, 500000]"
"197","region","Atacama",3,"Hombre","Explotación de minas y canteras",2011,757545.745746886,553314.630448813,"[657248, 937938]","[509903, 591009]"
"198","region","Atacama",3,"Hombre","Explotación de minas y canteras",2012,685817.137286047,554954.945588004,"[630654, 768264]","[524607, 653654]"
"199","region","Atacama",3,"Hombre","Explotación de minas y canteras",2013,843763.652137906,647545.405502607,"[722548, 934545]","[580786, 717104]"
"200","region","Atacama",3,"Hombre","Explotación de minas y canteras",2014,766303.865821243,649964.424162671,"[665640, 894022]","[590845, 697869]"
