"","geography_level","geography_name","geography_id","sex","isco","year","weighted_mean","weighted_median","ci_weighted_mean","ci_weighted_median"
"58","comuna","Aysén","13","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2013,354627.275051691,300298.254677349,"[235367, 489777]","[179320, 498112]"
"59","comuna","Aysén","13","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2014,754065.638682514,331300.33943448,"[224326, 1267344]","[101192, 1515634]"
"60","comuna","Aysén","13","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2015,297187.899675492,301997.560074277,"[216848, 361764]","[209181, 427297]"
"61","comuna","Buin","14","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2010,143391.036411217,171401.977799629,"[70690, 218319]","[39973, 250000]"
"62","comuna","Buin","14","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2011,139834.602470059,100145.081086403,"[82241, 212505]","[64133, 230000]"
"63","comuna","Buin","14","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2012,124676.382770177,155145.444411529,"[40000, 200000]","[40000, 200000]"
"64","comuna","Buin","14","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2013,202992.927785427,202992.927785427,"[200271, 209207]","[200271, 209207]"
"65","comuna","Buin","14","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2014,144222.05208809,144222.05208809,"[99981, 189964]","[99981, 189964]"
"66","comuna","Bulnes","15","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2010,238566.248189469,238566.248189469,"[238566, 238566]","[238566, 238566]"
"67","comuna","Bulnes","15","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2011,688735.635528192,257624.310022644,"[209992, 1316147]","[151873, 873190]"
"68","comuna","Bulnes","15","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2012,226977.0832826,219072.248061677,"[139890, 304332]","[114905, 362566]"
"69","comuna","Bulnes","15","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2013,239917.500248085,234632.392003174,"[151092, 338671]","[88453, 362441]"
"70","comuna","Bulnes","15","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2014,189006.010107337,222979.738476418,"[136172, 237119]","[95069, 250249]"
"71","comuna","Bulnes","15","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2015,240120.379444577,220790.296319923,"[155929, 330800]","[165651, 310257]"
"72","comuna","Cabildo","16","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2010,227222.156977882,209204.541006067,"[102100, 389381]","[40039, 450440]"
"73","comuna","Cabildo","16","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2011,231111.637604245,231111.637604246,"[211015, 251208]","[211015, 251208]"
"74","comuna","Cabildo","16","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2012,251405.270917803,251405.270917803,"[251405, 251405]","[251405, 251405]"
"75","comuna","Cabildo","16","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2013,206279.258924538,206279.258924538,"[206279, 206279]","[206279, 206279]"
"76","comuna","Cabildo","16","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2014,359932.495780987,359932.495780987,"[359932, 359932]","[359932, 359932]"
"77","comuna","Cabildo","16","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2015,265071.712069278,265071.712069278,"[265072, 265072]","[265072, 265072]"
"78","comuna","Cabrero","18","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2010,575606.057645335,575606.057645335,"[575606, 575606]","[575606, 575606]"
"79","comuna","Cabrero","18","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2012,200902.06185567,200902.06185567,"[200902, 200902]","[200902, 200902]"
"80","comuna","Cabrero","18","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2013,214348.390965535,214348.390965535,"[199245, 229630]","[199245, 229630]"
"81","comuna","Cabrero","18","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2014,203505.852817827,203505.852817827,"[159970, 244954]","[159970, 244954]"
"82","comuna","Cabrero","18","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2015,24006.4946779723,24006.4946779723,"[24006, 24006]","[24006, 24006]"
"83","comuna","Calama","19","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2010,250244.6662752,250244.6662752,"[250245, 250245]","[250245, 250245]"
"84","comuna","Calama","19","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2011,105000,105000,"[105000, 105000]","[105000, 105000]"
"85","comuna","Calama","19","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2012,220000,220000,"[220000, 220000]","[220000, 220000]"
"86","comuna","Calama","19","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2014,433125.93652552,429429.6001516,"[287441, 604762]","[170712, 702932]"
"87","comuna","Calama","19","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2015,340934.334134828,340934.334134828,"[200815, 622526]","[200815, 622526]"
"88","comuna","Calbuco","20","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2010,271777.350271484,269877.175159726,"[152561, 340942]","[105309, 348092]"
"89","comuna","Calbuco","20","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2011,395274.763250302,185701.212237514,"[197975, 911315]","[129584, 552065]"
"90","comuna","Calbuco","20","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2012,103066.535315925,115646.424622189,"[81968, 121312]","[80450, 120541]"
"91","comuna","Calbuco","20","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2013,265741.005761709,295173.355772184,"[166145, 343576]","[95946, 351169]"
"92","comuna","Calbuco","20","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2014,147039.825157569,145701.231115485,"[103546, 195518]","[56871, 153334]"
"93","comuna","Calbuco","20","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2015,269750.059255316,183957.811304805,"[186637, 372765]","[110370, 201764]"
"94","comuna","Caldera","21","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2010,232413.177549269,169959.544533793,"[80000, 432619]","[80000, 475000]"
"95","comuna","Caldera","21","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2011,388753.407915766,388753.407915766,"[239233, 538274]","[239233, 538274]"
"96","comuna","Caldera","21","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2012,238906.788883139,198651.220404566,"[134698, 386277]","[118800, 457700]"
"97","comuna","Caldera","21","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2013,287608.131272331,269352.496945795,"[217441, 353507]","[210000, 398489]"
"98","comuna","Caldera","21","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2014,352069.540826164,328195.660173451,"[238311, 448627]","[216829, 438547]"
"99","comuna","Caldera","21","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2015,414614.630319229,414614.630319229,"[260070, 550149]","[260070, 550149]"
"100","comuna","Calera","22","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2010,199706.381713125,170532.57522965,"[131204, 285580]","[99932, 293592]"
"101","comuna","Calera","22","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2011,185442.434122152,181418.257027357,"[160061, 221314]","[164635, 181418]"
"102","comuna","Calera","22","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2012,298529.042955698,213648.011012514,"[191807, 427449]","[193870, 500000]"
"103","comuna","Calera","22","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2013,469450.27059146,240325.841129577,"[150285, 1294873]","[120000, 1379626]"
"104","comuna","Calera","22","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2014,222292.96949024,222292.96949024,"[222293, 222293]","[222293, 222293]"
"105","comuna","Calera","22","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2015,1352309.64327347,1352309.64327347,"[300000, 1907742]","[300000, 1907742]"
"106","comuna","Calera de Tango","23","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2013,567434.687754182,567434.687754182,"[333785, 801085]","[333785, 801085]"
"107","comuna","Calera de Tango","23","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2014,414273.26132272,414273.26132272,"[202085, 626462]","[202085, 626462]"
"108","comuna","Calle Larga","24","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2010,189870.053737176,189870.053737176,"[189870, 189870]","[189870, 189870]"
"109","comuna","Calle Larga","24","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2011,160548.614925269,164104.107300802,"[127960, 188240]","[116137, 190021]"
"110","comuna","Calle Larga","24","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2012,203331.380752504,220829.614227519,"[110130, 302879]","[63298, 301745]"
"111","comuna","Calle Larga","24","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2013,163486.658968402,204283.127069321,"[68503, 238747]","[19924, 250339]"
"112","comuna","Calle Larga","24","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2014,287438.208657096,239799.560235583,"[184150, 429919]","[184150, 429919]"
"113","comuna","Calle Larga","24","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2015,309454.388913879,309454.388913879,"[230937, 381548]","[230937, 381548]"
"114","comuna","Camarones","25","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2010,223065.017324093,151477.223254368,"[140345, 314431]","[69393, 312830]"
"115","comuna","Camarones","25","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2011,146519.952721627,84051.3781512334,"[99652, 192268]","[77493, 162836]"
"116","comuna","Camarones","25","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2012,130122.256297144,81541.8035884972,"[77205, 208861]","[59608, 105240]"
"117","comuna","Camarones","25","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2013,121164.088477181,50067.7812923635,"[38622, 224904]","[32044, 300407]"
"118","comuna","Canela","27","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2010,173836.149454978,143804.240140086,"[108533, 238581]","[77091, 308802]"
"119","comuna","Canela","27","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2011,82730.0456211938,76970.9882751143,"[58911, 106525]","[58564, 119837]"
"120","comuna","Canela","27","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2012,290170.515653823,51910.0678837313,"[48521, 594489]","[19981, 550780]"
"121","comuna","Canela","27","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2013,96690.2954121036,60041.0532351841,"[44829, 145558]","[35862, 158261]"
"122","comuna","Canela","27","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2014,134896.869812317,73810.6032437543,"[25007, 299625]","[16743, 400000]"
"123","comuna","Canela","27","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2015,235724.296565326,125429.770929064,"[108462, 426529]","[68056, 246863]"
"124","comuna","Cañete","28","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2010,149040.621620379,85212.9350957495,"[90326, 213233]","[60302, 160000]"
