"","geography_level","geography_name","geography_id","sex","isco","year","weighted_mean","weighted_median","ci_weighted_mean","ci_weighted_median"
"81","region","Tarapacá",1,"Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2012,255693.394944676,161981.096100124,"[161379, 384605]","[96514, 280000]"
"82","region","Tarapacá",1,"Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2013,271241.984297562,250338.906461818,"[205910, 336705]","[130176, 310048]"
"83","region","Tarapacá",1,"Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2014,327717.482265937,251228.832562129,"[228608, 528466]","[151563, 302106]"
"84","region","Tarapacá",1,"Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2015,239797.082398204,235823.818263357,"[175408, 297393]","[120000, 301222]"
"85","region","Valparaíso",5,"Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2010,212848.420977414,162882.850401528,"[165859, 265029]","[140129, 179887]"
"86","region","Valparaíso",5,"Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2011,207793.390605381,160773.313115997,"[161202, 314174]","[156180, 181418]"
"87","region","Valparaíso",5,"Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2012,221694.785501121,191024.390760406,"[172716, 294559]","[150321, 200000]"
"88","region","Valparaíso",5,"Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2013,254267.056135312,200271.125169454,"[199345, 338960]","[172080, 234922]"
"89","region","Valparaíso",5,"Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2014,299616.748639501,210413.041404421,"[223114, 422978]","[199962, 237921]"
"90","region","Valparaíso",5,"Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2015,380391.903798616,250067.652895545,"[285957, 566005]","[200774, 331299]"
"91","region",NA,NA,"Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2010,115255.818661217,63129.3624083193,"[68855, 166395]","[45044, 151654]"
"92","region",NA,NA,"Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2011,139366.997284094,137904.683440215,"[89917, 197145]","[75652, 175418]"
"93","region",NA,NA,"Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2012,79736.7280975825,46227.4593928111,"[44871, 131094]","[19061, 100562]"
"94","region","Antofagasta",2,"Hombre","Empleados de oficina",2010,518653.255865481,403312.059388657,"[430579, 620982]","[350000, 564145]"
"95","region","Antofagasta",2,"Hombre","Empleados de oficina",2011,620166.131877979,412252.296552421,"[462923, 831192]","[370239, 595919]"
"96","region","Antofagasta",2,"Hombre","Empleados de oficina",2012,589798.754298784,556267.931446818,"[457125, 761899]","[442884, 650000]"
"97","region","Antofagasta",2,"Hombre","Empleados de oficina",2013,613952.217888587,542337.828602723,"[506781, 810229]","[398489, 691050]"
