"","sex","geography_name","geography_id","year","weighted_median"
"51","Hombre","Los Ríos","14",2012,251127.577319588
"52","Hombre","Los Ríos","14",2013,264805.089376305
"53","Hombre","Los Ríos","14",2014,299943.746484155
"54","Hombre","Los Ríos","14",2015,320058.778053669
"55","Hombre","Magallanes","12",2010,399729.801583059
"56","Hombre","Magallanes","12",2011,401933.282789992
"57","Hombre","Magallanes","12",2012,450000
"58","Hombre","Magallanes","12",2013,464107.471084774
"59","Hombre","Magallanes","12",2014,453762.409036094
"60","Hombre","Magallanes","12",2015,501214.855875221
"61","Hombre","Maule","7",2010,187871.421592574
"62","Hombre","Maule","7",2011,199360.722008085
"63","Hombre","Maule","7",2012,229628.885468413
"64","Hombre","Maule","7",2013,256277.002768534
"65","Hombre","Maule","7",2014,272941.15808119
"66","Hombre","Maule","7",2015,300081.183474654
"67","Hombre","Metropolitana","13",2010,289801.660967269
"68","Hombre","Metropolitana","13",2011,301449.962092494
"69","Hombre","Metropolitana","13",2012,351578.608247422
"70","Hombre","Metropolitana","13",2013,398489.480309297
"71","Hombre","Metropolitana","13",2014,399924.995312207
"72","Hombre","Metropolitana","13",2015,408979.83431749
"73","Hombre","O'Higgins","6",2010,239956.574334271
"74","Hombre","O'Higgins","6",2011,249200.902510106
"75","Hombre","O'Higgins","6",2012,252670.684164508
"76","Hombre","O'Higgins","6",2013,298867.110231973
"77","Hombre","O'Higgins","6",2014,301790.979541628
"78","Hombre","O'Higgins","6",2015,328048.875919071
"79","Hombre","Tarapacá","1",2010,300009.478375582
"80","Hombre","Tarapacá","1",2011,311498.294162244
"81","Hombre","Tarapacá","1",2012,385556.070161897
"82","Hombre","Tarapacá","1",2013,400000
"83","Hombre","Tarapacá","1",2014,479909.994374649
"84","Hombre","Tarapacá","1",2015,420931.726598645
"85","Hombre","Valparaíso","5",2010,230055.869938282
"86","Hombre","Valparaíso","5",2011,262716.978854945
"87","Hombre","Valparaíso","5",2012,296159.080965767
"88","Hombre","Valparaíso","5",2013,329882.010077489
"89","Hombre","Valparaíso","5",2014,363752.13189312
"90","Hombre","Valparaíso","5",2015,380102.832401228
"91","Hombre",NA,NA,2010,153061.54939356
"92","Hombre",NA,NA,2011,222033.423070089
"93","Hombre",NA,NA,2012,200239.891183642
"94","Mujer","Antofagasta","2",2010,240829.837413023
"95","Mujer","Antofagasta","2",2011,250000
"96","Mujer","Antofagasta","2",2012,295000
"97","Mujer","Antofagasta","2",2013,320075.583169335
"98","Mujer","Antofagasta","2",2014,344994.066719939
"99","Mujer","Antofagasta","2",2015,365980.710750254
"100","Mujer","Araucanía","9",2010,140000
"101","Mujer","Araucanía","9",2011,169375.423667482
"102","Mujer","Araucanía","9",2012,157143.146161879
"103","Mujer","Araucanía","9",2013,200000
"104","Mujer","Araucanía","9",2014,227498.991618887
"105","Mujer","Araucanía","9",2015,240000
"106","Mujer","Arica y Parinacota","15",2010,163838.490671672
"107","Mujer","Arica y Parinacota","15",2011,164500.372410594
"108","Mujer","Arica y Parinacota","15",2012,190000
"109","Mujer","Arica y Parinacota","15",2013,200271.125169454
"110","Mujer","Arica y Parinacota","15",2014,230000
