"","sex","work_day","geography_name","geography_id","year","weighted_median"
"164","Hombre","Parcial","Metropolitana","13",2014,181876.06594656
"165","Hombre","Parcial","Metropolitana","13",2015,200000
"166","Hombre","Parcial","O'Higgins","6",2010,118399.640296337
"167","Hombre","Parcial","O'Higgins","6",2011,120000
"168","Hombre","Parcial","O'Higgins","6",2012,150751.562870194
"169","Hombre","Parcial","O'Higgins","6",2013,180244.012652509
"170","Hombre","Parcial","O'Higgins","6",2014,180120.443651202
"171","Hombre","Parcial","O'Higgins","6",2015,229933.919282487
"172","Hombre","Parcial","Tarapacá","1",2010,173046.707224089
"173","Hombre","Parcial","Tarapacá","1",2011,162163.17691456
"174","Hombre","Parcial","Tarapacá","1",2012,195457.826877478
"175","Hombre","Parcial","Tarapacá","1",2013,180000
"176","Hombre","Parcial","Tarapacá","1",2014,151592.158759005
"177","Hombre","Parcial","Tarapacá","1",2015,204072.533877994
"178","Hombre","Parcial","Valparaíso","5",2010,119917.928676111
"179","Hombre","Parcial","Valparaíso","5",2011,115555.818802123
"180","Hombre","Parcial","Valparaíso","5",2012,120000
"181","Hombre","Parcial","Valparaíso","5",2013,150000
"182","Hombre","Parcial","Valparaíso","5",2014,155002.144517418
"183","Hombre","Parcial","Valparaíso","5",2015,200759.093107006
"184","Hombre","Parcial",NA,NA,2010,66180.8941662198
"185","Hombre","Parcial",NA,NA,2011,179490.536593116
"186","Hombre","Parcial",NA,NA,2012,44240.3265736623
"187","Mujer","Completa","Antofagasta","2",2010,279883.872865124
"188","Mujer","Completa","Antofagasta","2",2011,299041.083012127
"189","Mujer","Completa","Antofagasta","2",2012,312661.024589379
"190","Mujer","Completa","Antofagasta","2",2013,360000
"191","Mujer","Completa","Antofagasta","2",2014,399924.995312207
"192","Mujer","Completa","Antofagasta","2",2015,429413.09111749
"193","Mujer","Completa","Araucanía","9",2010,199919.626285127
"194","Mujer","Completa","Araucanía","9",2011,202746.592257291
"195","Mujer","Completa","Araucanía","9",2012,241195.324797219
"196","Mujer","Completa","Araucanía","9",2013,260283.101541354
"197","Mujer","Completa","Araucanía","9",2014,279947.496718545
"198","Mujer","Completa","Araucanía","9",2015,300000
"199","Mujer","Completa","Arica y Parinacota","15",2010,200000
"200","Mujer","Completa","Arica y Parinacota","15",2011,199360.722008085
"201","Mujer","Completa","Arica y Parinacota","15",2012,218996.089747238
"202","Mujer","Completa","Arica y Parinacota","15",2013,252728.804170827
"203","Mujer","Completa","Arica y Parinacota","15",2014,300000
"204","Mujer","Completa","Arica y Parinacota","15",2015,300000
"205","Mujer","Completa","Atacama","3",2010,245263.92512269
"206","Mujer","Completa","Atacama","3",2011,230124.811811645
"207","Mujer","Completa","Atacama","3",2012,269184.485155447
"208","Mujer","Completa","Atacama","3",2013,300000
"209","Mujer","Completa","Atacama","3",2014,303126.7765776
"210","Mujer","Completa","Atacama","3",2015,357023.001807871
"211","Mujer","Completa","Aysén","11",2010,257389.212837204
"212","Mujer","Completa","Aysén","11",2011,271304.965883245
"213","Mujer","Completa","Aysén","11",2012,269780.289494065
"214","Mujer","Completa","Aysén","11",2013,303927.800651901
"215","Mujer","Completa","Aysén","11",2014,338606.649920336
"216","Mujer","Completa","Aysén","11",2015,407394.393819099
"217","Mujer","Completa","Bíobío","8",2010,200000
"218","Mujer","Completa","Bíobío","8",2011,209005.307050796
"219","Mujer","Completa","Bíobío","8",2012,230369.199890078
"220","Mujer","Completa","Bíobío","8",2013,250141.688208904
"221","Mujer","Completa","Bíobío","8",2014,279947.496718545
"222","Mujer","Completa","Bíobío","8",2015,300000
"223","Mujer","Completa","Coquimbo","4",2010,209856.375183195
"224","Mujer","Completa","Coquimbo","4",2011,205990.807429871
"225","Mujer","Completa","Coquimbo","4",2012,251127.577319588
"226","Mujer","Completa","Coquimbo","4",2013,250000
"227","Mujer","Completa","Coquimbo","4",2014,300000
"228","Mujer","Completa","Coquimbo","4",2015,301222.383194496
"229","Mujer","Completa","Los Lagos","10",2010,200195.73302016
"230","Mujer","Completa","Los Lagos","10",2011,250427.756061992
"231","Mujer","Completa","Los Lagos","10",2012,271168.211210573
"232","Mujer","Completa","Los Lagos","10",2013,283149.665227943
"233","Mujer","Completa","Los Lagos","10",2014,299943.746484155
"234","Mujer","Completa","Los Lagos","10",2015,320680.420914394
"235","Mujer","Completa","Los Ríos","14",2010,193705.231364697
"236","Mujer","Completa","Los Ríos","14",2011,199001.764290688
"237","Mujer","Completa","Los Ríos","14",2012,251424.260493292
"238","Mujer","Completa","Los Ríos","14",2013,252507.887284505
"239","Mujer","Completa","Los Ríos","14",2014,295035.904627865
