"","sex","work_day","geography_name","geography_id","year","weighted_median"
"167","Hombre","Completa","Llanquihue","p101",2015,410058.873404969
"168","Hombre","Completa","Los Andes","p53",2010,342427.844023673
"169","Hombre","Completa","Los Andes","p53",2011,348881.263514149
"170","Hombre","Completa","Los Andes","p53",2012,351967.379284924
"171","Hombre","Completa","Los Andes","p53",2013,389256.283319369
"172","Hombre","Completa","Los Andes","p53",2014,405257.120238553
"173","Hombre","Completa","Los Andes","p53",2015,421174.13835204
"174","Hombre","Completa","Magallanes","p121",2010,402572.36072573
"175","Hombre","Completa","Magallanes","p121",2011,490315.809273433
"176","Hombre","Completa","Magallanes","p121",2012,500000
"177","Hombre","Completa","Magallanes","p121",2013,500000
"178","Hombre","Completa","Magallanes","p121",2014,505211.294296
"179","Hombre","Completa","Magallanes","p121",2015,532128.605790908
"180","Hombre","Completa","Maipo","p134",2010,240234.879624192
"181","Hombre","Completa","Maipo","p134",2011,299041.083012127
"182","Hombre","Completa","Maipo","p134",2012,301353.092783505
"183","Hombre","Completa","Maipo","p134",2013,349707.9009279
"184","Hombre","Completa","Maipo","p134",2014,350000
"185","Hombre","Completa","Maipo","p134",2015,390105.53851705
"186","Hombre","Completa","Malleco","p92",2010,189870.053737176
"187","Hombre","Completa","Malleco","p92",2011,206648.68823121
"188","Hombre","Completa","Malleco","p92",2012,242102.34302732
"189","Hombre","Completa","Malleco","p92",2013,245536.129013127
"190","Hombre","Completa","Malleco","p92",2014,287970.43774872
"191","Hombre","Completa","Malleco","p92",2015,283625.974438209
"192","Hombre","Completa","Marga Marga","p58",2010,259822.178798241
"193","Hombre","Completa","Marga Marga","p58",2011,280312.571871878
"194","Hombre","Completa","Marga Marga","p58",2012,301353.092783505
"195","Hombre","Completa","Marga Marga","p58",2013,348678.295270635
"196","Hombre","Completa","Marga Marga","p58",2014,400000
"197","Hombre","Completa","Marga Marga","p58",2015,401629.844259328
"198","Hombre","Completa","Melipilla","p135",2010,199863.214460186
"199","Hombre","Completa","Melipilla","p135",2011,219766.574064274
"200","Hombre","Completa","Melipilla","p135",2012,251127.577319588
"201","Hombre","Completa","Melipilla","p135",2013,298867.110231973
"202","Hombre","Completa","Melipilla","p135",2014,300042.043573316
"203","Hombre","Completa","Melipilla","p135",2015,350094.714053763
"204","Hombre","Completa","Ñuble","p84",2010,199863.214460186
"205","Hombre","Completa","Ñuble","p84",2011,236633.8190877
"206","Hombre","Completa","Ñuble","p84",2012,264976.757197662
"207","Hombre","Completa","Ñuble","p84",2013,280345.857833192
"208","Hombre","Completa","Ñuble","p84",2014,300000
"209","Hombre","Completa","Ñuble","p84",2015,357969.955062811
"210","Hombre","Completa","Osorno","p103",2010,220215.306322176
"211","Hombre","Completa","Osorno","p103",2011,250000
"212","Hombre","Completa","Osorno","p103",2012,251127.577319588
"213","Hombre","Completa","Osorno","p103",2013,300000
"214","Hombre","Completa","Osorno","p103",2014,303126.7765776
"215","Hombre","Completa","Osorno","p103",2015,350094.714053763
"216","Hombre","Completa","Parinacota","p152",2010,115954.493977481
"217","Hombre","Completa","Parinacota","p152",2011,138014.168496096
"218","Hombre","Completa","Parinacota","p152",2012,191586.198418066
"219","Hombre","Completa","Parinacota","p152",2013,140085.039242188
"220","Hombre","Completa","Parinacota","p152",2014,94558.3189978836
"221","Hombre","Completa","Parinacota","p152",2015,160460.376053748
"222","Hombre","Completa","Petorca","p54",2010,225139.774704652
"223","Hombre","Completa","Petorca","p54",2011,301449.962092494
"224","Hombre","Completa","Petorca","p54",2012,301353.092783505
"225","Hombre","Completa","Petorca","p54",2013,300406.687754181
"226","Hombre","Completa","Petorca","p54",2014,300000
"227","Hombre","Completa","Petorca","p54",2015,315756.969780398
"228","Hombre","Completa","Quillota","p55",2010,202613.14224289
"229","Hombre","Completa","Quillota","p55",2011,240000
"230","Hombre","Completa","Quillota","p55",2012,281366.533159778
"231","Hombre","Completa","Quillota","p55",2013,298867.110231973
"232","Hombre","Completa","Quillota","p55",2014,349872.443251071
"233","Hombre","Completa","Quillota","p55",2015,340909.114324841
"234","Hombre","Completa","Ranco","p142",2010,199863.214460186
