"","sex","company_size","geography_name","geography_id","year","weighted_mean"
"791","Hombre","Entre 11 y 49","Malleco","p92",2012,477690.406039545
"792","Hombre","Entre 11 y 49","Malleco","p92",2013,327972.235525266
"793","Hombre","Entre 11 y 49","Malleco","p92",2014,400227.447414427
"794","Hombre","Entre 11 y 49","Malleco","p92",2015,425456.568472929
"795","Hombre","Entre 11 y 49","Marga Marga","p58",2010,352373.557427263
"796","Hombre","Entre 11 y 49","Marga Marga","p58",2011,237203.799921195
"797","Hombre","Entre 11 y 49","Marga Marga","p58",2012,429175.679554292
"798","Hombre","Entre 11 y 49","Marga Marga","p58",2013,411392.7699459
"799","Hombre","Entre 11 y 49","Marga Marga","p58",2014,446874.345318559
"800","Hombre","Entre 11 y 49","Marga Marga","p58",2015,457017.223588091
"801","Hombre","Entre 11 y 49","Melipilla","p135",2010,599150.185314522
"802","Hombre","Entre 11 y 49","Melipilla","p135",2011,631403.005513559
"803","Hombre","Entre 11 y 49","Melipilla","p135",2012,312791.122623496
"804","Hombre","Entre 11 y 49","Melipilla","p135",2013,307972.220323388
"805","Hombre","Entre 11 y 49","Melipilla","p135",2014,516782.527356567
"806","Hombre","Entre 11 y 49","Melipilla","p135",2015,386827.528306707
"807","Hombre","Entre 11 y 49","Ñuble","p84",2010,254604.664097223
"808","Hombre","Entre 11 y 49","Ñuble","p84",2011,302839.041523286
"809","Hombre","Entre 11 y 49","Ñuble","p84",2012,341735.424511116
"810","Hombre","Entre 11 y 49","Ñuble","p84",2013,316401.666086339
"811","Hombre","Entre 11 y 49","Ñuble","p84",2014,275766.732411528
"812","Hombre","Entre 11 y 49","Ñuble","p84",2015,539176.692361083
"813","Hombre","Entre 11 y 49","Osorno","p103",2010,365975.542162783
"814","Hombre","Entre 11 y 49","Osorno","p103",2011,338322.955497165
"815","Hombre","Entre 11 y 49","Osorno","p103",2012,489343.920652006
"816","Hombre","Entre 11 y 49","Osorno","p103",2013,624406.297432617
"817","Hombre","Entre 11 y 49","Osorno","p103",2014,647736.923588328
"818","Hombre","Entre 11 y 49","Osorno","p103",2015,555969.59075124
"819","Hombre","Entre 11 y 49","Parinacota","p152",2011,174840.978013647
"820","Hombre","Entre 11 y 49","Parinacota","p152",2012,200902.06185567
"821","Hombre","Entre 11 y 49","Petorca","p54",2010,194306.291964336
"822","Hombre","Entre 11 y 49","Petorca","p54",2011,343589.367915489
"823","Hombre","Entre 11 y 49","Petorca","p54",2012,740926.981709847
"824","Hombre","Entre 11 y 49","Petorca","p54",2013,684609.201120237
"825","Hombre","Entre 11 y 49","Petorca","p54",2014,389873.338999276
"826","Hombre","Entre 11 y 49","Petorca","p54",2015,393126.616312839
"827","Hombre","Entre 11 y 49","Quillota","p55",2010,275335.685271067
"828","Hombre","Entre 11 y 49","Quillota","p55",2011,248527.509503168
"829","Hombre","Entre 11 y 49","Quillota","p55",2012,319254.537457221
"830","Hombre","Entre 11 y 49","Quillota","p55",2013,340370.991472278
"831","Hombre","Entre 11 y 49","Quillota","p55",2014,450291.266298189
"832","Hombre","Entre 11 y 49","Quillota","p55",2015,346910.383990391
"833","Hombre","Entre 11 y 49","Ranco","p142",2010,262918.118767874
"834","Hombre","Entre 11 y 49","Ranco","p142",2011,259561.57284811
"835","Hombre","Entre 11 y 49","Ranco","p142",2012,354787.692087281
"836","Hombre","Entre 11 y 49","Ranco","p142",2013,254797.265725359
"837","Hombre","Entre 11 y 49","Ranco","p142",2014,325070.827263202
"838","Hombre","Entre 11 y 49","Ranco","p142",2015,336994.02499396
"839","Hombre","Entre 11 y 49","San Antonio","p56",2010,276336.431752526
"840","Hombre","Entre 11 y 49","San Antonio","p56",2011,314581.649968331
"841","Hombre","Entre 11 y 49","San Antonio","p56",2012,454630.204613619
"842","Hombre","Entre 11 y 49","San Antonio","p56",2013,477184.044034239
"843","Hombre","Entre 11 y 49","San Antonio","p56",2014,393643.042314625
"844","Hombre","Entre 11 y 49","San Antonio","p56",2015,473346.932100353
"845","Hombre","Entre 11 y 49","San Felipe","p57",2010,292761.595428948
"846","Hombre","Entre 11 y 49","San Felipe","p57",2011,249930.104267536
"847","Hombre","Entre 11 y 49","San Felipe","p57",2012,400664.394940557
"848","Hombre","Entre 11 y 49","San Felipe","p57",2013,305267.211824987
"849","Hombre","Entre 11 y 49","San Felipe","p57",2014,364848.785126415
"850","Hombre","Entre 11 y 49","San Felipe","p57",2015,326229.996012199
"851","Hombre","Entre 11 y 49","Santiago","p131",2010,489758.704711666
"852","Hombre","Entre 11 y 49","Santiago","p131",2011,548299.553087847
"853","Hombre","Entre 11 y 49","Santiago","p131",2012,599078.572583253
"854","Hombre","Entre 11 y 49","Santiago","p131",2013,884751.331710171
"855","Hombre","Entre 11 y 49","Santiago","p131",2014,672407.920585112
"856","Hombre","Entre 11 y 49","Santiago","p131",2015,647857.188735607
"857","Hombre","Entre 11 y 49","Talagante","p136",2010,258012.954284488
"858","Hombre","Entre 11 y 49","Talagante","p136",2011,313743.46127873
"859","Hombre","Entre 11 y 49","Talagante","p136",2012,335003.825550098
"860","Hombre","Entre 11 y 49","Talagante","p136",2013,442685.90631601
"861","Hombre","Entre 11 y 49","Talagante","p136",2014,486682.58779672
"862","Hombre","Entre 11 y 49","Talagante","p136",2015,655279.258255859
"863","Hombre","Entre 11 y 49","Talca","p71",2010,257234.927824999
"864","Hombre","Entre 11 y 49","Talca","p71",2011,333242.972102599
"865","Hombre","Entre 11 y 49","Talca","p71",2012,248541.692251868
"866","Hombre","Entre 11 y 49","Talca","p71",2013,383578.200223003
