"","geography_level","geography_name","geography_id","sex","work_day","year","weighted_mean","weighted_median","lb_weighted_mean","ub_weighted_mean","lb_weighted_median","ub_weighted_median","ci_weighted_mean","ci_weighted_median"
"81","provincia","Choapa","p42","Hombre","Completa",2013,453267.789558467,310256.494313372,392959,527837,298867,364598,"[392959, 527837]","[298867, 364598]"
"82","provincia","Choapa","p42","Hombre","Completa",2014,465904.285156118,350000,404298,513355,300149,399925,"[404298, 513355]","[300149, 399925]"
"83","provincia","Choapa","p42","Hombre","Completa",2015,521296.225543924,400070.080508982,442437,582511,340231,417749,"[442437, 582511]","[340231, 417749]"
"84","provincia","Colchagua","p63","Hombre","Completa",2010,296387.961375095,200000,267231,344956,199863,219895,"[267231, 344956]","[199863, 219895]"
"85","provincia","Colchagua","p63","Hombre","Completa",2011,339320.690501117,232162.996205642,299554,370330,214416,249201,"[299554, 370330]","[214416, 249201]"
"86","provincia","Colchagua","p63","Hombre","Completa",2012,350869.730597504,242200.598597223,322700,383179,220748,251405,"[322700, 383179]","[220748, 251405]"
"87","provincia","Colchagua","p63","Hombre","Completa",2013,376265.878056377,265698.449052707,335610,415394,250339,281577,"[335610, 415394]","[250339, 281577]"
"88","provincia","Colchagua","p63","Hombre","Completa",2014,346757.993469909,293235.473167588,322298,386807,267246,300000,"[322298, 386807]","[267246, 300000]"
"89","provincia","Colchagua","p63","Hombre","Completa",2015,363418.283889173,291998.592669645,334759,399380,277900,300000,"[334759, 399380]","[277900, 300000]"
"90","provincia","Concepción","p81","Hombre","Completa",2010,401622.13454422,268970.417666237,371538,437219,250245,299512,"[371538, 437219]","[250245, 299512]"
"91","provincia","Concepción","p81","Hombre","Completa",2011,463159.012022548,299041.083012127,423092,510825,280285,301450,"[423092, 510825]","[280285, 301450]"
"92","provincia","Concepción","p81","Hombre","Completa",2012,436114.323915934,301353.092783505,407249,478669,285647,303864,"[407249, 478669]","[285647, 303864]"
"93","provincia","Concepción","p81","Hombre","Completa",2013,470499.089269801,331289.814996109,437672,504129,315489,349372,"[437672, 504129]","[315489, 349372]"
"94","provincia","Concepción","p81","Hombre","Completa",2014,517502.528799556,350000,481918,553704,329968,379013,"[481918, 553704]","[329968, 379013]"
"95","provincia","Concepción","p81","Hombre","Completa",2015,554676.506120576,400108.244632872,517652,598391,380704,401630,"[517652, 598391]","[380704, 401630]"
"96","provincia","Copiapó","p31","Hombre","Completa",2010,513172.927561414,349760.625305325,447978,585786,319896,380000,"[447978, 585786]","[319896, 380000]"
"97","provincia","Copiapó","p31","Hombre","Completa",2011,582782.299217415,388753.407915766,501695,708414,351692,449824,"[501695, 708414]","[351692, 449824]"
"98","provincia","Copiapó","p31","Hombre","Completa",2012,510089.069593121,401804.12371134,468932,566948,365000,450000,"[468932, 566948]","[365000, 450000]"
"99","provincia","Copiapó","p31","Hombre","Completa",2013,670696.643813514,498111.850386621,599246,760281,453033,577091,"[599246, 760281]","[453033, 577091]"
"100","provincia","Copiapó","p31","Hombre","Completa",2014,664758.336689082,500000,605201,743865,447994,550000,"[605201, 743865]","[447994, 550000]"
"101","provincia","Copiapó","p31","Hombre","Completa",2015,720465.234376262,557903.169215442,646386,797813,500000,637308,"[646386, 797813]","[500000, 637308]"
"102","provincia","Cordillera","p152","Hombre","Completa",2010,389048.568875593,300000,349548,434154,269903,326834,"[349548, 434154]","[269903, 326834]"
"103","provincia","Cordillera","p152","Hombre","Completa",2011,413558.988654942,301449.962092494,380695,455283,279683,339259,"[380695, 455283]","[279683, 339259]"
"104","provincia","Cordillera","p152","Hombre","Completa",2012,520584.658336696,391076.31677258,460439,593223,341959,407289,"[460439, 593223]","[341959, 407289]"
