"","sex","geography_name","geography_id","year","weighted_mean"
"127","Hombre","Elqui","p41",2011,453924.293853553
"128","Hombre","Elqui","p41",2012,504743.183616698
"129","Hombre","Elqui","p41",2013,537256.816590374
"130","Hombre","Elqui","p41",2014,544819.434239695
"131","Hombre","Elqui","p41",2015,577960.18553965
"132","Hombre","General Carrera","p114",2010,272352.24433628
"133","Hombre","General Carrera","p114",2011,353002.479769958
"134","Hombre","General Carrera","p114",2012,572696.330757524
"135","Hombre","General Carrera","p114",2013,698660.317651773
"136","Hombre","General Carrera","p114",2014,405538.004278657
"137","Hombre","General Carrera","p114",2015,511832.526282147
"138","Hombre","Huasco","p33",2010,339023.647238912
"139","Hombre","Huasco","p33",2011,361850.563697815
"140","Hombre","Huasco","p33",2012,420692.615313551
"141","Hombre","Huasco","p33",2013,399494.556055192
"142","Hombre","Huasco","p33",2014,389642.144355097
"143","Hombre","Huasco","p33",2015,419014.818884663
"144","Hombre","Iquique","p11",2010,502665.213210255
"145","Hombre","Iquique","p11",2011,497735.686628908
"146","Hombre","Iquique","p11",2012,564980.128017011
"147","Hombre","Iquique","p11",2013,620339.28246577
"148","Hombre","Iquique","p11",2014,655519.434551776
"149","Hombre","Iquique","p11",2015,714810.840274143
"150","Hombre","Limarí","p43",2010,297126.907015759
"151","Hombre","Limarí","p43",2011,306227.492222177
"152","Hombre","Limarí","p43",2012,332862.870636816
"153","Hombre","Limarí","p43",2013,358966.312391227
"154","Hombre","Limarí","p43",2014,355248.778667479
"155","Hombre","Limarí","p43",2015,329834.502281726
"156","Hombre","Linares","p74",2010,210830.228993764
"157","Hombre","Linares","p74",2011,238491.439473657
"158","Hombre","Linares","p74",2012,260767.825363416
"159","Hombre","Linares","p74",2013,311831.807406405
"160","Hombre","Linares","p74",2014,327138.904841404
"161","Hombre","Linares","p74",2015,355006.791583834
"162","Hombre","Llanquihue","p101",2010,361523.728010958
"163","Hombre","Llanquihue","p101",2011,421777.22982024
"164","Hombre","Llanquihue","p101",2012,522098.994412953
"165","Hombre","Llanquihue","p101",2013,458692.098061473
"166","Hombre","Llanquihue","p101",2014,559124.077756429
"167","Hombre","Llanquihue","p101",2015,683787.052069248
"168","Hombre","Los Andes","p53",2010,528583.258342332
"169","Hombre","Los Andes","p53",2011,471529.854718234
"170","Hombre","Los Andes","p53",2012,478117.022048507
"171","Hombre","Los Andes","p53",2013,483617.685466937
"172","Hombre","Los Andes","p53",2014,535999.378167125
"173","Hombre","Los Andes","p53",2015,531644.622167067
"174","Hombre","Magallanes","p121",2010,784849.186931532
"175","Hombre","Magallanes","p121",2011,838285.905994971
"176","Hombre","Magallanes","p121",2012,751612.397767798
"177","Hombre","Magallanes","p121",2013,786346.157408997
"178","Hombre","Magallanes","p121",2014,709819.923642827
"179","Hombre","Magallanes","p121",2015,826620.071969286
"180","Hombre","Maipo","p134",2010,369181.20493415
"181","Hombre","Maipo","p134",2011,396078.747712324
"182","Hombre","Maipo","p134",2012,469829.900016088
"183","Hombre","Maipo","p134",2013,523648.294125153
"184","Hombre","Maipo","p134",2014,477558.694371821
"185","Hombre","Maipo","p134",2015,494447.996399726
"186","Hombre","Malleco","p92",2010,266633.802762402
"187","Hombre","Malleco","p92",2011,331783.235496508
"188","Hombre","Malleco","p92",2012,364472.513959797
"189","Hombre","Malleco","p92",2013,331786.374262282
"190","Hombre","Malleco","p92",2014,355486.063525156
"191","Hombre","Malleco","p92",2015,358185.202089693
"192","Hombre","Marga Marga","p58",2010,405347.335005364
"193","Hombre","Marga Marga","p58",2011,443273.072906185
"194","Hombre","Marga Marga","p58",2012,429606.838805309
"195","Hombre","Marga Marga","p58",2013,473322.675376463
"196","Hombre","Marga Marga","p58",2014,514923.635242343
"197","Hombre","Marga Marga","p58",2015,508115.050952292
"198","Hombre","Melipilla","p135",2010,356418.973442369
"199","Hombre","Melipilla","p135",2011,354399.413836947
"200","Hombre","Melipilla","p135",2012,323078.487513923
"201","Hombre","Melipilla","p135",2013,338915.922872873
"202","Hombre","Melipilla","p135",2014,441173.074794711
"203","Hombre","Melipilla","p135",2015,444306.718782404
"204","Hombre","Ñuble","p84",2010,254545.586612234
"205","Hombre","Ñuble","p84",2011,364201.398434479
"206","Hombre","Ñuble","p84",2012,430835.874474276
"207","Hombre","Ñuble","p84",2013,389239.001599252
"208","Hombre","Ñuble","p84",2014,423214.992792273
"209","Hombre","Ñuble","p84",2015,525112.182509553
"210","Hombre","Osorno","p103",2010,320353.428880544
"211","Hombre","Osorno","p103",2011,361109.936717871
"212","Hombre","Osorno","p103",2012,385211.774695509
"213","Hombre","Osorno","p103",2013,447673.968917004
