"","geography_level","geography_name","geography_id","sex","isco","year","weighted_mean","weighted_median","ci_weighted_mean","ci_weighted_median"
"66","provincia","Chañaral","p32","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2014,142318.597950279,142318.597950279,"[101042, 179966]","[101042, 179966]"
"67","provincia","Chiloé","p102","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2010,132316.364583085,80078.293208064,"[110018, 162023]","[68154, 118513]"
"68","provincia","Chiloé","p102","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2011,176558.554552607,151087.044332913,"[132642, 210979]","[100000, 170429]"
"69","provincia","Chiloé","p102","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2012,172394.709316101,138959.432055913,"[136597, 234102]","[98306, 177804]"
"70","provincia","Chiloé","p102","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2013,347132.298387366,214059.693962195,"[248290, 461965]","[122962, 566104]"
"71","provincia","Chiloé","p102","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2014,301062.397480662,215548.816816945,"[222455, 405652]","[180407, 265000]"
"72","provincia","Chiloé","p102","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2015,259545.995568026,220887.309238613,"[225818, 295108]","[200000, 250310]"
"73","provincia","Choapa","p42","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2010,167274.538713131,130127.226463104,"[143054, 201074]","[115150, 180000]"
"74","provincia","Choapa","p42","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2011,237883.266598415,128462.759736943,"[128863, 420159]","[94696, 158886]"
"75","provincia","Choapa","p42","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2012,170860.53414946,101916.307559739,"[114539, 242176]","[80000, 131745]"
"76","provincia","Choapa","p42","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2013,145519.010178734,140170.53422337,"[118621, 172341]","[114958, 160000]"
"77","provincia","Choapa","p42","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2014,223650.523521419,206400.796861972,"[178072, 268607]","[150642, 289946]"
"78","provincia","Choapa","p42","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2015,223233.319874663,150611.191597248,"[165592, 291435]","[118762, 238293]"
"79","provincia","Colchagua","p63","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2010,321743.446486553,180901.507804131,"[177775, 657202]","[120000, 261533]"
"80","provincia","Colchagua","p63","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2011,310966.519251262,200000,"[242145, 411922]","[182899, 257049]"
"81","provincia","Colchagua","p63","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2012,223265.088311958,140069.08321706,"[139724, 344872]","[100367, 253666]"
"82","provincia","Colchagua","p63","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2013,523101.137838553,297643.399908509,"[266757, 970157]","[210000, 380515]"
"83","provincia","Colchagua","p63","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2014,522026.099347394,298252.507883384,"[276352, 803852]","[102561, 602785]"
"84","provincia","Colchagua","p63","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2015,304602.240806522,150913.766560547,"[172436, 507297]","[89130, 207323]"
"85","provincia","Concepción","p81","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2010,166230.030804095,130058.413792173,"[134998, 197352]","[103150, 161082]"
"86","provincia","Concepción","p81","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2011,206511.795734498,182064.132031137,"[173431, 244085]","[149839, 228003]"
"87","provincia","Concepción","p81","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2012,229227.626310398,190856.958762886,"[168578, 320506]","[150677, 196369]"
"88","provincia","Concepción","p81","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2013,196081.315861624,196691.567909658,"[158033, 248396]","[130668, 209828]"
"89","provincia","Concepción","p81","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2014,165897.398325808,149995.206690847,"[138024, 197931]","[119676, 208712]"
"90","provincia","Concepción","p81","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2015,289087.235207721,196837.471948465,"[200878, 392953]","[150483, 247071]"
