"","sex","work_day","geography_name","geography_id","year","weighted_mean"
"119","Hombre","Parcial","Aysén","11",2011,295553.493768546
"120","Hombre","Parcial","Aysén","11",2012,315337.602103459
"121","Hombre","Parcial","Aysén","11",2013,302565.741910091
"122","Hombre","Parcial","Aysén","11",2014,392382.31746745
"123","Hombre","Parcial","Aysén","11",2015,360667.42658122
"124","Hombre","Parcial","Bíobío","8",2010,136606.617347238
"125","Hombre","Parcial","Bíobío","8",2011,181064.072109161
"126","Hombre","Parcial","Bíobío","8",2012,184586.034581132
"127","Hombre","Parcial","Bíobío","8",2013,218291.628521947
"128","Hombre","Parcial","Bíobío","8",2014,201670.438281973
"129","Hombre","Parcial","Bíobío","8",2015,204009.141029587
"130","Hombre","Parcial","Coquimbo","4",2010,170679.32522194
"131","Hombre","Parcial","Coquimbo","4",2011,155900.014817881
"132","Hombre","Parcial","Coquimbo","4",2012,236652.235982431
"133","Hombre","Parcial","Coquimbo","4",2013,183546.618626133
"134","Hombre","Parcial","Coquimbo","4",2014,230672.656879857
"135","Hombre","Parcial","Coquimbo","4",2015,210366.991384762
"136","Hombre","Parcial","Los Lagos","10",2010,148266.038135248
"137","Hombre","Parcial","Los Lagos","10",2011,168039.416826485
"138","Hombre","Parcial","Los Lagos","10",2012,178921.86318214
"139","Hombre","Parcial","Los Lagos","10",2013,168771.905621466
"140","Hombre","Parcial","Los Lagos","10",2014,191773.01156343
"141","Hombre","Parcial","Los Lagos","10",2015,217047.271841366
"142","Hombre","Parcial","Los Ríos","14",2010,112217.761989712
"143","Hombre","Parcial","Los Ríos","14",2011,115284.946824035
"144","Hombre","Parcial","Los Ríos","14",2012,201625.462922959
"145","Hombre","Parcial","Los Ríos","14",2013,254033.698252856
"146","Hombre","Parcial","Los Ríos","14",2014,160389.889620646
"147","Hombre","Parcial","Los Ríos","14",2015,205964.752212784
"148","Hombre","Parcial","Magallanes","12",2010,208886.98569746
"149","Hombre","Parcial","Magallanes","12",2011,238590.544006928
"150","Hombre","Parcial","Magallanes","12",2012,138418.17217882
"151","Hombre","Parcial","Magallanes","12",2013,777015.37359607
"152","Hombre","Parcial","Magallanes","12",2014,246910.209992347
"153","Hombre","Parcial","Magallanes","12",2015,319349.39113111
"154","Hombre","Parcial","Maule","7",2010,135278.008550691
"155","Hombre","Parcial","Maule","7",2011,135281.846335288
"156","Hombre","Parcial","Maule","7",2012,125414.136742532
"157","Hombre","Parcial","Maule","7",2013,175952.279030869
