"","geography_level","geography_name","geography_id","sex","year","weighted_mean","weighted_median","ci_weighted_mean","ci_weighted_median"
"103","region","Araucanía","9","Mujer",2013,270327.587189941,200000,"[240083, 295631]","[179286, 210285]"
"104","region","Araucanía","9","Mujer",2014,316100.296084821,227498.991618887,"[286897, 348943]","[212042, 250000]"
"105","region","Araucanía","9","Mujer",2015,331942.562058461,240000,"[300179, 369031]","[210096, 241982]"
"106","region","Arica y Parinacota","15","Mujer",2010,246437.85182185,163838.490671672,"[223974, 271418]","[154184, 180000]"
"107","region","Arica y Parinacota","15","Mujer",2011,233476.449773916,164500.372410594,"[212770, 252735]","[150344, 180279]"
"108","region","Arica y Parinacota","15","Mujer",2012,275521.201355902,190000,"[248347, 306672]","[174827, 200000]"
"109","region","Arica y Parinacota","15","Mujer",2013,332771.649014152,200271.125169454,"[283576, 393270]","[199245, 212279]"
"110","region","Arica y Parinacota","15","Mujer",2014,328828.18413993,230000,"[304198, 351537]","[212934, 252606]"
"111","region","Arica y Parinacota","15","Mujer",2015,364438.634807747,241046.912822985,"[332351, 413315]","[222470, 255896]"
"112","region","Atacama","3","Mujer",2010,276116.442148356,195099.04616741,"[247754, 322524]","[179907, 208953]"
"113","region","Atacama","3","Mujer",2011,332818.590569946,200966.641394996,"[254751, 473191]","[199361, 224281]"
"114","region","Atacama","3","Mujer",2012,305165.748659652,241349.06008109,"[277937, 339652]","[227253, 255329]"
"115","region","Atacama","3","Mujer",2013,380713.743532412,265658.123196956,"[345059, 417422]","[249056, 300214]"
"116","region","Atacama","3","Mujer",2014,394636.779221792,274388.708173299,"[347891, 430550]","[252606, 299944]"
"117","region","Atacama","3","Mujer",2015,402802.617684636,319781.498581829,"[366118, 450087]","[300000, 350000]"
"118","region","Aysén","11","Mujer",2010,319918.441673753,217060.658611132,"[293366, 350482]","[196785, 227080]"
"119","region","Aysén","11","Mujer",2011,361464.597558139,236911.331446643,"[330760, 400390]","[219297, 254313]"
"120","region","Aysén","11","Mujer",2012,349258.091248576,224873.80965947,"[319297, 379681]","[201008, 249972]"
"121","region","Aysén","11","Mujer",2013,372802.084993938,262614.12896621,"[341353, 406677]","[238180, 288905]"
"122","region","Aysén","11","Mujer",2014,393588.199064026,272868.33510957,"[358836, 429259]","[250000, 299944]"
"123","region","Aysén","11","Mujer",2015,489007.923113384,346887.834920214,"[442408, 546576]","[300230, 374182]"
"124","region","Bíobío","8","Mujer",2010,251523.973358575,168230.608877143,"[230815, 271575]","[157467, 173592]"
"125","region","Bíobío","8","Mujer",2011,251149.021120535,179424.649807276,"[234757, 267448]","[169137, 182462]"
"126","region","Bíobío","8","Mujer",2012,290023.821945499,197097.891021413,"[270906, 307824]","[189905, 200902]"
"127","region","Bíobío","8","Mujer",2013,292520.169076999,211578.909378931,"[276445, 310397]","[209207, 222529]"
"128","region","Bíobío","8","Mujer",2014,315153.399925167,229365.927610384,"[297673, 334626]","[224958, 243803]"
"129","region","Bíobío","8","Mujer",2015,351935.639289734,250067.652895545,"[329734, 378680]","[241627, 265072]"
"130","region","Coquimbo","4","Mujer",2010,283353.45943989,180176.159718144,"[248089, 324890]","[172970, 199742]"
"131","region","Coquimbo","4","Mujer",2011,264524.162995278,194376.703957883,"[243976, 288023]","[182880, 199936]"
"132","region","Coquimbo","4","Mujer",2012,303748.619608845,211180.427570954,"[273844, 334621]","[196782, 224288]"
"133","region","Coquimbo","4","Mujer",2013,309844.438779496,220039.52482287,"[288664, 341209]","[210135, 237295]"
"134","region","Coquimbo","4","Mujer",2014,339238.47756476,249953.12207013,"[308842, 371652]","[234271, 279947]"
"135","region","Coquimbo","4","Mujer",2015,344575.121879594,261059.398768563,"[322133, 370211]","[250052, 280076]"
"136","region","Los Lagos","10","Mujer",2010,238345.24118048,169883.732291158,"[219563, 258217]","[155775, 180000]"
"137","region","Los Lagos","10","Mujer",2011,295947.806351295,208981.834717252,"[269739, 318523]","[199049, 222118]"
"138","region","Los Lagos","10","Mujer",2012,319192.221103846,220992.268041237,"[292468, 347419]","[200902, 243818]"
"139","region","Los Lagos","10","Mujer",2013,321110.956169439,238778.222866002,"[296588, 347076]","[219169, 251050]"
"140","region","Los Lagos","10","Mujer",2014,353462.330634712,249953.12207013,"[327632, 385997]","[232397, 263684]"
"141","region","Los Lagos","10","Mujer",2015,385819.585714822,290078.477358832,"[358062, 424477]","[277036, 300000]"
"142","region","Los Ríos","14","Mujer",2010,226399.290388322,156741.332282419,"[197346, 256777]","[135132, 174190]"
"143","region","Los Ríos","14","Mujer",2011,245107.38658925,150724.981046247,"[210060, 293221]","[147000, 179475]"
"144","region","Los Ríos","14","Mujer",2012,283900.439198731,190856.958762886,"[246711, 323391]","[160806, 201114]"
"145","region","Los Ríos","14","Mujer",2013,302885.912874664,210284.681427927,"[275803, 340841]","[199977, 230304]"
"146","region","Los Ríos","14","Mujer",2014,320618.187044773,202084.5177184,"[275757, 361245]","[183893, 222708]"
"147","region","Los Ríos","14","Mujer",2015,356968.133338796,250067.652895545,"[306356, 425920]","[240000, 265280]"
"148","region","Magallanes","12","Mujer",2010,375486.799096043,245000,"[304484, 454570]","[195800, 260938]"
"149","region","Magallanes","12","Mujer",2011,413277.295596556,260000,"[354989, 478686]","[220505, 301450]"
"150","region","Magallanes","12","Mujer",2012,544582.585887602,331854.957611499,"[477499, 664070]","[282480, 403508]"
"151","region","Magallanes","12","Mujer",2013,565125.69874756,398489.480309297,"[495859, 659867]","[354708, 480000]"
"152","region","Magallanes","12","Mujer",2014,552184.420200876,363348.017697688,"[478960, 640806]","[323335, 404169]"
"153","region","Magallanes","12","Mujer",2015,644856.488799748,400007.776830623,"[553451, 717542]","[345522, 487233]"
"154","region","Maule","7","Mujer",2010,213920.210581831,160000,"[194395, 232667]","[149897, 170000]"
"155","region","Maule","7","Mujer",2011,239992.095229667,179424.649807276,"[211219, 268980]","[168689, 181418]"
"156","region","Maule","7","Mujer",2012,248177.118992263,193000,"[228627, 264201]","[180907, 196685]"
"157","region","Maule","7","Mujer",2013,280559.058979293,210000,"[261944, 297052]","[209207, 210285]"
"158","region","Maule","7","Mujer",2014,292018.898885208,224957.809863117,"[269192, 321305]","[216043, 227666]"
"159","region","Maule","7","Mujer",2015,328305.587196372,250000,"[306006, 352476]","[241065, 256577]"
"160","region","Metropolitana","13","Mujer",2010,332757.760318133,208000,"[317468, 351203]","[200196, 219850]"
"161","region","Metropolitana","13","Mujer",2011,353565.707689016,240000,"[335862, 378325]","[229265, 249201]"
"162","region","Metropolitana","13","Mujer",2012,403149.048035019,265000,"[375154, 432306]","[251405, 276317]"
"163","region","Metropolitana","13","Mujer",2013,414720.539386084,282523.205289954,"[399825, 439776]","[276116, 298867]"
"164","region","Metropolitana","13","Mujer",2014,442530.539050744,301636.259151464,"[424468, 466505]","[300000, 304188]"
"165","region","Metropolitana","13","Mujer",2015,460607.605746332,315000,"[441458, 480051]","[301222, 329685]"
"166","region","O'Higgins","6","Mujer",2010,244832.753873672,180176.159718144,"[226822, 262001]","[175039, 199863]"
"167","region","O'Higgins","6","Mujer",2011,271774.907871609,200966.641394996,"[246294, 297701]","[190252, 220000]"
"168","region","O'Higgins","6","Mujer",2012,294498.691885963,202976.81992379,"[267757, 331425]","[200428, 222177]"
"169","region","O'Higgins","6","Mujer",2013,293100.283579385,210284.681427927,"[270332, 340080]","[210000, 220000]"
"170","region","O'Higgins","6","Mujer",2014,311240.032604026,250000,"[291254, 333945]","[241607, 254970]"
"171","region","O'Higgins","6","Mujer",2015,332559.651432953,251018.65266208,"[312466, 362396]","[241065, 270073]"
"172","region","Tarapacá","1","Mujer",2010,283863.606690047,189870.053737176,"[250425, 306360]","[175000, 202425]"
"173","region","Tarapacá","1","Mujer",2011,359464.380190871,231111.637604245,"[320909, 417406]","[214726, 259169]"
"174","region","Tarapacá","1","Mujer",2012,366519.58105672,256808.379432196,"[334437, 406045]","[230000, 281426]"
"175","region","Tarapacá","1","Mujer",2013,408651.306183017,283246.300184421,"[374053, 454228]","[262366, 300407]"
"176","region","Tarapacá","1","Mujer",2014,415538.023102393,303126.7765776,"[375385, 465131]","[282918, 349934]"
"177","region","Tarapacá","1","Mujer",2015,454939.357511617,301222.383194496,"[401092, 513542]","[297784, 336826]"
"178","region","Valparaíso","5","Mujer",2010,235530.478307323,171882.36443576,"[220783, 249108]","[165000, 177141]"
"179","region","Valparaíso","5","Mujer",2011,250575.005886558,189607.29524693,"[235511, 263497]","[182880, 196924]"
"180","region","Valparaíso","5","Mujer",2012,301522.578565803,201124.216734242,"[284638, 321245]","[200902, 214197]"
"181","region","Valparaíso","5","Mujer",2013,348701.013624679,238624.518594865,"[325717, 367441]","[220000, 249056]"
"182","region","Valparaíso","5","Mujer",2014,409143.4951111,261526.858254832,"[385880, 436542]","[252606, 278628]"
"183","region","Valparaíso","5","Mujer",2015,378660.960880338,280000,"[358161, 403241]","[261536, 299383]"
"184","region",NA,NA,"Mujer",2010,133880.475690424,87726.8621170474,"[83769, 252174]","[44426, 136107]"
"185","region",NA,NA,"Mujer",2011,124326.330603654,49863.1638218099,"[69086, 208414]","[41917, 101674]"
"186","region",NA,NA,"Mujer",2012,182511.13069576,100108.981523004,"[128182, 269011]","[62083, 180061]"
