"","geography_level","geography_name","geography_id","sex","icse","year","weighted_mean","weighted_median","ci_weighted_mean","ci_weighted_median"
"76","region","O'Higgins","6","Hombre","Asalariado Sector Privado",2013,368522.287782436,280179.685784185,"[345887, 392724]","[268980, 298867]"
"77","region","O'Higgins","6","Hombre","Asalariado Sector Privado",2014,377640.275584496,300000,"[357865, 404271]","[282918, 309735]"
"78","region","O'Higgins","6","Hombre","Asalariado Sector Privado",2015,422496.841940116,320050.164866861,"[397959, 453225]","[301222, 347525]"
"79","region","Tarapacá","1","Hombre","Asalariado Sector Privado",2010,503944.738794484,331650.636841556,"[432318, 578383]","[299795, 350343]"
"80","region","Tarapacá","1","Hombre","Asalariado Sector Privado",2011,502772.870799358,354953.222602244,"[455426, 566654]","[321995, 400000]"
"81","region","Tarapacá","1","Hombre","Asalariado Sector Privado",2012,581100.19067312,421974.27201462,"[520833, 655999]","[351967, 482445]"
"82","region","Tarapacá","1","Hombre","Asalariado Sector Privado",2013,572459.540095268,439797.023152959,"[531683, 639407]","[400122, 481022]"
"83","region","Tarapacá","1","Hombre","Asalariado Sector Privado",2014,601669.026564864,499906.244140259,"[552972, 642535]","[454690, 505211]"
"84","region","Tarapacá","1","Hombre","Asalariado Sector Privado",2015,640134.493989134,450000,"[577584, 728254]","[420114, 500084]"
"85","region","Valparaíso","5","Hombre","Asalariado Sector Privado",2010,353036.446169326,230225.092973184,"[331281, 379300]","[219850, 250000]"
"86","region","Valparaíso","5","Hombre","Asalariado Sector Privado",2011,363986.42550364,257019.594523585,"[342416, 393068]","[249201, 276192]"
"87","region","Valparaíso","5","Hombre","Asalariado Sector Privado",2012,444893.103628508,284601.394465012,"[417893, 471474]","[273076, 300000]"
"88","region","Valparaíso","5","Hombre","Asalariado Sector Privado",2013,457843.164145181,320433.800271126,"[432325, 489823]","[300407, 342035]"
"89","region","Valparaíso","5","Hombre","Asalariado Sector Privado",2014,487032.983389568,353647.9060072,"[464655, 513636]","[335688, 365344]"
"90","region","Valparaíso","5","Hombre","Asalariado Sector Privado",2015,491744.374999701,375069.050299701,"[468252, 521125]","[351426, 394390]"
"91","region",NA,NA,"Hombre","Asalariado Sector Privado",2010,222163.984852677,179927.486886372,"[160983, 334779]","[138872, 228091]"
"92","region",NA,NA,"Hombre","Asalariado Sector Privado",2011,290450.668755251,221222.21565047,"[209595, 398382]","[181600, 345012]"
"93","region",NA,NA,"Hombre","Asalariado Sector Privado",2012,243376.741337546,200774.364852749,"[187137, 313099]","[156102, 294057]"
"94","region","Antofagasta","2","Hombre","Asalariado Sector Público",2010,875113.293196807,829432.34000977,"[745541, 1020385]","[606084, 988951]"
"95","region","Antofagasta","2","Hombre","Asalariado Sector Público",2011,1073423.95331626,996803.610040425,"[949185, 1267898]","[734694, 1227526]"
"96","region","Antofagasta","2","Hombre","Asalariado Sector Público",2012,1010518.42581442,900000,"[859858, 1177507]","[756737, 1204194]"
"97","region","Antofagasta","2","Hombre","Asalariado Sector Público",2013,1334399.25981461,1016232.24605532,"[1084729, 1576514]","[946413, 1288184]"
"98","region","Antofagasta","2","Hombre","Asalariado Sector Público",2014,1142572.35160281,980505.757772034,"[961791, 1383130]","[810005, 1103752]"
"99","region","Antofagasta","2","Hombre","Asalariado Sector Público",2015,1116362.44798201,841063.416167165,"[928651, 1357456]","[717913, 1228115]"
"100","region","Araucanía","9","Hombre","Asalariado Sector Público",2010,575736.832323786,499723.080900216,"[496509, 671290]","[400391, 580568]"
"101","region","Araucanía","9","Hombre","Asalariado Sector Público",2011,650923.378905358,529176.795363073,"[516308, 800765]","[368817, 697763]"
