"","geography_level","geography_name","geography_id","sex","isced","year","weighted_mean","weighted_median","ci_weighted_mean","ci_weighted_median"
"118","comuna","Punta Arenas","238","Hombre","Doctorado",2012,1747086.67398954,1077966.97395147,"[1004510, 3555938]","[1004510, 3963758]"
"119","comuna","Punta Arenas","238","Hombre","Doctorado",2013,2744143.46667539,2744143.46667538,"[2092070, 4483007]","[2092070, 4483007]"
"120","comuna","Punta Arenas","238","Hombre","Doctorado",2014,1452082.78327414,1452082.78327414,"[1400000, 1499719]","[1400000, 1499719]"
"121","comuna","Punta Arenas","238","Hombre","Doctorado",2015,1800000,1800000,"[1800000, 1800000]","[1800000, 1800000]"
"122","comuna","Quilicura","249","Hombre","Doctorado",2015,1700460.03968971,1700460.03968971,"[1700460, 1700460]","[1700460, 1700460]"
"123","comuna","Quillota","252","Hombre","Doctorado",2012,700000,700000,"[700000, 700000]","[700000, 700000]"
"124","comuna","Quillota","252","Hombre","Doctorado",2013,800000,800000,"[800000, 800000]","[800000, 800000]"
"125","comuna","Quillota","252","Hombre","Doctorado",2014,2000000,2000000,"[2000000, 2000000]","[2000000, 2000000]"
"126","comuna","Quillota","252","Hombre","Doctorado",2015,720000,720000,"[720000, 720000]","[720000, 720000]"
"127","comuna","Quilpué","253","Hombre","Doctorado",2012,892490.932672438,892490.932672438,"[452030, 2212366]","[452030, 2212366]"
"128","comuna","Quilpué","253","Hombre","Doctorado",2013,971909.952534097,971909.952534097,"[398489, 2022738]","[398489, 2022738]"
"129","comuna","Quilpué","253","Hombre","Doctorado",2014,1474859.91135349,1474859.91135349,"[1000000, 3506205]","[1000000, 3506205]"
"130","comuna","Quilpué","253","Hombre","Doctorado",2015,2000000,2000000,"[2000000, 2000000]","[2000000, 2000000]"
"131","comuna","Rancagua","259","Hombre","Doctorado",2010,1331301.62458406,1331301.62458406,"[1331302, 1331302]","[1331302, 1331302]"
"132","comuna","Rancagua","259","Hombre","Doctorado",2013,996223.700773242,996223.700773242,"[996224, 996224]","[996224, 996224]"
"133","comuna","Recoleta","262","Hombre","Doctorado",2015,2850771.24300921,2850771.24300921,"[2850771, 2850771]","[2850771, 2850771]"
"134","comuna","Rinconada","268","Hombre","Doctorado",2012,1104961.34020619,1104961.34020619,"[1104961, 1104961]","[1104961, 1104961]"
"135","comuna","Rinconada","268","Hombre","Doctorado",2013,996223.700773242,996223.700773242,"[996224, 996224]","[996224, 996224]"
"136","comuna","Río Negro","273","Hombre","Doctorado",2012,1746763.82233689,1746763.82233689,"[1746764, 1746764]","[1746764, 1746764]"
"137","comuna","Río Negro","273","Hombre","Doctorado",2013,1191613.19475825,1191613.19475825,"[1191613, 1191613]","[1191613, 1191613]"
"138","comuna","Río Negro","273","Hombre","Doctorado",2014,1456018.95016107,1456018.95016107,"[1456019, 1456019]","[1456019, 1456019]"
"139","comuna","San Bernardo","280","Hombre","Doctorado",2014,1583808.88453966,1583808.88453966,"[1427929, 1612000]","[1427929, 1612000]"
"140","comuna","San Bernardo","280","Hombre","Doctorado",2015,1516752.36033436,1516752.36033436,"[950257, 1800000]","[950257, 1800000]"
"141","comuna","San Felipe","285","Hombre","Doctorado",2013,1444524.3661212,1444524.3661212,"[1394713, 1494336]","[1394713, 1494336]"
"142","comuna","San Felipe","285","Hombre","Doctorado",2014,889833.114569662,559894.99343709,"[549897, 1559707]","[549897, 1559707]"
"143","comuna","San Felipe","285","Hombre","Doctorado",2015,1833829.45456733,2000541.22316436,"[600162, 2900785]","[600162, 2900785]"
"144","comuna","San Pedro de la Paz","298","Hombre","Doctorado",2011,1256041.50871873,1256041.50871873,"[1256042, 1256042]","[1256042, 1256042]"
"145","comuna","San Pedro de la Paz","298","Hombre","Doctorado",2012,1707667.5257732,1707667.5257732,"[904059, 2511276]","[904059, 2511276]"
"146","comuna","San Pedro de la Paz","298","Hombre","Doctorado",2013,199244.740154648,199244.740154648,"[199245, 199245]","[199245, 199245]"
"147","comuna","San Pedro de la Paz","298","Hombre","Doctorado",2014,1798552.20769376,1798552.20769376,"[1798552, 1798552]","[1798552, 1798552]"
"148","comuna","San Pedro de la Paz","298","Hombre","Doctorado",2015,1000270.61158218,1000270.61158218,"[1000271, 1000271]","[1000271, 1000271]"
"149","comuna","Santiago","307","Hombre","Doctorado",2010,807590,807590,"[807590, 807590]","[807590, 807590]"
"150","comuna","Santiago","307","Hombre","Doctorado",2013,731913.090505634,800000,"[400000, 1000000]","[400000, 1000000]"
"151","comuna","Santiago","307","Hombre","Doctorado",2014,1600000,1600000,"[1600000, 1600000]","[1600000, 1600000]"
"152","comuna","Santiago","307","Hombre","Doctorado",2015,725314.522258214,725314.522258214,"[600000, 900000]","[600000, 900000]"
"153","comuna","Talca","311","Hombre","Doctorado",2010,1498974.10845139,1498974.10845139,"[1498974, 1498974]","[1498974, 1498974]"
"154","comuna","Talca","311","Hombre","Doctorado",2011,1061066.99195248,1061066.99195248,"[622997, 1507250]","[622997, 1507250]"
"155","comuna","Talca","311","Hombre","Doctorado",2012,1714877.76641418,1714877.76641418,"[1206745, 2300000]","[1206745, 2300000]"
"156","comuna","Talca","311","Hombre","Doctorado",2014,1649690.60566285,1649690.60566285,"[1299756, 1999625]","[1299756, 1999625]"
"157","comuna","Talca","311","Hombre","Doctorado",2015,2935413.72574184,2500000,"[1500406, 4501218]","[1500406, 4501218]"
"158","comuna","Talcahuano","312","Hombre","Doctorado",2010,361952.281387396,361952.281387396,"[361952, 361952]","[361952, 361952]"
"159","comuna","Temuco","314","Hombre","Doctorado",2010,3297192.46689577,3297192.46689577,"[2252202, 6070845]","[2252202, 6070845]"
"160","comuna","Temuco","314","Hombre","Doctorado",2012,1387757.09546627,1387757.09546627,"[1317364, 1458151]","[1317364, 1458151]"
"161","comuna","Temuco","314","Hombre","Doctorado",2013,2365702.66606417,2365702.66606417,"[2228016, 2503389]","[2228016, 2503389]"
"162","comuna","Temuco","314","Hombre","Doctorado",2014,1756361.11059758,1756361.11059758,"[1699681, 1943320]","[1699681, 1943320]"
"163","comuna","Temuco","314","Hombre","Doctorado",2015,1672796.53655733,1672796.53655733,"[1596479, 1700460]","[1596479, 1700460]"
"164","comuna","Valdivia","329","Hombre","Doctorado",2010,1301272.26463104,1301272.26463104,"[1301272, 1301272]","[1301272, 1301272]"
"165","comuna","Valdivia","329","Hombre","Doctorado",2011,1434752.2622991,1448191.88220104,"[885487, 2045931]","[647922, 2200000]"
"166","comuna","Valdivia","329","Hombre","Doctorado",2012,1282334.51805002,1232641.35706126,"[816557, 1780871]","[663205, 2000000]"
"167","comuna","Valdivia","329","Hombre","Doctorado",2013,1492582.7169435,1460489.86007952,"[1001719, 1994672]","[692581, 2405400]"
"168","comuna","Valdivia","329","Hombre","Doctorado",2014,1597848.90293753,1619847.48617056,"[721422, 2268914]","[641618, 2490427]"
"169","comuna","Valdivia","329","Hombre","Doctorado",2015,939001.543737886,1005036.6613073,"[239438, 1608135]","[190051, 1791804]"
"170","comuna","Valparaíso","331","Hombre","Doctorado",2010,1400000,1400000,"[1400000, 1400000]","[1400000, 1400000]"
"171","comuna","Valparaíso","331","Hombre","Doctorado",2011,318977.155212936,318977.155212936,"[318977, 318977]","[318977, 318977]"
"172","comuna","Valparaíso","331","Hombre","Doctorado",2012,1106183.19203833,1106183.19203833,"[1106183, 1106183]","[1106183, 1106183]"
"173","comuna","Valparaíso","331","Hombre","Doctorado",2014,110000,110000,"[110000, 110000]","[110000, 110000]"
"174","comuna","Villa Alemana","337","Hombre","Doctorado",2014,1499718.73242078,1499718.73242078,"[1499719, 1499719]","[1499719, 1499719]"
"175","comuna","Viña del Mar","339","Hombre","Doctorado",2010,1034296.36112752,1055063.09200407,"[740060, 1262368]","[639286, 1458730]"
"176","comuna","Viña del Mar","339","Hombre","Doctorado",2011,1475222.36921097,1598438.42399545,"[795656, 1925933]","[502417, 2022673]"
"177","comuna","Viña del Mar","339","Hombre","Doctorado",2012,1985032.74261142,2028492.2035288,"[976359, 2926060]","[1269744, 3294205]"
"178","comuna","Viña del Mar","339","Hombre","Doctorado",2013,1789316.28207253,1756338.58709361,"[1088788, 2614633]","[1000000, 2690297]"
"179","comuna","Viña del Mar","339","Hombre","Doctorado",2014,1602031.08477558,1428264.95945047,"[1073540, 2389407]","[879002, 2489755]"
"180","comuna","Viña del Mar","339","Hombre","Doctorado",2015,4578584.16665751,4584985.38601335,"[2855686, 6022773]","[2253192, 6022773]"
"181","comuna","Vitacura","340","Hombre","Doctorado",2012,3003157.00168596,2255223.49678948,"[461573, 5654159]","[380000, 6000000]"
"182","comuna","Vitacura","340","Hombre","Doctorado",2013,1871890.44200151,2120799.13768479,"[1170279, 2518349]","[800000, 2540370]"
"183","comuna","Vitacura","340","Hombre","Doctorado",2014,4515187.90644659,3418662.37320843,"[2713920, 6600526]","[2499531, 6636133]"
"184","comuna","Vitacura","340","Hombre","Doctorado",2015,2748576.76039601,2751084.64381292,"[1490086, 5608594]","[1427948, 5642041]"
"185","comuna","Alto Hospicio","5","Hombre","Educación Preescolar",2013,280379.575237236,280379.575237236,"[280380, 280380]","[280380, 280380]"
