"","geography_level","geography_name","geography_id","sex","company_size","year","weighted_mean","weighted_median","ci_weighted_mean","ci_weighted_median"
"77","region","O'Higgins","6","Hombre","Menos de 5",2014,356403.272148593,257991.269664867,"[310290, 422499]","[244630, 299944]"
"78","region","O'Higgins","6","Hombre","Menos de 5",2015,366778.961614784,280022.949616441,"[330069, 413827]","[250068, 300081]"
"79","region","Tarapacá","1","Hombre","Menos de 5",2010,263331.30257008,199863.214460186,"[224344, 305421]","[179877, 222355]"
"80","region","Tarapacá","1","Hombre","Menos de 5",2011,263562.865730951,200000,"[232612, 305939]","[192263, 219297]"
"81","region","Tarapacá","1","Hombre","Menos de 5",2012,339943.282457265,251405.270917803,"[291110, 415322]","[205116, 297941]"
"82","region","Tarapacá","1","Hombre","Menos de 5",2013,440025.7438405,249917.684710299,"[348494, 570911]","[202374, 294842]"
"83","region","Tarapacá","1","Hombre","Menos de 5",2014,401921.565257273,300000,"[335315, 462595]","[280000, 329402]"
"84","region","Tarapacá","1","Hombre","Menos de 5",2015,398204.584646627,301222.383194496,"[325398, 525716]","[250690, 322714]"
"85","region","Valparaíso","5","Hombre","Menos de 5",2010,248233.872588594,172168.330397338,"[214673, 292085]","[164636, 180176]"
"86","region","Valparaíso","5","Hombre","Menos de 5",2011,330503.91269319,199360.722008085,"[280713, 384751]","[181263, 200813]"
"87","region","Valparaíso","5","Hombre","Menos de 5",2012,300544.726864698,200902.06185567,"[274467, 340094]","[200000, 211190]"
"88","region","Valparaíso","5","Hombre","Menos de 5",2013,348826.336021314,249055.92519331,"[314547, 399158]","[224962, 268363]"
"89","region","Valparaíso","5","Hombre","Menos de 5",2014,414178.182229355,272814.09891984,"[362791, 497839]","[250000, 299944]"
"90","region","Valparaíso","5","Hombre","Menos de 5",2015,352065.66313902,275533.631359669,"[314373, 386884]","[250423, 300000]"
"91","region",NA,NA,"Hombre","Menos de 5",2010,178730.671557093,100097.86651008,"[117590, 281861]","[61572, 148263]"
"92","region",NA,NA,"Hombre","Menos de 5",2011,286204.964314534,249200.902510106,"[174645, 387292]","[113453, 391978]"
"93","region",NA,NA,"Hombre","Menos de 5",2012,176910.920885583,100528.137875525,"[116782, 233520]","[60106, 154135]"
"94","region","Antofagasta","2","Hombre","De 5 a 10 personas",2010,502154.711964021,327100.77396687,"[392673, 705618]","[291582, 599590]"
"95","region","Antofagasta","2","Hombre","De 5 a 10 personas",2011,369452.159989391,340464.397394582,"[294426, 462203]","[299380, 470000]"
"96","region","Antofagasta","2","Hombre","De 5 a 10 personas",2012,701198.157556021,400000,"[411412, 1184323]","[300000, 506164]"
"97","region","Antofagasta","2","Hombre","De 5 a 10 personas",2013,708377.139614889,377801.164851664,"[364264, 1426724]","[300000, 498488]"
"98","region","Antofagasta","2","Hombre","De 5 a 10 personas",2014,549376.304419546,465050.060229408,"[383052, 766299]","[269128, 599887]"
"99","region","Antofagasta","2","Hombre","De 5 a 10 personas",2015,655602.99847395,400135.795363671,"[465129, 940798]","[327461, 728085]"
"100","region","Araucanía","9","Hombre","De 5 a 10 personas",2010,290131.408811217,190071.658160483,"[205090, 479582]","[172168, 200196]"
"101","region","Araucanía","9","Hombre","De 5 a 10 personas",2011,398930.996664261,254540.772378645,"[292526, 642937]","[182722, 367896]"
"102","region","Araucanía","9","Hombre","De 5 a 10 personas",2012,429972.747341164,241309.847599358,"[339352, 598891]","[203556, 384607]"
"103","region","Araucanía","9","Hombre","De 5 a 10 personas",2013,397494.382940938,268073.566608794,"[306455, 550461]","[210023, 290351]"
"104","region","Araucanía","9","Hombre","De 5 a 10 personas",2014,455410.35990724,300000,"[372290, 558735]","[267279, 350000]"
"105","region","Araucanía","9","Hombre","De 5 a 10 personas",2015,523583.757503262,340952.155026396,"[397477, 663750]","[300000, 451834]"
"106","region","Arica y Parinacota","15","Hombre","De 5 a 10 personas",2010,261475.360168079,200000,"[213517, 331663]","[188815, 231776]"
"107","region","Arica y Parinacota","15","Hombre","De 5 a 10 personas",2011,490247.594428672,218160.962543901,"[321349, 714764]","[175082, 319683]"
"108","region","Arica y Parinacota","15","Hombre","De 5 a 10 personas",2012,470139.252197606,250915.878429527,"[293553, 762735]","[201542, 251405]"
"109","region","Arica y Parinacota","15","Hombre","De 5 a 10 personas",2013,260641.940575368,202296.653451546,"[208307, 350629]","[168228, 280896]"
"110","region","Arica y Parinacota","15","Hombre","De 5 a 10 personas",2014,292026.723647483,200990.459685045,"[232863, 359139]","[181876, 259776]"
"111","region","Arica y Parinacota","15","Hombre","De 5 a 10 personas",2015,378898.38204842,301222.383194496,"[318894, 469902]","[277643, 349257]"
"112","region","Atacama","3","Hombre","De 5 a 10 personas",2010,833911.222834507,299813.419612976,"[398724, 1451749]","[199989, 371083]"
