"","sex","geography_name","geography_id","year","weighted_mean"
"66","Hombre","Maule","7",2015,440054.147054046
"67","Hombre","Metropolitana","13",2010,501771.665196898
"68","Hombre","Metropolitana","13",2011,542950.249177681
"69","Hombre","Metropolitana","13",2012,607443.541807816
"70","Hombre","Metropolitana","13",2013,644414.784511262
"71","Hombre","Metropolitana","13",2014,632047.979241082
"72","Hombre","Metropolitana","13",2015,680566.492784056
"73","Hombre","O'Higgins","6",2010,356522.079983565
"74","Hombre","O'Higgins","6",2011,353035.239383783
"75","Hombre","O'Higgins","6",2012,384659.084076733
"76","Hombre","O'Higgins","6",2013,415186.399953244
"77","Hombre","O'Higgins","6",2014,419966.187150401
"78","Hombre","O'Higgins","6",2015,463566.891269482
"79","Hombre","Tarapacá","1",2010,467406.922988147
"80","Hombre","Tarapacá","1",2011,466989.430560122
"81","Hombre","Tarapacá","1",2012,540202.160120298
"82","Hombre","Tarapacá","1",2013,597893.373041721
"83","Hombre","Tarapacá","1",2014,620285.95956337
"84","Hombre","Tarapacá","1",2015,688026.204172571
"85","Hombre","Valparaíso","5",2010,374310.751398357
"86","Hombre","Valparaíso","5",2011,433149.830203456
"87","Hombre","Valparaíso","5",2012,475578.716408947
"88","Hombre","Valparaíso","5",2013,508890.491124892
"89","Hombre","Valparaíso","5",2014,555215.485870828
"90","Hombre","Valparaíso","5",2015,553934.881459019
"91","Hombre",NA,NA,2010,207989.976678026
"92","Hombre",NA,NA,2011,279946.021530606
"93","Hombre",NA,NA,2012,302265.939766311
"94","Mujer","Antofagasta","2",2010,322968.998553496
"95","Mujer","Antofagasta","2",2011,374082.005778499
"96","Mujer","Antofagasta","2",2012,422365.583391289
"97","Mujer","Antofagasta","2",2013,406385.374332975
"98","Mujer","Antofagasta","2",2014,441016.354047784
"99","Mujer","Antofagasta","2",2015,482853.983232594
"100","Mujer","Araucanía","9",2010,219919.168323325
"101","Mujer","Araucanía","9",2011,222832.995591442
"102","Mujer","Araucanía","9",2012,252960.924619977
"103","Mujer","Araucanía","9",2013,270327.587189941
"104","Mujer","Araucanía","9",2014,316100.296084821
"105","Mujer","Araucanía","9",2015,331942.562058461
"106","Mujer","Arica y Parinacota","15",2010,246437.85182185
"107","Mujer","Arica y Parinacota","15",2011,233476.449773916
"108","Mujer","Arica y Parinacota","15",2012,275521.201355902
"109","Mujer","Arica y Parinacota","15",2013,332771.649014152
"110","Mujer","Arica y Parinacota","15",2014,328828.18413993
"111","Mujer","Arica y Parinacota","15",2015,364438.634807747
"112","Mujer","Atacama","3",2010,276116.442148356
"113","Mujer","Atacama","3",2011,332818.590569946
"114","Mujer","Atacama","3",2012,305165.748659652
"115","Mujer","Atacama","3",2013,380713.743532412
"116","Mujer","Atacama","3",2014,394636.779221792
"117","Mujer","Atacama","3",2015,402802.617684636
"118","Mujer","Aysén","11",2010,319918.441673753
"119","Mujer","Aysén","11",2011,361464.597558139
"120","Mujer","Aysén","11",2012,349258.091248576
"121","Mujer","Aysén","11",2013,372802.084993938
"122","Mujer","Aysén","11",2014,393588.199064026
"123","Mujer","Aysén","11",2015,489007.923113384
"124","Mujer","Bíobío","8",2010,251523.973358575
"125","Mujer","Bíobío","8",2011,251149.021120535
"126","Mujer","Bíobío","8",2012,290023.821945499
"127","Mujer","Bíobío","8",2013,292520.169076999
"128","Mujer","Bíobío","8",2014,315153.399925167
"129","Mujer","Bíobío","8",2015,351935.639289734
"130","Mujer","Coquimbo","4",2010,283353.45943989
"131","Mujer","Coquimbo","4",2011,264524.162995278
"132","Mujer","Coquimbo","4",2012,303748.619608845
"133","Mujer","Coquimbo","4",2013,309844.438779496
"134","Mujer","Coquimbo","4",2014,339238.47756476
"135","Mujer","Coquimbo","4",2015,344575.121879594
"136","Mujer","Los Lagos","10",2010,238345.24118048
"137","Mujer","Los Lagos","10",2011,295947.806351295
"138","Mujer","Los Lagos","10",2012,319192.221103846
"139","Mujer","Los Lagos","10",2013,321110.956169439
"140","Mujer","Los Lagos","10",2014,353462.330634712
"141","Mujer","Los Lagos","10",2015,385819.585714822
"142","Mujer","Los Ríos","14",2010,226399.290388322
"143","Mujer","Los Ríos","14",2011,245107.38658925
"144","Mujer","Los Ríos","14",2012,283900.439198731
"145","Mujer","Los Ríos","14",2013,302885.912874664
"146","Mujer","Los Ríos","14",2014,320618.187044773
"147","Mujer","Los Ríos","14",2015,356968.133338796
"148","Mujer","Magallanes","12",2010,375486.799096043
