"","geography_level","geography_name","geography_id","sex","isic","year","weighted_mean","weighted_median","ci_weighted_mean","ci_weighted_median"
"65","provincia","Melipilla","p135","Hombre","1",2012,256253.629202126,200902.06185567,"[210669, 322832]","[193946, 214965]"
"66","provincia","Ñuble","p84","Hombre","1",2010,174290.280031087,149897.410845139,"[146425, 210828]","[137796, 152819]"
"67","provincia","Ñuble","p84","Hombre","1",2012,396284.621805183,198847.570782809,"[284740, 512061]","[162006, 238183]"
"68","provincia","Osorno","p103","Hombre","1",2010,254258.207071915,190000,"[209059, 354602]","[179877, 200000]"
"69","provincia","Osorno","p103","Hombre","1",2012,264410.201030526,200902.06185567,"[231127, 312864]","[182000, 220521]"
"70","provincia","Parinacota","p152","Hombre","1",2010,147314.765163991,100283.222475135,"[100230, 225209]","[60362, 181177]"
"71","provincia","Parinacota","p152","Hombre","1",2012,86690.6358032711,85383.3762886598,"[63585, 111458]","[52795, 110618]"
"72","provincia","Petorca","p54","Hombre","1",2010,194782.770054142,177951.385662169,"[169036, 224696]","[171882, 184671]"
"73","provincia","Petorca","p54","Hombre","1",2012,232175.057626731,232810.82830526,"[209499, 262035]","[194357, 251293]"
"74","provincia","Quillota","p55","Hombre","1",2010,235661.006438585,170000,"[191341, 287745]","[164887, 171966]"
"75","provincia","Quillota","p55","Hombre","1",2012,285789.233063102,230000,"[216531, 402993]","[199142, 256130]"
"76","provincia","Ranco","p142","Hombre","1",2010,292022.468743926,180511.869239579,"[196263, 482061]","[171882, 206145]"
"77","provincia","Ranco","p142","Hombre","1",2012,351283.103301947,213516.383891052,"[254642, 500340]","[200984, 257870]"
"78","provincia","San Antonio","p56","Hombre","1",2010,123705.642366601,140043.196471632,"[76218, 164434]","[58653, 192389]"
"79","provincia","San Antonio","p56","Hombre","1",2012,333417.197516538,268965.60955893,"[188827, 463655]","[200169, 452529]"
"80","provincia","San Felipe","p57","Hombre","1",2010,248441.825642998,193012.345224169,"[202983, 292903]","[179877, 200942]"
"81","provincia","San Felipe","p57","Hombre","1",2012,281290.354700658,200000,"[216742, 343433]","[193052, 207799]"
"82","provincia","Santiago","p131","Hombre","1",2010,444229.507936027,352367.128658114,"[296034, 734807]","[209565, 480000]"
"83","provincia","Santiago","p131","Hombre","1",2012,549237.713613308,230343.982808573,"[295181, 922575]","[200000, 326442]"
"84","provincia","Talagante","p136","Hombre","1",2010,190271.216384191,179529.317879254,"[168236, 211409]","[165620, 197464]"
"85","provincia","Talagante","p136","Hombre","1",2012,302138.133873969,221236.638407666,"[239678, 403733]","[212567, 263795]"
"86","provincia","Talca","p71","Hombre","1",2010,184933.403707865,175821.488430865,"[167698, 205985]","[170125, 189328]"
"87","provincia","Talca","p71","Hombre","1",2012,249190.417298845,199328.678819117,"[206781, 302933]","[186605, 238036]"
"88","provincia","Tamarugal","p12","Hombre","1",2010,146754.462568713,119998.410511247,"[107428, 243078]","[100338, 145369]"
"89","provincia","Tamarugal","p12","Hombre","1",2012,111926.440667238,78910.6715783158,"[76699, 173110]","[50281, 100451]"
"90","provincia","Tierra del Fuego","p123","Hombre","1",2010,260000,260000,"[200000, 320000]","[200000, 320000]"
"91","provincia","Última Esperanza","p124","Hombre","1",2010,399726.428920371,399726.428920371,"[399726, 399726]","[399726, 399726]"
"92","provincia","Última Esperanza","p124","Hombre","1",2012,200000,200000,"[200000, 200000]","[200000, 200000]"
"93","provincia","Valdivia","p141","Hombre","1",2010,274006.953317828,132529.397733134,"[200979, 381631]","[80363, 180078]"
"94","provincia","Valdivia","p141","Hombre","1",2012,231571.902233676,201090.177699688,"[191859, 270912]","[176299, 234346]"
"95","provincia","Valparaíso","p51","Hombre","1",2010,103362.968398101,80078.293208064,"[42409, 235310]","[20000, 249144]"
"96","provincia","Valparaíso","p51","Hombre","1",2012,175469.489465585,190887.126467178,"[123385, 218788]","[108509, 238501]"
"97","provincia",NA,NA,"Hombre","1",2010,141008.471936847,145412.305221542,"[109190, 173540]","[66199, 172000]"
"98","provincia",NA,NA,"Hombre","1",2012,156289.571045716,66400.1663670874,"[90176, 229328]","[41643, 184469]"
"99","provincia","Antofagasta","p21","Hombre","10",2010,985500.82239497,758167.233675218,"[400000, 1793754]","[400000, 1793754]"
"100","provincia","Antofagasta","p21","Hombre","10",2012,452945.277100035,452945.277100035,"[400000, 500000]","[400000, 500000]"
"101","provincia","Arauco","p82","Hombre","10",2010,391783.049520453,391783.049520453,"[391783, 391783]","[391783, 391783]"
"102","provincia","Arauco","p82","Hombre","10",2012,1707667.5257732,1707667.5257732,"[1707668, 1707668]","[1707668, 1707668]"
"103","provincia","Arica","p151","Hombre","10",2010,602390.080147783,499481.018343667,"[398847, 847909]","[265619, 970000]"
"104","provincia","Arica","p151","Hombre","10",2012,1075956.9615081,1114330.43769112,"[605560, 1475033]","[379026, 1500000]"
"105","provincia","Aysén","p112","Hombre","10",2010,800782.93208064,800782.93208064,"[800783, 800783]","[800783, 800783]"
"106","provincia","Bíobío","p83","Hombre","10",2010,657691.833158359,657691.833158359,"[422993, 700685]","[422993, 700685]"
"107","provincia","Cachapoal","p61","Hombre","10",2010,717769.884913612,759381.445141344,"[522644, 919331]","[389201, 1000000]"
"108","provincia","Cachapoal","p61","Hombre","10",2012,1269393.65977628,1205337.55359847,"[600000, 2008736]","[600000, 2500000]"
"109","provincia","Cardenal Caro","p62","Hombre","10",2010,1000978.6651008,1000978.6651008,"[1000979, 1000979]","[1000979, 1000979]"
"110","provincia","Cardenal Caro","p62","Hombre","10",2012,1148652.58164393,1148652.58164393,"[1148653, 1148653]","[1148653, 1148653]"
