"","geography_level","geography_name","geography_id","sex","work_day","year","weighted_mean","weighted_median","lb_weighted_mean","ub_weighted_mean","lb_weighted_median","ub_weighted_median","ci_weighted_mean","ci_weighted_median"
"143","region","Los Ríos","14","Hombre","Parcial",2011,115284.946824035,81497.97372516,88283,144974,67812,99680,"[88283, 144974]","[67812, 99680]"
"144","region","Los Ríos","14","Hombre","Parcial",2012,201625.462922959,110536.806526304,159579,254877,100000,160909,"[159579, 254877]","[100000, 160909]"
"145","region","Los Ríos","14","Hombre","Parcial",2013,254033.698252856,100015.347870331,162290,523502,80075,135433,"[162290, 523502]","[80075, 135433]"
"146","region","Los Ríos","14","Hombre","Parcial",2014,160389.889620646,105440.762869871,132442,194374,90938,125987,"[132442, 194374]","[90938, 125987]"
"147","region","Los Ríos","14","Hombre","Parcial",2015,205964.752212784,140624.612815969,153261,260176,106666,150611,"[153261, 260176]","[106666, 150611]"
"148","region","Magallanes","12","Hombre","Parcial",2010,208886.98569746,218937.042337773,148813,267715,90860,285875,"[148813, 267715]","[90860, 285875]"
"149","region","Magallanes","12","Hombre","Parcial",2011,238590.544006928,178464.319628193,170625,348259,119573,398721,"[170625, 348259]","[119573, 398721]"
"150","region","Magallanes","12","Hombre","Parcial",2012,138418.17217882,63610.5178307158,74423,225448,40415,258809,"[74423, 225448]","[40415, 258809]"
"151","region","Magallanes","12","Hombre","Parcial",2013,777015.37359607,249729.039145204,267844,1620405,199792,380515,"[267844, 1620405]","[199792, 380515]"
"152","region","Magallanes","12","Hombre","Parcial",2014,246910.209992347,200147.584057861,165357,302585,163803,252385,"[165357, 302585]","[163803, 252385]"
"153","region","Magallanes","12","Hombre","Parcial",2015,319349.39113111,183200.119178032,199589,467570,109508,600039,"[199589, 467570]","[109508, 600039]"
"154","region","Maule","7","Hombre","Parcial",2010,135278.008550691,102022.262512563,112592,174248,80078,149595,"[112592, 174248]","[80078, 149595]"
"155","region","Maule","7","Hombre","Parcial",2011,135281.846335288,100478.489295951,113627,173774,90435,119868,"[113627, 173774]","[90435, 119868]"
"156","region","Maule","7","Hombre","Parcial",2012,125414.136742532,80424.1160299511,105374,154222,70057,100126,"[105374, 154222]","[70057, 100126]"
"157","region","Maule","7","Hombre","Parcial",2013,175952.279030869,100068.444153117,138406,239007,84971,150900,"[138406, 239007]","[84971, 150900]"
"158","region","Maule","7","Hombre","Parcial",2014,261080.659180784,127534.486841176,168669,382272,80408,151563,"[168669, 382272]","[80408, 151563]"
"159","region","Maule","7","Hombre","Parcial",2015,207255.850539747,119223.281760363,144268,302158,100000,150484,"[144268, 302158]","[100000, 150484]"
"160","region","Metropolitana","13","Hombre","Parcial",2010,220082.245536276,149995.785175135,185353,301704,119918,179877,"[185353, 301704]","[119918, 179877]"
"161","region","Metropolitana","13","Hombre","Parcial",2011,231394.464971398,129584.469305255,183943,354864,111816,150725,"[183943, 354864]","[111816, 150725]"
"162","region","Metropolitana","13","Hombre","Parcial",2012,298545.965180371,190000,255748,375224,150000,200902,"[255748, 375224]","[150000, 200902]"
"163","region","Metropolitana","13","Hombre","Parcial",2013,280539.396941638,180000,239184,327878,150203,199245,"[239184, 327878]","[150203, 199245]"
"164","region","Metropolitana","13","Hombre","Parcial",2014,296713.930515194,181876.06594656,252508,352581,150165,202085,"[252508, 352581]","[150165, 202085]"
"165","region","Metropolitana","13","Hombre","Parcial",2015,267634.12435936,200000,227045,303646,150041,200815,"[227045, 303646]","[150041, 200815]"
"166","region","O'Higgins","6","Hombre","Parcial",2010,147341.371832566,118399.640296337,123480,187820,95175,153483,"[123480, 187820]","[95175, 153483]"
"167","region","O'Higgins","6","Hombre","Parcial",2011,209709.522560332,120000,155499,309178,88649,140802,"[155499, 309178]","[88649, 140802]"
"168","region","O'Higgins","6","Hombre","Parcial",2012,219093.489701529,150751.562870194,175283,280033,102549,200379,"[175283, 280033]","[102549, 200379]"
"169","region","O'Higgins","6","Hombre","Parcial",2013,284159.145983553,180244.012652509,206429,395548,111984,207982,"[206429, 395548]","[111984, 207982]"
"170","region","O'Higgins","6","Hombre","Parcial",2014,275910.11548361,180120.443651202,213650,368177,143373,253786,"[213650, 368177]","[143373, 253786]"
"171","region","O'Higgins","6","Hombre","Parcial",2015,250651.755377094,229933.919282487,203908,305870,150216,300081,"[203908, 305870]","[150216, 300081]"
"172","region","Tarapacá","1","Hombre","Parcial",2010,224361.004413934,173046.707224089,170632,295283,121768,199863,"[170632, 295283]","[121768, 199863]"
"173","region","Tarapacá","1","Hombre","Parcial",2011,277916.116057538,162163.17691456,187427,519876,138000,199696,"[187427, 519876]","[138000, 199696]"
