comuna_datachile_id,age,sex_id,age_group_id
81,90,2,16
81,43,2,17
81,35,2,18
81,5,2,19
81,1,2,20
81,2,2,21
330,1997,2,1
330,2061,2,2
330,2005,2,3
330,1741,2,4
330,1692,2,5
330,2022,2,6
330,1785,2,7
330,1627,2,8
330,1524,2,9
330,1633,2,10
330,1770,2,11
330,1440,2,12
330,1267,2,13
330,926,2,14
330,763,2,15
330,550,2,16
330,362,2,17
330,181,2,18
330,59,2,19
330,14,2,20
330,3,2,21
4,183,2,1
4,181,2,2
4,169,2,3
4,123,2,4
4,145,2,5
4,195,2,6
4,221,2,7
4,206,2,8
4,225,2,9
4,232,2,10
4,223,2,11
4,184,2,12
4,160,2,13
4,158,2,14
4,117,2,15
4,90,2,16
4,55,2,17
4,34,2,18
4,16,2,19
4,5,2,20
4,3,2,21
93,303,2,1
93,290,2,2
93,237,2,3
93,204,2,4
93,233,2,5
93,282,2,6
93,236,2,7
93,213,2,8
93,209,2,9
93,224,2,10
93,286,2,11
93,231,2,12
93,173,2,13
93,137,2,14
93,116,2,15
93,92,2,16
93,45,2,17
93,28,2,18
93,16,2,19
93,2,2,20
93,0,2,21
109,408,2,1
109,398,2,2
109,382,2,3
109,288,2,4
109,299,2,5
109,438,2,6
109,388,2,7
109,349,2,8
109,333,2,9
109,324,2,10
109,399,2,11
109,360,2,12
109,306,2,13
109,204,2,14
109,160,2,15
109,107,2,16
109,60,2,17
109,29,2,18
109,7,2,19
109,3,2,20
109,1,2,21
126,7923,2,1
126,8285,2,2
126,7722,2,3
126,9140,2,4
126,9846,2,5
126,9034,2,6
126,7383,2,7
126,6636,2,8
126,6710,2,9
126,6451,2,10
126,6365,2,11
126,5553,2,12
126,4579,2,13
126,3501,2,14
126,2715,2,15
126,1847,2,16
126,1224,2,17
126,635,2,18
126,199,2,19
126,65,2,20
126,23,2,21
69,8891,2,1
69,9096,2,2
69,8019,2,3
69,8550,2,4
69,9111,2,5
69,9178,2,6
69,7855,2,7
69,7022,2,8
69,7141,2,9
69,6899,2,10
69,6633,2,11
69,5850,2,12
69,5033,2,13
69,3774,2,14
69,2919,2,15
69,1849,2,16
69,1121,2,17
69,644,2,18
69,231,2,19
69,43,2,20
69,13,2,21
7,426,2,1
7,422,2,2
7,398,2,3
7,396,2,4
7,372,2,5
7,399,2,6
7,334,2,7
7,323,2,8
7,333,2,9
7,354,2,10
7,428,2,11
7,344,2,12
7,293,2,13
7,209,2,14
7,181,2,15
7,146,2,16
7,94,2,17
7,46,2,18
7,15,2,19
7,6,2,20
7,0,2,21
122,170,2,1
122,166,2,2
122,151,2,3
122,147,2,4
122,130,2,5
122,130,2,6
122,103,2,7
122,144,2,8
122,149,2,9
122,167,2,10
122,177,2,11
122,161,2,12
122,137,2,13
122,104,2,14
122,100,2,15
122,50,2,16
122,24,2,17
122,21,2,18
122,4,2,19
122,1,2,20
122,0,2,21
195,127,2,1
195,147,2,2
195,136,2,3
195,131,2,4
195,126,2,5
195,181,2,6
195,142,2,7
195,133,2,8
195,156,2,9
195,175,2,10
195,150,2,11
195,182,2,12
195,134,2,13
195,101,2,14
195,75,2,15
195,71,2,16
195,30,2,17
195,33,2,18
195,9,2,19
195,1,2,20
195,0,2,21
334,978,2,1
334,1122,2,2
334,979,2,3
334,990,2,4
334,969,2,5
334,1032,2,6
334,925,2,7
334,817,2,8
334,924,2,9
334,947,2,10
334,960,2,11
334,825,2,12
334,721,2,13
334,493,2,14
334,423,2,15
334,297,2,16
334,222,2,17
334,120,2,18
334,36,2,19
334,9,2,20
334,3,2,21
111,1083,2,1
111,1155,2,2
111,1135,2,3
111,1093,2,4
111,876,2,5
111,965,2,6
111,978,2,7
111,880,2,8
111,884,2,9
111,1015,2,10
111,992,2,11
111,1015,2,12
111,761,2,13
111,660,2,14
111,523,2,15
111,337,2,16
111,240,2,17
111,104,2,18
111,31,2,19
111,10,2,20
111,2,2,21
27,285,2,1
27,323,2,2
27,275,2,3
27,243,2,4
27,260,2,5
27,280,2,6
27,235,2,7
27,248,2,8
27,284,2,9
27,310,2,10
27,359,2,11
27,328,2,12
27,300,2,13
27,271,2,14
27,192,2,15
27,175,2,16
27,135,2,17
27,90,2,18
27,32,2,19
27,5,2,20
27,2,2,21
156,808,2,1
156,812,2,2
156,750,2,3
156,650,2,4
156,763,2,5
156,864,2,6
156,878,2,7
156,702,2,8
156,707,2,9
156,740,2,10
156,791,2,11
156,711,2,12
156,563,2,13
156,438,2,14
156,329,2,15
156,268,2,16
156,174,2,17
156,81,2,18
156,21,2,19
156,9,2,20
156,2,2,21
278,949,2,1
278,1038,2,2
278,988,2,3
278,855,2,4
278,890,2,5
278,1258,2,6
278,1301,2,7
278,1222,2,8
278,1253,2,9
278,1256,2,10
278,1160,2,11
278,1e3,2,12
278,788,2,13
278,604,2,14
278,467,2,15
278,301,2,16
278,211,2,17
278,112,2,18
278,45,2,19
278,10,2,20
278,4,2,21
192,4314,2,1
192,4336,2,2
192,4043,2,3
192,3959,2,4
192,3905,2,5
192,4226,2,6
