year,region_id,cie_10_id,sex_id,casualities_count,casualities_rate_per_100_inhabitants
2010,4,X60-X84,1,17,0.046900000000000004
2011,4,C00-D48,2,525,1.4546000000000001
2011,4,C00-D48,1,476,1.2934
2011,4,E00-E90,2,85,0.23550000000000001
2011,4,E00-E90,1,86,0.23370000000000002
2011,4,I00-I99,2,521,1.4435
2011,4,I00-I99,1,484,1.3152000000000001
2011,4,J00-J99,2,181,0.5015
2011,4,J00-J99,1,166,0.4511
2011,4,K00-K93,2,172,0.47659999999999997
2011,4,K00-K93,1,119,0.3234
2011,4,V01-Y98,2,221,0.6123
2011,4,V01-Y98,1,49,0.1331
2011,4,B20-B24,2,16,0.0443
2011,4,B20-B24,1,4,0.0109
2011,4,V01-V99,2,78,0.2161
2011,4,V01-V99,1,13,0.0353
2011,4,X60-X84,2,61,0.16899999999999998
2011,4,X60-X84,1,14,0.038
2012,4,C00-D48,2,547,1.4946000000000002
2012,4,C00-D48,1,514,1.3774000000000002
2012,4,E00-E90,2,98,0.26780000000000004
2012,4,E00-E90,1,113,0.3028
2012,4,I00-I99,2,563,1.5383000000000002
2012,4,I00-I99,1,511,1.3693
2012,4,J00-J99,2,201,0.5492
2012,4,J00-J99,1,160,0.4288
2012,4,K00-K93,2,125,0.34159999999999996
2012,4,K00-K93,1,102,0.2733
2012,4,V01-Y98,2,226,0.6175
2012,4,V01-Y98,1,92,0.2465
2012,4,B20-B24,2,17,0.04650000000000001
2012,4,B20-B24,1,3,0.008
2012,4,V01-V99,2,71,0.19399999999999998
2012,4,V01-V99,1,23,0.0616
2012,4,X60-X84,2,59,0.1612
2012,4,X60-X84,1,17,0.045599999999999995
2013,4,C00-D48,2,600,1.621
2013,4,C00-D48,1,470,1.2463
2013,4,E00-E90,2,85,0.2296
2013,4,E00-E90,1,91,0.2413
2013,4,I00-I99,2,567,1.5318
2013,4,I00-I99,1,530,1.4054
2013,4,J00-J99,2,245,0.6618999999999999
2013,4,J00-J99,1,184,0.4879
2013,4,K00-K93,2,175,0.4728
2013,4,K00-K93,1,124,0.32880000000000004
2013,4,V01-Y98,2,206,0.5565
2013,4,V01-Y98,1,56,0.1485
2013,4,B20-B24,2,23,0.0621
2013,4,B20-B24,1,3,0.008
2013,4,V01-V99,2,70,0.1891
2013,4,V01-V99,1,11,0.0292
2013,4,X60-X84,2,51,0.1378
2013,4,X60-X84,1,8,0.0212
2014,4,C00-D48,2,637,1.6936000000000002
2014,4,C00-D48,1,522,1.3625
2014,4,E00-E90,2,91,0.2419
2014,4,E00-E90,1,118,0.308
2014,4,I00-I99,2,547,1.4544
2014,4,I00-I99,1,560,1.4616999999999998
2014,4,J00-J99,2,200,0.5318
2014,4,J00-J99,1,163,0.4255
2014,4,K00-K93,2,144,0.3829
2014,4,K00-K93,1,104,0.27149999999999996
2014,4,V01-Y98,2,212,0.5637
2014,4,V01-Y98,1,68,0.1775
2014,4,B20-B24,2,22,0.058499999999999996
2014,4,B20-B24,1,4,0.0104
2014,4,V01-V99,2,64,0.1702
2014,4,V01-V99,1,23,0.06
2014,4,X60-X84,2,52,0.1383
2014,4,X60-X84,1,8,0.0209
2010,5,C00-D48,2,1513,1.7463
2010,5,C00-D48,1,1410,1.5794
2010,5,E00-E90,2,268,0.3093
2010,5,E00-E90,1,277,0.3103
2010,5,I00-I99,2,1780,2.0545
2010,5,I00-I99,1,1704,1.9087
2010,5,J00-J99,2,577,0.6659999999999999
2010,5,J00-J99,1,514,0.5757
2010,5,K00-K93,2,470,0.5425
2010,5,K00-K93,1,343,0.38420000000000004
2010,5,V01-Y98,2,533,0.6152000000000001
2010,5,V01-Y98,1,202,0.2263
2010,5,B20-B24,2,46,0.053099999999999994
2010,5,B20-B24,1,8,0.009000000000000001
2010,5,V01-V99,2,118,0.1362
2010,5,V01-V99,1,46,0.051500000000000004
2010,5,X60-X84,2,171,0.1974
2010,5,X60-X84,1,40,0.044800000000000006
