candidato_id,candidato,candidato_2
455.0,Sandra Amar Mancilla,SANDRA AMAR MANCILLA
454.0,Domingo Rubilar Ruiz,DOMINGO RUBILAR RUIZ
453.0,Juan Enrique Morano Cornejo,JUAN ENRIQUE MORANO CORNEJO
452.0,Gabriel Boric Font,GABRIEL BORIC FONT
451.0,Patricio Urquieta Garcia,PATRICIO  URQUIETA GARCIA
46.0,Jose Andres Gonzalez Neira,JOSE ANDRES GONZALEZ NEIRA
450.0,Giovanni Calderon Bassi,GIOVANNI  CALDERON BASSI
449.0,Andres Astudillo Benitez,ANDRES  ASTUDILLO BENITEZ
448.0,Jaime Mulet Martinez,JAIME  MULET MARTINEZ
447.0,Alberto Robles Pantoja,ALBERTO  ROBLES PANTOJA
446.0,Yasna Provoste Campillay,YASNA PROVOSTE CAMPILLAY
445.0,Claudia Andrea Torres Delgado,CLAUDIA ANDREA TORRES DELGADO
444.0,Victor Acevedo Rivera,VICTOR  ACEVEDO RIVERA
443.0,Rene Alinco Bustos,RENE  ALINCO BUSTOS
442.0,Viviana Betancourt Gallegos,VIVIANA BETANCOURT GALLEGOS
441.0,Antonio Horvath Gutierrez,ANTONIO  HORVATH GUTIERREZ
45.0,Sebastian Farfan Salinas,SEBASTIAN  FARFAN SALINAS
440.0,David Sandoval Plaza,DAVID  SANDOVAL PLAZA
439.0,Ivan Fuentes Castillo,IVAN  FUENTES CASTILLO
437.0,Heriberto Federico Diaz Lipski,HERIBERTO FEDERICO DIAZ LIPSKI
436.0,Susana de Lourdes Garces Remolcoy,SUSANA DE LOURDES GARCES REMOLCOY
435.0,Victor Hugo Bahamonde Brintrup,VICTOR HUGO BAHAMONDE BRINTRUP
434.0,Mauricio Henriquez Sandoval,MAURICIO HENRIQUEZ SANDOVAL
433.0,Pablo Santiago Livesey,PABLO  SANTIAGO LIVESEY
432.0,Alejandro Santana Tirachini,ALEJANDRO SANTANA TIRACHINI
431.0,Jenny Alvarez Vera,JENNY  ALVAREZ VERA
44.0,Daniela Lopez Leiva,DANIELA LOPEZ LEIVA
430.0,Mario Eduardo Paredes Lopez,MARIO EDUARDO PAREDES LOPEZ
429.0,Gonzalo Miguel Valenzuela Oyarzo,GONZALO MIGUEL VALENZUELA OYARZO
428.0,Carol Paulina Vukasovic Montt,CAROL PAULINA VUKASOVIC MONTT
427.0,Jose Roberto Aburto Barria,JOSE ROBERTO ABURTO BARRIA
426.0,Leopoldo Pineda Herrera,LEOPOLDO  PINEDA HERRERA
425.0,Luis Masferrer Farias,LUIS MASFERRER FARIAS
424.0,Marisol Turres Figueroa,MARISOL TURRES FIGUEROA
423.0,Patricio Vallespin Lopez,PATRICIO VALLESPIN LOPEZ
422.0,Mauricio Alejandro Henriquez Barria,MAURICIO ALEJANDRO HENRIQUEZ BARRIA
420.0,Donald Javier Salgado Mac-Conell,DONALD JAVIER SALGADO MAC-CONELL
419.0,Veronica Graciela Cifuentes Gutierrez,VERONICA GRACIELA CIFUENTES GUTIERREZ
418.0,Orietta Llauca Huala,ORIETTA  LLAUCA HUALA
416.0,Marcelo Ruiz Alvarez,MARCELO  RUIZ ALVAREZ
415.0,Felipe de Mussy Hiriart,FELIPE DE MUSSY HIRIART
414.0,Fidel Espinoza Sandoval,FIDEL ESPINOZA SANDOVAL
413.0,Vicente Alberto Papic Arce,VICENTE ALBERTO PAPIC ARCE
412.0,Mario Jacinto Gonzalez Esparza,MARIO JACINTO GONZALEZ ESPARZA
411.0,Samuel Hernan Guzman Traimun,SAMUEL HERNAN GUZMAN TRAIMUN
42.0,Jaime Barrientos Ramirez,JAIME  BARRIENTOS RAMIREZ
410.0,Juan Carlos Soto Sanhueza,JUAN CARLOS SOTO SANHUEZA
409.0,Gustavo Salvo Pereira,GUSTAVO SALVO PEREIRA
408.0,Rodrigo Carrasco Arata,RODRIGO  CARRASCO ARATA
407.0,Javier Hernandez Hernandez,JAVIER  HERNANDEZ HERNANDEZ
406.0,Sergio Ojeda Uribe,SERGIO OJEDA URIBE
405.0,Rodrigo Erazo Walton,RODRIGO  ERAZO WALTON
404.0,Paolo Alexander Alderete Perez,PAOLO ALEXANDER ALDERETE PEREZ
403.0,Patricio Ulloa Heinsohn,PATRICIO ULLOA HEINSOHN
402.0,Gaston Von Muhlenbrock Zamora,GASTON  VON MUHLENBROCK ZAMORA
401.0,Gonzalo Fuenzalida Figueroa,GONZALO  FUENZALIDA FIGUEROA
400.0,Enrique Jaramillo Becker,ENRIQUE JARAMILLO BECKER
399.0,Edwin Rene Arancibia Rojas,EDWIN RENE ARANCIBIA ROJAS
397.0,Hugo Gerter Jara,HUGO GERTER JARA
396.0,Maria Angelica Alvear Montecinos,MARIA ANGELICA ALVEAR MONTECINOS
395.0,Boris Olguin Morales,BORIS OLGUIN MORALES
394.0,Remza Delic Sasso,REMZA DELIC SASSO
393.0,Bernardo Berger Fett,BERNARDO  BERGER FETT
392.0,Ivan Flores Garcia,IVAN FLORES GARCIA
391.0,Jose Castro Mendez,JOSE  CASTRO MENDEZ
40.0,Aldo Cornejo Gonzalez,ALDO  CORNEJO GONZALEZ
390.0,Jose Montalva Feuerhake,JOSE MONTALVA FEUERHAKE
389.0,Francisco Reyes Salgado,FRANCISCO REYES SALGADO
388.0,Rene Manuel Garcia Garcia,RENE MANUEL GARCIA GARCIA
387.0,Fernando Meza Moncada,FERNANDO MEZA MONCADA
386.0,Alexander Lavin Molina,ALEXANDER LAVIN MOLINA
385.0,Juan Carlos Paillalef Alarcon,JUAN CARLOS PAILLALEF ALARCON
384.0,Mauricio Ojeda Rebolledo,MAURICIO  OJEDA REBOLLEDO
383.0,Jose Manuel Edwards Silva,JOSE MANUEL  EDWARDS SILVA
382.0,Joaquin Tuma Zedan,JOAQUIN TUMA ZEDAN
381.0,Andre Cabrolier Sanhueza,ANDRE CABROLIER SANHUEZA
39.0,Martin Ristempart Soto,MARTIN  RISTEMPART SOTO
380.0,Luis Fernando Vivanco Manriquez,LUIS FERNANDO VIVANCO MANRIQUEZ
379.0,Hugo Herrera Vidal,HUGO  HERRERA VIDAL
378.0,Marco Lobos Vasquez,MARCO  LOBOS VASQUEZ
377.0,Romina Tuma Zeidan,ROMINA TUMA ZEIDAN
376.0,Ximena Urzua Zirotti,XIMENA  URZUA ZIROTTI
375.0,German Becker Alvear,GERMAN  BECKER ALVEAR
374.0,Rene Saffirio Espinoza,RENE SAFFIRIO ESPINOZA
373.0,Alexis Mauricio Roger Barros,ALEXIS MAURICIO ROGER BARROS
372.0,Paulo Cesar Macias Urizar,PAULO CESAR MACIAS URIZAR
371.0,Federico Fernando Ewert Daza,FEDERICO FERNANDO EWERT DAZA
38.0,Ashly Tamara Venegas Clobares,ASHLY TAMARA VENEGAS CLOBARES
370.0,Baldo Violic Astorga,BALDO VIOLIC ASTORGA
369.0,Carlos Vilches Guzman,CARLOS  VILCHES GUZMAN
368.0,Daniella Cicardini Milla,DANIELLA CICARDINI MILLA
367.0,Lautaro Carmona Soto,LAUTARO  CARMONA SOTO
366.0,Gloria Mujica Ascui,GLORIA  MUJICA ASCUI
365.0,Marcelino Collio Calcomin,MARCELINO  COLLIO CALCOMIN
364.0,Marcelo Segura Herrera,MARCELO SEGURA HERRERA
362.0,Diego Paulsen Kehr,DIEGO  PAULSEN KEHR
361.0,Fuad Chahin Valenzuela,FUAD  CHAHIN VALENZUELA
37.0,Daniel Verdessi Belemmi,DANIEL VERDESSI BELEMMI
360.0,Diego Alexis Ancalao Gavilan,DIEGO ALEXIS ANCALAO GAVILAN
359.0,Valeria Rain Calfiman,VALERIA RAIN CALFIMAN
358.0,Gonzalo Arenas Hodar,GONZALO  ARENAS HODAR
357.0,Jorge Rathgeb Schifferli,JORGE  RATHGEB SCHIFFERLI
356.0,Mario Venegas Cardenas,MARIO VENEGAS CARDENAS
355.0,Antonio Gutierrez Bravo,ANTONIO GUTIERREZ BRAVO
354.0,Barbara Paz Ulloa Perez,BARBARA PAZ ULLOA PEREZ
353.0,Juan Jose Torres Paredes,JUAN JOSE TORRES PAREDES
352.0,Enrique Krause Lobos,ENRIQUE  KRAUSE LOBOS
351.0,Joel Rosales Guzman,JOEL ROSALES GUZMAN
36.0,Arturo Longton Guerrero,ARTURO  LONGTON GUERRERO
350.0,Cristobal Urruticoechea Rios,CRISTOBAL  URRUTICOECHEA RIOS
349.0,Roberto Poblete Zapata,ROBERTO POBLETE ZAPATA
348.0,Jose Perez Arriagada,JOSE PEREZ ARRIAGADA
347.0,Elisa Ludgardis Landero Sanchez,ELISA LUDGARDIS LANDERO SANCHEZ
346.0,Margarita Lobos Gutierrez,MARGARITA  LOBOS GUTIERREZ
345.0,Joanna Perez Olea,JOANNA  PEREZ OLEA
344.0,Carlos Martinez Hernandez,CARLOS MARTINEZ HERNANDEZ
343.0,Ivan Norambuena Farias,IVAN  NORAMBUENA FARIAS
342.0,Manuel Monsalve Benavides,MANUEL MONSALVE BENAVIDES
341.0,Domingo Montecinos Osses,DOMINGO  MONTECINOS OSSES
35.0,Arturo Squella Ovalle,ARTURO SQUELLA OVALLE
340.0,Roberto Andres Francesconi Riquelme,ROBERTO  ANDRES FRANCESCONI RIQUELME
339.0,Ana Maria Herrera Ceballos,ANA MARIA HERRERA CEBALLOS
338.0,Lorenna Arce Orellana,LORENNA ARCE ORELLANA
337.0,Hernan Mauricio Cortes Bernal,HERNAN MAURICIO CORTES BERNAL
336.0,Luis Fraczinet Chavez,LUIS  FRACZINET CHAVEZ
334.0,Carlos Urrestarazu Carrion,CARLOS  URRESTARAZU CARRION
332.0,Marcelo Chavez Velasquez,MARCELO CHAVEZ VELASQUEZ
331.0,Clemira Pacheco Rivas,CLEMIRA PACHECO RIVAS
34.0,Marcelo Schilling Rodriguez,MARCELO  SCHILLING RODRIGUEZ
330.0,Claudia Kriman Chocano,CLAUDIA KRIMAN CHOCANO
329.0,Francisco Cordova Echeverria,FRANCISCO  CORDOVA ECHEVERRIA
328.0,Arturo Eduardo Espinoza Brower,ARTURO EDUARDO  ESPINOZA BROWER
327.0,Alexis Leonardo Silva Navarrete,ALEXIS LEONARDO SILVA NAVARRETE
326.0,Claudia Arriagada Parra,CLAUDIA ARRIAGADA PARRA
325.0,Daniel Rozas Parada,DANIEL ROZAS PARADA
324.0,Jaime Soto Figueroa,JAIME SOTO FIGUEROA
322.0,Enrique Van Rysselberghe Herrera,ENRIQUE VAN RYSSELBERGHE HERRERA
321.0,Jose Miguel Ortiz Novoa,JOSE MIGUEL ORTIZ NOVOA
33.0,Gustavo Ristempart Soto,GUSTAVO RISTEMPART SOTO
320.0,Marcel Coindreau Maldonado,MARCEL COINDREAU MALDONADO
319.0,Jorge Osvaldo Monje Chavez,JORGE OSVALDO MONJE CHAVEZ
318.0,Mauricio Concha Alarcon,MAURICIO CONCHA ALARCON
317.0,Jose Alejandro Lopez Cartes,JOSE ALEJANDRO LOPEZ CARTES
316.0,Raul Sunico Galdames,RAUL SUNICO GALDAMES
315.0,Jorge Madariaga Burrows,JORGE  MADARIAGA BURROWS
314.0,Jorge Ulloa Aguillon,JORGE ULLOA AGUILLON
313.0,Cristian Campos Jara,CRISTIAN CAMPOS JARA
312.0,Hector Arriagada Parra,HECTOR  ARRIAGADA PARRA
311.0,Jaime Guilisasti Palacios,JAIME  GUILISASTI PALACIOS
309.0,Loreto Carvajal Ambiado,LORETO CARVAJAL AMBIADO
308.0,Jorge Sabag Villalobos,JORGE  SABAG VILLALOBOS
306.0,Carmen Gloria Cornejo Soto,CARMEN GLORIA CORNEJO SOTO
305.0,Carlos Arzola Burgos,CARLOS ARZOLA BURGOS
304.0,Rodrigo Sandoval Teran,RODRIGO  SANDOVAL TERAN
303.0,Rosauro Martinez Labbe,ROSAURO MARTINEZ LABBE
302.0,Carlos Abel Jarpa Wevar,CARLOS ABEL JARPA WEVAR
301.0,Luciano Andres Luman Luman,LUCIANO ANDRES LUMAN LUMAN
31.0,Hector Christian Perez Meneses,HECTOR CHRISTIAN PEREZ MENESES
300.0,Alejandro Viovy Apablaza,ALEJANDRO VIOVY APABLAZA
299.0,Manuel Matta Aragay,MANUEL  MATTA ARAGAY
298.0,Jose Ignacio Pinochet Olave,JOSE IGNACIO PINOCHET OLAVE
297.0,Ignacio Urrutia Bonilla,IGNACIO URRUTIA BONILLA
296.0,Guillermo Ceroni Fuentes,GUILLERMO  CERONI FUENTES
295.0,Miguel Angel Abarca Araya,MIGUEL ANGEL ABARCA ARAYA
293.0,Alvaro Fernando Fernandez Slater,ALVARO FERNANDO FERNANDEZ SLATER
292.0,Alejandro Manriquez Piccinini,ALEJANDRO  MANRIQUEZ PICCININI
291.0,Jonathan Rodrigo Velasquez Ramirez,JONATHAN RODRIGO VELASQUEZ RAMIREZ
30.0,Miguel Moreno Garcia,MIGUEL  MORENO GARCIA
290.0,Valentin Volta Valencia,VALENTIN  VOLTA VALENCIA
289.0,Eslayne Portilla Barraza,ESLAYNE PORTILLA BARRAZA
287.0,Marcela Ximena Hernando Perez,MARCELA XIMENA HERNANDO PEREZ
286.0,Sergio Carvajal Cadiz,SERGIO CARVAJAL CADIZ
285.0,Rafael Esteban Correa Orellana,RAFAEL ESTEBAN CORREA ORELLANA
284.0,Yanis Maria Vergara Encina,YANIS MARIA VERGARA ENCINA
283.0,Jaime Naranjo Ortiz,JAIME  NARANJO ORTIZ
282.0,Rodrigo Iturriaga Delgado,RODRIGO ITURRIAGA DELGADO
281.0,Romilio Gutierrez Pino,ROMILIO GUTIERREZ PINO
29.0,Felipe Cuevas Mancilla,FELIPE  CUEVAS MANCILLA
280.0,Jorge Tarud Daccarett,JORGE  TARUD DACCARETT
278.0,Catalina Parot Donoso,CATALINA PAROT DONOSO
277.0,Pedro Pablo Alvarez-Salamanca Ramirez,PEDRO PABLO ALVAREZ-SALAMANCA RAMIREZ
276.0,Pablo Lorenzini Basso,PABLO LORENZINI BASSO
275.0,Marcelo Rioseco Pais,MARCELO  RIOSECO PAIS
274.0,Alvaro Adriano Monsalve Salas,ALVARO ADRIANO MONSALVE SALAS
273.0,Carlos Felipe Drews Rubilar,CARLOS FELIPE DREWS RUBILAR
272.0,Maria Elena Villagran Paredes,MARIA ELENA VILLAGRAN PAREDES
271.0,Juan Valdebenito Mansilla,JUAN  VALDEBENITO MANSILLA
28.0,Gaspar Rivas Sanchez,GASPAR  RIVAS SANCHEZ
270.0,German Verdugo Soto,GERMAN VERDUGO SOTO
269.0,Sergio Patricio Aguilo Melo,SERGIO PATRICIO AGUILO MELO
267.0,Luis Fernando Bravo Quijada,LUIS FERNANDO BRAVO QUIJADA
266.0,Paola Parra,PAOLA PARRA
265.0,Sergio Monsalve Vergara,SERGIO MONSALVE VERGARA
264.0,Sergio Correa Espinosa,SERGIO CORREA ESPINOSA
262.0,Roberto Leon Ramirez,ROBERTO  LEON RAMIREZ
261.0,Hector Miguel Littin Luengo,HECTOR MIGUEL LITTIN LUENGO
260.0,Washington Leoncio Araneda Carrasco,WASHINGTON LEONCIO ARANEDA CARRASCO
259.0,Eduardo Tobar Lagos,EDUARDO TOBAR LAGOS
258.0,Cristian Salinas Herrera,CRISTIAN SALINAS HERRERA
257.0,Anibal Perez Lobos,ANIBAL  PEREZ LOBOS
256.0,Romina Fernandez Gatica,ROMINA  FERNANDEZ GATICA
255.0,Ramon Barros Montero,RAMON BARROS MONTERO
254.0,Sergio Espejo Yaksic,SERGIO ESPEJO YAKSIC
253.0,Camilo Rice Schumacher,CAMILO RICE SCHUMACHER
252.0,Victor Hugo Camilla Reyes,VICTOR HUGO CAMILLA REYES
251.0,Benjamin Nelson Araneda Gonzalez,BENJAMIN NELSON ARANEDA GONZALEZ
26.0,Leticia Olavarria Carcamo,LETICIA  OLAVARRIA CARCAMO
250.0,Miguel Gonzalez Feliu,MIGUEL GONZALEZ FELIU
249.0,Juan de Dios Parra Sepulveda,JUAN DE DIOS PARRA SEPULVEDA
248.0,Juan Pablo Camiruaga Espinola,JUAN PABLO CAMIRUAGA ESPINOLA
247.0,Javier Macaya Danus,JAVIER  MACAYA DANUS
246.0,Alejandra Sepulveda Orbenes,ALEJANDRA SEPULVEDA ORBENES
245.0,Victor Lagunas Leon,VICTOR LAGUNAS LEON
244.0,Antonio Rojas Espinoza,ANTONIO ROJAS ESPINOZA
243.0,Cristian Alfredo Rojas Donoso,CRISTIAN ALFREDO ROJAS DONOSO
242.0,Carlos Enrique Ortega Aedo,CARLOS ENRIQUE ORTEGA AEDO
25.0,Luis Alberto Ristempart Soto,LUIS ALBERTO RISTEMPART SOTO
240.0,Patricio Rey Sommer,PATRICIO REY SOMMER
239.0,Felipe Letelier Norambuena,FELIPE LETELIER NORAMBUENA
238.0,Ricardo Rincon Gonzalez,RICARDO RINCON GONZALEZ
237.0,Ivan Acosta Galaz,IVAN ACOSTA GALAZ
236.0,Ricardo Cerda Arancibia,RICARDO  CERDA ARANCIBIA
235.0,Eduardo Javier Vergara Bolbaran,EDUARDO JAVIER VERGARA BOLBARAN
234.0,Pamela Medina Schulz,PAMELA MEDINA SCHULZ
233.0,Issa Kort Garriga,ISSA KORT GARRIGA
232.0,Juan Luis Castro Gonzalez,JUAN LUIS CASTRO GONZALEZ
231.0,Arsenio Alvarez Armijo,ARSENIO ALVAREZ ARMIJO
24.0,Luis Soto Perez,LUIS  SOTO PEREZ
230.0,Marcelo Lopez Salazar,MARCELO  LOPEZ SALAZAR
229.0,Esperanza Priscila Rubio Abarca,ESPERANZA PRISCILA RUBIO ABARCA
228.0,Manuel Retamal Jara,MANUEL  RETAMAL JARA
227.0,Jorge Madriaga Celis,JORGE MADRIAGA CELIS
226.0,Francisco Alberto Parra Pinto,FRANCISCO ALBERTO PARRA PINTO
225.0,Patricio Gonzalez Dolz,PATRICIO GONZALEZ DOLZ
224.0,Jessica Mualim Fajuri,JESSICA MUALIM FAJURI
223.0,Juan Antonio Coloma Alamos,JUAN ANTONIO COLOMA ALAMOS
222.0,Denise Pascal Allende,DENISE  PASCAL ALLENDE
221.0,Ignacio Andres Seguel Robles,IGNACIO ANDRES SEGUEL ROBLES
23.0,Hotuiti Teao Drago,HOTUITI TEAO DRAGO
220.0,Henry Rutconsky Figueroa,HENRY  RUTCONSKY FIGUEROA
219.0,Felix Antonio Marinao Flores,FELIX ANTONIO MARINAO FLORES
218.0,Carlos Andres Mancilla Ortiz,CARLOS ANDRES MANCILLA ORTIZ
217.0,David Morales Nordetti,DAVID  MORALES NORDETTI
216.0,Nicolas Malcoux Henriquez Suazo,NICOLAS MALCOUX HENRIQUEZ SUAZO
214.0,Carlos Cruz-Coke Carvallo,CARLOS CRUZ-COKE CARVALLO
213.0,Jaime Bellolio Avaria,JAIME BELLOLIO AVARIA
212.0,Leonardo Soto Ferrada,LEONARDO SOTO FERRADA
211.0,Pablo Onell Aracena,PABLO  ONELL ARACENA
22.0,Eduardo Cerda Garcia,EDUARDO CERDA GARCIA
210.0,Luis Armando Contreras Rivera,LUIS ARMANDO CONTRERAS RIVERA
209.0,Bernardo Hevia Garrido,BERNARDO  HEVIA GARRIDO
208.0,Wilson Manuel Reyes Araya,WILSON MANUEL REYES ARAYA
207.0,Cristian Cuevas Zambrano,CRISTIAN  CUEVAS ZAMBRANO
206.0,Daniel Agusto Perez,DANIEL  AGUSTO PEREZ
205.0,Felipe Ward Edwards,FELIPE  WARD EDWARDS
204.0,Marcos Andres Espinosa Monardes,MARCOS ANDRES ESPINOSA MONARDES
203.0,Adrian Barahona Dieguez,ADRIAN  BARAHONA DIEGUEZ
202.0,Larry Garate Rivera,LARRY GARATE RIVERA
200.0,Lucy Ovando Vasquez,LUCY  OVANDO VASQUEZ
197.0,Patricio Laguna Gebauer,PATRICIO LAGUNA GEBAUER
196.0,Leopoldo Perez Lahsen,LEOPOLDO PEREZ LAHSEN
195.0,Osvaldo Andrade Lara,OSVALDO  ANDRADE LARA
194.0,Nancy Domitila Orellana Varas,NANCY DOMITILA ORELLANA VARAS
193.0,Matias Freire Vallejos,MATIAS  FREIRE VALLEJOS
191.0,Felipe Augusto Duran Martinez,FELIPE AUGUSTO DURAN MARTINEZ
20.0,Andrea Molina Oliva,ANDREA MOLINA OLIVA
189.0,Alejandro Anselmo Sule Fernandez,ALEJANDRO ANSELMO SULE FERNANDEZ
188.0,Ignacia Golborne Piccardo,IGNACIA GOLBORNE PICCARDO
187.0,Pedro Browne Urrejola,PEDRO  BROWNE URREJOLA
186.0,Guillermo Teillier del Valle,GUILLERMO TEILLIER DEL VALLE
185.0,Miguel Serrano Spaltman,MIGUEL SERRANO SPALTMAN
184.0,Ingrid Araus Vera,INGRID ARAUS VERA
183.0,Sergio Hernan Larrain Sanchez,SERGIO HERNAN LARRAIN SANCHEZ
182.0,David Ulises Mateluna Lagos,DAVID ULISES MATELUNA LAGOS
181.0,Varinia Yuseth Aravena Perez,VARINIA YUSETH ARAVENA PEREZ
19.0,Anibal Eduardo Diaz Gonzalez,ANIBAL EDUARDO DIAZ GONZALEZ
180.0,Mario Desbordes Jimenez,MARIO  DESBORDES JIMENEZ
179.0,Jorge Alessandri Vergara,JORGE ALESSANDRI VERGARA
178.0,Daniel Melo Contreras,DANIEL  MELO CONTRERAS
177.0,Tucapel Jimenez Fuentes,TUCAPEL  JIMENEZ FUENTES
176.0,Rodrigo Cortez Sasso,RODRIGO  CORTEZ SASSO
175.0,Paola Vidal Vergara,PAOLA  VIDAL VERGARA
174.0,Inglea Collao Gazmuri,INGLEA  COLLAO GAZMURI
173.0,Patricio Altamirano Arancibia,PATRICIO ALTAMIRANO ARANCIBIA
172.0,Rafael Soto Contreras,RAFAEL SOTO CONTRERAS
18.0,Enrique Lee Flores,ENRIQUE  LEE FLORES
169.0,Patricio Basso Gallo,PATRICIO BASSO GALLO
168.0,Ximena Ossandon Irarrazabal,XIMENA OSSANDON IRARRAZABAL
167.0,Gustavo Hasbun Selume,GUSTAVO HASBUN SELUME
