"","provincia","sex","occupation","2011","2013","2015"
"314","Antofagasta","Mujer","5133",193751,188882,NA
"315","Antofagasta","Mujer","5139",170664,NA,221982
"316","Antofagasta","Mujer","5141",369720,202651,263148
"317","Antofagasta","Mujer","5143",382900,NA,NA
"318","Antofagasta","Mujer","5151",251620,NA,NA
"319","Antofagasta","Mujer","5220",218800,214008,300000
"320","Antofagasta","Mujer","5230",268619,166302,213208
"321","Antofagasta","Mujer","6113",245895,210976,350000
"322","Antofagasta","Mujer","6141",718900,NA,NA
"323","Antofagasta","Mujer","7111",985951,1184375,NA
"324","Antofagasta","Mujer","7212",199108,NA,NA
"325","Antofagasta","Mujer","7222",109400,NA,NA
"326","Antofagasta","Mujer","7231",588500,NA,350000
"327","Antofagasta","Mujer","7233",491095,NA,NA
"328","Antofagasta","Mujer","7331",442898,NA,200000
"329","Antofagasta","Mujer","7345",201296,NA,NA
"330","Antofagasta","Mujer","7411",230601,218998,NA
"331","Antofagasta","Mujer","7412",285136,219487,100000
"332","Antofagasta","Mujer","7433",410800,80089,232955
"333","Antofagasta","Mujer","7435",164100,NA,NA
"334","Antofagasta","Mujer","7436",144098,195728,403922
"335","Antofagasta","Mujer","7437",924300,NA,NA
"336","Antofagasta","Mujer","8111",175040,NA,NA
"337","Antofagasta","Mujer","8163",328200,320000,NA
"338","Antofagasta","Mujer","8251",88778,NA,NA
"339","Antofagasta","Mujer","8262",196920,NA,NA
"340","Antofagasta","Mujer","8322",513500,300000,427000
"341","Antofagasta","Mujer","8323",287976,400000,443464
"342","Antofagasta","Mujer","8324",776440,607190,NA
"343","Antofagasta","Mujer","8331",979130,NA,NA
"344","Antofagasta","Mujer","8332",109400,800000,800000
"345","Antofagasta","Mujer","8333",389595,NA,615000
"346","Antofagasta","Mujer","9111",176565,178762,43946
"347","Antofagasta","Mujer","9112",119076,62791,61111
"348","Antofagasta","Mujer","9113",360644,104516,NA
"349","Antofagasta","Mujer","9120",205400,NA,NA
"350","Antofagasta","Mujer","9131",185308,185254,240000
"351","Antofagasta","Mujer","9132",211392,250000,240402
"352","Antofagasta","Mujer","9133",208361,119248,240000
"353","Antofagasta","Mujer","9141",224700,308451,350000
"354","Antofagasta","Mujer","9142",218800,250000,NA
"355","Antofagasta","Mujer","9151",182043,200000,285006
"356","Antofagasta","Mujer","9152",330999,330000,NA
"357","Antofagasta","Mujer","9161",199971,NA,NA
"358","Antofagasta","Mujer","9162",295242,137000,263132
"359","Antofagasta","Mujer","9211",199108,NA,NA
"360","Antofagasta","Mujer","9313",201331,NA,350000
"361","Antofagasta","Mujer","9322",196920,100000,199785
"362","Antofagasta","Mujer","9333",350080,280000,400000
"363","Antofagasta","Mujer","9999",313570,100000,NA
"364","Arica","Hombre","0110",437600,521840,564286
"365","Arica","Hombre","1120",503240,NA,NA
"366","Arica","Hombre","1210",2188000,NA,NA
"367","Arica","Hombre","1232",765800,1340000,NA
"368","Arica","Hombre","1311",1004178,395152,NA
"369","Arica","Hombre","1313",1232400,NA,900000
"370","Arica","Hombre","1314",556419,200000,300000
"371","Arica","Hombre","1315",466258,175781,300000
"372","Arica","Hombre","1316",1051165,348000,1886357
"373","Arica","Hombre","1318",4108000,3000000,NA
"374","Arica","Hombre","1319",4108000,920000,NA
"375","Arica","Hombre","2113",771071,625000,1354783
"376","Arica","Hombre","2122",601700,NA,NA
"377","Arica","Hombre","2131",811888,561429,NA
"378","Arica","Hombre","2132",487742,400000,NA
"379","Arica","Hombre","2141",656400,NA,800000
"380","Arica","Hombre","2142",1094000,1106003,1856757
"381","Arica","Hombre","2143",1677467,600000,3000000
"382","Arica","Hombre","2146",1094000,650000,NA
"383","Arica","Hombre","2147",1591770,876190,NA
"384","Arica","Hombre","2148",765800,NA,NA
"385","Arica","Hombre","2149",656400,612000,1491525
"386","Arica","Hombre","2221",1222084,1791667,2309333
"387","Arica","Hombre","2229",382900,NA,NA
"388","Arica","Hombre","2230",1422200,413837,NA
"389","Arica","Hombre","2310",557587,368000,1131527
"390","Arica","Hombre","2320",447196,573947,500000
"391","Arica","Hombre","2331",553518,600000,790969
"392","Arica","Hombre","2332",547000,NA,NA
"393","Arica","Hombre","2340",492300,725000,NA
"394","Arica","Hombre","2352",324834,450003,NA
"395","Arica","Hombre","2359",378211,500000,NA
"396","Arica","Hombre","2411",656400,700000,562857
"397","Arica","Hombre","2419",408844,1456158,NA
"398","Arica","Hombre","2421",752125,800000,2396859
"399","Arica","Hombre","2422",1094000,5340000,NA
"400","Arica","Hombre","2429",601700,NA,1400000
"401","Arica","Hombre","2445",804746,750000,1200000
"402","Arica","Hombre","2446",672634,739780,NA
"403","Arica","Hombre","2451",547000,NA,NA
"404","Arica","Hombre","2452",218800,NA,NA
"405","Arica","Hombre","2453",410800,NA,NA
"406","Arica","Hombre","2460",205400,298571,120000
"407","Arica","Hombre","3112",596230,544595,500000
"408","Arica","Hombre","3114",245319,NA,500000
"409","Arica","Hombre","3115",250154,NA,500000
"410","Arica","Hombre","3118",748969,700000,453816
"411","Arica","Hombre","3121",198184,466393,967500
"412","Arica","Hombre","3122",1232400,72222,NA
"413","Arica","Hombre","3131",143780,129412,NA
"414","Arica","Hombre","3142",334114,NA,NA
"415","Arica","Hombre","3152",451995,697561,500000
"416","Arica","Hombre","3212",334399,256800,NA
"417","Arica","Hombre","3213",246480,NA,507597
"418","Arica","Hombre","3225",1643200,250000,NA
"419","Arica","Hombre","3231",410250,344286,NA
"420","Arica","Hombre","3310",1312800,NA,NA
"421","Arica","Hombre","3411",427812,600000,NA
"422","Arica","Hombre","3412",132374,350000,NA
"423","Arica","Hombre","3413",567339,675862,2000000
