"","occupation","sex","2011","2013","2015"
"259","3433","Mujer",425603,405869,568730
"260","3434","Hombre",183709,396539,673544
"261","3439","Hombre",535710,651818,687353
"262","3439","Mujer",487221,449890,468625
"263","3441","Hombre",498037,558038,633443
"264","3441","Mujer",304079,903150,345015
"265","3442","Hombre",625159,721416,750357
"266","3442","Mujer",550778,525956,592444
"267","3443","Hombre",1094000,621648,650604
"268","3444","Hombre",1081139,360000,520789
"269","3444","Mujer",1138107,NA,1088666
"270","3449","Hombre",502538,503382,929172
"271","3449","Mujer",887990,475948,753065
"272","3450","Hombre",1146798,845125,832967
"273","3450","Mujer",891266,772567,982932
"274","3460","Hombre",485694,496536,582146
"275","3460","Mujer",364875,408708,530707
"276","3471","Hombre",712903,632710,577152
"277","3471","Mujer",640003,565101,607673
"278","3472","Hombre",485845,440729,436153
"279","3472","Mujer",394228,427795,251287
"280","3473","Hombre",569996,324055,415797
"281","3473","Mujer",193369,473455,315899
"282","3474","Hombre",232442,136438,277473
"283","3474","Mujer",189253,132427,173395
"284","3475","Hombre",629049,384783,379937
"285","3475","Mujer",427695,415758,302997
"286","3480","Hombre",449854,247542,377005
"287","3480","Mujer",199004,428723,317582
"288","4111","Mujer",196920,319515,266346
"289","4112","Hombre",293950,327895,316735
"290","4112","Mujer",222957,237541,294505
"291","4113","Hombre",509136,264575,442367
"292","4113","Mujer",322670,300198,342149
"293","4114",NA,NA,NA,NA
"294","4115","Hombre",282446,416462,476022
"295","4115","Mujer",337646,338814,381009
"296","4121","Hombre",540995,520996,562370
"297","4121","Mujer",342568,370989,429402
"298","4122","Hombre",410120,859874,711567
"299","4122","Mujer",528132,386476,527491
"300","4131","Hombre",305625,328746,398482
"301","4131","Mujer",260587,295386,360655
"302","4132","Hombre",362371,541997,689947
"303","4132","Mujer",284121,180346,476328
"304","4133","Hombre",451556,359690,463434
"305","4133","Mujer",373455,268022,327916
"306","4141","Hombre",289448,396995,568867
"307","4141","Mujer",262257,233627,428321
"308","4142","Hombre",280391,248197,342472
"309","4142","Mujer",220334,176385,288678
"310","4143","Hombre",251620,270290,429542
"311","4143","Mujer",299639,300569,326969
"312","4144","Hombre",65640,646837,404936
"313","4144","Mujer",302342,542054,1496386
"314","4190","Hombre",547514,417026,522818
"315","4190","Mujer",388075,358554,441369
"316","4211","Hombre",291024,278844,320355
"317","4211","Mujer",214709,238111,280510
"318","4212","Hombre",151194,182092,401605
"319","4212","Mujer",212338,1625545,343451
"320","4213","Hombre",259239,298943,379246
"321","4213","Mujer",286821,325990,312971
"322","4214",NA,NA,NA,NA
"323","4215","Hombre",428279,441575,603774
"324","4215","Mujer",485559,362249,392468
"325","4221","Hombre",273500,411721,300400
"326","4221","Mujer",222224,252031,303257
"327","4222","Hombre",372373,395668,402169
"328","4222","Mujer",289737,308218,349051
"329","4223","Hombre",315812,297658,341678
"330","4223","Mujer",274639,308617,299774
"331","5111","Hombre",301071,366413,561887
"332","5111","Mujer",424161,357064,583070
"333","5112","Hombre",217153,280014,339915
"334","5112","Mujer",140466,184072,282453
"335","5113","Hombre",401187,338835,461542
"336","5113","Mujer",476948,335845,412601
"337","5121","Hombre",554001,395788,418639
"338","5121","Mujer",1440250,547760,269670
"339","5122","Hombre",286210,333077,340883
"340","5122","Mujer",218085,210934,244497
"341","5123","Hombre",218362,228435,255534
"342","5123","Mujer",182324,197300,218222
"343","5131","Hombre",324691,288241,317338
"344","5131","Mujer",190538,216082,229761
"345","5132","Hombre",312922,400446,380886
"346","5132","Mujer",256073,306392,350659
"347","5133","Hombre",333581,121085,245342
"348","5133","Mujer",187014,193796,226693
"349","5139","Hombre",403820,251169,214319
"350","5139","Mujer",251241,274539,235473
"351","5141","Hombre",597944,272969,472162
"352","5141","Mujer",368363,265950,283583
"353","5142",NA,NA,NA,NA
"354","5143","Hombre",260814,312565,296408
"355","5143","Mujer",382900,350000,380000
"356","5149","Hombre",1027000,NA,215080
"357","5151","Mujer",543504,NA,274431
"358","5152","Hombre",393313,222152,100000
"359","5152","Mujer",328571,256943,618263
"360","5161","Hombre",278187,336695,372741
"361","5161","Mujer",241333,212607,150405
"362","5162","Hombre",637248,659532,618542
"363","5162","Mujer",593980,581189,611216
"364","5163","Hombre",540352,530186,712928
"365","5163","Mujer",568823,380883,688649
"366","5169","Hombre",343873,292928,361185
"367","5169","Mujer",297330,290576,273394
"368","5210","Mujer",362456,263251,153390
"369","5220","Hombre",366732,311580,373005
"370","5220","Mujer",243338,240956,287886
"371","5230","Hombre",299415,220921,325874
"372","5230","Mujer",202390,140274,192059
"373","6110",NA,NA,NA,NA
"374","6111","Hombre",276204,275573,310219
"375","6111","Mujer",185185,210928,214821
"376","6112","Hombre",220694,240456,235836
"377","6112","Mujer",182063,198962,195086
"378","6113","Hombre",268527,203135,249825
"379","6113","Mujer",188801,157944,219441
"380","6114","Hombre",268324,NA,231171
"381","6114","Mujer",135468,176038,145285
"382","6121","Hombre",368318,231798,318518
"383","6121","Mujer",217110,156653,205318
"384","6122","Hombre",287551,296564,331108
"385","6122","Mujer",56754,283665,202636
"386","6123","Hombre",278538,202050,296803
"387","6123","Mujer",146027,270299,151875
"388","6124","Hombre",292294,225753,370723
"389","6124","Mujer",410800,NA,360098
"390","6129","Hombre",215751,223140,257184
"391","6129","Mujer",287797,100000,260990
"392","6130","Hombre",575102,208501,318364
"393","6130","Mujer",341856,162090,264428
"394","6141","Hombre",221990,209989,243478
"395","6141","Mujer",245850,241382,225739
"396","6142","Hombre",167414,122653,178553
"397","6142","Mujer",198334,50000,95364
"398","6151","Hombre",341115,306343,360465
"399","6151","Mujer",246494,181795,290104
"400","6152","Hombre",332296,248415,268460
"401","6152","Mujer",164834,189348,151061
"402","6153","Hombre",459852,655883,317195
"403","6153","Mujer",821600,57500,243086
"404","6210","Hombre",358568,115250,233776
"405","6210","Mujer",185036,70784,132236
"406","7110",NA,NA,NA,NA
"407","7111","Hombre",661693,580184,566689
"408","7111","Mujer",659101,597705,574053
"409","7112","Hombre",506620,439642,475609
"410","7113","Hombre",308929,335209,446687
"411","7113","Mujer",308100,158771,NA
"412","7121","Hombre",431788,364741,327616
"413","7122","Hombre",296023,285808,339628
"414","7122","Mujer",210159,329165,304195
"415","7123","Hombre",293561,259699,348339
"416","7124","Hombre",304568,285727,331950
"417","7124","Mujer",207239,212059,288157
"418","7129","Hombre",549211,503203,437183
