"","region","sex","occupation","2011","2013","2015"
"165","Antofagasta","Hombre","7245",310856,573476,NA
"166","Antofagasta","Hombre","7311",555445,100000,850000
"167","Antofagasta","Hombre","7312",492300,NA,NA
"168","Antofagasta","Hombre","7313",1232400,150000,NA
"169","Antofagasta","Hombre","7331",308100,NA,300000
"170","Antofagasta","Hombre","7345",718900,NA,NA
"171","Antofagasta","Hombre","7346",306320,NA,400000
"172","Antofagasta","Hombre","7411",273500,120711,346618
"173","Antofagasta","Hombre","7412",382900,439394,299067
"174","Antofagasta","Hombre","7422",410800,287932,356749
"175","Antofagasta","Hombre","7423",273500,NA,NA
"176","Antofagasta","Hombre","7433",839240,300000,NA
"177","Antofagasta","Hombre","7435",218800,NA,NA
"178","Antofagasta","Hombre","7437",308808,NA,NA
"179","Antofagasta","Hombre","7442",327146,NA,100000
"180","Antofagasta","Hombre","8111",957135,650000,683924
"181","Antofagasta","Hombre","8112",537345,1125225,600000
"182","Antofagasta","Hombre","8113",483586,600000,550000
"183","Antofagasta","Hombre","8121",541940,693919,688205
"184","Antofagasta","Hombre","8124",437600,NA,NA
"185","Antofagasta","Hombre","8139",382900,700000,560516
"186","Antofagasta","Hombre","8151",711100,NA,NA
"187","Antofagasta","Hombre","8152",415720,NA,NA
"188","Antofagasta","Hombre","8153",419456,NA,1300000
"189","Antofagasta","Hombre","8159",667125,NA,NA
"190","Antofagasta","Hombre","8161",875200,600000,456981
"191","Antofagasta","Hombre","8162",656400,250000,926667
"192","Antofagasta","Hombre","8163",424879,625170,458333
"193","Antofagasta","Hombre","8211",524544,592105,623018
"194","Antofagasta","Hombre","8212",301589,380769,500000
"195","Antofagasta","Hombre","8222",538381,728333,600000
"196","Antofagasta","Hombre","8223",350080,NA,NA
"197","Antofagasta","Hombre","8229",356219,800000,338053
"198","Antofagasta","Hombre","8231",653856,428326,341288
"199","Antofagasta","Hombre","8264",415720,NA,525000
"200","Antofagasta","Hombre","8271",439589,NA,480000
"201","Antofagasta","Hombre","8281",656590,NA,402295
"202","Antofagasta","Hombre","8290",461705,455556,804553
"203","Antofagasta","Hombre","8311",306037,528571,375837
"204","Antofagasta","Hombre","8312",240680,358654,NA
"205","Antofagasta","Hombre","8321",258913,400000,NA
"206","Antofagasta","Hombre","8322",336846,400000,500000
"207","Antofagasta","Hombre","8323",391105,500000,548798
"208","Antofagasta","Hombre","8324",492300,550000,600000
"209","Antofagasta","Hombre","8331",656400,350000,NA
"210","Antofagasta","Hombre","8332",469736,666804,680000
"211","Antofagasta","Hombre","8333",875200,374576,600000
"212","Antofagasta","Hombre","8334",768093,550000,416667
"213","Antofagasta","Hombre","8340",269310,NA,370134
"214","Antofagasta","Hombre","9111",238757,292121,271429
"215","Antofagasta","Hombre","9112",252471,92778,242553
"216","Antofagasta","Hombre","9113",296867,573529,NA
"217","Antofagasta","Hombre","9131",154983,170759,NA
"218","Antofagasta","Hombre","9132",289910,296739,334660
"219","Antofagasta","Hombre","9133",211886,NA,NA
"220","Antofagasta","Hombre","9141",239491,264407,600000
"221","Antofagasta","Hombre","9142",452786,162955,242787
"222","Antofagasta","Hombre","9151",265867,300000,294824
"223","Antofagasta","Hombre","9152",306320,312163,402704
"224","Antofagasta","Hombre","9161",317553,NA,259836
"225","Antofagasta","Hombre","9162",240224,240000,295956
"226","Antofagasta","Hombre","9211",328793,219779,295250
"227","Antofagasta","Hombre","9213",456204,300000,NA
"228","Antofagasta","Hombre","9311",382900,515415,430791
"229","Antofagasta","Hombre","9312",198182,371707,368333
"230","Antofagasta","Hombre","9313",337864,294818,244280
"231","Antofagasta","Hombre","9321",273500,NA,288551
"232","Antofagasta","Hombre","9322",273500,128462,221553
"233","Antofagasta","Hombre","9331",718900,NA,NA
"234","Antofagasta","Hombre","9333",257954,350000,403846
"235","Antofagasta","Hombre","9999",382900,635937,700000
