"","occupation","sex","2011","2013","2015"
"326","4221","Mujer",207238,247071,300000
"327","4222","Hombre",273500,350000,350000
"328","4222","Mujer",267358,270000,303168
"329","4223","Hombre",296498,279010,300000
"330","4223","Mujer",218800,250000,300000
"331","5111","Hombre",249460,335952,340199
"332","5111","Mujer",273500,294128,556441
"333","5112","Hombre",199108,247417,280000
"334","5112","Mujer",151294,165226,282947
"335","5113","Hombre",218800,350000,300000
"336","5113","Mujer",532027,324590,438565
"337","5121","Hombre",306457,400000,343141
"338","5121","Mujer",550221,400000,260319
"339","5122","Hombre",218800,270000,300000
"340","5122","Mujer",196920,210000,241000
"341","5123","Hombre",199108,210000,250000
"342","5123","Mujer",196920,210000,240000
"343","5131","Hombre",273500,260000,300000
"344","5131","Mujer",196920,210000,230000
"345","5132","Hombre",236888,359798,368199
"346","5132","Mujer",218800,295740,300000
"347","5133","Hombre",333581,117785,200000
"348","5133","Mujer",164100,180000,230000
"349","5139","Hombre",403820,242169,200000
"350","5139","Mujer",236233,246091,245625
"351","5141","Hombre",452205,210000,352326
"352","5141","Mujer",250966,210000,250000
"353","5142",NA,NA,NA,NA
"354","5143","Hombre",231390,301096,286923
"355","5143","Mujer",382900,350000,380000
"356","5149","Hombre",1027000,NA,151327
"357","5151","Mujer",616200,NA,242000
"358","5152","Hombre",397845,132955,100000
"359","5152","Mujer",216493,226466,500000
"360","5161","Hombre",245299,250000,280000
"361","5161","Mujer",241333,209509,113244
"362","5162","Hombre",547000,600000,550000
"363","5162","Mujer",489755,500000,580000
"364","5163","Hombre",541520,500000,674987
"365","5163","Mujer",536862,391892,586712
"366","5169","Hombre",273500,250000,300000
"367","5169","Mujer",318911,280870,300000
"368","5210","Mujer",385554,224847,152234
"369","5220","Hombre",237319,250000,290000
"370","5220","Mujer",201296,210000,250000
"371","5230","Hombre",246480,200000,240000
"372","5230","Mujer",164320,118030,150000
"373","6110",NA,NA,NA,NA
"374","6111","Hombre",199108,210000,240000
"375","6111","Mujer",175040,210000,239942
"376","6112","Hombre",199108,210000,240000
"377","6112","Mujer",196920,210000,225000
"378","6113","Hombre",207860,210000,241000
"379","6113","Mujer",164246,159911,238434
"380","6114","Hombre",205400,NA,200000
"381","6114","Mujer",102700,176038,150000
"382","6121","Hombre",233415,210000,241000
"383","6121","Mujer",175900,120000,165000
"384","6122","Hombre",218800,280000,290732
"385","6122","Mujer",40057,301161,245847
"386","6123","Hombre",206541,174608,262497
"387","6123","Mujer",100086,235132,150000
"388","6124","Hombre",258684,210000,300000
"389","6124","Mujer",410800,NA,276975
"390","6129","Hombre",199114,210000,241000
"391","6129","Mujer",298131,100000,301857
"392","6130","Hombre",488593,150000,300000
"393","6130","Mujer",293888,50000,241000
"394","6141","Hombre",199108,200000,240000
"395","6141","Mujer",164320,246482,240000
"396","6142","Hombre",164320,111842,150000
"397","6142","Mujer",186777,50000,91236
"398","6151","Hombre",252276,269757,280000
"399","6151","Mujer",197532,200000,274800
"400","6152","Hombre",246480,200000,240000
"401","6152","Mujer",164100,210000,145395
"402","6153","Hombre",294216,242121,250000
"403","6153","Mujer",821600,42000,254942
"404","6210","Hombre",279580,88664,200000
"405","6210","Mujer",205400,60000,100000
"406","7110",NA,NA,NA,NA
"407","7111","Hombre",437600,450000,500000
"408","7111","Mujer",437600,500000,600000
"409","7112","Hombre",437600,423472,481143
"410","7113","Hombre",294409,300000,349091
"411","7113","Mujer",308100,158771,NA
"412","7121","Hombre",328200,304138,300000
"413","7122","Hombre",240680,250000,300000
"414","7122","Mujer",193348,334152,315789
"415","7123","Hombre",263902,250000,300000
"416","7124","Hombre",251620,250000,300000
"417","7124","Mujer",213282,235000,240995
"418","7129","Hombre",547000,399934,400000
"419","7129","Mujer",199108,311375,350649
"420","7131","Hombre",296640,281617,250000
"421","7132","Hombre",308961,250000,300000
"422","7132","Mujer",174272,211836,204419
"423","7133","Hombre",202548,210000,400000
"424","7134","Hombre",218800,300000,392036
"425","7135","Hombre",236841,250000,250000
"426","7136","Hombre",320340,269785,300000
"427","7136","Mujer",222237,200000,232873
"428","7137","Hombre",328200,300000,360000
"429","7137","Mujer",237065,241701,231349
"430","7141","Hombre",246480,250000,251000
"431","7141","Mujer",232508,250000,240084
"432","7142","Hombre",222507,300000,250000
"433","7142","Mujer",246150,210000,100000
"434","7143","Hombre",428955,150000,268354
"435","7211","Hombre",266575,483913,241000
"436","7212","Hombre",328200,300000,350000
"437","7212","Mujer",258773,215239,300000
"438","7213","Hombre",242527,249730,280000
"439","7214","Hombre",273500,280000,350000
"440","7214","Mujer",332187,93840,256477
"441","7216","Hombre",558683,261972,300000
"442","7216","Mujer",1027000,200000,NA
"443","7221","Hombre",399041,228535,247993
"444","7222","Hombre",299960,250000,300000
"445","7222","Mujer",109400,300000,300000
"446","7223","Hombre",547582,534615,386512
"447","7223","Mujer",302701,NA,205737
"448","7224","Hombre",328200,212742,291186
"449","7231","Hombre",330142,250000,322963
"450","7231","Mujer",199444,240314,289438
"451","7232","Hombre",545240,700000,500000
"452","7232","Mujer",415720,NA,94337
"453","7233","Hombre",437600,400000,500000
"454","7233","Mujer",390595,218327,381618
"455","7241","Hombre",328200,392934,400000
"456","7241","Mujer",380112,401455,342949
"457","7242","Hombre",423395,350000,300000
"458","7243","Hombre",324156,300000,350000
"459","7243","Mujer",265739,204464,317537
"460","7244","Hombre",273500,400000,336304
"461","7244","Mujer",273500,310547,300000
"462","7245","Hombre",328200,350000,300000
"463","7311","Hombre",377519,234792,400000
"464","7311","Mujer",218800,212530,348903
"465","7312","Hombre",210147,200000,388158
"466","7313","Hombre",501892,327885,250000
"467","7313","Mujer",253629,182028,217444
"468","7321","Hombre",345172,210000,250000
"469","7321","Mujer",356259,170536,304714
"470","7322",NA,NA,NA,NA
"471","7324","Hombre",217107,209607,236936
"472","7324","Mujer",164108,49586,254254
"473","7331","Hombre",207720,202713,150000
"474","7331","Mujer",102700,120000,100000
"475","7332","Hombre",263188,153920,246810
"476","7332","Mujer",102700,90000,70000
"477","7341","Hombre",460806,295544,378601
"478","7341","Mujer",196920,210000,211189
"479","7342",NA,NA,NA,NA
"480","7343","Hombre",306105,357516,250000
"481","7343","Mujer",213797,202406,270000
"482","7344","Hombre",491290,193900,234783
"483","7345","Hombre",304301,207975,345798
"484","7345","Mujer",196920,109448,229925
"485","7346","Hombre",280898,672520,468014
"486","7346","Mujer",228278,233519,124167
"487","7411","Hombre",200177,210000,264493
"488","7411","Mujer",196920,210000,278923
"489","7412","Hombre",218800,237235,270000
"490","7412","Mujer",202664,180000,200000
"491","7413","Hombre",218800,196133,350000
"492","7413","Mujer",205163,163335,263271
"493","7414","Hombre",199108,266053,250333
"494","7414","Mujer",196920,201217,230000
"495","7415","Hombre",646185,220000,311429
"496","7415","Mujer",196920,300000,259091
"497","7416",NA,NA,NA,NA
"498","7421","Hombre",205141,222048,250918
"499","7422","Hombre",308100,280000,300000
"500","7422","Mujer",208119,190610,224301
"501","7423","Hombre",218800,220000,245000
"502","7423","Mujer",202722,280000,230557
"503","7424","Hombre",149349,25000,315421
"504","7424","Mujer",20540,NA,14694
"505","7431","Hombre",200078,326588,237115
"506","7431","Mujer",84442,100000,301935
"507","7432","Hombre",268708,210000,300000
"508","7432","Mujer",164320,60000,51347
"509","7433","Hombre",273500,103511,250000
"510","7433","Mujer",151687,120000,150000
"511","7435","Hombre",199585,238298,287655
"512","7435","Mujer",164100,200000,264768
"513","7436","Hombre",327148,250000,303463
"514","7436","Mujer",156177,100000,120000
"515","7437","Hombre",214161,200000,227307
"516","7437","Mujer",122342,200000,210056
"517","7442","Hombre",244902,224754,225038
"518","7442","Mujer",199108,181961,245448
"519","8111","Hombre",656400,502742,600000
"520","8111","Mujer",214849,344068,NA
"521","8112","Hombre",525120,500000,545102
"522","8112","Mujer",316159,NA,380000
"523","8113","Hombre",382900,466108,500000
"524","8113","Mujer",437600,924000,NA
"525","8121","Hombre",507695,354104,600000
"526","8122","Hombre",294229,358356,400000
"527","8123","Hombre",265376,469355,378398
"528","8124","Hombre",200993,306180,303636
"529","8124","Mujer",196920,350000,430227
"530","8131",NA,NA,NA,NA
"531","8139","Hombre",275528,570455,387213
"532","8139","Mujer",203484,NA,NA
"533","8141","Hombre",212499,210000,250000
"534","8142","Hombre",217179,380000,600000
"535","8143","Hombre",334822,250000,340261
"536","8151","Hombre",569113,198000,360265
"537","8152","Hombre",273500,374000,259917
"538","8153","Hombre",437600,377096,842857
"539","8154",NA,NA,NA,NA
"540","8155","Hombre",347633,269421,532540
"541","8159","Hombre",198277,307219,404801
"542","8161","Hombre",519242,400000,550000
"543","8162","Hombre",273500,300000,390649
"544","8162","Mujer",328200,NA,NA
"545","8163","Hombre",228037,289614,300000
"546","8163","Mujer",153160,116091,196658
"547","8171","Hombre",328200,303005,250000
"548","8172",NA,NA,NA,NA
"549","8210",NA,NA,NA,NA
"550","8211","Hombre",273500,350000,450000
"551","8212","Hombre",273500,353971,500000
"552","8221","Hombre",245346,399043,323604
"553","8221","Mujer",201088,217016,241000
"554","8222","Hombre",555354,717213,600000
"555","8223","Hombre",333372,215405,400000
"556","8223","Mujer",328640,210000,NA
"557","8224","Hombre",199108,NA,353558
"558","8229","Hombre",327444,340876,301295
"559","8229","Mujer",328200,314505,250000
"560","8231","Hombre",197240,210000,359147
"561","8231","Mujer",1027000,NA,262500
"562","8232","Hombre",245028,235556,300000
"563","8232","Mujer",199108,210515,243916
"564","8240","Hombre",218800,230093,350000
"565","8240","Mujer",260303,136639,240295
"566","8251","Hombre",268375,351333,300531
"567","8251","Mujer",212060,98173,256211
"568","8252","Hombre",202283,458349,342643
"569","8253","Hombre",196920,236565,300000
"570","8253","Mujer",109400,358475,132743
"571","8261","Hombre",221203,265019,321628
"572","8261","Mujer",202609,165000,316084
"573","8262","Hombre",238657,300000,300862
"574","8262","Mujer",196920,200000,196364
"575","8263","Hombre",274426,227989,247725
"576","8263","Mujer",238763,210000,260000
"577","8264","Hombre",260067,271333,340703
"578","8264","Mujer",141632,221860,250000
"579","8265","Hombre",240680,350000,370000
"580","8266","Hombre",328550,216429,561538
"581","8266","Mujer",223092,254390,350000
"582","8269","Hombre",221617,281636,250000
"583","8269","Mujer",178297,351855,289180
"584","8270",NA,NA,NA,NA
"585","8271","Hombre",251620,280000,300000
"586","8271","Mujer",199108,210000,241000
"587","8272","Hombre",198834,231758,250000
"588","8272","Mujer",243981,215179,239784
"589","8273","Hombre",328188,300000,300000
"590","8273","Mujer",185980,245000,168698
"591","8274","Hombre",271427,300000,308478
"592","8274","Mujer",226297,228784,277188
"593","8275","Hombre",273500,358110,311654
"594","8275","Mujer",193415,210000,250000
"595","8276","Hombre",199108,308861,337946
"596","8277","Hombre",226093,214468,322727
"597","8278","Hombre",230396,300000,345367
"598","8278","Mujer",308100,237338,244929
"599","8281","Hombre",425890,224188,323098
"600","8282","Hombre",218800,394901,329873
"601","8282","Mujer",158630,NA,240000
"602","8283",NA,NA,NA,NA
"603","8284","Hombre",225309,250000,300645
"604","8285","Hombre",378364,250000,244320
"605","8286","Hombre",273500,322532,375460
"606","8290","Hombre",218800,250000,371363
"607","8290","Mujer",196920,210000,250000
"608","8311","Hombre",487040,873940,664356
"609","8311","Mujer",547000,400000,1000000
"610","8312","Hombre",366911,339809,299398
"611","8321","Hombre",204393,379408,240000
"612","8322","Hombre",308100,300000,350000
"613","8322","Mujer",282898,262605,300000
"614","8323","Hombre",328200,320000,380000
"615","8323","Mujer",718900,300000,383893
"616","8324","Hombre",328200,300000,400000
"617","8324","Mujer",431758,300000,323421
"618","8330",NA,NA,NA,NA
"619","8331","Hombre",199108,220000,280000
"620","8331","Mujer",290230,226615,187066
"621","8332","Hombre",328200,400000,422137
"622","8332","Mujer",1323249,313971,569231
"623","8333","Hombre",339140,350000,400000
"624","8333","Mujer",255712,NA,541314
"625","8334","Hombre",273500,300000,350000
"626","8334","Mujer",141243,280000,283520
"627","8340","Hombre",437600,400000,450000
"628","8340","Mujer",211422,940813,300000
"629","9111","Hombre",246480,200000,200000
"630","9111","Mujer",180759,120000,134000
"631","9112","Hombre",205400,180000,161257
"632","9112","Mujer",164320,93493,80000
"633","9113","Hombre",320484,300000,300000
"634","9113","Mujer",102700,80000,74343
"635","9120","Hombre",191171,147529,200000
"636","9120","Mujer",205400,30000,128182
"637","9131","Hombre",208200,200000,257874
"638","9131","Mujer",165150,180000,200000
"639","9132","Hombre",199108,210000,250000
"640","9132","Mujer",196920,210000,240000
"641","9133","Hombre",198049,327811,300000
"642","9133","Mujer",141560,112715,240000
"643","9141","Hombre",218800,250000,300000
"644","9141","Mujer",201414,238780,250248
"645","9142","Hombre",196920,210000,240000
"646","9142","Mujer",196920,215075,246478
"647","9151","Hombre",220700,220000,280000
"648","9151","Mujer",196920,210000,250000
"649","9152","Hombre",229740,250000,300000
"650","9152","Mujer",210123,236442,259372
"651","9153","Hombre",204615,279189,276263
"652","9153","Mujer",120520,124083,214543
"653","9161","Hombre",196920,210000,241454
"654","9161","Mujer",78514,116800,71339
"655","9162","Hombre",196920,210000,241000
"656","9162","Mujer",99564,210000,200000
"657","9211","Hombre",196920,210000,241000
"658","9211","Mujer",196920,200000,240000
"659","9212","Hombre",199108,210000,241000
"660","9212","Mujer",158127,100000,188500
"661","9213","Hombre",199108,194359,250000
"662","9213","Mujer",179508,150000,240000
"663","9251",NA,NA,NA,NA
"664","9311","Hombre",308100,319705,320647
"665","9311","Mujer",312624,290328,351231
"666","9312","Hombre",199108,236194,250000
"667","9312","Mujer",142305,318552,250000
"668","9313","Hombre",218800,220000,280000
"669","9313","Mujer",199108,246085,300000
"670","9321","Hombre",199108,230000,300000
"671","9321","Mujer",164344,258750,254634
"672","9322","Hombre",196920,200000,245363
"673","9322","Mujer",196920,150000,241000
"674","9331","Hombre",220865,223800,120000
"675","9331","Mujer",92615,NA,315000
"676","9332","Hombre",198496,139740,308419
"677","9333","Hombre",205400,210000,250000
"678","9333","Mujer",194111,212088,277546
"679","9999","Hombre",262812,312750,300000
"680","9999","Mujer",246480,194257,300000
"681","3232",NA,NA,NA,NA
"682","5120",NA,NA,NA,NA
"683","7323","Hombre",302569,358911,NA
"684","7410",NA,NA,NA,NA
"685","2140",NA,NA,NA,NA
"686","2330",NA,NA,NA,NA
"687","3470",NA,NA,NA,NA
"688","6100",NA,NA,NA,NA
"689","6120",NA,NA,NA,NA
"690","7215","Hombre",328200,287767,NA
"691","7330",NA,NA,NA,NA
