"","region","sex","occupation","2011","2013","2015"
"299","Antofagasta","Mujer","3320",261708,251454,314499
"300","Antofagasta","Mujer","3330",218800,NA,366667
"301","Antofagasta","Mujer","3411",598484,556207,715796
"302","Antofagasta","Mujer","3412",549279,623717,314000
"303","Antofagasta","Mujer","3413",792485,608192,313842
"304","Antofagasta","Mujer","3415",342364,578777,529230
"305","Antofagasta","Mujer","3419",328200,553862,NA
"306","Antofagasta","Mujer","3421",940840,NA,NA
"307","Antofagasta","Mujer","3422",415720,NA,NA
"308","Antofagasta","Mujer","3429",109400,NA,804823
"309","Antofagasta","Mujer","3431",567829,490829,509632
"310","Antofagasta","Mujer","3432",438113,604648,503763
"311","Antofagasta","Mujer","3433",593928,343482,1231868
"312","Antofagasta","Mujer","3439",442538,724396,NA
"313","Antofagasta","Mujer","3442",2188000,NA,NA
"314","Antofagasta","Mujer","3449",450494,291104,420194
"315","Antofagasta","Mujer","3460",185980,469811,322312
"316","Antofagasta","Mujer","3471",423621,187671,7028571
"317","Antofagasta","Mujer","3473",305823,NA,NA
"318","Antofagasta","Mujer","3475",291276,NA,NA
"319","Antofagasta","Mujer","4112",240680,NA,NA
"320","Antofagasta","Mujer","4115",397999,370793,380968
"321","Antofagasta","Mujer","4121",460498,363201,669262
"322","Antofagasta","Mujer","4122",237504,394253,642426
"323","Antofagasta","Mujer","4131",404391,338063,440214
"324","Antofagasta","Mujer","4132",445254,230000,245752
"325","Antofagasta","Mujer","4133",492300,233869,235275
"326","Antofagasta","Mujer","4141",273500,405517,380000
"327","Antofagasta","Mujer","4144",251620,NA,3000000
"328","Antofagasta","Mujer","4190",385893,340062,513457
"329","Antofagasta","Mujer","4211",220296,259829,314028
"330","Antofagasta","Mujer","4212",42602,148000,450000
"331","Antofagasta","Mujer","4213",482565,345935,326528
"332","Antofagasta","Mujer","4215",316531,NA,225000
"333","Antofagasta","Mujer","4222",297507,370186,386581
"334","Antofagasta","Mujer","4223",317407,373744,257134
"335","Antofagasta","Mujer","5111",366761,350000,NA
"336","Antofagasta","Mujer","5121",559494,318033,832000
"337","Antofagasta","Mujer","5122",271441,255653,255709
"338","Antofagasta","Mujer","5123",246480,243158,229302
"339","Antofagasta","Mujer","5131",217688,246278,213993
"340","Antofagasta","Mujer","5132",311961,267392,294839
"341","Antofagasta","Mujer","5133",202665,199561,NA
"342","Antofagasta","Mujer","5139",170664,NA,252005
"343","Antofagasta","Mujer","5141",607909,236052,357881
"344","Antofagasta","Mujer","5143",382900,NA,NA
"345","Antofagasta","Mujer","5151",251620,NA,NA
"346","Antofagasta","Mujer","5169",273500,NA,NA
"347","Antofagasta","Mujer","5220",295952,244079,323246
"348","Antofagasta","Mujer","5230",447053,222172,321864
"349","Antofagasta","Mujer","6111",252642,132609,202308
"350","Antofagasta","Mujer","6113",245895,199091,350000
"351","Antofagasta","Mujer","6114",63674,NA,NA
"352","Antofagasta","Mujer","6141",718900,NA,NA
"353","Antofagasta","Mujer","7111",791445,1184375,NA
"354","Antofagasta","Mujer","7122",164100,NA,NA
"355","Antofagasta","Mujer","7124",382900,NA,NA
"356","Antofagasta","Mujer","7212",282638,NA,NA
"357","Antofagasta","Mujer","7222",109400,NA,NA
"358","Antofagasta","Mujer","7231",588500,NA,350000
"359","Antofagasta","Mujer","7233",436085,NA,NA
"360","Antofagasta","Mujer","7331",605725,NA,153073
"361","Antofagasta","Mujer","7332",123240,80000,NA
"362","Antofagasta","Mujer","7345",201296,NA,NA
"363","Antofagasta","Mujer","7411",230601,208911,290000
"364","Antofagasta","Mujer","7412",365388,204544,260377
"365","Antofagasta","Mujer","7432",188528,NA,200000
"366","Antofagasta","Mujer","7433",333007,160312,148001
"367","Antofagasta","Mujer","7435",164100,NA,NA
"368","Antofagasta","Mujer","7436",215530,126511,488854
"369","Antofagasta","Mujer","7437",924300,NA,NA
"370","Antofagasta","Mujer","8111",175040,NA,NA
"371","Antofagasta","Mujer","8112",336837,NA,NA
"372","Antofagasta","Mujer","8163",328200,320000,NA
"373","Antofagasta","Mujer","8251",88778,NA,NA
"374","Antofagasta","Mujer","8262",196920,NA,NA
"375","Antofagasta","Mujer","8322",450552,273114,427000
"376","Antofagasta","Mujer","8323",649958,416927,450710
"377","Antofagasta","Mujer","8324",624833,578142,517073
"378","Antofagasta","Mujer","8331",979130,NA,NA
"379","Antofagasta","Mujer","8332",109400,800000,800000
"380","Antofagasta","Mujer","8333",617666,NA,615000
"381","Antofagasta","Mujer","9111",1458405,178340,103255
"382","Antofagasta","Mujer","9112",173345,139388,143371
"383","Antofagasta","Mujer","9113",376063,151244,300000
"384","Antofagasta","Mujer","9120",205400,NA,NA
"385","Antofagasta","Mujer","9131",181430,193049,205159
"386","Antofagasta","Mujer","9132",219177,250272,267097
"387","Antofagasta","Mujer","9133",250983,161889,240000
"388","Antofagasta","Mujer","9141",249396,293006,350000
"389","Antofagasta","Mujer","9142",218800,250000,NA
"390","Antofagasta","Mujer","9151",187083,431077,285006
"391","Antofagasta","Mujer","9152",285339,366501,362752
"392","Antofagasta","Mujer","9153",218800,NA,250000
"393","Antofagasta","Mujer","9161",199971,NA,160000
"394","Antofagasta","Mujer","9162",286409,137000,263132
"395","Antofagasta","Mujer","9211",201426,NA,NA
"396","Antofagasta","Mujer","9213",179258,113111,NA
"397","Antofagasta","Mujer","9311",1625443,280000,NA
"398","Antofagasta","Mujer","9313",231065,241429,350000
"399","Antofagasta","Mujer","9322",180258,120853,161189
"400","Antofagasta","Mujer","9333",293610,280000,400000
"401","Antofagasta","Mujer","9999",365150,132233,290000
"402","Araucanía","Hombre","0110",354021,442516,446137
"403","Araucanía","Hombre","1130",486830,NA,892174
"404","Araucanía","Hombre","1229",937848,944758,1316190
"405","Araucanía","Hombre","1232",437600,796691,NA
