"","provincia","sex","occupation","2011","2013","2015"
"239","Antofagasta","Mujer","2223",732980,1600000,NA
"240","Antofagasta","Mujer","2229",631959,NA,767391
"241","Antofagasta","Mujer","2230",788927,1209745,780122
"242","Antofagasta","Mujer","2310",837813,590222,397442
"243","Antofagasta","Mujer","2320",802876,690363,719551
"244","Antofagasta","Mujer","2331",563417,557402,618610
"245","Antofagasta","Mujer","2332",474892,566304,506862
"246","Antofagasta","Mujer","2340",587201,627370,750000
"247","Antofagasta","Mujer","2351",657661,NA,NA
"248","Antofagasta","Mujer","2352",251620,1000000,NA
"249","Antofagasta","Mujer","2411",649789,1011267,896364
"250","Antofagasta","Mujer","2412",984600,741538,NA
"251","Antofagasta","Mujer","2419",581500,884065,528101
"252","Antofagasta","Mujer","2421",889343,1200000,950000
"253","Antofagasta","Mujer","2429",328200,NA,550000
"254","Antofagasta","Mujer","2432",224934,NA,320000
"255","Antofagasta","Mujer","2441",1094000,NA,NA
"256","Antofagasta","Mujer","2442",569418,511075,NA
"257","Antofagasta","Mujer","2445",685200,1360573,569636
"258","Antofagasta","Mujer","2446",612186,594561,644228
"259","Antofagasta","Mujer","2451",863228,397087,864189
"260","Antofagasta","Mujer","2452",875200,NA,NA
"261","Antofagasta","Mujer","2453",205400,NA,NA
"262","Antofagasta","Mujer","2455",656400,NA,NA
"263","Antofagasta","Mujer","3131",780520,80000,NA
"264","Antofagasta","Mujer","3151",437600,300000,712879
"265","Antofagasta","Mujer","3152",520229,1911865,722541
"266","Antofagasta","Mujer","3221",459480,1165127,457927
"267","Antofagasta","Mujer","3223",618141,159735,700000
"268","Antofagasta","Mujer","3225",328200,263269,467120
"269","Antofagasta","Mujer","3226",754183,634432,798667
"270","Antofagasta","Mujer","3229",164100,585000,NA
"271","Antofagasta","Mujer","3231",283502,322797,503535
"272","Antofagasta","Mujer","3310",350149,213717,300000
"273","Antofagasta","Mujer","3320",276576,223708,323374
"274","Antofagasta","Mujer","3330",218800,NA,NA
"275","Antofagasta","Mujer","3411",806072,558047,576801
"276","Antofagasta","Mujer","3412",622097,655911,NA
"277","Antofagasta","Mujer","3413",792485,455047,313842
"278","Antofagasta","Mujer","3415",293562,578777,574545
"279","Antofagasta","Mujer","3419",328200,450000,NA
"280","Antofagasta","Mujer","3421",940840,NA,NA
