"","comuna","sex","occupation","2011","2013","2015"
"352","Antofagasta","Hombre","2230",957917,NA,NA
"353","Antofagasta","Hombre","2310",875200,980417,518023
"354","Antofagasta","Hombre","2320",616086,600000,454082
"355","Antofagasta","Hombre","2331",536636,818792,584138
"356","Antofagasta","Hombre","2351",311687,NA,NA
"357","Antofagasta","Hombre","2352",992197,NA,NA
"358","Antofagasta","Hombre","2359",820500,NA,NA
"359","Antofagasta","Hombre","2411",855988,865241,784772
"360","Antofagasta","Hombre","2412",2188000,1346891,2700000
"361","Antofagasta","Hombre","2419",875200,1530000,1500000
"362","Antofagasta","Hombre","2421",1976154,1250847,2525964
"363","Antofagasta","Hombre","2441",2038582,NA,NA
"364","Antofagasta","Hombre","2442",2188000,NA,NA
"365","Antofagasta","Hombre","2445",776525,1044156,NA
"366","Antofagasta","Hombre","2446",437600,2000000,600000
"367","Antofagasta","Hombre","2451",649226,250000,NA
"368","Antofagasta","Hombre","2452",1641000,NA,1200000
"369","Antofagasta","Hombre","2453",606467,NA,NA
"370","Antofagasta","Hombre","2455",246150,NA,NA
"371","Antofagasta","Hombre","2460",415720,100300,NA
"372","Antofagasta","Hombre","3112",583602,743956,429128
"373","Antofagasta","Hombre","3114",501287,NA,590155
"374","Antofagasta","Hombre","3115",451275,NA,1066667
"375","Antofagasta","Hombre","3116",501691,500000,NA
"376","Antofagasta","Hombre","3117",984600,625191,1800000
"377","Antofagasta","Hombre","3118",393840,1094231,NA
"378","Antofagasta","Hombre","3119",437600,1174082,NA
"379","Antofagasta","Hombre","3121",354686,459880,NA
"380","Antofagasta","Hombre","3122",517641,300000,NA
"381","Antofagasta","Hombre","3131",346363,453846,NA
"382","Antofagasta","Hombre","3132",492300,NA,NA
"383","Antofagasta","Hombre","3141",481360,NA,NA
"384","Antofagasta","Hombre","3143",547000,NA,NA
"385","Antofagasta","Hombre","3144",875200,NA,NA
"386","Antofagasta","Hombre","3145",207860,NA,NA
"387","Antofagasta","Hombre","3151",428087,684524,1143410
"388","Antofagasta","Hombre","3152",931195,952101,900000
"389","Antofagasta","Hombre","3225",564504,NA,NA
"390","Antofagasta","Hombre","3226",1594770,NA,NA
"391","Antofagasta","Hombre","3228",395965,NA,NA
"392","Antofagasta","Hombre","3231",667410,322784,852394
"393","Antofagasta","Hombre","3340",2054000,205189,60000
"394","Antofagasta","Hombre","3411",528338,778218,3000000
"395","Antofagasta","Hombre","3412",834269,1134677,NA
"396","Antofagasta","Hombre","3413",1473905,937815,NA
"397","Antofagasta","Hombre","3415",405076,772000,761207
"398","Antofagasta","Hombre","3416",415720,569639,NA
"399","Antofagasta","Hombre","3422",389738,NA,NA
"400","Antofagasta","Hombre","3423",852751,963636,NA
"401","Antofagasta","Hombre","3429",65640,NA,NA
"402","Antofagasta","Hombre","3431",547000,725459,1401020
"403","Antofagasta","Hombre","3433",876064,708000,NA
"404","Antofagasta","Hombre","3439",531649,771000,1000000
"405","Antofagasta","Hombre","3441",1312800,NA,NA
"406","Antofagasta","Hombre","3442",1203400,1200000,NA
"407","Antofagasta","Hombre","3449",488892,NA,NA
"408","Antofagasta","Hombre","3471",511011,283333,480237
"409","Antofagasta","Hombre","3473",521822,188263,300000
"410","Antofagasta","Hombre","3474",410800,180000,NA
"411","Antofagasta","Hombre","3475",250912,350000,NA
"412","Antofagasta","Hombre","4113",207860,NA,NA
"413","Antofagasta","Hombre","4115",610337,NA,350000
"414","Antofagasta","Hombre","4121",799638,300000,855543
"415","Antofagasta","Hombre","4122",384368,340678,400000
"416","Antofagasta","Hombre","4131",382900,350000,559459
"417","Antofagasta","Hombre","4132",792912,999485,725301
"418","Antofagasta","Hombre","4133",450612,489873,876769
"419","Antofagasta","Hombre","4142",323567,258750,NA
"420","Antofagasta","Hombre","4190",354233,667706,580488
"421","Antofagasta","Hombre","4211",250622,366406,455195
"422","Antofagasta","Hombre","4213",414157,400000,NA
"423","Antofagasta","Hombre","4215",547000,NA,NA
"424","Antofagasta","Hombre","4222",627076,340826,325185
"425","Antofagasta","Hombre","4223",367236,300000,NA
"426","Antofagasta","Hombre","5111",360724,NA,NA
"427","Antofagasta","Hombre","5112",261609,309423,NA
"428","Antofagasta","Hombre","5121",218800,500000,NA
"429","Antofagasta","Hombre","5122",374612,502024,400000
"430","Antofagasta","Hombre","5123",203484,209378,240000
"431","Antofagasta","Hombre","5131",267618,350000,160000
"432","Antofagasta","Hombre","5132",228485,587925,300000
"433","Antofagasta","Hombre","5141",357879,450000,400000
"434","Antofagasta","Hombre","5143",437600,NA,355000
"435","Antofagasta","Hombre","5161",382900,NA,NA
"436","Antofagasta","Hombre","5162",437600,615496,377530
"437","Antofagasta","Hombre","5163",382900,733468,NA
"438","Antofagasta","Hombre","5169",351671,400000,NA
"439","Antofagasta","Hombre","5220",328200,315692,400000
"440","Antofagasta","Hombre","5230",756399,279118,NA
"441","Antofagasta","Hombre","6111",492300,NA,NA
"442","Antofagasta","Hombre","6113",261637,330270,300000
"443","Antofagasta","Hombre","6122",616200,NA,NA
"444","Antofagasta","Hombre","6152",246480,148469,NA
"445","Antofagasta","Hombre","7111",547000,500000,684091
"446","Antofagasta","Hombre","7112",701002,380000,600000
"447","Antofagasta","Hombre","7113",559796,NA,NA
"448","Antofagasta","Hombre","7121",633270,180000,600000
"449","Antofagasta","Hombre","7122",324671,350000,322648
"450","Antofagasta","Hombre","7123",502353,NA,512772
"451","Antofagasta","Hombre","7124",437600,380345,342213
"452","Antofagasta","Hombre","7129",546683,688768,618947
"453","Antofagasta","Hombre","7131",674568,NA,NA
"454","Antofagasta","Hombre","7132",604728,404301,NA
"455","Antofagasta","Hombre","7133",262560,NA,NA
"456","Antofagasta","Hombre","7136",536399,302235,400000
"457","Antofagasta","Hombre","7137",383499,499464,500000
"458","Antofagasta","Hombre","7141",362032,393883,235714
"459","Antofagasta","Hombre","7142",352131,450000,400000
"460","Antofagasta","Hombre","7143",865558,NA,NA
"461","Antofagasta","Hombre","7212",544272,400000,494742
"462","Antofagasta","Hombre","7213",410800,545946,NA
"463","Antofagasta","Hombre","7214",392845,350000,394570
"464","Antofagasta","Hombre","7216",765800,NA,232390
"465","Antofagasta","Hombre","7221",405131,NA,NA
"466","Antofagasta","Hombre","7223",403280,545385,NA
"467","Antofagasta","Hombre","7231",437600,600000,500000
"468","Antofagasta","Hombre","7232",547000,486719,NA
"469","Antofagasta","Hombre","7233",504635,600000,862450
"470","Antofagasta","Hombre","7241",547000,521058,366465
"471","Antofagasta","Hombre","7244",472994,569429,250000
"472","Antofagasta","Hombre","7245",218800,650000,NA
"473","Antofagasta","Hombre","7311",270213,100000,NA
"474","Antofagasta","Hombre","7313",1232400,NA,NA
"475","Antofagasta","Hombre","7345",718900,NA,NA
"476","Antofagasta","Hombre","7411",244327,355047,346618
"477","Antofagasta","Hombre","7412",382900,394800,249636
"478","Antofagasta","Hombre","7422",403941,258907,240000
"479","Antofagasta","Hombre","7423",273500,NA,NA
"480","Antofagasta","Hombre","7433",839240,NA,NA
"481","Antofagasta","Hombre","7435",218800,NA,NA
"482","Antofagasta","Hombre","7437",349180,NA,NA
"483","Antofagasta","Hombre","7442",410800,NA,NA
"484","Antofagasta","Hombre","8111",965072,745028,NA
"485","Antofagasta","Hombre","8112",547000,2047847,650000
"486","Antofagasta","Hombre","8113",656400,588976,550000
"487","Antofagasta","Hombre","8124",437600,NA,NA
"488","Antofagasta","Hombre","8151",711100,NA,NA
"489","Antofagasta","Hombre","8153",437600,NA,NA
