"","geography_level","geography_name","geography_id","year","sex","branch","weighted_mean_income","weighted_median_income","ci_weighted_mean_income","ci_weighted_median_income"
"131","region","Atacama","3","2011","Mujer","Actividades Inmobiliarias, Empresariales y de Alquiler",488838,273500,"[373353, 677594]","[212279, 366061]"
"132","region","Atacama","3","2011","Mujer","Administración Pública y Defensa",439584,382900,"[394270, 486172]","[373301, 437600]"
"133","region","Atacama","3","2011","Mujer","Enseñanza",393761,323973,"[344827, 435101]","[270462, 386646]"
"134","region","Atacama","3","2011","Mujer","Servicios Sociales y de Salud",429885,328200,"[348200, 518786]","[307851, 382900]"
"135","region","Atacama","3","2011","Mujer","Otras Actividades de Servicios",223939,205050,"[179184, 264901]","[164320, 224601]"
"136","region","Atacama","3","2011","Mujer","Servicio Doméstico",159558,164100,"[140413, 177705]","[123240, 196920]"
"137","region","Atacama","3","2011","Mujer","Organizaciones y Órganos Extraterritoriales",144509,144509,"[80956, 341773]","[80956, 341773]"
"138","region","Atacama","3","2011","Mujer","No Bien Especificado",404323,404323,"[251830, 492300]","[251830, 492300]"
"139","region","Aysén","11","2011","Hombre","Agricultura, Ganadería, Caza y Silvicultura",377539,240680,"[331307, 447896]","[218800, 294153]"
"140","region","Aysén","11","2011","Hombre","Pesca",440283,328200,"[384959, 536648]","[273500, 459480]"
"141","region","Aysén","11","2011","Hombre","Explotación de Minas y Canteras",582753,437600,"[471214, 784742]","[332197, 547000]"
"142","region","Aysén","11","2011","Hombre","Industrias Manufactureras",473334,328200,"[376211, 574922]","[243435, 369720]"
"143","region","Aysén","11","2011","Hombre","Electricidad, Gas y Agua",352342,284440,"[274702, 552989]","[225729, 346412]"
"144","region","Aysén","11","2011","Hombre","Construcción",474479,306320,"[399068, 613935]","[251073, 328200]"
"145","region","Aysén","11","2011","Hombre","Comercio",430535,273500,"[377088, 501940]","[251620, 328200]"
"146","region","Aysén","11","2011","Hombre","Hoteles y Restaurantes",420234,238691,"[289842, 556804]","[207648, 410800]"
"147","region","Aysén","11","2011","Hombre","Transporte, Almacenamiento y Comunicaciones",516424,328200,"[432673, 615845]","[304406, 407940]"
"148","region","Aysén","11","2011","Hombre","Intermediación Financiera",520071,391537,"[371006, 698826]","[316181, 765800]"
"149","region","Aysén","11","2011","Hombre","Actividades Inmobiliarias, Empresariales y de Alquiler",834631,616200,"[600254, 1277190]","[303344, 824019]"
"150","region","Aysén","11","2011","Hombre","Administración Pública y Defensa",897855,656400,"[811107, 992716]","[548653, 823235]"
"151","region","Aysén","11","2011","Hombre","Enseñanza",687892,524267,"[569065, 814322]","[382900, 656400]"
"152","region","Aysén","11","2011","Hombre","Servicios Sociales y de Salud",1268836,399022,"[652516, 3139578]","[207860, 1499973]"
"153","region","Aysén","11","2011","Hombre","Otras Actividades de Servicios",566396,665009,"[354754, 717209]","[216911, 823235]"
"154","region","Aysén","11","2011","Hombre","Servicio Doméstico",214756,200560,"[130497, 300497]","[61620, 356093]"
"155","region","Aysén","11","2011","Hombre","Organizaciones y Órganos Extraterritoriales",667340,667340,"[667340, 667340]","[667340, 667340]"
"156","region","Aysén","11","2011","Mujer","Agricultura, Ganadería, Caza y Silvicultura",425408,246480,"[319469, 576775]","[206381, 408940]"
"157","region","Aysén","11","2011","Mujer","Pesca",289241,218800,"[222763, 416193]","[201296, 240680]"
"158","region","Aysén","11","2011","Mujer","Industrias Manufactureras",267496,205400,"[231749, 323112]","[199108, 218800]"
"159","region","Aysén","11","2011","Mujer","Electricidad, Gas y Agua",542782,564778,"[405940, 714171]","[382900, 690172]"
"160","region","Aysén","11","2011","Mujer","Construcción",673496,328200,"[430998, 986084]","[254068, 765800]"
"161","region","Aysén","11","2011","Mujer","Comercio",296683,204742,"[258057, 363025]","[199108, 215311]"
"162","region","Aysén","11","2011","Mujer","Hoteles y Restaurantes",506990,251620,"[399150, 627904]","[212636, 328200]"
"163","region","Aysén","11","2011","Mujer","Transporte, Almacenamiento y Comunicaciones",598713,533726,"[386461, 1310967]","[218800, 656400]"
"164","region","Aysén","11","2011","Mujer","Intermediación Financiera",485153,437600,"[358608, 649762]","[284440, 561000]"
"165","region","Aysén","11","2011","Mujer","Actividades Inmobiliarias, Empresariales y de Alquiler",507465,269567,"[319295, 1272118]","[218800, 367830]"
"166","region","Aysén","11","2011","Mujer","Administración Pública y Defensa",563156,333728,"[462220, 760984]","[306320, 449962]"
"167","region","Aysén","11","2011","Mujer","Enseñanza",502055,328200,"[442617, 572549]","[328200, 412518]"
"168","region","Aysén","11","2011","Mujer","Servicios Sociales y de Salud",574470,328200,"[426097, 749926]","[240680, 492300]"
"169","region","Aysén","11","2011","Mujer","Otras Actividades de Servicios",308635,204792,"[243684, 445604]","[204578, 252415]"
"170","region","Aysén","11","2011","Mujer","Servicio Doméstico",137694,125403,"[126724, 156174]","[109400, 145092]"
"171","region","Bíobío","8","2011","Hombre","Agricultura, Ganadería, Caza y Silvicultura",225712,196920,"[212224, 244960]","[196920, 199108]"
"172","region","Bíobío","8","2011","Hombre","Pesca",262490,196920,"[188977, 340279]","[164320, 219718]"
"173","region","Bíobío","8","2011","Hombre","Explotación de Minas y Canteras",507356,377731,"[389019, 699364]","[269771, 505428]"
"174","region","Bíobío","8","2011","Hombre","Industrias Manufactureras",418069,273500,"[374642, 487775]","[265297, 306320]"
"175","region","Bíobío","8","2011","Hombre","Electricidad, Gas y Agua",551865,296806,"[405137, 746498]","[219805, 415720]"
"176","region","Bíobío","8","2011","Hombre","Construcción",359280,218800,"[303601, 502787]","[200466, 248918]"
"177","region","Bíobío","8","2011","Hombre","Comercio",524423,305094,"[412849, 766040]","[210120, 385297]"
"178","region","Bíobío","8","2011","Hombre","Hoteles y Restaurantes",256349,218800,"[210974, 466302]","[202390, 224270]"
"179","region","Bíobío","8","2011","Hombre","Transporte, Almacenamiento y Comunicaciones",347317,218800,"[275104, 475369]","[197959, 274534]"
"180","region","Bíobío","8","2011","Hombre","Intermediación Financiera",565163,547000,"[326492, 1103507]","[213981, 978800]"
"181","region","Bíobío","8","2011","Hombre","Actividades Inmobiliarias, Empresariales y de Alquiler",522425,273500,"[434909, 636561]","[240817, 382900]"
"182","region","Bíobío","8","2011","Hombre","Administración Pública y Defensa",552655,437600,"[469443, 627133]","[382900, 547000]"
"183","region","Bíobío","8","2011","Hombre","Enseñanza",504079,287165,"[382284, 607190]","[218800, 398696]"
"184","region","Bíobío","8","2011","Hombre","Servicios Sociales y de Salud",984984,373106,"[564689, 2350462]","[328200, 530863]"
"185","region","Bíobío","8","2011","Hombre","Otras Actividades de Servicios",324351,203666,"[252686, 390114]","[199108, 264075]"
"186","region","Bíobío","8","2011","Hombre","Servicio Doméstico",264029,211016,"[169280, 383430]","[112557, 308100]"
"187","region","Bíobío","8","2011","Hombre","Organizaciones y Órganos Extraterritoriales",765800,765800,"[765800, 765800]","[765800, 765800]"
"188","region","Bíobío","8","2011","Hombre","No Bien Especificado",204578,204578,"[204578, 204578]","[204578, 204578]"
"189","region","Bíobío","8","2011","Mujer","Agricultura, Ganadería, Caza y Silvicultura",179601,158630,"[152557, 205735]","[145776, 184643]"
"190","region","Bíobío","8","2011","Mujer","Pesca",225721,196920,"[148491, 324814]","[149756, 218800]"
"191","region","Bíobío","8","2011","Mujer","Explotación de Minas y Canteras",200519,200519,"[76580, 306320]","[76580, 306320]"
"192","region","Bíobío","8","2011","Mujer","Industrias Manufactureras",208489,199108,"[172033, 305335]","[150877, 203151]"
"193","region","Bíobío","8","2011","Mujer","Electricidad, Gas y Agua",437601,292645,"[268691, 707201]","[162274, 745720]"
"194","region","Bíobío","8","2011","Mujer","Construcción",529328,241157,"[359974, 743458]","[218800, 458485]"
"195","region","Bíobío","8","2011","Mujer","Comercio",262281,199108,"[226039, 335807]","[196920, 203539]"
"196","region","Bíobío","8","2011","Mujer","Hoteles y Restaurantes",340737,199108,"[242455, 475847]","[196920, 202390]"
"197","region","Bíobío","8","2011","Mujer","Transporte, Almacenamiento y Comunicaciones",474869,301144,"[370563, 592560]","[218800, 590406]"
"198","region","Bíobío","8","2011","Mujer","Intermediación Financiera",611722,437600,"[405233, 837927]","[207860, 547000]"
"199","region","Bíobío","8","2011","Mujer","Actividades Inmobiliarias, Empresariales y de Alquiler",368184,218800,"[291440, 470614]","[199108, 328200]"
"200","region","Bíobío","8","2011","Mujer","Administración Pública y Defensa",285452,218800,"[247263, 323625]","[184831, 284440]"
"201","region","Bíobío","8","2011","Mujer","Enseñanza",407219,273500,"[370165, 453823]","[262560, 328200]"
"202","region","Bíobío","8","2011","Mujer","Servicios Sociales y de Salud",413185,273500,"[356900, 479226]","[240680, 325695]"
"203","region","Bíobío","8","2011","Mujer","Otras Actividades de Servicios",312785,205400,"[256059, 391556]","[158630, 284574]"
"204","region","Bíobío","8","2011","Mujer","Servicio Doméstico",127298,109400,"[116105, 137080]","[109400, 131280]"
"205","region","Bíobío","8","2011","Mujer","Organizaciones y Órganos Extraterritoriales",161912,161912,"[161912, 161912]","[161912, 161912]"
"206","region","Coquimbo","4","2011","Hombre","Agricultura, Ganadería, Caza y Silvicultura",241171,199108,"[218772, 270210]","[196920, 199108]"
"207","region","Coquimbo","4","2011","Hombre","Pesca",323633,245621,"[250234, 446321]","[202390, 308100]"
"208","region","Coquimbo","4","2011","Hombre","Explotación de Minas y Canteras",564870,437600,"[507684, 629909]","[422014, 492300]"
"209","region","Coquimbo","4","2011","Hombre","Industrias Manufactureras",403790,328200,"[333766, 544779]","[246480, 351808]"
"210","region","Coquimbo","4","2011","Hombre","Electricidad, Gas y Agua",699314,320753,"[341010, 1196567]","[248922, 473298]"
"211","region","Coquimbo","4","2011","Hombre","Construcción",346647,273500,"[309603, 392963]","[243346, 309219]"
"212","region","Coquimbo","4","2011","Hombre","Comercio",323424,220118,"[286200, 370757]","[205400, 268042]"
"213","region","Coquimbo","4","2011","Hombre","Hoteles y Restaurantes",577634,205152,"[236229, 1329116]","[196920, 315572]"
"214","region","Coquimbo","4","2011","Hombre","Transporte, Almacenamiento y Comunicaciones",438415,386022,"[395667, 489368]","[328200, 412166]"
"215","region","Coquimbo","4","2011","Hombre","Intermediación Financiera",1141339,694506,"[687060, 1930177]","[547000, 1605058]"
"216","region","Coquimbo","4","2011","Hombre","Actividades Inmobiliarias, Empresariales y de Alquiler",483060,315238,"[405815, 562378]","[271517, 507970]"
"217","region","Coquimbo","4","2011","Hombre","Administración Pública y Defensa",453225,350848,"[385366, 562733]","[261593, 507017]"
"218","region","Coquimbo","4","2011","Hombre","Enseñanza",449627,328200,"[338573, 558818]","[273500, 437600]"
"219","region","Coquimbo","4","2011","Hombre","Servicios Sociales y de Salud",733841,594687,"[451457, 1120372]","[248709, 1094000]"
"220","region","Coquimbo","4","2011","Hombre","Otras Actividades de Servicios",487133,200493,"[230218, 969162]","[196920, 332474]"
"221","region","Coquimbo","4","2011","Hombre","Servicio Doméstico",230079,206246,"[174644, 288159]","[179395, 328326]"
"222","region","Coquimbo","4","2011","Mujer","Agricultura, Ganadería, Caza y Silvicultura",175647,196920,"[162456, 188325]","[183777, 199108]"
"223","region","Coquimbo","4","2011","Mujer","Pesca",97803,118596,"[27350, 199108]","[27350, 199108]"
"224","region","Coquimbo","4","2011","Mujer","Explotación de Minas y Canteras",387164,328200,"[282160, 570061]","[223359, 426554]"
"225","region","Coquimbo","4","2011","Mujer","Industrias Manufactureras",227832,197674,"[170335, 314597]","[131144, 202390]"
"226","region","Coquimbo","4","2011","Mujer","Electricidad, Gas y Agua",189292,196920,"[157000, 212909]","[131280, 218800]"
"227","region","Coquimbo","4","2011","Mujer","Construcción",247358,199108,"[178672, 347053]","[178127, 378879]"
"228","region","Coquimbo","4","2011","Mujer","Comercio",259179,196920,"[216775, 305187]","[196920, 199108]"
