"","geography_level","geography_name","geography_id","year","sex","branch","weighted_mean_income","weighted_median_income","ci_weighted_mean_income","ci_weighted_median_income"
"68","provincia","Arica","p151","2011","Hombre","Explotación de Minas y Canteras",655548,492300,"[524254, 861222]","[437600, 547000]"
"69","provincia","Arica","p151","2011","Hombre","Industrias Manufactureras",422418,302840,"[363311, 500255]","[256816, 367854]"
"70","provincia","Arica","p151","2011","Hombre","Electricidad, Gas y Agua",520335,338775,"[338041, 738846]","[271542, 894345]"
"71","provincia","Arica","p151","2011","Hombre","Construcción",351121,227590,"[299651, 474064]","[218800, 296105]"
"72","provincia","Arica","p151","2011","Hombre","Comercio",365736,235054,"[327160, 398837]","[218800, 277417]"
"73","provincia","Arica","p151","2011","Hombre","Hoteles y Restaurantes",279349,201925,"[204718, 402059]","[178445, 242441]"
"74","provincia","Arica","p151","2011","Hombre","Transporte, Almacenamiento y Comunicaciones",500432,373143,"[431124, 608239]","[328200, 410800]"
"75","provincia","Arica","p151","2011","Hombre","Intermediación Financiera",318266,219035,"[220326, 493229]","[218800, 393121]"
"76","provincia","Arica","p151","2011","Hombre","Actividades Inmobiliarias, Empresariales y de Alquiler",799862,407243,"[570095, 1132060]","[288119, 592991]"
"77","provincia","Arica","p151","2011","Hombre","Administración Pública y Defensa",594037,522689,"[506119, 709206]","[408209, 612640]"
"78","provincia","Arica","p151","2011","Hombre","Enseñanza",596577,530917,"[485812, 697070]","[415720, 547000]"
"79","provincia","Arica","p151","2011","Hombre","Servicios Sociales y de Salud",529132,332290,"[346587, 770690]","[273500, 690339]"
"80","provincia","Arica","p151","2011","Hombre","Otras Actividades de Servicios",318834,218800,"[244896, 396947]","[201567, 367968]"
"81","provincia","Arica","p151","2011","Hombre","Servicio Doméstico",220933,208516,"[192872, 264775]","[184860, 277911]"
"82","provincia","Arica","p151","2011","Hombre","No Bien Especificado",266608,201759,"[135508, 395963]","[103625, 437600]"
"83","provincia","Arica","p151","2011","Mujer","Agricultura, Ganadería, Caza y Silvicultura",247561,218800,"[206102, 300799]","[188772, 256028]"
"84","provincia","Arica","p151","2011","Mujer","Pesca",186304,196920,"[154795, 208526]","[161905, 218800]"
"85","provincia","Arica","p151","2011","Mujer","Explotación de Minas y Canteras",316573,305382,"[263999, 407875]","[249243, 328200]"
"86","provincia","Arica","p151","2011","Mujer","Industrias Manufactureras",280868,218800,"[224447, 347870]","[164320, 333776]"
"87","provincia","Arica","p151","2011","Mujer","Electricidad, Gas y Agua",322766,328200,"[222352, 421350]","[218800, 492300]"
"88","provincia","Arica","p151","2011","Mujer","Construcción",438670,259278,"[277744, 660199]","[199108, 713917]"
"89","provincia","Arica","p151","2011","Mujer","Comercio",281552,218800,"[246228, 342818]","[202390, 257263]"
"90","provincia","Arica","p151","2011","Mujer","Hoteles y Restaurantes",255517,196920,"[204178, 335921]","[189373, 205010]"
"91","provincia","Arica","p151","2011","Mujer","Transporte, Almacenamiento y Comunicaciones",449161,261030,"[308982, 750890]","[197959, 395596]"
"92","provincia","Arica","p151","2011","Mujer","Intermediación Financiera",331777,245056,"[266012, 423314]","[213330, 382900]"
"93","provincia","Arica","p151","2011","Mujer","Actividades Inmobiliarias, Empresariales y de Alquiler",357387,204578,"[272426, 476979]","[199108, 273500]"
"94","provincia","Arica","p151","2011","Mujer","Administración Pública y Defensa",463991,393350,"[401302, 536440]","[382900, 547000]"
"95","provincia","Arica","p151","2011","Mujer","Enseñanza",382984,328200,"[345969, 425193]","[269823, 382900]"
"96","provincia","Arica","p151","2011","Mujer","Servicios Sociales y de Salud",435700,328200,"[361524, 517675]","[291688, 382900]"
"97","provincia","Arica","p151","2011","Mujer","Otras Actividades de Servicios",233829,205400,"[161741, 424108]","[125416, 227858]"
"98","provincia","Arica","p151","2011","Mujer","Servicio Doméstico",153702,135656,"[138773, 176316]","[109400, 183527]"
"99","provincia","Arica","p151","2011","Mujer","No Bien Especificado",268527,268527,"[109400, 328200]","[109400, 328200]"
