carrera_id,area_id,region_id,institution_id,program,degree,specialization_or_observations
22080,NA,NA,111,Ingeniería Mecatrónica,NA,NA
17040,8,14,80,Ingeniería Naval,Licenciatura en Ciencias de la Ingeniería,NA
14079,NA,NA,73,Ingeniería Pesquera,NA,NA
22028,8,15,111,Ingeniería Química Ambiental,NA,NA
14038,6,5,73,Interpretación o Traducción,NA,NA
34067,NA,NA,110,Interpretación y Docencia Musical,NA,NA
17076,9,14,80,Kinesiología,Licenciatura en Kinesiología,NA
26094,9,5,108,Kinesiología,Licenciatura en Kinesiología,NA
11082,9,13,96,Kinesiología,Licenciatura en Kinesiología,NA
22103,9,1,111,Kinesiología,NA,NA
33023,9,12,107,Kinesiología,NA,NA
14015,9,5,73,Kinesiología,NA,NA
16098,9,13,109,Kinesiología,NA,NA
23065,9,1,79,Kinesiología,NA,NA
23068,9,9,79,Kinesiología,NA,NA
44018,9,13,102,Kinesiología,NA,NA
44034,9,8,102,Kinesiología,NA,NA
24011,9,2,92,Kinesiología,NA,NA
25037,9,4,100,Kinesiología,NA,NA
27050,9,3,95,Kinesiología,NA,NA
30023,9,9,98,Kinesiología,NA,NA
32002,9,10,105,Kinesiología,NA,NA
34024,9,7,110,Kinesiología,NA,NA
36064,9,8,85,Kinesiología,NA,NA
32028,9,10,105,Kinesiología,NA,NA
12061,9,13,72,Kinesiología,NA,NA
13083,9,8,97,Kinesiología,NA,NA
18090,9,4,87,Kinesiología,NA,NA
19043,9,5,112,Kinesiología,NA,NA
20098,9,13,121,Kinesiología,NA,NA
35001,9,7,86,Kinesiología,NA,NA
37064,9,9,88,Kinesiología,NA,NA
38325,9,13,114,Kinesiología,NA,NA
39117,9,13,120,Kinesiología,NA,NA
39410,9,9,120,Kinesiología,NA,NA
40071,9,13,115,Kinesiología,NA,NA
41009,9,13,78,Kinesiología,NA,NA
41066,9,5,78,Kinesiología,NA,NA
41102,9,8,78,Kinesiología,NA,NA
43015,9,13,104,Kinesiología,NA,NA
22052,9,15,111,Kinesiología y Rehabilitación,NA,NA
26032,2,5,108,Licenciatura en Artes,NA,NA
13053,NA,NA,97,Licenciatura en Artes Plásticas,NA,NA
17065,2,14,80,Licenciatura en Artes Visuales,NA,NA
37005,2,9,88,Licenciatura en Artes Visuales,NA,NA
25028,3,4,100,Licenciatura en Astronomía,NA,NA
41012,3,13,78,Licenciatura en Astronomía,NA,NA
24059,NA,NA,92,Licenciatura en Biología,NA,NA
16046,7,13,109,Licenciatura en Ciencia de la Computación,NA,NA
33038,NA,NA,107,Licenciatura en Ciencias Biológicas,NA,NA
17816,3,14,80,Licenciatura en Ciencias con,NA,NA
16094,NA,NA,109,Licenciatura en Ciencias de la Actividad Física,NA,NA
16097,9,13,109,Licenciatura en Ciencias de la Actividad Física / Entrenador Deportivo,NA,NA
16096,9,13,109,Licenciatura en Ciencias de la Actividad Física / Terapeuta en Actividad Física y Salud,NA,NA
22027,NA,NA,111,Licenciatura en Ciencias Exactas Ingreso Común,NA,NA
18082,6,4,87,Licenciatura en Ciencias Religiosas,NA,NA
36054,6,8,85,Licenciatura en Ciencias Religiosas y Estudios Eclesiásticos,NA,NA
19064,NA,NA,112,Licenciatura en Ciencias Socio,NA,NA
40043,4,13,115,Licenciatura en Dirección y Gestión de Artes Culinarias,NA,NA
33039,NA,NA,107,Licenciatura en Educación,NA,NA
20006,NA,NA,121,Pedagogía en Artes,Licenciatura en Educación en las Artes Plásticas,NA
20007,7,13,121,Licenciatura en Educación y Pedagogía en Artes Visuales,NA,NA
20061,7,13,121,Licenciatura en Educación y Pedagogía en Educación Física,Deportes y Recreación,NA
20056,7,13,121,Licenciatura en Educación y Pedagogía en Educación Física,Deportes y Recreación,NA
27021,7,3,95,Licenciatura en Educación y Pedagogía en Educación Física,NA,NA
27023,7,3,95,Licenciatura en Educación y Pedagogía en Educación General Básica,NA,NA
27028,7,3,95,Licenciatura en Educación y Pedagogía en Educación Parvularia,NA,NA
20071,7,13,121,Licenciatura en Educación y Pedagogía en Filosofía,NA,NA
27027,6,3,95,Licenciatura en Educación y Pedagogía en Inglés,NA,NA
20011,7,13,121,Licenciatura en Educación y Pedagogía en Música,NA,NA
33021,NA,NA,107,Licenciatura en Enfermería,NA,NA
16057,6,13,109,Licenciatura en Estudios Internacionales,NA,NA
41038,NA,NA,78,Licenciatura en Filosofa,NA,NA
11061,6,13,96,Licenciatura en Filosofía,NA,NA
36055,6,8,85,Licenciatura en Filosofía,NA,NA
45010,4,13,77,Licenciatura en Filosofía,NA,NA
25027,3,4,100,Licenciatura en Física,NA,NA
41013,3,13,78,Licenciatura en Física,NA,NA
16058,7,13,109,Licenciatura en Historia,NA,NA
11063,6,13,96,Licenciatura en Historia,NA,NA
13059,6,8,97,Licenciatura en Historia,NA,NA
36061,6,8,85,Licenciatura en Historia,NA,NA
41039,6,13,78,Licenciatura en Historia,NA,NA
41084,6,5,78,Licenciatura en Historia,NA,NA
41115,NA,NA,78,Licenciatura en Historia,NA,NA
45017,4,13,77,Licenciatura en Historia,NA,NA
27029,6,3,95,Licenciatura en Idioma Inglés y Título Profesional de Traductor Inglés-Español,NA,NA
45011,6,13,77,Licenciatura en Lengua y Literatura,NA,NA
22064,7,15,111,Licenciatura en Lenguaje y Comunicación,NA,NA
41040,6,13,78,Licenciatura en Letras,NA,NA
41085,NA,NA,78,Licenciatura en Letras,NA,NA
16054,6,13,109,Licenciatura en Lingüística Aplicada a la Traducción en Inglés-Japonés e Inglés-Portugués,NA,NA
13002,3,8,97,Licenciatura en Matemática,NA,NA
18074,3,2,87,Licenciatura en Matemática,NA,NA
25020,3,4,100,Licenciatura en Matemática,NA,NA
25046,2,4,100,Licenciatura en Música,NA,NA
34063,NA,NA,110,Licenciatura en Música,NA,NA
20012,2,13,121,Licenciatura en Música y Dirección de Agrupaciones Musicales Instrumentales,NA,NA
13001,3,8,97,Licenciatura en Química,NA,NA
41014,3,13,78,Licenciatura en Química,NA,NA
45034,2,13,77,Licenciatura en Teoría e Historia del Artes,NA,NA
11072,6,13,96,Lingüística y Literatura,Licenciatura en Lingüística o en Literatura,NA
11065,6,13,96,Lingüística y Literatura Inglesas,Licenciatura en,NA
40021,6,13,115,Literatura,NA,NA
43028,4,13,104,Literatura,NA,NA
38166,6,13,114,Literatura Creativa,NA,NA
12051,3,13,72,Matemática,NA,NA
19077,NA,NA,112,Matemática,NA,NA
11034,3,13,96,Matemáticas,Licenciatura en Ciencias,NA
11083,9,13,96,Medicina,Licenciatura en Medicina,NA
33053,9,12,107,Medicina,NA,NA
22050,9,15,111,Medicina,NA,NA
16091,9,13,109,Medicina,NA,NA
44019,9,13,102,Medicina,NA,NA
24047,9,2,92,Medicina,NA,NA
30026,9,9,98,Medicina,NA,NA
34020,9,7,110,Medicina,NA,NA
36020,9,8,85,Medicina,NA,NA
12058,9,13,72,Medicina,NA,NA
13086,9,8,97,Medicina,NA,NA
18087,9,4,87,Medicina,NA,NA
19039,9,5,112,Medicina,NA,NA
19040,9,5,112,Medicina,NA,NA
35005,9,7,86,Medicina,NA,NA
38170,9,13,114,Medicina,NA,NA
39118,9,13,120,Medicina,NA,NA
39411,9,9,120,Medicina,NA,NA
40070,9,13,115,Medicina,NA,NA
41056,9,13,78,Medicina,NA,NA
41095,9,5,78,Medicina,NA,NA
41164,9,8,78,Medicina,NA,NA
43014,9,13,104,Medicina,NA,NA
17031,9,14,80,Medicina,Licenciatura en Medicina,NA
17013,9,14,80,Medicina,Licenciatura en Medicina,NA
17014,1,14,80,Medicina Veterinaria,Licenciatura en Medicina Veterinaria,NA
11022,1,13,96,Medicina Veterinaria,Licenciatura en Ciencias Veterinaria y Pecuarias,NA
13007,1,8,97,Medicina Veterinaria,NA,NA
37011,1,9,88,Medicina Veterinaria,NA,NA
13011,1,8,97,Medicina Veterinaria,NA,NA
39119,1,13,120,Medicina Veterinaria,NA,NA
39412,1,9,120,Medicina Veterinaria,NA,NA
41026,1,13,78,Medicina Veterinaria,NA,NA
19071,NA,NA,112,Meteorología,NA,NA
24089,2,2,92,Música,NA,NA
19013,NA,NA,112,Música,NA,NA
12059,2,13,72,Música Opciones en:,NA,NA
11084,9,13,96,Nutrición y Dietética,Licenciatura en Nutrición y Dietética,NA
26071,9,5,108,Nutrición y Dietética,Licenciatura en Nutrición,NA
29054,9,8,101,Nutrición y Dietética,NA,NA
