"","geography_level","geography_name","geography_id","year","sexo","oficio","mean_income","median_income","ci_mean_income","ci_median_income"
"111","comuna","Cauquenes","34","1990","Hombre","Fuerzas Armadas",73740,59900,"[56350, 104190]","[54360, 120800]"
"112","comuna","Cauquenes","34","1990","Hombre","Miembros del Poder Ejecutivo y Cuerpos Legislativos",302000,302000,"[6152, 277618]","[6152, 277618]"
"113","comuna","Cauquenes","34","1990","Hombre","Operadores y Montadores de Instalaciones y Máquinas",36240,36240,"[739, 33315]","[739, 33315]"
"114","comuna","Cauquenes","34","1990","Hombre","Profesionales, Científicos e Intelectuales",103360,103360,"[48320, 158400]","[48320, 158400]"
"115","comuna","Cauquenes","34","1990","Hombre","Técnicos y Profesionales de Nivel Medio",41109,25604,"[24455, 69043]","[16912, 69300]"
"116","comuna","Cauquenes","34","1990","Hombre","Trabajadores Agropecuarios y Pesqueros",32073,31408,"[25673, 40921]","[24160, 32616]"
"117","comuna","Cauquenes","34","1990","Hombre","Trabajadores de Artes Mecánicas y Otros",32029,20536,"[22547, 42273]","[17486, 47940]"
"118","comuna","Cauquenes","34","1990","Hombre","Trabajadores de Servicios y Vendedores",60351,38761,"[31029, 98398]","[27180, 42280]"
"119","comuna","Cerro Navia","36","1990","Hombre","Empleados de Oficina",58619,42280,"[41285, 86878]","[31408, 49702]"
"120","comuna","Cerro Navia","36","1990","Hombre","Fuerzas Armadas",72016,54360,"[49992, 95011]","[37920, 120325]"
"121","comuna","Cerro Navia","36","1990","Hombre","Profesionales, Científicos e Intelectuales",44265,39864,"[33116, 60214]","[31576, 66742]"
"122","comuna","Cerro Navia","36","1990","Hombre","Técnicos y Profesionales de Nivel Medio",68685,50292,"[53855, 88770]","[43750, 61380]"
"123","comuna","Cerro Navia","36","1990","Hombre","Trabajadores Agropecuarios y Pesqueros",60585,48320,"[47578, 76955]","[39864, 72480]"
"124","comuna","Cerro Navia","36","1990","Hombre","Trabajadores de Artes Mecánicas y Otros",55361,42425,"[47739, 64233]","[36269, 53786]"
"125","comuna","Cerro Navia","36","1990","Hombre","Trabajadores de Servicios y Vendedores",73911,66440,"[52683, 96263]","[40417, 88458]"
"126","comuna","Chañaral","39","1990","Hombre","Empleados de Oficina",35481,33824,"[31857, 39289]","[31408, 42280]"
"127","comuna","Chañaral","39","1990","Hombre","Fuerzas Armadas",67551,72480,"[41072, 89100]","[41072, 89100]"
"128","comuna","Chañaral","39","1990","Hombre","Operadores y Montadores de Instalaciones y Máquinas",84560,84560,"[1723, 77734]","[1723, 77734]"
"129","comuna","Chañaral","39","1990","Hombre","Profesionales, Científicos e Intelectuales",278240,118800,"[90232, 622432]","[72480, 237600]"
"130","comuna","Chañaral","39","1990","Hombre","Técnicos y Profesionales de Nivel Medio",83185,84150,"[33265, 136125]","[6040, 158400]"
"131","comuna","Chañaral","39","1990","Hombre","Trabajadores Agropecuarios y Pesqueros",87179,59400,"[49889, 151941]","[47044, 79200]"
"132","comuna","Chañaral","39","1990","Hombre","Trabajadores de Artes Mecánicas y Otros",62261,51224,"[53093, 71419]","[48320, 72480]"
"133","comuna","Chañaral","39","1990","Hombre","Trabajadores de Servicios y Vendedores",79583,59900,"[55088, 119259]","[37290, 99811]"
"134","comuna","Chillán","43","1990","Hombre","Empleados de Oficina",39644,36240,"[33876, 48191]","[32616, 42280]"
"135","comuna","Chillán","43","1990","Hombre","Fuerzas Armadas",83802,71272,"[61712, 111879]","[48320, 97005]"
"136","comuna","Chillán","43","1990","Hombre","Miembros del Poder Ejecutivo y Cuerpos Legislativos",99000,99000,"[2017, 91008]","[2017, 91008]"
"137","comuna","Chillán","43","1990","Hombre","Operadores y Montadores de Instalaciones y Máquinas",64829,78520,"[31408, 84560]","[31408, 84560]"
"138","comuna","Chillán","43","1990","Hombre","Profesionales, Científicos e Intelectuales",68409,36240,"[44503, 93176]","[31786, 48630]"
"139","comuna","Chillán","43","1990","Hombre","Técnicos y Profesionales de Nivel Medio",205598,60400,"[61584, 399651]","[46810, 79200]"
"140","comuna","Chillán","43","1990","Hombre","Trabajadores Agropecuarios y Pesqueros",32725,31408,"[28259, 36088]","[30106, 32012]"
"141","comuna","Chillán","43","1990","Hombre","Trabajadores de Artes Mecánicas y Otros",41373,33940,"[34821, 51613]","[31408, 37920]"
"142","comuna","Chillán","43","1990","Hombre","Trabajadores de Servicios y Vendedores",51944,36240,"[39402, 67038]","[31408, 59400]"
"143","comuna","Chillán","43","1990","Hombre","Trabajadores No Calificados",50639,31408,"[31408, 89100]","[31408, 89100]"
"144","comuna","Chimbarongo","45","1990","Hombre","Empleados de Oficina",30680,30200,"[21939, 41218]","[23839, 36240]"
"145","comuna","Chimbarongo","45","1990","Hombre","Fuerzas Armadas",101697,78520,"[66155, 147953]","[61862, 141280]"
"146","comuna","Chimbarongo","45","1990","Hombre","Miembros del Poder Ejecutivo y Cuerpos Legislativos",242235,242235,"[4935, 222679]","[4935, 222679]"
"147","comuna","Chimbarongo","45","1990","Hombre","Operadores y Montadores de Instalaciones y Máquinas",66742,66742,"[32616, 100868]","[32616, 100868]"
"148","comuna","Chimbarongo","45","1990","Hombre","Profesionales, Científicos e Intelectuales",58192,48320,"[41156, 75318]","[33507, 84560]"
"149","comuna","Chimbarongo","45","1990","Hombre","Técnicos y Profesionales de Nivel Medio",79082,69300,"[53348, 108900]","[36240, 99000]"
"150","comuna","Chimbarongo","45","1990","Hombre","Trabajadores Agropecuarios y Pesqueros",45323,31408,"[35325, 58125]","[31408, 32616]"
