"","geography_level","geography_name","geography_id","year","sexo","oficio","mean_income","median_income","ci_mean_income","ci_median_income"
"74","pais","País","pais","1996","Mujer","Operadores y Montadores de Instalaciones y Máquinas",133896,90000,"[118527, 149650]","[80000, 98085]"
"75","pais","País","pais","1996","Mujer","Profesionales, Científicos e Intelectuales",276000,2e+05,"[265797, 291130]","[2e+05, 2e+05]"
"76","pais","País","pais","1996","Mujer","Técnicos y Profesionales de Nivel Medio",198034,150000,"[187942, 210119]","[150000, 160000]"
"77","pais","País","pais","1996","Mujer","Trabajadores Agropecuarios y Pesqueros",88897,65000,"[78281, 99303]","[61290, 66606]"
"78","pais","País","pais","1996","Mujer","Trabajadores de Artes Mecánicas y Otros",107768,80762,"[101318, 114659]","[78000, 81720]"
"79","pais","País","pais","1996","Mujer","Trabajadores de Servicios y Vendedores",112167,80000,"[108023, 116630]","[80000, 81720]"
"80","pais","País","pais","1996","Mujer","Trabajadores No Calificados",64709,60000,"[63538, 65760]","[60000, 60000]"
"81","pais","País","pais","1998","Hombre","Empleados de Oficina",230941,180720,"[219161, 247937]","[170680, 180720]"
"82","pais","País","pais","1998","Hombre","Fuerzas Armadas",262126,220880,"[247140, 280667]","[210840, 240960]"
"83","pais","País","pais","1998","Hombre","Miembros del Poder Ejecutivo y Cuerpos Legislativos",863645,391000,"[784257, 948060]","[391000, 403240]"
"84","pais","País","pais","1998","Hombre","Operadores y Montadores de Instalaciones y Máquinas",196681,150600,"[193164, 200996]","[150600, 150600]"
"85","pais","País","pais","1998","Hombre","Profesionales, Científicos e Intelectuales",774599,451800,"[713704, 848478]","[421680, 500569]"
"86","pais","País","pais","1998","Hombre","Técnicos y Profesionales de Nivel Medio",368155,251000,"[348568, 386104]","[251000, 271080]"
"87","pais","País","pais","1998","Hombre","Trabajadores Agropecuarios y Pesqueros",150683,109480,"[144707, 158414]","[100400, 111002]"
"88","pais","País","pais","1998","Hombre","Trabajadores de Artes Mecánicas y Otros",185214,150600,"[181974, 188810]","[150600, 150600]"
"89","pais","País","pais","1998","Hombre","Trabajadores de Servicios y Vendedores",179936,130520,"[173410, 187157]","[124973, 136850]"
"90","pais","País","pais","1998","Hombre","Trabajadores No Calificados",100708,85340,"[99802, 101714]","[85340, 85340]"
"91","pais","País","pais","1998","Mujer","Empleados de Oficina",163789,130520,"[158636, 169317]","[130520, 140560]"
"92","pais","País","pais","1998","Mujer","Fuerzas Armadas",228980,153221,"[134397, 336715]","[100400, 200800]"
"93","pais","País","pais","1998","Mujer","Miembros del Poder Ejecutivo y Cuerpos Legislativos",406982,234600,"[381195, 439122]","[217826, 244375]"
"94","pais","País","pais","1998","Mujer","Operadores y Montadores de Instalaciones y Máquinas",150206,100400,"[136336, 163603]","[98055, 100400]"
"95","pais","País","pais","1998","Mujer","Profesionales, Científicos e Intelectuales",377905,266571,"[359887, 396787]","[251000, 281120]"
"96","pais","País","pais","1998","Mujer","Técnicos y Profesionales de Nivel Medio",241748,171364,"[228979, 256936]","[162548, 180720]"
"97","pais","País","pais","1998","Mujer","Trabajadores Agropecuarios y Pesqueros",108962,80822,"[100102, 117325]","[80320, 84600]"
